id,name,screen_name
194663160,haominxu,haomin
35815425,klineshoes,Jeff Kline
76136090,theDrybar,Drybar
20262083,ConEdison,Con Edison
232268199,NYGovCuomo,Andrew Cuomo
462525753,heejunworld,heejun
124818259,whitegrlproblem,White Girl Problems
43122620,RenttheRunway,Rent the Runway
19058681,aplusk,ashton kutcher
85603854,JLo,Jennifer Lopez
18280042,filmjabber,filmjabber
44415931,OscarPRGirl,OscarPRGirl
43018238,LoBosworth,Lo Bosworth
92852929,chrisbingchen,Chris Chen
296472507,RTR_Stylist,Stylists at RTR
24277513,Acura,Acura
972651,mashable,Mashable
31210266,lecinnyc,Lara Crystal
807095,nytimes,The New York Times
8161232,richardbranson,Richard Branson
19784831,wwd,WWD
18307364,shopbop,Shopbop
16929349,NYTFashion,NYT Fashion
20177423,ELLEmagazine,ELLE Magazine (US)
21401466,VogueRunway,Vogue Runway
19390810,NETAPORTER,NET-A-PORTER.COM
19923638,TheCut,The Cut
17909306,dailycandy,DailyCandy
17334356,theknot,The Knot
21501453,RueLaLa,Rue La La
41912400,AWilkisWilson,Alexandra W. Wilson
35867690,giltfounder,Alexis Maybank
43589828,SamiaGrand,samia
22804941,LizzyWalsh,Elizabeth Walsh
15777764,TheSnobette,TheSnobette
13018112,DVF,DVF
21915474,Reebok,Reebok
46565291,Suz025,Suzanne Jacober
25086023,mebeling,Morgan Ebeling
63269019,jessschur,Jess Sperling Schur
20563872,AshleyHKline,ashley h kline
49347244,lhornstra,Lauren 
18883306,BrianaG,BrianaG
