id,name,screen_name
188793260,ninaturner,Nina Turner
407013776,burgessev,Burgess Everett
249217178,latinorebels,Latino Rebels
17050431,julito77,Julio Ricardo Varela
163995093,AlexNBCNews,Alex Moe
17466186,tomlobianco,Tom LoBianco
34331838,ergold,Emily Gold
243260429,mj_felix,Melvin Flix
27511061,stevebenen,Steve Benen
47498801,emtitus,Elizabeth Titus
188050180,GreenLatino,GreenLatinos
21779030,markmagana,Mark Magaa
398092540,realmikefox,Michael J. Fox
119969490,MattJClaiborne,Matthew Claiborne
29024380,jesshop23,Jessica Hopper
1140451,AntDeRosa,Anthony De Rosa
17436250,nytmike,Michael S. Schmidt
29330030,BigBoi,Big Boi
11107172,alexismadrigal,Alexis C. Madrigal
109643179,SandraChereb,Sandra Chereb
15689503,cbellantoni,Christina Bellantoni
16399949,felixsalmon,Felix Salmon
24484939,hookjan,Janet Hook
531477081,lydiaemilysface,lydiaemily
52304376,gardengn0me,Carli Stevenson
200711723,kartpath,Karthik Ganapathy
57768217,SunlenSerfaty,Sunlen Serfaty
68611923,VaughnHillyard,Vaughn Hillyard
16879321,AIDSHealthcare,AIDS Healthcare
366602165,levinecarrie,Carrie Levine
16646202,themimo,Camilo
243291022,David_Gergen,David Gergen
72423061,mulaney,John Mulaney
18967418,hunterw,Hunter Walker
1375790016,MiraLuisDC,Luis Miranda
14372270,mcbyrne,Melissa Byrne
385702678,DRMAction,DRM Action Coalition
256757744,tsegerblom,Tick Segerblom
97756285,JoeStutler,Joe Stutler
515635918,ValerieRWilson,Valerie R Wilson
41761325,roywoodjr,Roy Wood Jr- Ex Jedi
135623073,standwithraul,Rep. Ral Grijalva
36232215,randikayeCNN,Randi Kaye
19916171,tndp,Tennessee Democrats
17499394,joegarofoli,joegarofoli
14209759,julielyn,Julielyn
2892971,bbond,bbond
114050808,LisaDNews,Lisa Desjardins
9589252,votolatino,Voto Latino
755113,ShaunKing,Shaun King
29134273,icaito,Ricardo Gutirrez
17031374,LaurenDezenski,Lauren Dezenski
1433584531,WSpriggs,William E. Spriggs
37291805,FrankBruni,Frank Bruni
36696370,David_Kerley,David Kerley
244655353,davidaxelrod,David Axelrod
128659076,KevinBohnCNN,Kevin Bohn
271725689,iamsambee,Samantha Bee
19734832,sarahkliff,Sarah Kliff
254218516,SpikeLee,Spike Lee
18363255,LatinoUSA,Latino USA on NPR
15675855,DavidAdelman,David Adelman
16276054,borjaechevarria,Borja Echevarra
52124896,FranPelayo,Francisco J. Pelayo
244722043,BKcolin,Colin Campbell
562381032,iamrashidajones,Rashida Jones
18120497,RobertGarciaLB,Robert Garcia
106520446,byamberphillips,Amber Phillips
1286312880,allinwithchris,All In w/Chris Hayes
21322255,McCormickJohn,John McCormick
37281592,AnnieLowrey,Annie Lowrey
270033955,NHLAgenda,NHLA
19638751,DavidPepper,David Pepper
41419199,robinthede,Robin Thede
381181340,MrCulbreath,Terrence D Culbreath
