id,name,screen_name
16295374,zombiecorp,Zombiecorp
809493,eachnotesecure,Joe 
1716868410,Diobox,Diobox
505289378,Figment_jp,Janet Pech
3428187047,kate_lofblad,Kate Lofblad
42311650,thelylestevens,Lyle Stevens
17396865,SVB_Financial,Silicon Valley Bank
255186210,ThompsonIsland,Thompson Island
3653570363,olivia_vanni,Olivia Vanni
14638983,DylanLJMartin,Dylan L.J. Martin
552963946,WITXLR8,Wentworth Accelerate
3342692289,StreetwiseEdge,Streetwise Edge
41187534,mellieprice,mellie price
2542536168,VENTUREAPP,VENTUREAPP
63287882,Norbella,Norbella
896265026,BostonContent,Boston Content
15591336,Jeanne23,Jeanne
199508259,SarahSalbu,Sarah Salbu
20594726,acpelletier,alex pelletier
23461358,judywang,Judy Wang
25545734,devinemily,Devin Bramhall
2729731986,BUSofData,BusinessofData
7229362,TheLoriRusso,Lori Chenevert Russo
28259514,berkie1,Jonathan Berk
2987459651,tricia_dunn,Tricia Dunn
283155393,marissawan,Marissa Wan
2840008336,AustinInno,Austin Inno
2927758254,AppMeerkat,Meerkat
367489108,JoeCurtatone,Joseph A. Curtatone
156732976,KyleAlspach,Kyle Alspach
253193437,MassLtGov,Karyn Polito
1400464639,StartTank,Start Tank
246478340,ethan_bukowiec3,Ethan Bukowiec
2923641610,ChicagoInnoPtnr,ChicagoInno Partners
344337810,GRVTY_,GRVTY
334288594,JMElectrical103,J.M. Electrical
2923120036,spotifybeatles,BeatlesOnSpotify
2559182084,MEOjobs,MEOjobs
14826694,scott_small,Scott Small
2401934150,SemyonDukach,Semyon Dukach
19129860,CandiceCabe,Candice Cabe
14535595,warmoth,Brian Warmoth
33070534,jess_owen,Jessica Owen
165915424,BostonScott1090,BostonScott1090
96181501,therealjoelp,Joel Pettigrew
2733318672,DrifttHQ,Driftt
91501494,MaiaHeymann,Maia Heymann
375656120,jordanfliegel,Jordan Fliegel
2777123581,CSMPasscode,CSMPasscode
2784127503,brunswickparkco,brunswick park
1146618026,tamollyflan,molly fohn
18393501,NidhiSubs,Nidhi Subbaraman
310455468,libbyanelson,Libby Nelson
1583983814,grettaluxe,Gretta Luxe
