id,name,screen_name
2535455623,LindaRegber,DataStories
14256979,thomaslevine,Thomas Levine
17704083,maebert,Manuel Ebert
571202103,Medium,Medium
28186829,KathLusk,Katharine Lusk
14860076,aschrock,Andrew R. Schrock
20027082,popecinema,Michael Pope
2383980348,KansasCityEric,Eric Roche
1020804246,BostonApplab,Ron Mallis bostonapp
31413241,leegicas,Lee Gicas
2916305152,Snowden,Edward Snowden
458864355,NewPublicArt,NewAmericanPublicArt
27168435,SingerMali,Singer Mali
16710438,schooltree,lainey schooltree
15368414,katrinagalore,Katrina Galore
17092251,whichlight,Kawandeep Virdee
207816666,Lizmdesign,Liz LaManche
19515674,nervous_jessica,Jessica Rosenkrantz
2982996779,DataMelt,Connor McKay
2879933420,ojwise,Oliver Wise
202848219,lauratypes,Laura Meixell
38064163,sashacuerda,Sasha Cuerda
296873851,PublicLab,Public Laboratory
83665853,LaphamsQuart,Lapham's Quarterly
23966894,HappyFeminist,The Happy Feminist
22974854,DissentMag,Dissent Magazine
17031374,LaurenDezenski,Lauren Dezenski
64192042,luigireggi,Luigi Reggi
76982240,Lebowskiana,Francesca De Chiara
367089411,moebio,Santiago Ortiz
79002496,nickomargolies,Nicko Margolies
246800845,ariachernik,Aria F. Chernik
14662473,fsf,Free Software Fndn.
112243614,alxwinter,Alex Winter
21035409,michaelianblack,Michael Ian Black
39925753,benberkowitz,Ben Berkowitz
243877974,mikegrimshaw2,mike grimshaw
783440136,IntelligenceTV,Intelligence TV 
18917670,WesKnuckle,Wes
443915183,j_kloiber,Julia Kloiber
152727812,dadabit,gaye dadabit
149528415,alexsoble,Alex Soble
107911169,kelsosCorner,Nathaniel V. KELSO
1126671,rgkirkpatrick,Robert Kirkpatrick
398126997,dscharfGlobe,David Scharfenberg
17448055,awoodruff,Andy Woodruff
50387337,wallacetim,Tim Wallace
1285451,dweinberger,David Weinberger
20711848,hudsonhollister,Hudson Hollister
820194234,DataCoalition,Data Coalition
1039531,zittrain,Jonathan Zittrain
226963044,DanielDenvir,Daniel Denvir
108338399,lukeoneil47,Luke O'Neil
239931583,theurbanologist,Max Grinnell
1416500532,generativist,John Bjorn Nelson
90708030,paderta,Damian Paderta
10313032,HeatherLeson,HeatherLeson
187991050,benswasey,Ben Swasey
12855662,adelevie,Alan deLevie
126674016,Pagankennedy,Pagan Kennedy
323485397,KyleClauss,Kyle Clauss
47335111,TheKevinParker,Kevin Parker
19546153,RobynCaplan,Robyn Caplan
27150431,starl3n,Steven De Costa
1205884376,enigma_io,enigma.io
491631309,MonaChalabi,Mona
14649254,carltonwilliams,Carl Williams
190246525,carlystrasser,Carly Strasser
15081317,thejefflarson,Jeff Larson
352337305,greenreveller,Andrea Cox
120020030,langphil,Phil Lang
17466375,hyounpark,Hyoun Park
1125389870,ODILabs,ODI Labs
14335332,dancow,Dan Nguyen      
14095546,heychrisbarr,Chris Barr
952597807,MelissaMesku,Melissa Mesku
34656369,johnhawkinson,John Hawkinson
256635047,BobLannon,Boo Lannon
1461511,bonlth,Bonnie Tijerina
19639850,AntonioAcunaR,Antonio Acua
304572237,owenboswarva,Owen Boswarva
15089443,megansarahj,Megan Johnson
14188895,jakebrewer,Jake Brewer
40631172,ncasenmare,Nicky Case
6073442,phoebe_ayers,Phoebe Ayers
75123,metasj, Samuel Klein 
796278757,RebMelMen,Rebecca Menat
99920355,transitmatters,TransitMatters
104683629,afwong,Angela Wong
80710717,scherryrice,Sarah Cherry Rice
10673092,mindspillage,Kat Walsh
151774839,SuePGardner,Sue Gardner
1451769048,EthanM_Long,Ethan Long
8038532,Mythos_Media,James Curcio
2852267732,CityInnovate,CityInnovate
1686799970,FreeLawProject,Free Law Project
14553055,merici,merici
5664472,carriebish,Carrie Bishop
12029252,FutureGov,FutureGov
7526892,dominiccampbell,Dominic Campbell
47475039,sarahkendzior,Sarah Kendzior
458730846,KatieGPS,Kate Garman
205486955,carla_astudi,Carla Ahhhh!studillo
294434762,seecmb,Martin BOOrch
44390493,Fahrenheit212,Fahrenheit 212
131386856,Andrew_BSE,Andrew Q.
40400589,jmfbrooks,Jeanne Brooks
12223492,emercoleman,emercoleman
18897186,MTBracken,Mike Bracken
1009753502,maltbyps,Paul Maltby
12177772,johnlsheridan,johnlsheridan
245778995,RadicalStats,Radical Statistics
911245362,kellymmackey,Kelly Mackey
21600839,robinrimbaud,Scanner
14466055,GuidoS,Guido Stein
162832823,theDANtheMAN,Dan Moore
27385146,RezaAli,Reza Ali
16357416,derekeder,Derek Eder
19042141,twittlesis,LittleSis.org
12377822,rachelbinx,rachel binx
18289926,Lindsay_Howard,Lindsay Howard
16497324,EvanRoth_,Evan Roth
392952176,econohammer,Dan Hammer
14335052,wheresaddie,Addie Wagenknecht
2997475979,deeplab_,Deep Lab 
16019154,hiDenise,Denise Cheng
8119452,dansinker,dan sinker
3230388598,dataandme,Mara Averick
124222607,robinkraft,Robin Kraft
118012929,jaCattell,James Arthur Cattell
2189865291,PEIDevs,PEIDevs
14093339,mchris4duke,Chris Bourg
5439642,tommyh,Tom Heath
226599594,markbraggins,Mark Braggins
2207847751,BarrFdn,Barr Foundation
309456236,JustinSilverman,Justin Silverman
59307246,herahussain,Hera Hussain
37895085,ayymanduh,Amanda
2652833340,CAMPBoston,CAMP
2652714852,SarahAtCamp,Sarah Francis
52796949,nplusonemag,n+1
570913139,ODRnetwork,Open Data Research
16629639,krues8dr,Bill Hunt
170254080,jacobinmag,Jacobin
21910403,bohyunkim,Bohyun Kim
5878332,timdavies,Tim Davies
148066896,sirosenbaum,S.I. Rosenbaum
216027858,opencorporates,opencorporates
54181373,CountCulture,Chris Taggart
18860590,B_Meson,Internet killjoy
389377180,girlact75,Sarah
507800318,IanJKalin,Ian Kalin
100051425,pietercolpaert,Pieter Colpaert
39713727,DirDigEng,Andrew Stott
15377617,juliaxgulia,Julia Kaganskiy
15906950,eyebeamnyc,Eyebeam
383977235,deepspeedmedia,Jonathan Minard
166226546,arts_numeriques,Media Art Numrique
14145296,susie_c,Susie Cagle
876624356,ProcessingOrg,Processing
14381020,laurmccarthy,lauren mack
34387624,obviousjim,James George
14587429,shiffman,Daniel Shiffman
12087912,memotv,Memo Akten
52789379,zachlieberman,zach lieberman
16709304,creativeapps,CreativeApplications
29777162,Obscura_Digital,Obscura Digital
15387841,barrythrew,Barry Threw
162441059,kcimc,Kyle McDonald
164817996,creativeinquiry,The STUDIO at CMU
2217263706,BSExaminer,Bay State Examiner
31013444,AyannaPressley,Ayanna Pressley
816201,davidleeking,David Lee King
28471046,libraryfuture,Joe Murphy Librarian
2996801,WBUR,WBUR
1024691,TheLiB,Sarah Houghton
14475298,tinysubversions,Darius Kazemi
2576179942,christopherscr,Christopher Scranton
204074804,michael_perry_7,Michael Perry
106682853,mozilla,Mozilla
11584672,jatorre,Javier de la Torre
19893224,andrewxhill,Andrew W Hill
241079136,cartoDB,CartoDB
18922205,govtechnews,Govtech.com
1676151,Erie,Erie
15941144,leahbannon,Leah Bannon
315427641,thisIsDanaBusch,Dana Busch
15744134,danielschuman,Daniel Schuman
166013345,steveannear,Steve Annear
13834402,EllnMllr,Ellen Miller
5771252,JohnWonderlich,John Wonderlich
5232171,konklone,Eric Mill
11274832,theanalogdivide,Toby Greenwalt
