id,name,screen_name
805438718,dalton_danielle,Danielle Dalton
17569400,RileySoward,Riley Soward
3293011635,BCSheaCenter,BC Entrepreneurship
133806972,Ednever,Edward Nevraumont
3713811,bijan,Bijan Sabet
16980060,geowyn,George Wyner
15110195,trimoun,Matt Morgan
44458662,HamptonByHilton,Hampton by Hilton
1180354219,JDziama,Justin Dziama
111092283,WeWork,WeWork
56006821,galvezmi,Miguel Galvez
896221,ScottKirsner,Scott Kirsner
110217937,paulfcostello,Paul Costello
82001597,williamlott,Bill Lott
2451650570,soaringstartup,Soaring Startup Cir.
14398781,jholtzman,Jody Holtzman
3063133703,When_in_Roams,When in Roams Travel
3313834997,RadiciTravel,Radici Travel
1489358034,GromaineFarm,GROMAINE
180656346,StartAtShea,Start @ Shea
2934780430,techarev,Arev Doursounian
284918890,rli519,Robbie Li
2824627806,PMSBites,PMSBites
289489402,AlexaJVilla,Alexa Villalobos 
849101,jmspool,Jared Spool
2255221088,FirmPlay,FirmPlay
14277276,techstars,techstars
82002786,GreenhornBoston,Greenhorn Connect
46240925,MassChallenge,MassChallenge
16877220,BostInno,BostInno
23625211,VentureFizz,VentureFizz
294737763,donaldehall1,Donald E. Hall
3124066516,mlmf_foundation,MLMF
1364930179,WarrenBuffett,Warren Buffett
250808163,ApperianAl,Alan Murray
16200095,iamctodd,C Todd Lombardo
293741505,d8a_driven,Bruce McCarthy
272544737,MisterOddo,Andrew Oddo
325645934,kcline6,Keith Cline
78972353,marrazm,Michael Denisenko
1000591,fredwilson,Fred Wilson
3619421,avc,avc
794111,rickburnes,Rick Burnes
2557037516,WFM_Nashua,Whole Foods Nashua
31126587,Patriots,New England Patriots
302294450,onlyseanfaris,Sean Faris
14313887,willmcguinness,Will McGuinness
371333502,japespark,JP Park
1078304022,GregoryStoller,Gregory Stoller
24192003,sschult,Steve Schult
325652151,gameplan,BW Business Schools
1636583322,TylerVigen,Tyler Vigen
50016919,GetReardon,Matthew Reardon
572745033,webbybecker,Becky Webber
18271436,rajanmerchant,Raj Merchant
2813354234,Whoussain,Zach
2811347796,AngMSchwartz,Angie Schwartz 
2811329220,aseinhorn,Alex Einhorn
2733259934,cmerra1,cathy Merra
2796179228,KHolleranBC,Katie Holleran
1558479776,mtsnyc,Mariana Souza
5441722,willboston,Will Eisner
2802867691,abbasmu2,M. Abbas
2788904485,Ransbotham,Sam Ransbotham
569477822,Nov_Project,November Project
71738552,BCGradTechClub,BC Grad Tech Club
15670786,DouglasOF,DouglasOF
455971331,FollowContinuum,Continuum
150363306,icofyre,Patrick Camacho
316669285,Future_Folk,Future Folk
26347878,JAWalker,Jared A. Walker
33207962,mirandaknightH,Miranda Hassell
33270977,WNDIII,Billy Duffey III
2493059935,Coach_Dembow,Jake Dembow
419162986,bcdennisrose,Dennis Rose
266927095,ColinCrowell,Colin Crowell
75049601,DattoBackupify,DattoBackupify
411031408,catezee,Catherine Gillen
770112175,danieljlavoie,Dan Lavoie
86990110,gansettcrooks,Jim Crooks
2476992144,EricasRun,Erica's Run
115666937,elimather,Eli Mather
1666094558,meghamalhotraa,Megha Malhotra
76923159,neiljbaron,Neil Baron
18086454,rob_w,Rob Winikates
2189347177,wscotthilton,Scott Hilton
14834669,erica_seidel,Erica Seidel
345325276,hmdelcastillo,Hector Del Castillo
142457170,Harmonix,Harmonix
22229764,PCampBoston,ProductCamp Boston
6480682,azizansari,Aziz Ansari
264116719,sechaloner,Stephen Chaloner
60621013,seanbacke,Sean Backe
15126388,bhalligan,Brian Halligan
596514151,DTSalvo,David Salvo
7906922,meghkeaney,Meghan Keaney
14458280,HubSpot,HubSpot
14110752,eliast,Elias Torres
38467078,cabrennan20,Chris Brennan
