id,name,screen_name
561335709,PittPolice,Pitt Police
18911795,arundquist,Andy Rundquist
1358366864,shahlock,Manan Shah
94373538,Trianglemancsd,Christopher
159555855,bucharesttutor,Vijay Krishnan
1484211054,gurvisaur,Noa Gurvis
161396390,a_mcsquared,Audrey McLaren
58043419,deucejunkie,Tennis D. 
2604466104,NoContextAds,Ads without Context
17915334,BigSean,Big Sean
19028953,JColeNC,J. Cole
15810838,divbyzero,Dave Richeson
1536791610,POTUS,President Obama
15581614,abbylee127,abby marodi
105604879,MrOrr_geek,Jon Orr
336826015,kirbysAirRide,
3026719031,pittmathclub,Pitt Math Club
150588511,magicalmaths,Magicalmaths.org 
2999213854,Ikesailor,mellow yellow
942327091,JesseFlorentino,Jesse
380344987,soupycon,Soupy
2934759383,danactivated,Saveage Man.
297098639,lindseykeegz,Lindsey
282729603,mjbressler,matt bressler
175711277,RJSzczerba,Robert J. Szczerba
354664614,Ju1cyK,k
417615653,solvemymaths,solve my maths
549778740,slaughter_won,SLAUGHTER!
164671171,MatCro,Vampire Mat
2203452672,dartopia,John
1206350971,BeardSpice,BeardSpice
132430810,HEPExperPapers,HEP - Experiment
434130489,TheRealSheldonC,Dr. Sheldon Cooper
135603863,LeePNgo,Lee Ngo
71643224,conradhackett,Conrad Hackett
1061092242,maxal6,Max Alekseyev
34358917,derekorr,Derek Orr
1851195692,skrachit,Jeff Curtis
17759744,danchovy,october danchovy
572225652,SciencePorn,SciencePorn
181572333,chancetherapper,Chance The Rapper
117849289,HerCampusPitt,Her Campus Pitt
91180118,cybycmu,Simon Li
1689419970,FacesPics,Faces in Things
464273798,guest_star_alex,ghost star
45483571,TooTallTrees,TOrpen
35339502,Veganmathbeagle,Megan Schmidt
129992461,AstroPHYPapers,Astrophysics Papers
136501409,QuantumPapers,Quantum Physics
132773131,PhysicsPaper,New Physics Papers
131016563,MathPaper,Mathematics Papers
2303751216,FiveThirtyEight,FiveThirtyEight
33852840,mathemaniac,Simon Pampena
14201924,rjallain,Rhett Allain
92614042,standupmaths,Matt Parker
75086184,physicsforums,PhysicsForums.com
2305311,christianp,Christian Perfect
273211191,sarahisconfused,sarah beth
331777780,kayjavier,kay
391723359,ChrisMaslanka,Chris Maslanka
61257421,JustinAion,Justin
17522755,JohnDCook,John D. Cook
