id,name,screen_name
418822635,MGoDenver,Davis McFarlane
3105588872,EveHewson,Eve Hewson
20277132,Schlafly,Schlafly Beer
265424382,4HandsBrewery,4Hands
96642050,urbanchestnut,UrbanChestnutBrewing
353964307,twentytap,twentytap
115517773,IndianaCityBeer,Indiana City Brewing
54031597,PeoplesBrew,People's Brewing Co.
195842039,TomTapRoom,Tomlinson Tap Room
15718150,andreawass,Andrea Wasserman
124392286,theIWSC,IWSC
1144266565,BaconBourbonUSA,O.M. Bacon Bourbon
16119566,brendonbigley,Brendon Bigley
409673943,DaredevilBeer,Daredevil Brewing Co
353763228,grapevinelogic,Grapevine
2582865619,ChefNightly,Chef Nightly
63265401,ShopSouthlands,Southlands
20801295,WineChetah,WineChetah
45651633,RealAntonK,Anton Krasinski
37722345,KYbourbongirl,KY Bourbon Girl
18684889,carlacarlton,The Bourbon Babe
474219907,IllinoisBeer,IL Brewers Guild
15727371,BR_Brewers,Milwaukee Brewers
31423761,VictoryBeer,Victory Brewing Co.
15635413,RogueAles,Rogue Ales & Spirits
16331259,StoneBrewingCo,Stone Brewing Co.
33951018,BluePointBrewer,Blue Point Brewery
16721886,dogfishbeer,Dogfish Head Brewery
36168772,BrewerNation,The Brewer Nation
15150841,js_brewers,JSOnline - Brewers
133733076,Bernie_Brewer,Bernie Brewer
26631185,coloradobrewers,CO Brewers Guild
37437399,Haudricourt,Tom
36412959,AdamMcCalvy,Adam McCalvy
52824038,Brewers,Milwaukee Brewers
19784831,wwd,WWD
22068282,grdovic,christina grdovic
14286413,patrickryne,patrick ryne mcneil
26565946,jtimberlake,Justin Timberlake
256573865,JonahHill,Jonah Hill
858224539,GA_LA,General Assembly LA
292250240,goop,goop
16402507,Thrillist,Thrillist
285282053,GwynethPaltrow,Gwyneth Paltrow
1674315482,LudlowsOfficial,Ludlows Cocktail Co.
46516990,bittermens,Bittermens
178177096,bitterendbitter,The Bitter End
76354778,drinkinghistory,History of Drinking
1215561,Mixology,Mixology
1349881694,MixologyABC,Mixology
15519430,CHOW,Chowhound
30278532,foodandwine,Food & Wine magazine
16145224,epicurious,epicurious
20778387,bittman,Mark Bittman
18129528,nytfoodfeed,NYT Food & Drink
426742765,Martini_drinks,MARTINI
535993651,SimonJFord,Simon Ford
56074358,gazregan,gary regan
304935684,SloanesGin,Sloane's Gin
95679639,CaorunnGin,Caorunn Gin
248738647,WilliamsGin,Williams Gin
219665237,haymansgin,Hayman's Gin
143790621,No3Gin,No.3 Gin
27882506,MartinMillerGin,Martin Miller's Gin
90655590,HendricksGin,Hendrick's Gin
31419582,HendricksginUK,Hendrick's Gin
216044573,theginblog,The Gin Blog
109875645,GinMonkeyUK,GinMonkey
25484683,cocktaillovers,Ms S and Mr G
14116669,anguswinchester,anguswinchester
28756198,philipduff,Philip Duff
15326961,jeffmorgen,Jeffrey Morgenthaler
47010508,JamieBoudreau,Jamie Boudreau
5357172,DrinkBoy,Robert Hess
15592505,cocktailchron,Paul Clarke
43435719,tMOTAC,Cocktail Museum
58873419,ArtOfCocktail,Art Of The Cocktail
14286458,cocktailbuzz,Cocktail Buzz
24297600,NYCocktail,Chris Patino
19737126,Mr_Cocktail,Mr Cocktail
137401758,AviaryCocktails,The Aviary
86125733,CocktailEnthus,Cocktail Enthusiast
111442477,Skinnygirl,Skinnygirl Cocktails
2414530716,GrandMarnierUSA,Grand Marnier
74167684,Weyerbacher,Weyerbacher Brewing
199441405,brbcbrew,Bear Republic 
31205498,BreweryOmmegang,Brewery Ommegang
60983046,BellsBrewery,Bell's Brewery, Inc.
14824922,avbc,Anderson Valley Brew
15412557,MoylansBrewery,Moylan's Brewery
27859449,3floyds,3floyds
68532796,skabrewing,Ska Brewing
15412587,MarinBrewing,Marin Brewing Co. 
35519756,TripleRockBeer,Triple Rock Brewery
24584459,DrakesBeer,Drake's Brewing Co.
18223465,FirestoneWalker,Firestone Walker 
218671517,AlmanacBeer,Almanac Beer Co
46136236,AveryBrewingCo,Avery Brewing Co
388456067,AnchorBrewing,Anchor Brewing
134933240,AleSmithBrewing,AleSmithBrewing
55401333,GreenFlashBeer,Green Flash Brewing 
19822242,lostabbey,The Lost Abbey
17312175,CigarCityBeer,Cigar City Brewing
84208506,lagunitasbruhws,Brewhouse Lagunitas
24780105,TheBruery,The Bruery
20486228,BreckBrew,Breckenridge Brewery
18996426,BoulderBeerCo,Boulder Beer Company
42696269,Yuengling_Beer,Yuengling Brewery
69625014,BrewersAssoc,Brewers Association
17904776,DrinkCraftBeer,Drink Craft Beer
21792969,DosEquis,Dos Equis
21346619,PepsiCo,PepsiCo
68937753,StellaArtois,Stella Artois
1435710336,AnheuserBusch,Anheuser-Busch 
378041590,Heineken_US,Heineken US
29191062,Heineken,Heineken
397281913,coronaextrausa,Corona
742011151,budlight,Bud Light
39816347,UplandBrewCo,Upland Brewing Co.
248235115,FountainSqrBrew,Fountain Square Brew
145340127,TritonBrewing,Triton Brewing Co.
17871395,sabotek, K
464159855,DaGarz52,Ruben M. Garcia
168734142,Flat12Bierwerks,Flat12 Bierwerks
14692289,WineandSpirits,Wine & Spirits Mag
360655460,oldforester,Old Forester
197962366,buffer,Buffer
2308893134,DrinksAndBlogs,drinking&blogging
35738491,WineSpectator,Wine Spectator
7768622,WineEnthusiast,Wine Enthusiast
546921975,OMFbrewing,Our Mutual Friend
2243096611,RyanSlaughter1,RyanSlaughter
1609419764,Miss__Castle,Castle Searcy
19452594,ColoTechAsn,Colorado Tech Assn
32390757,htbev,Half Time
623811946,fiordilatte_co,Fior di Latte
120539972,303_Magazine,303 Magazine
2513330996,BellaVistaSS,Bella Vista Estate
2482852736,LiquidBreadMag,Liquid Bread
238729300,sibonesaw,Simone Johnson
3003862455,CANTINEaustin,Cantine Italian Cafe
315208433,danwilk78,Daniel Wilkenfeld
15668857,jessduarte,jessduarte
3755269874,TonyCastroATX,Tony Castro
468416997,AlexPena94,Alexander Pea
98242930,CERequena,Chris Requena
43271112,redbluejeans,lauren&michelle
323066109,York_ExecutiveS,Liz York
512551444,HGIOgden,Hilton Garden Inn
19749820,nickatx10,nick elliott
3298893697,tyecooksaustin,Tye Cooks Austin
1325516586,LollipopAustin,Lollipop Social
987982706,cdcatx,Central Austin CDC
2993813833,will_j_sherman,Will Sherman
1048931,seobrien,Paul O'Brien
