id,name,screen_name
55525953,Pinboard,Pinboard
522473349,MontereyAq_PR,Monterey Aquarium PR
7094392,CoolJerk,Paul Horn
454477244,TrezMulvey,Therese Mulvey
21872269,laurenepowell,Laurene Powell
1437362154,sarahecascone,Sarah Cascone
500704345,Pontifex,Pope Francis
602327769,danielnavarrooo,Daniel Navarro
545336345,BuzzFeedAnimals,BuzzFeed Animals
139173680,drjohnm,John Mandrola, MD
3840,Jason,jason
2167059661,JennyBryan,Jennifer Bryan
19767193,edyong209,Ed Yong 
73845366,hmkyale,Harlan Krumholz
1349440454,SergioPinski,Sergio Pinski
18130686,e_flux,e-flux
81198123,CuratorsINTL,ICI
31505730,HUObrist,Hans Ulrich Obrist
236390585,Fond_Beyeler,Fondation Beyeler
1855680830,ITweetMuseums,I Tweet Museums
1535495118,hnryjmes,Henry Cooksley
2852470678,bjorn_jons,Bjrn Jnsson
461421839,erik_kwakkel,Erik Kwakkel
2251623492,xkcdComic,XKCD Comic
75503,martinstabe,Martin Stabe
272383136,motioninsocial,Dr Lukasz Piwek
35810531,bill_easterly,William Easterly
3293147067,ljw_larry,Larry White
33423,gruber,John Gruber
2239350253,HaggardHawks,HaggardHawks Words
20772763,CharlesMBlow,Charles M. Blow
2820329001,dataphys,Data Physicalization
226852195,niallokelly,Niall O'Kelly
16629477,dgmacarthur,Daniel MacArthur
105242077,American_Heart,American Heart Assoc
66468564,kevincarey1,Kevin Carey
2461850281,Uber_CONN,Uber Connecticut
17813899,StanfordBiz,Stanford Business
51263711,googleanalytics,Google Analytics
613582776,walkermag,Walker Reader
53184098,ngadc,Natl Gallery of Art
54641489,MountSinaiNYC,Mount Sinai NYC
8724862,MITSloan,MIT Sloan
19826509,openculture,Open Culture
1201186872,DataIsBeautiful,/r/DataIsBeautiful
6730222,hblodget,Henry Blodget
22667853,bobdylan,bobdylan.com
33474655,Cambridge_Uni,Cambridge University
5694822,Princeton,Princeton University
48289662,UniofOxford,Oxford University
54373762,Cal_Engineer,Berkeley Engineering
18036441,Stanford,Stanford University
19425169,StanfordEng,Stanford Engineering
14750983,MontereyAq,Monterey Aquarium
23586077,TheSkepticMag,The Skeptic Magazine
2384071,timoreilly,Tim O'Reilly
25375092,SkeptInquiry,Skeptical Inquirer
999470034,archpics,Architecture
1542533869,thereaIbanksy,banksy
37959591,PalantirTech,Palantir
477545769,MathiasLeroy_,Mathias Leroy
183749519,paulg,Paul Graham
606421429,amyswalk,Amy SchoenfeldWalker
456,davegray,Dave Gray
18463930,drewconway,Drew Conway
14587429,shiffman,Daniel Shiffman
1103558480,discarding_imgs,Discarding Images
15737554,Scripps_Ocean,Scripps Oceanography
10795912,lsmarr,Larry Smarr
788363167,NAChristakis,Nicholas Christakis
16957321,iraflatow,Ira Flatow
62316970,SteveLohr,Steve Lohr
805004869,scrippsresearch,Scripps Research 
143912910,leHotz,Robert Lee Hotz
2705236788,groopman,Jerome E Groopman
2293415520,theNASciences,NatlAcad of Sciences
32423136,Longreads,Longreads
258847118,PNASNews,PNAS
572225652,SciencePorn,SciencePorn
426909329,DrFriedenCDC,Dr. Tom Frieden
91455335,KavliFoundation,The Kavli Foundation
4759341,rtkrum,Randy Krum
218083367,visualoop,Visualoop
8255692,TSSVeloso,Tiago Veloso
492609310,FiftyThree,FiftyThree
13414102,IdeaKitchn,Sean Gerety
1536791610,POTUS,President Obama
37281592,AnnieLowrey,Annie Lowrey
87524542,n_cos,Nelson Cosgrove
461780729,themappist,Martin Gamache
32546966,teoliphant,Travis Oliphant
21457289,MSFTResearch,Microsoft Research
1137408992,DSI_Columbia,Columbia DataScience
1290037110,ThisMedievalLyf,Emily Kirkegaard
19286911,ptak,JF Ptak
