id,name,screen_name
1111940934,davidplouffe,David Plouffe
70144495,adamslily,Lily Adams
274265902,NoLinNica,Noelle London
155565346,DRoblesOlson,Daniel Robles-Olson
2841747221,nicolemerchut,Nicole Merchut
205302299,kerrywashington,kerry washington
3752166915,KeotaSociology,KeotaHopesForHillary
122480242,miltomagnetico,Milton Zuniga
1923862850,lisachangadveja,Lisa Changadveja
84126644,dominiclowell,Dominic Lowell
231510077,JoaquinCastrotx,Joaquin Castro 
19682187,JulianCastro,Julin Castro
341929740,BlancaSprkls,Blanca Gamez
14144868,KevinMcCarthy,Kevin T. McCarthy
1661558030,lucyhighlnd,Lucy Highland
325162736,Elizabeth_Esty,Elizabeth Esty
254274083,MarcAnthony,Marc Anthony
175939051,kristenvmorris,Kristen Morris
29878862,KristaSkyler,Krista Peace
3254901091,tovayampolsky,Tova Yampolsky
1442844120,emmalynchtyler,Emma Tyler
35081434,hiClaudi,Claudia
3458520142,nadhika_r,Nadhika Ramachandran
325560150,TheGreeneLight,Jordan Greene
3300827385,Katieglads,Katie Gladstone
35621632,sclark413,Sara Clark
2701772633,silly_ale,Sylvia Percovich
3635250435,Rochester1738,Mohamed Marzouk
3343155916,sarah_guggs,Sarah Guggenheimer
27131700,brittedwards,Britt Edwards
230838202,Danielle_Melfi,Danielle Melfi
507354071,ErolYayboke,Erol Yayboke
37345348,SJW_sjw,Sydney Jill Watnick
3342213587,josh4hillary,Josh McCafferty
2383307029,JulieRFoster,Julie Rachel Foster
73273614,WValderrama,Wilmer Valderrama
18564248,nunesmaxwell,Maxwell Nunes
38754192,likebutterfield,Danielle Butterfield
1323663067,RiniSampath,Rini Sampath
15412073,danielrki,Daniel Ki
304572875,ChrisGarretty,Chris Garretty
38989873,ChristieSonya,Christie Gidumal
31239408,Beyonce,Beyonc Knowles
430995737,GirlsWhoCode,Girls Who Code
376925177,ShelbyWiltz,Shelby_Wiltz
29884669,haynes92,Ben Haynes
316298587,KimKargs,Kim Kargman
415332071,lnaguilar,Laura Aguilar
3161773730,AllyPriestnh,Ally Priest
3108391171,ashmarx9,Ashley Marcoux
240558399,kat_rogers,Katherine Rogers
21705780,jacobmatthew,Jacob Smith
579932905,richthuma,Rich Thuma
19915898,lizmwester,Elizabeth Wester
59043857,CraigBrowned,Craig Brown
22635509,karithurman,Kari Thurman
78924349,HarrellKirstein,Harrell Kirstein
21705181,laureldavilacpa,Laurel Davila, CPA
3245135844,HumaAbedin,Huma Abedin
35535716,samkelly16,Sam Kelly
15886631,mikekaisersays,Mike Kaiser
149972205,I_Heart_Hay,Ley Lin Chin 
3405913271,CamBNewton,Cam Newton
3165917534,brandoncoxIA,Brandon Tyler Cox
401771836,RossSvenson,Ross Svenson
574239384,LauraONeill36,Laura O'Neill
427654338,eamuel,Liz Mueller
3303293865,Caitlyn_Jenner,Caitlyn Jenner
23613479,KrisJenner,Kris Jenner
169686021,kanyewest,KANYE WEST
25365536,KimKardashian,Kim Kardashian West
103769342,GBC_4_HRC,Gabriella Cascone
2439027667,Jroseglass,Jenny Glass
415823582,samjgpowers,Sam Powers
161527155,kgrohh,Kevin Groh
3062962055,smarino92,Sara Marino
3280722818,Pavitra_Abraham,Pavitra
33992481,CC_Fabulous,Catherine Crooks
2926250790,Lexi_Bergeron,Lexi Bergeron
107290835,719jps,James Sawyer
27279989,TomDangora,Tom D'Angora
201866925,jst_mani,Mani.
32785310,reedthurston,Tyler Thurston
3344711285,rosenbergerlm,Laura Rosenberger
65210574,dgudenas,Debbie Gudenas
38697239,reveninperryman,Enin Perryman
493752861,monnleon,Monica
2178981480,mortazineda,Neda
81480697,ilazer,ilana glazer
44381332,abbijacobson,Abbi Jacobson
3251305226,Kev_B_Morrison,Kevin B Morrison
3121948508,futuresenator30,Kayla Johns
330130333,ashleyburns316,Ashley Burns
37041779,brooksbrasfield,Brooks Brasfield
31080039,lenadunham,Lena Dunham
455927413,johnjamesbutler,James Butler
313464839,isomeredith,Meredith Thatcher
3247117472,mikalkwells,Melanie Wells
82016286,CoreyCiorciari,Corey Adam
286470933,GraemeCrews,Graeme Crews
112818592,victomato,Victor Ng
272710611,amybeihl,Amy Beihl
55117855,amyschumer,Amy Schumer
14125897,JeanneShaheen,Jeanne Shaheen
16470020,katkane,Kat Kane
23220034,elizabethchan,Elizabeth Chan
355865104,NickMarroletti,Nick Marroletti
390530361,hannahbfine,Hannah Fine
387909558,_logal,Laren Gallagher
16392181,KateMagill,Kate Magill
3300072035,ericagreen01,Erica L. Green
19397785,Oprah,Oprah Winfrey
48269483,GloriaSteinem,Gloria Steinem
17159397,WNBA,WNBA
133448051,ussoccer_wnt,U.S. Soccer WNT
16473427,Kimmelmonster,Michael M. Kimmelman
281745953,AmandaforNV,Amanda Clarke
3425926371,UofSCforHillary,Gamecocks 4 Hillary
2618486504,RoneilJackson,Roneil Jackson
24613245,Rob_Flaherty,Rob Flaherty
2332617303,NickMerrill,Nick Merrill
833849810,barb_kinney,Barbara Kinney
48877038,mel_cantrell,Melissa Cantrell
315657427,NickSchumaker,Nick Schumaker
11395432,SallyAlbright,Sally Albright
23636341,AutumnNAlston,AutumnForHillary
17022638,nikroybal,Nik Roybal
1049171,tomwatson,Tom Watson
20618180,skorpyos,Nick!
614730516,MissLynnetteH,Lynnette Hull
17576745,bfgpollara,Ben Pollara
26919151,AmyDugan,Amy Dugan
120567763,Scott_Hogan,Scott Hogan
342490475,merryjoiner,MaryCatherine Joiner
842475074,connorgrill,Connor Grill
16528755,IamMinyon,MinyonM
18018946,tracysefl,Tracy Sefl
210833051,BuffyWicks,Buffy Wicks
352548417,PaulBegala,Paul Begala
1084972932,270Strategies,270
270717589,JW4Hillary,JW4Hillary
3059045779,jimlivesey1989,Jim Livesey
14997156,kimfrederi,Kim Frederick
575470393,TajMagruder,Taj Magruder
18893580,sethbringman,Seth Bringman
158609072,brooksboron,Brooks W. Boron
123276752,Blue_Scrubs,Charmy
720834852,rmuchmor,Rachel Danielle
501224824,Magic_Mych,Mychal Harrison
271026442,vvaldiv,Vanessa Valdivia
26589987,serenawilliams,Serena Williams
15846407,TheEllenShow,Ellen DeGeneres
17011177,CecileRichards,Cecile Richards
63112528,Lavernecox,Laverne Cox
19506790,sherylsandberg,Sheryl Sandberg
286871259,SeanAstin,Sean Astin
17350250,jessetyler,Jesse Tyler Ferguson
120153772,WomenintheWorld,Women in the World
20188834,hgtv,HGTV
221228044,XochitlHinojosa,Xochitl Hinojosa
24479007,Meaghatron,Meg Vazquez
15727697,Jorge_Silva,Jorge_Silva
2219131,julesdwit,Julie Whitaker
344216518,mkotnc,Melissa Kotacka
143192279,HereIsGina,Gina
308260404,AlexBybeeNV,Alex Bybee
780692798,Czech_ItOut,Maria Peterson
280292588,JLE93,Josh Eppinger
130894721,RitaWilson,Rita Wilson
50374439,tomhanks,Tom Hanks
30556239,brynnaquillin,Brynna Quillin
21728303,keithboykin,Keith Boykin
34656830,TylerBlackmon,Tyler Blackmon
174111162,taylornopants,Taylor Moury
80619457,Aubs89,Daniel Aubry
15140227,_ksl,Kate Stayman-London
261980232,lcollinsp,Lauren Peterson
20196258,ElizabethBanks,Elizabeth Banks
113439399,smrtgrls,AmyPoehlerSmartGirls
103018203,girlscouts,Girl Scouts
195829353,brandonspeak,Brandon LaShay
1707321486,madeleine,Madeleine Albright
32439981,AACF,Arkansas Advocates
184993975,dianafakhouri,Diana Fakhouri
116621693,JohnBuysse,John Buysse
192028431,LoganD_Anderson,Logan Anderson
6751172,MattOrtega,Matt Ortega
1093090866,FLOTUS,The First Lady
1536791610,POTUS,President Obama
500436115,jasoncollins98,Jason Collins
59226213,YaleLawSch,Yale Law School
42889581,Wellesley,Wellesley College
18881700,mhalle,mhalle
1249944678,BridgetClaborn,Bridget Claborn
72719624,lauraGwarb,Laura Warbelow
3488471,amandalitman,Amanda Litman
48807945,EmmyA2,Emmy Bengtson
33435693,IanSams,Ian Sams
16642424,adrienneelrod,adrienneelrod
379754341,MichelleWKwan,Michelle Kwan
55749675,DianaBonete,Diana Bonete
2883493008,liberalsavage,Keshav Kumar
201077617,BrextonIsaacs,Brexton Isaacs
63881981,Max_Mylchreest,Max
361460084,A_H_Goldstein,Adam Goldstein
446288197,tobe_desired,Desiree
71569841,JoshSchwerin,Josh Schwerin
78776348,JessLivMo,J. Morales Rocketto
316232173,ErinConnect,Erin Stevens
633969866,ChrisWalloch,Chris Walloch
2816583227,l_a_hanks,Lenora Hanks
3151772047,KaneMillerIA,Kane Miller
249854076,Matt_Bahooski,Matt Beltrami
103969906,MikeOllen,Mike O.
52455088,GeneMartin,Gene Martin
16926933,chelsiemarieo,Chelsie Ouellette
53601471,McClainJulie,Julie McClain
34879697,ektaylor,Eric Taylor
87250241,wangersays,Joel Wanger
96685533,colleenlowry,Colleen Lowry
1361206711,SamHouskeeper,Sam Houskeeper
3193330462,Reggie_Abraham,Reginald Abraham
476315898,politicalmiller,Jack Miller
286314825,FormasForever,Stephanie 
20265395,nyliberty,New York Liberty
22386817,michaelbierut,Michael Bierut
83903186,SalimZymet,Salim (Philip) Zymet
31077933,Burgwinkle,Patrick Burgwinkle
258527102,Michelle_Kleppe,Michelle Kleppe
16223927,gabrielleisback,Gabrielle M.
3169051682,CorrynGrace,Corryn Freeman
90021519,ChloeGMoretz,Chlo Grace Moretz
302083418,J_WashingtonSC,Jalisa Washington
71061209,McCollumMike,Mike McCollum
414403516,HansGoff,Hans Goff
467788375,thejessicamejia,Jessica Mejia
289410032,tonycarrk,Tony Carrk
221298491,timjhogan,Tim Hogan
39845278,MickyWhiteNV,Michelle White
21447363,katyperry,KATY PERRY
17890304,hanseldee,Han Nguyen
712948758,PeterMellinger,Peter Mellinger
252179319,erinturmelle,Erin Turmelle
491035621,kfcummings1,Kate Cummings
17237178,ranneschneider,Rachel Schneider
19248106,MariahCarey,Mariah Carey
414257018,gretacarnes,Greta Carnes
377350150,KMBwaters,Kate Waters
26186655,JesseLehrich,Jesse Lehrich
1077365580,MannyEspitia,Manny E
183753455,damonbethea1,Damon Bethea
2811455407,AdamSmith_USA,Adam Smith
1341027798,christinagupana,Chris Gupana
535932676,LSD_Esq,LaDavia Drane
12886082,mr_taylor,Mike Taylor
119166916,nathanielkoloc,Nathaniel Koloc
2377247539,NeishaBlandin,Neisha Blandin
1631314297,JonGroat,Jon Groat
283221716,ShiahRae,Shiah Shahmohammadi
281138384,iamdeepa,Deepa Subramaniam
15141153,kylerush,Kyle Rush
22103425,rebeccachalif,Rebecca Chalif
62513246,jk_rowling,J.K. Rowling
365822838,missyfranklin,Missy Franklin
14222536,tyleroakley,Tyler Oakley / TODAY
45671898,finneyk,Karen Finney
2314055840,mayaharris_,Maya Harris
532531457,Ann_OLeary,Ann O'Leary
1950471799,lewtml,Tracey Lewis
83668232,JesseFFerguson,Jesse Ferguson
42995067,brianefallon,Brian Fallon
15726077,just_jenna,Jenna Lowenstein
12193642,katiewdowd,Katie Dowd
61863728,mintimm,Mini Timmaraju
21867341,jmpalmieri,Jennifer Palmieri
227139868,lorellapraeli,Lorella Praeli
277719684,MarlonDMarshall,Marlon Marshall
12897402,BrynneCraig,Brynne Craig
124763921,creynoldsnc,Christina Reynolds
1071777608,johnpodesta,John Podesta
23394667,emmyruiz,Emmy Ruiz
283499967,claynmiddleton,Clay Middleton
1161879818,MattPaulIA,Matt Paul
244051583,mvlacich,Mike Vlacich
321748989,nbudzinski,Nikki Budzinski
41980825,twephanie,Stephanie Hannon
47462001,teddygoff,Teddy Goff
3317590708,kristina_schake,Kristina Schake
18382184,AdamParkhomenko,Adam Parkhomenko
236485849,AmandaRenteria,Amanda Renteria
3232054991,TheBriefing2016,The Briefing
314866815,ADobranic,Alexander Dobranic
3056142064,HillaryforIA,Hillary for Iowa
3065900255,HillaryforNH,Hillary for NH
3065966919,HillaryForNY,Hillary for New York
3065753301,HillaryforNV,Hillary for Nevada
3071251042,HillaryforSC,Hillary for SC
369125724,BeyondDiff,Beyond Differences
418991973,WPSProject,Women Public Service
166655653,WJCLibrary,Clinton Library
871991101,2SmallToFail,Too Small to Fail
37680340,ClintonSchool,Clinton School
68999404,ClintonGlobal,CGI
75069067,ClintonFdn,Clinton Foundation
1330457336,billclinton,Bill Clinton
757303975,ChelseaClinton,Chelsea Clinton
