id,name,screen_name
19696970,eatsalem,Eat Salem
58731148,RobDrinkenstein,rob the bartender
260282343,KeizerJohnson,Dan Johnson
234065046,jmzledoux,James LeDoux
165511377,AndyRichter,Andy Richter
18548221,DougBenson,Doug Benson
38611183,thebrianposehn,Brian Posehn
1637064302,taybug908,@taybug908
139162440,pattonoswalt,Patton Oswalt
30364057,SarahKSilverman,Sarah Silverman
6539592,JimGaffigan,Jim Gaffigan
443215941,Sethrogen,Seth Rogen
237870401,realjknoxville,Johnny Knoxville
221516912,ccaoregon,Champion-OR
402307673,choy243,Colette Hoy
3219826393,delaneyq14,Delaney Quist
448545187,_serene72,serene mistkawi
778690542,Shananay321,Syd
125472958,OfficialCharly,charly
635985860,jillianholley,jillian
2280942062,kittyljohnson,Kitty Johnson 
2995375664,NHLsportyst,NHL Sportyst
3296879698,SunStats,Sun Stats
614152038,blhelt,Brian Helterline
19066901,SalemFM,Salem FM
30357450,lotae12,Logan Taelor Holley
1066653554,gregupsguy,greg ledoux
25521487,danieltosh,daniel tosh
2738132270,drcole43,Cole Johnson
413487212,SimonCowell,Simon Cowell
72644483,BigBang_CBS,The Big Bang Theory
16228398,mcuban,Mark Cuban
7144422,lifehacker,Lifehacker
91390383,SofiaVergara,Sofia Vergara
15485441,jimmyfallon,jimmy fallon
50393960,BillGates,Bill Gates
586198217,twittertv,Twitter TV
18713254,simonpegg,Pegg News
130649891,twittermedia,Twitter Media
18479513,MLB,MLB
15846407,TheEllenShow,Ellen DeGeneres
23083404,KingJames,LeBron James
14075928,TheOnion,The Onion
20536157,google,Google
19562228,rustyrockets,Russell Brand
14885549,ForbesTech,Forbes Tech News
6480682,azizansari,Aziz Ansari
807095,nytimes,The New York Times
1652541,Reuters,Reuters Top News
15439395,stephenfry,Stephen Fry
20015311,rickygervais,Ricky Gervais
15693493,funnyordie,Funny Or Die
90420314,ActuallyNPH,Neil Patrick Harris
783214,twitter,Twitter
26257166,SportsCenter,SportsCenter
19923144,NBA,NBA
32765534,BillSimmons,Bill Simmons
50004938,NHL,NHL
5988062,TheEconomist,The Economist
15492359,TEDTalks,TED Talks
1344951,WIRED,WIRED
18665800,LIFE,LIFE
5402612,BBCBreaking,BBC Breaking News
759251,CNN,CNN
