id,name,screen_name
250813694,BosBizCatherine,Catherine Carlock
262589969,Mendix,Mendix
15110195,trimoun,Matt Morgan
20348377,jeffweiner,Jeff Weiner
168225004,updater,Updater
6385432,dickc,dick costolo
713225474,Workable,Workable
1449000090,MarketingCory,Cory Torrella
123338889,BostonCares,Boston Cares
34527436,nmcremins,Nancy Cremins
7017692,DanielleMorrill,Danielle Morrill
1426915460,Ospce,OpportunitySpace
466644064,sandykreis,Sandy Kreis
2963095189,83NorthVC,83NorthVC
1508720454,MavrckCo,MAVRCK
806934734,jreed0614,Josh Reed
995700140,mikejslocombe,Michael Slocombe
102519593,fortpointtc,Fort Point TC
2990403009,Internal_Matter,Internal Matter
42562446,StephenCurry30,Stephen Curry
2429600508,trendinstartups,Trending Startups
572019437,SyncOnSet,Sync OnSet
33014441,kencaillat,ken caillat
45645493,davidbeisel,David Beisel
2804007686,StrataSean,Sean McCarthy
1406374028,shyp,Shyp
276254736,Postmates,Postmates
2209969290,luxevalet,Luxe
192576891,aswissa,Assaf Swissa
5409582,peterwbell,Peter Bell
168775611,BatteryVentures,Battery Ventures
17856596,Wayne,Wayne Chang
2584830625,Cuseum,Cuseum
1709454714,SauceyApp,SAUCEY
3388023491,OakandRowan,Oak + Rowan
400419386,BishopMelissa,Melissa Bishop
70203502,mattsornson,Matt Sornson
40515777,codymclain,Cody McLain
24366116,FionnConcannon,Fionn Concannon
15585245,kfriedson,Katelyn Friedson
2824627806,PMSBites,PMSBites
43715930,JennyGardynski,JennyGardynski
122423170,latejulyorganic,Late July Organic
15936590,cortlandt,Cort Johnson
8163912,bcarcio,Ben Carcio
45172490,geshwiler,James Geshwiler
34269710,CommonAngels,CommonAngelsVentures
14799988,amyquigley,amyquigley
429955839,gethumancom,GetHuman.com
16312316,ms,Matt Shampine
3001496081,BevSpot,BevSpot
558781472,RoryCrawford3,Rory Crawford
14653404,HighlandCapital,Highland Capital
226160155,dannova1,Dan Nova
91501494,MaiaHeymann,Maia Heymann
293770102,Ashaegan,Ash Egan
15613432,galenmoore,Galen Moore
15198181,shrcubed,Shereen
328850979,Samara_Gee,Samara Gordon
19932573,alechartman,Alec Hartman
