id,name,screen_name
2369126468,BRANDdonator,Brandon Edwards
1223412108,GetSquadle,Squadle
14831824,le_isms,Le Zhang
8596022,MarketingProfs,Ann Handley
28413037,ScratchMM,Lora Kratchounova
466618349,SmartLunches,SmartLunches
19916978,suthoff,Brian
224656141,glassrobinson,Justin Robinson
294240854,Thrive_Hive,ThriveHive
14807748,hrazzaghi,Hossein K Razzaghi
28259514,berkie1,Jonathan Berk
974582216,BostonTenantRep,McCall & Almy
56388224,njunankar,Nachi Junankar
2324984483,johngsimon1,John
165900600,sjshyu,Stephanie Shyu
21330800,loftusbc,James Loftus
474333591,cindysxu,Cindy Xu
8819662,robmay,Rob May
71117407,mjskok,Michael J Skok
2787290582,MrPerreira,Michael Perry
56006821,galvezmi,Miguel Galvez
1377348085,JessMeetKen,Jess, Meet Ken
68496094,KenDeckinger,Ken Deckinger
293770102,Ashaegan,Ash Egan
2830308864,GetWellist,Wellist
2842347959,hello_token,hellotoken
16246929,danprimack,Dan Primack
2447351600,AdvisorHUB_T,AdvisorHUB Tech
2429474923,BCCEOClub,BC's Chief Exec Club
15350943,osmanrashid,Osman Rashid
26211488,TimSchu,Tim Schumacher
16980060,geowyn,George Wyner
3293011635,BCSheaCenter,BC Entrepreneurship
479069271,NewEnglandVC,NEVCA
9126042,KatieMartell,Katie Martell #MPB2B
28140646,WSJbusiness,WSJ Business News
15724708,ehorndahl,Eric Horndahl
2411784240,renoviso,Renoviso
85623871,dafrankel,David Frankel
39507511,epaley,Eric Paley
1573855874,bladebos,BLADE Boston
15781536,MITX,MITX
14497940,englishpaulm,Paul English
312793655,KevinMarkFlynn,kevin flynn
588576529,FrancoIudiciani,Franco Iudiciani
276563090,gstuto,Giuseppe Stuto
860579418,jessicageller57,Jessica Geller
17356547,jackhidary,Jack Hidary
2341080978,StartupInstBOS,Startup Institute
523498337,PJCventure,Point Judith Capital
2451650570,soaringstartup,Soaring Startup Cir.
2401934150,SemyonDukach,Semyon Dukach
466959714,yehdiab,Yeh Diab
2214202357,CiMobileApp,College Interactive
16746076,clusterstock,BI Finance
1016475415,letskedaddle,Skedaddle
479584598,openbay,Openbay
240665760,NRellas,Nick Rellas
20394845,apparaokarri,Apparao Karri
2861046381,mycintell,Cintell
38248219,tarekaminz,Tarek Amin
26047672,rinfantino,Rob Infantino
1508720454,MavrckCo,MAVRCK
1283566279,ReferralMob,ReferralMob
3254226058,jasonrastrick,Jason Briggs
365445055,WarrenKZola,Warren K. Zola
1078304022,GregoryStoller,Gregory Stoller
2626798957,serafinvestor,Seraf
519724826,BCWinstonCenter,Winston Center
83912923,BCCarrollMBA,BC Carroll MBA
243768368,Andy_Boynton,Andy Boynton
2772999469,ProfAkinc,Bridget Akinc
370500917,BCSEED,BCVC SEED
37370427,CJ_QUINTANA,Claudio Quintana
3040937949,BCCarrollSchool,BC Carroll School
2322220201,KnipBio,KnipBio
924613568,roughdraftvc,Rough Draft Ventures
27812057,CJ_Reim,CJ Reim
2397839034,haystagg,haystagg inc
419648971,brandomoore,Brandon Moore
6605252,sonciary,Sonciary Honnoll
15192809,nickfrancis,Nick Francis
244192610,YEC,YEC
805438718,dalton_danielle,Danielle Dalton
806934734,jreed0614,Josh Reed
10069172,ttunguz,Tomasz Tunguz
17977032,cgarb,Chase Garbarino
2282814907,tRobSeo,Robert Seo
18240655,CMIContent,Content Marketing
180656346,StartAtShea,Start @ Shea
1923571940,GetSlidejoy,Slidejoy
52271220,mikelapointebc,Mike Lapointe
219029005,contently,Contently
141621463,JulianMJung,Julian Jung
17352832,JanelleNanos,JanelleNanos
94682674,AngelList,AngelList
284918890,rli519,Robbie Li
282408091,owenbjennings,Owen B. Jennings
14277276,techstars,techstars
865427900,basche42,Ben Basche
817209,davidcohen,David Cohen
845953820,pcflanagan,Paul Flanagan
20452523,bjornlarsen,Bjorn Larsen
26777828,jaywhoffmann,jay hoffmann
17240059,brendanciecko,Brendan Ciecko
2584830625,Cuseum,Cuseum
364622338,Jebbit,Jebbit
444268559,lacostejonathan,Jonathan Lacoste
16000521,brendanboyle87,Brendan Boyle
47539748,Bill_Gross,Bill Gross
216364953,privy,Privy
29476715,nstata,Nicole M. Stata
14215426,ktrae,Katie Rae
325645934,kcline6,Keith Cline
91501494,MaiaHeymann,Maia Heymann
45172490,geshwiler,James Geshwiler
15936590,cortlandt,Cort Johnson
88255788,joecaruso2020,Joe Caruso
4371031,waltdoyle,Walt Doyle
1400464639,StartTank,Start Tank
116512373,MISTIatMIT,MISTI
20934976,DanSchiff,Dan Schiffman
72553509,MITSloanAlumni,MIT Sloan Alumni
84336761,hosimmons4,Harvey Simmons IV
9251682,changds,David Chang
110217937,paulfcostello,Paul Costello
185808487,kpcb,Kleiner Perkins
29535820,VuongN,Vuong Nguyen
34269710,CommonAngels,CommonAngelsVentures
14847903,BBJTechDesk,BBJ Tech Desk
14227833,edla,Ed Laczynski
138487480,p11,Project 11
20571663,hodges,Sarah Hodges
291380750,bmason,Bob Mason
2456739108,JerreBM,Jerre Baumeister
87764718,jeanhammond,Jean Hammond
191274509,alexschiff,Alex Schiff
305185609,SWGriffith,Scott Griffith
375656120,jordanfliegel,Jordan Fliegel
486987537,jtangoVC,Jo Tango
498698395,arielsimonsays,Ariel Simon
557911322,gallonofallan,Allan Telio
1268667794,theKeithF,Keith Frankel
1963773241,BosBizSara,Sara Castellanos
371899901,DanMcLaughlin5,Dan McLaughlin
258984052,LOHara6,Lauren O'Hara
