id,name,screen_name
46825221,jimgoetz,jim goetz
1945542410,moritzKBE,Michael
18419094,NSBE,NSBE
480843442,KaporCapital,Kapor Capital
3254857712,devcolororg,/dev/color
15010324,makinde,Makinde Adeagbo
1085,niall,Niall Kennedy
216394353,Bluejeans2012,Johnny Bluejeans
37098500,eeeemartin,Eric Martin
42894692,yonatankelib,Yonatan Kelib
14253109,adambain,adam bain
168970631,ScooterTaylor,Scooter Taylor
1416515108,womenceosrock,SupportWomenStartups
58614849,jackpres,Jack Preston
2812100222,DigiGOODtimes,Digital GoodTimes
552256998,JuliusBryant,Julius Bryant
69642146,ipollock,IAN POLLOCK
558799779,WorkReadyGrad,WorkReadyGrad!
15034738,jbrath,Jeff JB Brathwaite
41748555,CaritaMarr,Carita M 
936959738,kharpersays,Katelyn Harper
897638310,lesleyadeyemi,Yemi Adewunmi
3089338234,MktTechBus,Elania J. Hudson
7097602,ArlanWasHere,Arlan
64662421,lajuanda_marie,Lajuanda Asemota
14291607,pnedyalkov,Petar Nedyalkov
42998260,FeliciaMDavis,Felicia Davis
96204791,candyVmitchell,Candace V. Mitchell
35661176,MatterFact923,Matt Poole
48008960,evanmrose,Evan M. Rose
204977831,RisseScineaux,Sharisse Scineaux
216119475,stjames2014,Ramon Dourado Jr.
3371074018,jdevillasee,Janay D
98816315,GTjumperzo,Alphonso Jordan
18206161,tristanwalker,tristan walker
15034093,optimusprimus,Guy Primus
159315527,jewelmelanie,Jewel Burks
1238511691,AfricaAngels,AfricaAngelsNetwork
29538715,denmark313,denmark west
481647429,CODE2040,CODE2040
28219278,laurawp,Laura Weidman Powers
382917402,vivienneqie,vivienne
2252852442,JPBalencia,Jesse Valencia
1533855847,aicirstea,Andreea Cirstea
7770962,hankwilliams,Hank Williams
1209273421,PlatformOrg,Platform.org
297102985,venikunche,Veni Kunche
270553148,miashack,mia shackelford
2612565050,SparkProgramSF,Spark Bay Area
26130694,SparkProgram,Spark
80763357,NathanParcells,Nathan Parcells
53485368,Looksharp,Looksharp
162811367,jackieali_3,Jacqueline Ali
3728505614,reigningit,reigningit
2916305152,Snowden,Edward Snowden
177013502,soysean,Sean McClain
129392313,miatumutch,Mia Tu Mutch Satya
37370427,CJ_QUINTANA,Claudio Quintana
22938914,stevewoz,Steve Wozniak
338604482,TwitterOpen,TwitterOpen
539605962,outforundergrad,Out For Undergrad
15459505,anirina,anirina
43203797,anjarae,Anjarae Washington
3314107916,erikbourget,Erik Bourget
858358638,SqSupportCa,Square Support
2744030696,janaiahlund,Janaiah Lundblade
155967160,DoRayMo,Tyler Doremus
134537810,jimmie_nelson,Jimmy Nelson
275621811,morganapp,Morgan
157647537,springercuse1,john springer
18207493,JeffWMontague,JeffWMontague
15237734,lifeinafolder,Rajat
5281701,ambivalence,Yu-Shan Fung
8741792,saumil,Saumil Mehta
