id,name,screen_name
234486602,SanFrancisco_CM,CreativeMornings/SF
1051731,dberkowitz,David Berkowitz
14868289,fredsters_s,Fred Stevens-Smith
1237411,davidmarcus,David Marcus
61371461,AkilahObviously,Akilah Hughes
24471041,fahadquraishi,Fahad Quraishi
507204573,SandrineAy,Sandrine Ayral
1022021,theron,Theron McCollough
3223600974,ChristineCarril,Christine Carrillo
463207223,HelenLee321,Helen Lee
20416077,panos_panay,Panos Panay
1629336979,eholmes2003,Elizabeth Holmes
689973,pencoyd,John B. Roberts
2327348336,LeslieEMcDonald,Leslie McDonald
2344063392,wutangela,angela
32584253,ErikaBatista,Erika Batista
784632098,ChrisZieba,Chris Zieba
1387193552,sketchsources,Sketch App Sources
50280181,sketchapp,Sketch
364333437,italia_kash,toochi kash
52171246,nikesharora,Nikesh Arora
67462609,BriLeRose,Bri LeRose
362757763,BenjaminGKey,Benjamin Key
15007149,JohnKerry,John Kerry
50393960,BillGates,Bill Gates
16017475,NateSilver538,Nate Silver
8474512,conniechan,Connie Chan
1007746602,MaryJYap,Mary Yap
981101,bengo,Benjamin Goering
43593,mbostock,Mike Bostock
110465841,marak,marak
740983,loic,Loic Le Meur
343569774,zimmerza,Zach Zimmermann
2918134290,isisAnchalee,Isis Anchalee
14375609,nickgrossman,Nick Grossman
84451252,scott_sage,Scott Sage
14158807,ilyaf,Ilya Fushman
14910629,annimaniac,Ann Miura-Ko
12626542,dorkitude,Kyle Wild
25160944,kashhill,Kash of Alderaan
9571702,pt,Parker Thompson
413359519,SanjivKalevar,Sanjiv Kalevar
26684668,camertron, 
24730013,nsallembien,Nico Sallembien
1022011800,Shon3005,Shaun Chua
18362611,amirpc,Amir Elaguizy
3950621,ryan_mcintyre,Ryan McIntyre
104286459,redpointvc,Redpoint  
4784951,bendalton,Ben Dalton
436109437,SallyDimachki,Sally Dimachki
359150777,heavybit,Heavybit
573795450,natatouille,Natalie Rothfels
3194778955,atlascharts,Atlas
14240056,paulsingh,Paul Singh
14040752,glezos,Dimitris Glezos
91213553,wildkatbarr,Katherine Barr
3980,christine,Christine Herron
12061032,ruima,Rui Ma
14756283,dunkhippo33,dunkhippo33
9078772,poornima,poornima
14620362,christine_tsai,Christine Tsai
5949972,edithyeung,Edith Yeung
4711,sippey,Michael Sippey
2499061,Bandrew,Andy McLoughlin
30098016,hbarra,Hugo Barra
56501671,jessmisener,Jessica Misener
12,jack,Jack
24744414,tonsing,Raymond Tonsing
17051045,writerpollock,Tristan Pollock
792690,hoverbird,Patrick Ewing
