id,name,screen_name
29150370,James_Tierney,James Tierney
604949797,DPAQreport,Danielle Paquette
15221364,danteshepherd,Dante Shepherd
22088714,cullenroche,Cullen Roche
16465385,NobelPrize,The Nobel Prize
2561777876,sdellavi,Stefano DellaVigna
2382117350,Deese44,Brian Deese
3882727697,genebsperling,Gene Sperling
1381109816,StevePearlstein,Steven Pearlstein
86429032,dcrainmakerblog,Ray Maker
180040240,brendohare,Brendan O'Hare
3815443175,lilybatch,Lily Batchelder
123096209,benorlin,Ben Orlin
312189104,googlepolitics,Google Politics
59805816,EasterbrookG,Gregg Easterbrook
505125049,dwschanz,Diane Schanzenbach
505010859,jscottclayton,Judith Scott-Clayton
2793105022,andrewtlevin,Andrew Levin
92409158,deanemurphy,Dean E. Murphy
3438485657,sndurlauf,Steven N. Durlauf
201280692,DavidBrancaccio,David
2340684385,Armin_Falk,Armin_Falk
260377391,gilliantett,Gillian Tett
1067049205,MarthaOlney,Prof. Olney
2582396582,lkatz42,Lawrence Katz
2195026588,PikaGoldin,Claudia Goldin
22717141,kwcollins,Kevin Collins
19068885,TheBudgetGuy,Stan Collender
26951743,smotus,Seth Masket
20800328,irin,Irin Carmon
189251027,keisukehirano,Kei Hirano
15464697,JuddLegum,Judd Legum
78400475,michikokakutani,Michiko Kakutani
2717694091,LegoAcademics,Lego Academics
337262250,LdeRothschild,Lynn de Rothschild
95204831,jfkirkegaard,Jacob F Kirkegaard
14283164,beckybowers,Becky Bowers
890722850,EmilyBobrow,Emily Bobrow
3253208694,MarkRemy,Mark Remy
1868925908,ResearchMark,Research Wahlberg
34719119,WalterIsaacson,Walter Isaacson
28195764,WSJThinkTank,WSJ Think Tank
316389142,iamjohnoliver,John Oliver
1339835893,HillaryClinton,Hillary Clinton
2905440476,amazonecho,Amazon Echo
1536791610,POTUS,President Obama
919547016,MadiganWSJ,Kathleen Madigan
3064976818,InequalityHKS,Inequality&SocPolicy
106204123,JonHaidt,Jonathan Haidt
109303284,maya_sen,Maya Sen
4099171,JessicaValenti,Jessica Valenti
340364507,ChiMarathon,Chicago Marathon
2906820023,EnglandPaula,Paula England
2782779091,tompkinsstange,MeganTompkins-Stange
583157823,DEAGiles,Dave Giles
168881283,cconces,Carola Conces Binder
67483908,NHendersonWSJ,Nell Henderson
633166200,aliciaparlap,Alicia Parlapiano
430427429,CalkinsCraig,Craig Calkins
118886100,janzilinsky,Jan Zilinsky
323327362,DamonSilvers,Damon Silvers
182646613,virginiarutter,Virginia Rutter
1374144540,MFratzscher,Marcel Fratzscher
3041581204,Afinetheorem,Kevin Bryan
51205137,benbernanke,Ben Bernanke
49170981,lanegreene,Robert Lane Greene
1437659089,Prof_Karthik_M,Karthik Muralidharan
17647477,AnaSwanson,Ana Swanson
18816166,kevinroose,Kevin Roose
285203010,MarshallGenzer,Nancy Marshall
20733975,tedmiguel,Edward Miguel
2773043785,econcallum,Callum Williams
472910376,RD_Economist,Richard Davies
363997734,DannyVinik,Danny Vinik
66468564,kevincarey1,Kevin Carey
2330407506,ThomasPHI2,Thomas PHILIPPON
2585889139,pogourinchas,po gourinchas
16194566,michaelroston,Michael Roston
2480249887,DanRosenheck,Dan Rosenheck
2922928743,danpfeiffer,Dan Pfeiffer
1398333990,CarterCPrice,Carter C. Price
25431500,iayres,Ian Ayres
22396478,izakaminska,Izabella Kaminska
211106542,dsquareddigest,Dan Davies
1071777608,johnpodesta,John Podesta
421972870,LucreziaReichli,Lucrezia Reichlin
2304017702,StephenMoore,Stephen Moore
69004966,mattdpearce,Matt Pearce
24112504,AdamBKushner,Adam B. Kushner
514613499,ProfJeffJarvis,halloween name here
92352086,stuartmbutler,Stuart Butler
14230772,matt_levine,Matt Levine
1136445308,LeonBerkelmans,Leon Berkelmans
23666107,AlanKohler,Alan Kohler
23200125,RichardvReeves,Richard V. Reeves
3012686680,538viz,538Viz
2966287858,PMauroPIIE,Paolo Mauro
542756846,neetzan,Neetzan Zimmerman
2443070556,ProfADM,Andrew D. Martin
43525891,TheKouk,Stephen Koukoulas
18251414,urbaninstitute,Urban Institute
2890274963,profjensludwig,Jens Ludwig
531697681,BrianNosek,Brian Nosek
1471542956,ebruenig,Elizabeth Bruenig
125943165,Sam1Fleming,Sam Fleming (FT)
1433652877,BBGVisualData,Bloomberg VisualData
267570919,SwannyQLD,Wayne Swan
2955596087,CoachJim4UM,Coach Harbaugh
46671396,ProSyn,Project Syndicate
81903192,AllisonSchrager,Allison Schrager
1726670335,RobertDPutnam,Robert D. Putnam
610659001,MaxCRoser,Max Roser
170023205,jeffspross,Jeff Spross
16378093,JillFilipovic,Jill Filipovic
18686907,davidfrum,David Frum
13524182,daveweigel,daveweigel
2313773394,NowCastingIdeas,Now-Casting
16641916,nick_bunker,Nick Bunker
2431547652,gabriel_zucman,Gabriel Zucman
2551336675,MarkusEconomist,Markus Brunnermeier
2191120380,nicholas_bagley,Nicholas Bagley
24029979,UMichiganNews,Michigan News
40015623,LadPolitics,Ladbrokes Politics
2201169726,PredictIt_,PredictIt
123035831,MarcieBianco,Marcie Bianco
177507079,driven_by_data,gregor aisch
30695346,annanorthtweets,Anna North
599515941,alisongriswold,Alison Griswold
386056280,MaraWritesStuff,Mara Wilson
2814258183,DeeseOMB,Brian Deese
190729674,umichLSA,U-M College of LSA
12413032,chronicle,Chronicle
2517988075,tanehisicoates,Ta-Nehisi Coates
35373988,toristilwell,Victoria Stilwell
402181679,BuckyIsotope,Pumpkin Spiceotope
1273559780,GuyInYourMFA,Guy In Your MFA
2341248866,ProfHansNoel,Hans Noel
23116875,LorcanRK,Lorcan Roche Kelly
22047578,alflip,Alan Flippen
1610502511,nnunn99,Nathan Nunn
1863960480,ForecastingProg,Forecasting Program
919614626,ThinkTankWatch,Think Tank Watch
5943622,pmarca,Marc Andreessen
809523745,socprogress,Social Progress
19086859,rtraister,Rebecca Traister
621213380,MKeithChen,Keith Chen
257142675,dionnesearcey,Dionne Searcey
2446261508,nytleo,Leo
712767574,Alan_Krueger,Alan B. Krueger
321536046,BEA_News,BEA News
673953,nytlabs,nytlabs
2610240044,TheStoryline,Storyline
2646330620,NYerCartoons,New Yorker Cartoons
1891806212,AcademicsSay,Shit Academics Say
49697450,EconomicPolicy,Economic Policy Inst
24106779,SarahPortlock,Sarah Portlock
80663193,PatcohenNYT,Patricia Cohen
2480079168,SavedYouAClick,Saved You A Click
112897080,wwwojtekk,Wojtek Kopczuk
370113964,sangerkatz,Margot Sanger-Katz
2499255331,MaxBazerman,Max Bazerman
26579339,PIIE_com,Peterson Institute
2330931678,rwRemysWorld,Remy's World
14717197,TPM,Talking Points Memo
1952008692,sjwrenlewis,simon wren-lewis
14190948,jbouie,Jamelle Booo-eeee!
2404966561,tpike2013,Chris House
253152109,emilymbadger,Emily Badger
2421045126,GreensteinCBPP,Bob Greenstein
59603406,NickTimiraos,Nick Timiraos
945284660,Susan_Athey,Susan Athey
1242286285,econstyleguide,Style Guide
2340558698,DataLab538,DataLab
17877122,clairecm,Claire Cain Miller
57779415,andrewflowers,Andrew Flowers
11866582,LOLGOP,LOLGOP
324508782,betsylevyp,Betsy Levy Paluck
1093064581,AtifRMian,Atif Mian
2347049341,voxdotcom,Vox
2303751216,FiveThirtyEight,FiveThirtyEight
33189599,IvanWerning,Ivan Werning
2356714968,HyunSongShin,Hyun Song Shin
242893326,cflav,Christopher Flavelle
2350805298,Cutler_econ,David Cutler
18453278,darlin,Damon Darlin 
14517538,derekwillis,Derek Willis
1427982906,jshkatz,Josh Katz
452521774,_cingraham,Christopher Ingraham
1342956066,dandolfa,David Andolfatto
315315368,MaxEhrenfreund,Max Ehrenfreund
379253351,AndrewCherlin,Andrew Cherlin
763628630,P_R_Fitness,PR Fitness
278106629,hshierholz,Heidi Shierholz
326405840,vavreck,Lynn Vavreck
47526275,JHWeissmann,Jordan Weissmann
483273973,jschwabish,Jon Schwabish
1531265618,USCBO,U.S. CBO
36047098,davidmwessel,David Wessel
1688872578,TaraSinc,Tara Sinclair
2292837481,Michael_S_Barr,Michael Barr
353225544,Wonkblog,Wonkblog
369538173,kearney_melissa,Melissa S. Kearney
70598241,pauloyer,Paul Oyer
930827442,martha_j_bailey,Martha Bailey
22723307,amandacox,Amanda Cox
561350501,Brenda_Cronin,Brenda J. Cronin
862005522,TimothyTTaylor,Timothy Taylor
19671465,KevinQ,Kevin Quealy
17874544,Support,Twitter Support
16228479,SCOTUSblog,SCOTUSblog
252531143,SlaughterAM,Anne-Marie Slaughter
526633940,NelsonSchwartz,Nelson Schwartz
1099960304,homesweethome,The Sweethome
1963312058,JosephEStiglitz,Joseph E. Stiglitz
366309158,wirecutter,The Wirecutter
1702134540,equitablegrowth,Equitable Growth
65122792,CarlBialik,Carl Bialik
1378396698,FrancisDiebold,Francis X Diebold
48001143,PhilFedResearch,Phila Fed Research
583938358,RobertJShiller,Robert J Shiller
478271660,MattWadeSMH,Matt Wade
874916178,BeschlossDC,Michael Beschloss
1861751828,CEAChair,Jason Furman
1979039203,CEABetsey,Betsey Stevenson
2195241,fmanjoo,Farhad Manjoo
1921350434,knowmorewp,Know More
16296332,alanschwarz,Alan Schwarz
194697604,MichaelSLinden,Michael Linden
1080211093,EricAPosner,Eric Posner
305073570,ChrisGiles_,Chris Giles
227058271,caseybmulligan,Casey Mulligan
86129724,costareports,Robert Costa
17243582,blakehounshell,Blake Hounshell
125453969,neeratanden,Neera Tanden
1720740854,Econlolcats,Econlolcats
22152389,leosven,Lars E.O. Svensson
168918026,Johnkehoe23,John Kehoe
16303211,jacobgoldstein,Jacob Goldstein
1480278008,arindube,Arindrajit Dube
21518962,lydiadepillis,Lydia DePillis
37677496,EconTalker,Russell Roberts
858825792,chrisnekarda,Chris Nekarda
701549089,profholden,Richard Holden
1612487388,DavidHuntGirt,David Hunt
632091340,JohnHCochrane,John Cochrane
113505835,JonCliftonJD,Jon Clifton
21164079,CardiffGarcia,Cardiff Garcia
1797991,carney,John Carney
898626247,Mattsiegel1,Matt Siegel
1403901656,EconomicsOne,John B. Taylor
291690583,zannymb,Zanny Minton Beddoes
15917328,colmharmon,Colm Harmon
73251301,nachosarah,Sarah Beattie
96002560,PredictWise,PredictWise
16208505,deanyang,Dean Yang
20742461,TimOBrien,Tim O'Brien
7848802,thegarance,Garance Franke-Ruta
1026776906,BennSteil,Benn Steil
77304134,MatthewPhillips,Matt Phillips
1092378031,GuardianAus,Guardian Australia
144408677,DLin71,Daniel Lin
477484361,Adam_Creighton,Adam Creighton
29757971,j_a_tucker,Joshua Tucker
1000228238,adwooldridge,adrian wooldridge
918070957,pol_antras,Pol Antras
751601978,MartinSGaynor,Martin Gaynor
1397409842,RocioTitiunik,Rocio Titiunik
74987950,ECONdailycharts,The Economist
26138276,aaronecarroll,Aaron E. Carroll
768948493,CFCamerer,Colin Camerer
463765807,Nate_Cohn,Nate Cohn
17797666,kaushikcbasu,Kaushik Basu
953176878,wagesofwins,David Berri
927783252,martinwolf_,Martin Wolf
1305556297,AdamPosen,Adam Posen
52520517,jschmittwdc,John Schmitt
187559314,crobmatthews,Christopher Matthews
13125672,jciv,John Coates
1279376011,RFisman,Ray Fisman
21802625,ylanmui,Ylan Q. Mui
517527227,WhelanKarl,Karl Whelan
130496027,jonfavs,Jon Favreau
83932732,BPC_Bipartisan,Bipartisan Policy
289462808,JoshZumbrun,Josh Zumbrun
14888467,davidgura,David Gura
382232114,EricMorath,Eric Morath
937071079,paulmromer,Paul Romer
60763047,vgmac,Victoria McGrane
47367803,smbeutler,Steve Beutler
125359805,hamiltonproj,The Hamilton Project
1152143594,umichECON,U-M Economics
1119667508,GBurtless,Gary Burtless
1061859804,uri_sohn,Uri Simonsohn
1022874578,DeirdreMcClosk,Deirdre N McCloskey
1087859256,amitabhchandra2,Amitabh Chandra
1007802049,TilmanBorgers,Tilman Borgers
20268270,MinneapolisFed,Minneapolis Fed
1066929006,cwlinsmeier,Charles Linsmeier
16569310,omzidar,Owen Zidar
997040168,ProfEmilyOster,Emily Oster
1007526384,WorthEcon,Worth Economics
961132338,M_C_Klein,Matthew C. Klein
990009265,BrankoMilan,Branko Milanovic
26000689,duncanjwatts,Duncan Watts
991745802,CassSunstein,Cass Sunstein
32353291,EconUS,The Economist
444047971,Nolan_Mc,Nolan McCarty
569267022,JamesYKwak,James Kwak
22266923,alisonforns,Alison Forns
932181733,RickSwedloff,Rick Swedloff
930607580,jeremytobacman,Jeremy Tobacman
31142666,jodiecongirl,Jodi Beggs
44266782,bkavoussi,Bonnie Kavoussi
14869010,katherineabell,Katherine Bell
259288589,MyStephanomics,Stephanie Flanders
872052960,profsufi,Amir Sufi
872396592,MartinRavallion,Martin Ravallion
579299426,stevenstrogatz,Steven Strogatz
33792634,andrewrsorkin,Andrew Ross Sorkin
259395895,JohnJHarwood,John Harwood
460470940,Sulliview,Margaret Sullivan
817643168,RSkidelsky,Robert Skidelsky
21634627,CitizenCohn,Jonathan Cohn
735122173,strobetalbott,Strobe Talbott
543733563,esoltas,Evan Soltas
727088844,MichaelRStrain,Michael R. Strain
24771739,asamwick,Andrew Samwick
16068266,TPCarney,Timothy P Carney
88836132,UMich,UniversityofMichigan
633238141,mjmauboussin,Michael Mauboussin
15950086,dylanmatt,Dylan Matthews
15485461,abnormalreturns,Tadas Viskanta
17004618,NickKristof,Nicholas Kristof
19355561,svaneksmith,Stacey Vanek Smith
22522178,ReformedBroker,Downtown Josh Brown
627740109,GagnonMacro,Joseph Gagnon
612896910,BLS_gov,BLS-Labor Statistics
29607664,adamliptak,Adam Liptak
522282462,JeffreyToobin,Jeffrey Toobin
525785424,DanTGilbert,Daniel Gilbert
70725642,deborah_solomon,Deborah Solomon
30886468,fordschool,Ford School
17044233,JoshuaGreen,Joshua Green
284278132,TMFHousel,Morgan Housel
79919001,mileskimball,Miles Kimball
398337022,ideas42,ideas42
259498996,BenDWalsh,Ben Walsh
70778344,conorsen,Conor Sen
24789175,JamesFallows,James Fallows
14135350,biannagolodryga,Bianna Golodryga
17525611,jeffsommer,jeff sommer
333314731,SBronars,Stephen Bronars
142146697,StephanieCoontz,Stephanie Coontz
182863183,dollarsandsex,Marina Adshade
578473361,WarwickMcKibbin,Warwick McKibbin
18856867,zerohedge,zerohedge
7381772,Goldfarb,Zachary Goldfarb
78405985,DarrenGersh,Darren Gersh
553822663,RunnersHumor,Runner's Humor
368751986,TimDuy,Tim Duy
167518667,ObsoleteDogma,Matt O'Brien
62340455,johnvanreenen,John Van Reenen
314374117,healthecon_dan,Daniel Polsky
375980607,NeilShahWSJ,Neil Shah
546135718,DouthatNYT,Ross Douthat
66381461,nycmarathon,TCS NYC Marathon
274570888,ESAUnderSec,Commerce ESA
26538229,federalreserve,Federal Reserve
52160722,nathanielpopper,Nathaniel Popper
82763111,Harvard_Sports,HSAC
38896254,jeffreyamiron,Jeffrey A. Miron
227682918,BV,Bloomberg View
403478871,WhyNationsFail,Why Nations Fail
47259873,anatadmati,Anat Admati
13784492,nprbusiness,NPR Business
14287094,Harpers,Harper's Magazine
28491129,MattCowgill,Matt Cowgill
15639774,adamdavidson,Adam Davidson
441258982,fosslien,Liz Fosslien
237871265,davidjshipley,David Shipley
474037986,TedGayer,Ted Gayer
138799178,porszag,Peter Orszag
480400682,USydneyEcon,Uni Sydney Economics
359602169,MilesCorak,Miles Corak
322866759,ALeighMP,Andrew Leigh
477088244,clive_crook,Clive Crook
384445331,steveliesman,Steve Liesman
120176950,USTreasury,Treasury Department
86640232,nytgraphics,NYT Graphics
20094105,delrayser,delrayser
45607170,jenstatsky,Jen Statsky
325626577,Tim_Groseclose,Tim Groseclose
390951353,ErikAngner,Erik Angner
137512415,micahcohen,Micah Cohen
330251596,IanShepherdson,Ian Shepherdson
217284148,Austan_Goolsbee,Austan Goolsbee
17676510,OlafStorbeck,Olaf  Storbeck
12594872,CGDev,CGD
16319594,bencasselman,Ben Casselman
43393110,felixbot,Felix's Robot
