id,name,screen_name
129075117,mcprs,Matt Capers
15682352,kittenwithawhip,Kat Kinsman
33333620,Kantrowitz,Alex Kantrowitz
253744828,cariromm,Cari Romm
7745472,JoannaStern,Joanna Stern
17198424,stevekovach,Steve Kovach
2314441351,HoodlineSF,Hoodline
234096669,EdieRoseCamp,Edie Campbell
30783608,jshieber,Jonathan Shieber
183912855,StarWipe,StarWipe
106637099,sashagila,Sasha Weiss
53530962,jigolden,Jenna Golden
109589477,jillianiles,Jillian D'Onfro
14216902,ElisaSchreiber,Elisa Schreiber
627740468,DKleinWriter,Danny Klein
278717595,FSRmag,FSR magazine
18988198,timkirchmgmt,Tim Kirch
18453278,darlin,Damon Darlin 
26244297,SStossel,Scott Stossel
15162304,Grant_Marek,Grant Marek
3332821563,mashablegif,Mashable GIF
47998818,CFair1,Caroline Fairchild
19312115,panzer,Matthew Panzarino
65290570,JaneNho,Jane Nho
25170188,bonappetit,Bon Appetit Magazine
14752818,alexeheath,Alex Heath
70646616,MariellaDans,Mariella Danspeck
17028234,monica_buccini,Monica Buccini
1769191,mims,Christopher Mims
14999454,samshank,Sam Shank
42562446,StephenCurry30,Stephen Curry
15823784,ryanlawler,Ryan Lawler
238319766,chrisrock,Chris Rock
18742167,AmandaGold,Amanda Gold 
220913815,kevinburkeSF,Kevin Burke
263463037,jordanhmckee,Jordan H. McKee
20153725,annfriedman,ann friedman
2758345674,SecretFlying,Secret Flying
3045018809,MileValueAlerts,Scott Grimmer
3922,ceedub,Cameron Walters
1721677802,billmaris,Bill Maris
15756974,mhelft,mhelft
16311452,willfanguy,Will Fanguy
14990246,avlok,avlok
14814054,amanik,Aman Manik
9724282,bluto,George
18777886,colindabkowski,colindabkowski
2281506907,GeoffWeCan,Geoff Bachrodt
3011961944,vijay88119444,Vijay Raghavan
17442457,CleClinicMD,Cleveland Clinic MD
24914121,MaxRhodesOK,Max Rhodes
126822808,SierraTishgart,Sierra Tishgart
46442771,thisisjendoll,Jen Doll
10221,drew,drew olanoff
2978205952,BuzzFeedSF,BuzzFeed SF
337503563,hughmerwin,Hugh Merwin
14776583,kasselman,Lane Kasselman
2984523144,TryCaviarPhilly,Caviar Philadelphia
2984536357,TryCaviarNYC,Caviar NYC
21518612,gilbertjasono,Jason O. Gilbert
6838822,mdritti,Mary Ritti
195845918,ae_berger,Andrew Berger
242425709,RuthReader,Ruth Reader
4283311,jenchung,Jen Chung
281068758,MTLWilliams,Mike Williams
305709307,EaterBoston,Eater Boston
14575152,blumie,Rachel L. Blumenthal
17027590,benpopper,Ben Popper
397041712,CarolineHydeTV,Caroline Hyde
14636374,superwuster,Tim Wu
23365014,rubinafillion,Rubina Madan Fillion
19785281,LaurenYoung,Lauren Young
14924128,wisebread,Wise Bread
14467969,FARNOOSH,Farnoosh Torabi
20177423,ELLEmagazine,ELLE Magazine (US)
14539907,brockm,Mike Brock
49827643,mescortes,Marcelo Cortes
4516,loremipsum,Andrew Lin
23502733,SFC_FoodHome,SFC Food & Home
17233427,ErikisNice,Erik Ratensperger
90992943,selenalarson,Selena Larson
135384038,gingerkbaker,Ginger
7392512,marioarmstrong,Mario Armstrong
525613826,Alinea,Alinea Restaurant
468870406,DeneeCarrington,Denee Carrington
6480682,azizansari,Aziz Ansari
18073229,Grassadonia,Brian Grassadonia
19418583,gokulr,Gokul Rajaram
5129151,ToddWasserman,Todd Wasserman
28043183,jwang815,Jason Wang
539705648,TryCaviar,Caviar
1122192223,_FloridaMan,Florida Man
551532074,schramm37,Sarah Bonta
20793727,JohnnyBrackett,Johnny Brackett
22768264,issielapowsky,issie lapowsky
59583816,dory_carrharris,dory carr-harris
1583,nathan,Nathan Spindel
15823646,sarahfrier,Sarah Frier
44196397,elonmusk,Elon Musk
332993870,jameshamblin,James Hamblin
1132010306,expa,Expa
313091751,fakedansavage,Dan Savage
316389142,iamjohnoliver,John Oliver
14607349,abbyr,Abby Reyes
15081456,oflion,Al DeLeon
194259804,WeeklyCocktail,Weekly Cocktail
20776190,olgakhazan,Olga Khazan
22110336,maureenoco,Maureen O'Connor
492388476,InStyleDana,Dana Avidan Cohn
343797833,Mr_Trout,Christopher Trout
22589449,readDanwrite,Daniel Roberts
2244290719,thescienceofus,Science of Us
134898779,moday77,Matt O'Day
179599033,andrewmcmahon,Andrew McMahon
11113,mat,mat honan
15415699,jamesmakeseyes,James Butts
130914103,hamburger,Ellis Hamburger
55127916,alyssahhenry,Alyssa Henry
1445650784,SquareCash,Cash
22385981,isabelcgonzalez,isabel gonzalez
18816166,kevinroose,Kevin Roose
31178767,williamalden,Will Alden
280083576,mcgrathmag,Maggie McGrath
11207682,chendangak,Chenda Ngak
18452614,JeanChatzky,Jean Chatzky
37718165,ronlieber,Ron Lieber
2336879077,Mrs_Hapiland,Sandy Haviland
41904247,adamhootnick,Adam Hootnick
192682116,GiannaToboni,Gianna Toboni
7286402,newmike,Mike Ghaffary
10042412,wennmachers,Margit Wennmachers
72754105,TraceBurnett,James Burnett
6504602,siberianfruit,Deena Varshavskaya
764464,Emily,Emily Price
2244340904,Recode,Re/code
19986657,masoncohn,Mason Cohn
219572672,kolovson,jeffrey kolovson
180492757,BrokeForFree,Broke For Free
57172253,reshmasaujani,Reshma Saujani
1656134604,AltaCAsf,Alta CA
27575047,borovsky,Andrew Borovsky
21584893,cottondelo,Cotton Delo
14616957,DelRey,Jason Del Rey
335567840,JoyceMRosenberg,Joyce M. Rosenberg
252330781,Michelephant,Michelle Morrison
39000115,KatyTurNBC,Katy Tur
17033727,VranicaWSJ,VranicaWSJ
9207632,brainpicker,Maria Popova
20476263,MattJCutshall,Matt Cutshall
353954626,youngspacious,KC James
760639303,EmbryEthan,Ethan Embry
21158509,SunnyMabrey,Sunny Mabrey
14566603,jessewilson,jessewilson
22304988,candicechoi,Candice Choi
8315692,GlennF,Glenn Fleishman
18083797,katierosman,katie rosman
6484412,richdemuro,Rich DeMuro
34536984,bradwharton,brad wharton
22111223,zamosta,Aaron Zamost
1413275293,OneWordSFWthr,OneWordSFWeather
359425864,KurtWagner8,Kurt Wagner
15603374,origiful,Ian Padgham
15380016,Sharman,Sharman Ordoyne
1460100649,knocktounlock,Knock
43593,mbostock,Mike Bostock
120957542,LOVEMEWASHERE,Curtis Kulig
9545032,abridge,Andrew Bridge
2195241,fmanjoo,Farhad Manjoo
15125592,AlisaMS,AlisaMS
618259999,SquareCanada,Square
13146722,mattlynley,Matthew Lynley
611165328,SemontiStephens,Semonti Stephens
1622240647,HowsSocial,George
1604182434,BuriedTreasures,Buried Treasures
10032112,sorayadarabi,Soraya Darabi
2857721,brianp,brian pokorny
15588657,DeepakChopra,Deepak Chopra
17266725,TonyRobbins,Tony Robbins
141341662,ChipotleTweets,Chipotle
45564482,NYMag,New York Magazine
14677919,NewYorker,The New Yorker
54905208,pleasantpops,Pleasant Pops
67716195,baer_naked,Aly Baer 
944527980,citynotes,City Notes
1467448832,MatthewsLouis,Louis Matthews
914061,levie,Aaron Levie
1236101,BenedictEvans,Benedict Evans
460470940,Sulliview,Margaret Sullivan
127608701,Cranahan,Conor Ranahan
83479723,grantkmartin,Grant Martin
14085740,jimprosser,Jim Prosser
246098411,ecclesine,Patrick Ecclesine
73553243,harukimurakami_,Haruki Murakami
14096280,april_conyers,April Conyers
28193260,Bedroomclassics,Josh Rouse
116895805,annafoleylarson,Anna Larson
16929600,NYTmag,NYT Magazine
540270829,dtmax,D.T. Max
63793,udan,Dan
58,Darkside,DarkSide
365014881,bbalkt99,Katie Bowring
1562231,julia626,julia c smith
1311550134,1920solar,1920Solar
60,andrew,Andrew Dorsey
17971735,leejayabucayan,LEEJ McGEEJ
47191293,RMac18,Ryan Mac
175174859,laurabrown99,Laura Brown
154715500,Catarinarooh,Cat Forbes
416562215,papasoey,soey
15533496,tcascino,Taylor Cascino
16288392,gallaugher,John Gallaugher
20692494,dplenge,Daniel Plenge
14529929,jaketapper,Jake Tapper
24236494,ClevelandClinic,Cleveland Clinic
24008967,thesulk,Alec Sulkin
824022,mialoira,Mia Blume
129793,strathmeyer,Eric
39619178,timothyikennedy,Tim Kennedy
96380326,SeanSpelledGood,Sean Conroy
339943813,HeyMissionCTRL,MISSION CTRL
14253109,adambain,adam bain
14452821,kmforck,Katrina Forck
1034481290,piumatime,Christian Piuma
388951125,JesseDorogusker,Jesse Dorogusker
21444041,gkrebs,George Krebs
123977425,JuiceShopSF,Juice Shop
13258512,dhof,Dom Hofmann
21687414,kevinjdelaney,Kevin Delaney
14054448,lindsaycampbell,lindsaycampbell
293633237,thefriley,Sarah Friar
51768731,bluebottleroast,Blue Bottle Coffee
63141999,saraheneedleman,Sarah E. Needleman
1832181,Chris_Ciaccia,Chris Ciaccia
506567437,PasstheTanja,Tanja Balde
33981467,FarylUry,Faryl Ury
63789003,LizzieWurtzel,Elizabeth Wurtzel
23544596,mindykaling,Mindy Kaling
2404341,z,Zach Brock
23582158,tarynadler,Taryn
18645767,derekebradley,Derek Bradley
289672881,NathanHills,Nathan Hills
1000262514,SeinfeldToday,Modern Seinfeld
15039042,JackPMoore,Jack Moore
24725462,kcnsimon,K.C. Simon
140464949,christinachaey,Christina Chaey
7649352,BryanPower,Bryan Power
21787532,DonnaBurton,Donna Burton
208155240,MariaBartiromo,Maria Bartiromo
20741558,erinroselarsen,Erin Larsen
45516657,walterkirn,walter kirn
16371933,emilyarden,Emily Ritter
28181012,oryankim,Ryan Kim
30973,Starbucks,Starbucks Coffee
6092472,spiralstairs,Louis Harboe
17521783,dansimoncnn,Dan Simon
98507815,Rikki_Glover,Rikki Glover
55338739,NYCMayorsOffice,NYC Mayor's Office
5442642,coreydu,Corey duBrowa
218406806,fern,Adam Fern
42212356,moiraforbes,Moira Forbes
14114287,khobibrooklyn,K Brooklyn
19024819,JackWeingart,Jack Weingart
8965112,savitz,Eric Savitz
58528137,adamlevine,Adam Levine
10910652,matthewguiste,Matthew Guiste
13215422,VidaK,Vida Killian
37748032,LindaJMills,Linda Mills
14289937,bradnelson,Brad Nelson
255194572,StevenJDupre,steven dupr
14458130,adambrotman,adam brotman
283589366,mastedium,Jerry Knight
69331471,joypak,Joy Shieh Pak
194694215,MITDelian,Delian Asparouhov
172984898,heidizaks,Heidi Zak
160742008,smlmllr,Samuel Mueller
17008163,TammyCamp,Tammy Camp
15402442,_js,Justin Severson
613585513,_kfost,katherine foster
85926191,dustinschuetter,Dustin Schuetter
398830707,Boom_Tis_I,ry guy
14601165,MarcusWohlsen,Marcus Wohlsen
362930820,JayBanfield,Jay Banfield
14192329,kvox,Karen Wickre
61893306,Rickoglesby,Rick Oglesby
98426927,saveFaris,ron faris
18083070,nateog,NathanOlivarez-Giles
82983102,beefjurgy,Jason Jurgens
18778696,ssaffer,ssaffer
18327902,alexia,Alexia Tsotsis
7535572,KristinaWeise,Kristina Milian
158907678,gibbongal,goblin gal 
58978275,stevensonseth,Seth Stevenson
69426451,CaseyNewton,Casey Newton
1879831,NYTStyles,NYT Styles
58882584,mwwhite,Michael White
627932255,PepperPharr,Pepper Pharr
271991839,PrimeTimePuma,Jon lunardini
267768064,LKulikowski,Laurie Kulikowski
473335440,MaeghanO,Maeghan Ouimet
19040598,MikeIsaac,_
17854419,kraneland,David Krane
59,Tim535353,Tim Dorsey
16259374,jodiolson,jodiolson
26208862,virgingalactic,Virgin Galactic
16175318,croppaganda,Ian Cropp
22981025,mattyven,Matt Venables
524091395,BarryTOBrien,Barry O'Brien
104260787,kaitlyn,Kaitlyn Noble
278401829,AliGPincus,Alison G Pincus
17069227,SFBTTech,AnnieSFBiz
76,marciadorsey,Marcia Dorsey
179088925,littlefriday,Little Friday
14745833,brelambert,brelambert
128784278,ohsq,ohsq
76883,rahmin,rahmin sarabi
535760293,iAMjasonfelts,Jason Felts
398285585,RogerNix2012,Roger Nix
175745718,matticuscruz,Matticus
151191872,Shayndi,Shayndi Raice
14485933,ricardor,ricardo reyes
383298588,TiMcGoldrick,Tim McGoldrick
25192279,LAM_chopp,louis lewis
525936264,ShitZamostSays,Zamosta Mazing
56133480,ryangembala,Ryan Gembala
311784660,WolffLogsdon,Lindsay W Logsdon
11863812,alunardini,abby lunardini
1190051,roelofbotha,Roelof Botha
15244977,indirock,Indira Vaidy
22872643,kellyoxford,kelly oxford
14715999,everydaydude,Aaron Durand
129727090,SMKlahr,Suzanne M. Klahr
24258417,ShawnaOhm,Shawna Ohm
500042487,SteveCarell,Steve Carell
56783349,johnnysantiago1,Johnny Santiago
57556349,JosNolita,Jo's
27817411,Bakari,Bakari Brock
179980928,davidwolman,David Wolman
9075622,thekenyeung,Ken Yeung
38708342,RobChiz,Rob Chiswa
113754997,catferdon,cat ferdon
193929442,mollymcnearney,Molly McNearney
666073,trammell,Trammell
477944273,MauraWins,@MauraWins
17012568,colinbillings,colinbillings
263292498,AlbertBrooks,Albert Brooks
14471733,dantecesa,Dante Cesa
236495965,kellerkari,Kari Keller
14562489,skwulf,Sarah Wulfeck
21215371,DamienFahey,Damien Fahey
4071001,rachelmetz,Rachel Metz
35701040,mlevram,Michal Lev-Ram 
94143715,KatieS,Katie Jacobs Stanton
331803536,CityLab,CityLab
992191,andreehuk,Andree
53502863,juwalter,Jrgen Walter
14680556,kyleve,Kyle Van Essen
412603628,POWERKATIEB,Katie Bizzle4Shizzle
125891671,Colleran,Mitch Colleran
176605257,mskerryd,Kerry Davis
19907538,Kiteaton,Kit Eaton
365113805,RobEspinosa,Rob Espinosa
295434479,bustos_a_move,laura b.
27062023,JohnKobs,John Kobs
58574949,Williams,Michael Williams
15682022,Aimal,Aimal
425486467,adamnthemachine,Adam Friedman
19471181,GaryAwesome,Gary Peeples
750213,chiangku,Mike Stratton
15922433,scottharrison,Scott Harrison
2621591,paullyoung,Paull Young
17461978,SHAQ,SHAQ
237887173,G_BayBay9,Spicoli
258581972,robertcdrake,Robert Drake
41783,mantia,Hallouieen
34322404,Richard_On,Richard On
23012957,marcroberge,Marc Roberge
37788262,MikelParis,MikelParis
10822612,shanesteele,Shane Steele
13234672,machado,Andrew Machado
14111362,andysantamaria,Andy Santamaria
19478716,lexnfx,alexei oreskovic
14358365,lucchesi,Paolo Lucchesi
318125560,SquareEng,Square Engineering
223859851,sambranson,sambranson
13735382,l1rs,Lars Kamp
288332784,ChrisBolman,Chris Bolman
1159251,shervin,Shervin Pishevar
109728838,senorsisig,Senor Sisig
37605443,smithmegan,Megan Smith
5817372,robinchan,Robin Chan
8479062,fromedome,Dan Frommer
19623915,matoba,Marc Matoba
16444606,KatieBoehret,Katie Boehret
214348236,scottrjames,Scott R. James
24735866,Madedigital,Leigh Hibell
18489946,samwen,Sam Wen
19047201,jonkauffman,Jonathan Kauffman
21033217,paulaaron,Paul Aaron
18857944,mserinelizabeth,erin elizabeth
50393960,BillGates,Bill Gates
