id,name,screen_name
70641005,farhanknight,Farhan Shaikh
13313982,gracelee,Grace Chu Lee
32922642,ErinSchrode,Erin Schrode
33938700,Jamie_Weinstein,Jamie Weinstein
206938213,arampell,Alex Rampell
15246449,sarahbuhr,Sarah Scary Spice
20620450,LisaLamagna,Lisa LaMagna
35107433,DaveJarrick,Dave Jarrick
20959149,jodiefox,Jodie Fox
52557443,meganspecia,Megan Specia
8732322,standupkid,Mark Joyella
41655668,AustinHunt,Austin Hunt
101307690,itsNeha_,Neha.
28386584,meganrosedickey,Megan Rose Dickey
2413747748,Thenamesjocelyn,Jocelyn
3399822627,sarageorgini,Sara Georgini
1308509774,Riddhi_Jha,Riddhi Jha
203226736,SharylAttkisson,Sharyl Attkisson
28902856,toddzwillich,Todd Zwillich
18697888,rubycramer,Ruby Cramer
113061485,speechboy71,Michael Cohen
62592595,arsonistkitten,Diana Cannon
515463341,burcubbozkurt,Burcu Bozkurt
3172410434,Aleksander_Lee,Alex Lee
7717812,aaronhoff,aaronhoff
167024520,rachaelmbade,Rachael Bade
19344474,myfriendpaige,Paige Elkington
15837659,jbendery,Jennifer Bendery
36890646,danmericaCNN,Dan Merica
80617430,RyanLizza,Ryan Lizza
393469195,redsteeze,Stephen Miller
16193222,guypbenson,Guy Benson
87498687,sppeoples,Steve Peoples
33919343,AshleyRParker,Ashley Parker
531648876,AnnahBackstrom,Annah Backstrom
12354832,kasie,Kasie Hunt
18667799,Philippa_Perry,Philippa_Perry
740752561,Kara_Terpstra,Kara Terpstra
460163041,FedericaMog,Federica Mogherini
19548810,MrsFishkin,arin fishkin
103087786,deirdrewalshcnn,Deirdre Walsh
199533857,BethanieGlaser,Bethanie Glaser
2806170504,allisonwachtel,Allison Wachtel
185394357,simsdc,Amanda Sims Nichols
3848288293,ssgslack,ssgslack
54491749,bobkevin,BK.
71081885,michellekae_,Michelle Kae
847848968,pledgeling,Pledgeling
43409523,jonallendc,Jonathan Allen
13804112,gregorykorte,Gregory Korte
3258986742,MinisterShobi,Chief Mini$ter $hobi
14075003,anniewhite,Annie 
17976926,KarenAbbott,Karen Abbott 
227089161,farahstar23,Farah Fredericks
120030004,moezbhar,Moz BHAR
18706257,DougHenwood,Doug Henwood
3373621229,cheyne_anders,Cheyne Anderson
112017297,annamerlan,Anna Merlan
54424513,HilaryKilgour,Hilary Kilgour
59173677,hilarycakes,Bacon Wrapped Hilary
25966763,seejy,See Jie Yi
1543865299,womb_service,Womb Service
15338939,helenyung,helen yung
29148895,PaulHaysom,Paul Haysom
231427692,OMum22,Deanne Shoyer
18501326,steimer,kristine steimer
211362762,ciruelas_rojas,YourFavAccountant
37104983,dansaltzstein,Dan Saltzstein
22500188,JessGrose,Jessica Grose
20727684,tarantallegra,Matt Jacobs
279484708,Battameez,Rameez
350379358,DeenaAnreise,Deena Anreise
514613499,ProfJeffJarvis,halloween name here
22044444,paleochef,Mary Shenouda
30525961,edmcallister,Ed McAllister
3227162748,18NewsHayden,Hayden Ristevski
282265303,jonthnw,Jonathan Wallace
709986283,samgrayson3,Sam Grayson
24130824,Kia_Mak,Kia Makarechi
16250929,politicalwire,Taegan Goddard
2020351,palafo,Patrick LaForge, NYT
970871,gerstenzang,Sam Gerstenzang
16955091,harriseve,harriseve
246471208,nasseratta5,Nasser Atta
20807505,davidcadrian,David Adrian
3303028623,3sunzzz,Yep,they're both me.
2321669628,sadqueer4life,Joshua Jen Espinoza
426052179,DaveFennoy,Dave Fennoy
298942872,bombsfall,Bram Stoker's Scott
789719732,singareddynm,Nikita Singareddy
21212087,Olivianuzzi,Olivia Nuzzi
14530768,jmfinn,John Mast-Finn
30741024,fmb08,Francesca Banakar
2411320975,CaringCosmetics,CaringCosmetics33
715465723,victoriacirone,victoria
2436855234,perfectbnm,ash misses beth / 13
243260426,DaliaNewYork,Om El Banat
1036858632,dollylama__, daash doll 
527953839,vivz514,Vivian
859012794,SavannahCrowder,savannah
249850165,JaimeMaser,Jaime Maser
37643845,hayleycampbell,Hayley Campbell
13194,janinegibson,Janine Gibson
16288901,brokenbottleboy,BrokenBOOtleboy
18014005,Elizrael,Elizabeth Tsurkov
288475512,reptyle05,lizzie serber
100842674,InklessPW,Paul Wells
3285522786,DannyGordon1,Danny Gordon
237518160,markosavic,Marko Savic
14535407,emilysteers,emily
53294497,grahama_is,Graham Anderson
92314066,DCchic1,Ashley Arias
466265935,alexLronan,alex ronan
175054771,KingJay_90,Jay
320795774,SophieBlakeNY,Sophie Blake NY
39617149,cczona,Carina C. Zona
2382281029,NotANumber123,fitz, the .
21461944,ABCLiz,Liz Kreutz
51112072,larsonchristina,Christina Larson
190242011,RachelRileyRR,Rachel Riley
112284873,heytomsmith,Tom Eberhardt-Smith
7963772,slobotski,jeff slobotski
23242968,jeffhasen,Jeff Hasen
80885440,Cassidy_Emily,Emily Cassidy
74186243,dianeyentel,Diane Yentel
18099023,cwebb227,Christopher Webb
15315247,lmeyerov,lmeyerov
19644592,campbellclaret,Alastair Campbell
428140124,JulianRoepcke,Julian Rpcke
48807945,EmmyA2,Emmy Bengtson
17995040,benshapiro,Ben Shapiro
1177268209,redheadbomb,Cherrybomb
14348157,crampell,Catherine Rampell
45399148,jeneps,Jennifer Epstein
34022952,bethreinhard,Beth Reinhard
17881467,rebeccagberg,Rebecca Berg
15901113,davecatanese,David Catanese
111712557,JeffLoveness,Jeff Loveness
279207720,IkiraD,Ikira Di Lorenzo
17050642,srhalligan,Susan Halligan
71584155,AlbaMonica,Monica Alba
6862582,bendodson,Ben Dodson
10192452,federico,Federico Paderni
815824752,HinaShamsi,Hina Shamsi
244287452,brittlesser,Brittany Lesser
87600238,jjmccorvey,J.J. McCorvey
200785205,AdelleNaz,Adelle Nazarian
28342345,dmurthy,Deepak Murthy
538457491,Alexcyclist76,Alessandro Lucarini
3428671300,UniPresser_UPI,Scott T. Smith
53196604,ademillo,Andrew DeMillo
2801695099,ClareLCarpenter,Clare Carpenter
33829318,HevCollart,Heather Joy Martin
2222507385,Florencirey,Florenci Rey
1278695444,LeAnnaMarieIN,LeAnna Marie
127989772,TedDundon,Dundon
21851761,SamanthaZero,Spooky Samantha
111701670,acohenNY,Andrew Cohen
852036882,stephaniedobyns,Stephanie Dobyns
193144020,kittykaraoke,Sean Reed
15442853,MinaMarkham,Mina Markham 
1552038578,anat_gilboa,anat
522530914,michaelh992,Michael Horowitz
551355589,ibrahim_ghassan,Ghassan Ibrahim
942786030,Brooke_A_Evans,Brooke A. Evans
123560362,GroomB,Brian Groom
381739821,HeyHeyESJ,Eric Scott Johnson
14277341,CallanPaola,Callan Green
285653349,SabbaNazhand,Sabba Nazhand
23541684,billpeduto,bill peduto
21786618,billmckibben,Bill McKibben
47912710,SriramVSharma,Sriram Sharma
200701971,LitzenUp,Adam Litzenberger
87501688,AnushaysPoint,Anushay Hossain
1697954779,kathoh,Kate Oh
45737639,amandaorneck,Amanda Orneck
1189601,dnm54,Dan Miller
64671557,gergilroy,Ger Gilroy
603889903,Nour_Drissi,Nour Drissi
148908011,deakhaus,Christine Deakers
187019634,marketanner,Mark Tanner
127700439,MrPaulBae,Paul Bae
87814498,NajatKaanache,Najat Kaanache
47990904,MAXIM_MLA,Michael Allen
216477773,p_zalewski,Piotr Zalewski
220624283,TMichaelLaw,Timothy Michael Law
3294567538,ChristieAgovino,christie agovino
3413086523,16BitBeard,Bob Bolin 
16932823,CShirkeyCollins,Carmen S. Collins
17614849,pierrebri,Pierre Brianon
80604865,Redletterevent,Robyn Bruns
109970166,Julie_Mays,Julie Mays
66659108,farhadjarral,Farhad Jarral
258785151,MariesaKDale,Mariesa Dale
757893380,elianayjohnson,Eliana Johnson
156341661,mdc,Mary Childs
3632,eriks,Erik Schwartz
2804640199,Jane_Steranko,Jane-on-TWR
5402612,BBCBreaking,BBC Breaking News
19939989,dlepeska,David Lepeska
7610582,mhaithaca,Mark H. Anbinder
763721150,AmelaKH,Amela
221706364,DanWilliams,Dan Williams
879181273,robmickey,Robert Mickey
296331554,Twitflup,Twitflup
1696879171,Taylorsassman,Taylor Sassman
152062823,Digi_Darwin,Erin Dwyer
169586280,WaPoSean,Sean Sullivan
17206417,TechGoddess,Sarah Shaiq
1967991931,KJohnsonTV,Kristine Johnson
270993436,frizzyfilazzo,crissy milazzo
47624589,bouckap,Peter Bouckaert
54994552,oerhoert,Kent William Innholt
17818589,MRSKRAINTZ,Melanie Kraintz
117080406,HeleenMills,Heleen Mills
37773440,helia_i,Helia Ighani
18683120,elliottschoolgw,The Elliott School
16017159,tylercoates,Tyler Coates
71048726,juliaioffe,Julia Ioffe
874964065,RichardRossow,Richard Rossow
2316552966,devin_chavira,Devin Chavira
307646613,TheDPU,TheDPU
56052405,tasneemraja,TaSCREAM Raja
19002133,MonikaBauerlein,Monika Bauerlein
94218443,HDBtweets,Howard Brilliant Esq
24408665,HVSVN,
3719020880,STEMgineersFx,STEMgineersFx
275354343,radmillachka,Radmilla Suleymanova
19927459,ChrisStumph,Namespace.jargonaut
37377034,DaveGustafson,Dave Gustafson
75604826,GraceSpelman,summer horse grave
2233592922,NatashaNoman,Natasha Noman
22891197,GlazerBooHooHoo,MIKE GLAZER
31898295,Derella,matt derella
808020,yusufg,Yusuf Goolamabbas
99794792,AdamPlatt1999,Adam James Platt
9135722,jfedor,Jeff Fedor
47505404,KatiePBee,Katie
261796988,dbrianofarrell,Donncha O'Fearghail 
45007993,JanelleMHooper,Janelle Meraz Hooper
9098632,jesserker,Jessica Bates
57661735,raleryan,Ruba A.
30176025,LaurenFCarroll,Lauren Carroll
2846392409,RelishMBA,RelishMBA
16644421,shirleybrady,Shirley Brady
280307153,MissJennifer215,Jenn.
19086859,rtraister,Rebecca Traister
28177507,DardenMBA,Darden School at UVA
6931262,rachsyme,#rachelsyme
17445893,brainkegels,Stasia
24746491,SteveKandell,Steve Kandell
260819538,j_venator,Joseph DeVenuta
362047751,mbayer1248,Michael Bayer
47644361,em_721,Emma Iannini
1194984367,MadelineVitek,Madeline Vitek
1862101789,DenisonBe,Ben Denison
14288691,mattcharney,Matt Charney
332910067,HoustonMargaret,Margaret P. Houston
56770312,noahchestnut,Noah Chestnut
397541637,kfrats,Kevin Eisenfrats
393190788,MichelleMaalouf,Michelle Maalouf
284379780,ekourakos,Ellen Kourakos
961132338,M_C_Klein,Matthew C. Klein
14887150,sarahtavel,Sarah Tavel
17005301,amber_khan,Amber Khan
14609865,ctfernandez,Christine Fernandez
48702842,SolheimDAC,Erik Solheim
44638576,BBCKimGhattas,Kim Ghattas
5800042,lastres0rt,Rachel KeSPOOKY
520869976,EmilyLReichert,Emily Reichert
3187821492,WristlyThoughts,Wristly
2773764576,KylaMMoore,Kyla Moore
3259787010,TArulandi,Angels Globe
21109952,KelC_Lyn,Kelsey Glover
1640693095,MaraTypes,Mara Veraar
1177414452,suzycamps,suzycamps
114496809,lovejessicadawn,Jessica Dawn
395978320,typesfast,Ryan Petersen
16334969,MadisonU,Madison Underwood
822571,SG,Sean Garrett
12454882,louisgray,Louis Gray
72946315,joshdickson40,Josh Dickson
2916305152,Snowden,Edward Snowden
24351505,varunshoor,Varun Shoor
2521949713,_Mazikeen_,Never Mind
17139596,tourangnaz,Tourang Nazari
10458822,alanlepo,Alan Lepofsky
1671811,paul_irish,Paul Irish
22790755,angeladallman,Angela Dallman
402390003,sassyrogue,Barbara Malmberg
14078913,boonerang,Boon Sheridan
4119021,brianalvey,Brian Alvey
212063332,dundeevc,Mark Hasebroock
15329016,DavidASinger,David A.  Singer
467714253,SQCCDC,SQCC DC
2740296636,WestraysFinest,Westray's Finest
7820962,CemYildiz,Cem Yldz
18021381,AFF,America's Future Fdn
290735485,ladyhaja,HannahJane Parkinson
99634342,FurchtgottRoth,Diana Furchtgott-R
352848595,CourtneyRago,Courtney Rago
412669657,LoriKFenton,Lori Fenton
753562266,maeganvaz,Maegan Vazquez
23760311,alexwitze,Alexandra Witze
21512136,markroberge,Mark Roberge
382612622,micheleazzu,Michele Azzu
91106374,brunoleoribeiro,Bruno Leo Ribeiro
845888168,Capt_Breakfast,Captain Breakfast
35884312,bennetvoorhees,Bennet Voorhees
10836092,joehas,Joe Haslam
644773,karmadude,Liji Jinaraj
15649438,theferocity,Saeed Jones
541101047,BananaKarenina,Elif Batuman
249943535,Dfrankdatank,David Frankel
234255694,doyle1020,Robi-Ann Doyle
17482598,av,Adriana Valencia
733076671,CorySchouten,Cory Schouten
3033573190,fatmagul_yilmaz,
1006375604,AdamTrot,Adam Thompson
22318297,hummusandpizza,jessica wokefield
84190249,titli29,rakhi malik
1107480943,newFosco,Fosco Marotto
244721230,parisrouz,Paris Rouzati
17205773,katenieder,katenieder
15463486,KThomasDC,Ken Thomas
17537467,TarekFatah,Tarek Fatah
25937737,WashingtonPoint,ilhan tanir
1449043261,AshvinChadha,Ashvin
158451341,sandygrains,Sandy
17876157,benchestnut,Ben Chestnut
51677571,angadn,Angad Nadkarni
3016195607,realericrieger,Eric Rieger
15518198,janakolar,Jana Kolar
46557945,StevenTDennis,Steven Dennis
19847765,sahilkapur,Sahil Kapur
6281882,bhatnaturally,bhatnaturally 
