id,name,screen_name
1093090866,FLOTUS,The First Lady
102609898,JesperBrjesson,Jesper Brjesson
1327883785,bethgordon,Beth Gordon
314921544,Liz_Fitz_,Liz Fitz
15940087,adambly,Adam Bly
359599520,IsakSkogstad,Isak
3073204192,Muralgranskaren,Muralgranskaren
264169218,dagensindustri,Dagens industri
13666,mikebutcher,Mike Butcher
14541402,mlevchin,Max Levchin
1536791610,POTUS,President Obama
1330457336,billclinton,Bill Clinton
13919072,robinsloan,Robin Sloan
20159596,juliamacfarlane,Julia Macfarlane
3117335656,Medieval_Probs,Medieval Problems
168987151,veritasium,Derek Muller
32933226,LinusLarsson,Linus Larsson
962394086,MsSapone,Marcela
300109488,siliconvikings,Silicon Vikings
1093299085,neilswmurray,Neil S W Murray
1571068567,tech_eu,Tech.eu
2863524747,akjerlmyr,Anna Knig Jerlmyr
73109489,SofiaKacim,Sofia Kacim
266578234,mariarimpi,Maria Rimpi
39977730,OlleZ,Olle Zachrison
869894239,GOettingerEU,Gnther H. Oettinger
2803587655,Ansip_EU,Andrus Ansip
14276194,heleneoberg,Helene berg
510223355,mikaeldamberg,Mikael Damberg
18074768,TobiasWikstrom,Tobias Wikstrm
2803207232,EU_Competition,EU Competition
462084471,TeliaSoneraAB,TeliaSonera
168425057,gunthermarder,Gnther Mrder
113358091,andrealiebman,Andrea Liebman
743786622,historyofsound,History Of Sound
579439116,AmandaLundeteg,Amanda Lundeteg
18765581,paulronge,Paul Ronge
245467017,MagnusRanstorp,Magnus  Ranstorp
83585393,DNDebatt,DN Debatt
76069966,AlginaLipskis,Algina Lipskis
23976386,davidguetta,David Guetta
18897543,johanwirfalt,Johan Wirflt
593977379,Sofiaatwork,Sofia Sofroniadou
2661209793,ChristianLuiga,Christian Luiga
21087840,FokusAnbil,Anders Billing
109523018,MaryFitzger,Mary Fitzgerald
2529971,cdixon,Chris Dixon
2601782848,FrenningM,Malin Frenning
2909763989,jdennelind,Johan @ TS
907213880,KatiaPorzo,Katia Porzecanski
1542533869,thereaIbanksy,banksy
254873869,LibyaLiberty,Hend
1774511,stuartdredge,Stuart Dredge
1598644159,HistoricalPics,Historical Pics
18759086,OlssonKarin,Karin Olsson
19455187,tomastobe,Tomas Tob
601919510,CarrieMantha,Carrie Mantha
15978917,jordanhmay,Jordan May
449588356,Kasparov63,Garry Kasparov
2850397899,SpotifyEng,Spotify Engineering
18937510,europaportalen,Europaportalen
221163183,nobblan,Tom Noble
253068446,DN_BirgittaF,Birgitta Forsberg
2890850363,bjorklundjan,Jan Bjrklund
25605893,M_Wetterstrand,Maria Wetterstrand
34204245,pakerfeldt,Patrik kerfeldt
108046242,CarolineSzyber,Caroline Szyber
140488453,KinbergBatra,Anna Kinberg Batra
87279324,jussiahlroth,Jussi Ahlroth
19899126,ipaananen,Ilkka Paananen
288256736,NairiHourdaj,Nairi Hourdajian
267084551,BreatheSport,BreatheSport
15879956,MattJSuda,Matt Suda
559373171,CWalerud,Caroline Walerud
270330747,susanneek,Susanne Spector
