id,name,screen_name
27694058,AhoyNickStevens,Nick Stevens
29326467,Nikki_Reyes,Nikki Reyes
55452082,DavidNBowen,David Bowen
3105440746,RealKentMurphy,Kent
41918680,KVanValkenburg,Kevin Van Valkenburg
325229087,realOBF,Obnoxious Boston Fan
96497966,GreggDoyelStar,Gregg Doyel
1237961,bruceallen,Bruce Allen
87531303,benrawitz,Ben Rawitz
119127602,KevinRDuffy,Kevin Duffy
124232296,KimJonesSports,Kimberly Jones
19750789,AndrewBrandt,Andrew Brandt
32817728,BizballMaury,Maury Brown
2457320617,WerlySportsLaw,Dan Werly
238005487,PShep326,Pete Sheppard
1560905906,WHATthePUCKpics,NHL Photoshop
26389783,ChrisChaseFTW,Chris Chase
41369773,davidwade,David Wade
73034763,stevepagliuca,Steve Pagliuca
2750642570,photosofboston,Photos of Boston
612930497,Brian_Johnson35,Brian Johnson 
434624410,ZachSenyshyn,Zach Senyshyn
38445162,jasonlwolfe,Jason Wolfe
21612942,joedwinell,Joe Dwinell
145129098,leahysean,Sean Leahy
192825525,Matt_Beleskey,Matt Beleskey
227114487,Jimmy10Hayes,Jimmy Hayes
370871493,VICESports,VICE Sports
767324359,TheDirtySports,Dirty Sports
561879771,eduardorod5,Eduardo Rodriguez
700903452,OnlyInBOS,Only In Boston
911319404,ChrisConnelly,Chris Connelly
572437587,NFLMemez,NFL Memes
3180802514,RadRooms,RadRooms
50323173,WojYahooNBA,Adrian Wojnarowski
32765534,BillSimmons,Bill Simmons
2617583036,RickPorcello,Rick Porcello
255858570,HanleyRamirez,Hanley Ramirez
464140831,JMorrow7,Joe Morrow
1482682405,bestbetbass,Brandon Bass
281405595,KellyOlynyk,Kelly Olynyk
3092206972,themassholelife,The Masshole Life
3076558925,joboych,Johnny Boychuk
22208730,J1mmyM2,Jimmy
58352839,BenVolin,Ben Volin
255698876,wademiley20,Wade Miley
336039864,HeadlineMedia,Headline Media
256877389,bconnolly8,Brett Connolly
278225638,Matt_Grzelcyk5,Matthew Grzelcyk
16246688,drewmagary,Drew Magary
2835653131,miakhalifa,Mia Khalifa
2988201394,ZoandBertrand,Zolak & Bertrand
375191382,ProHockeyTalk,NBC ProHockeyTalk
3020277803,ninko50,Rob Ninkovich
391834260,Mac_BZ,Malcolm CB Butler
55307193,JayGlazer,Jay Glazer
370476539,BobSocci,Bob Socci
613542402,Edwerderespn,Ed Werder
22434367,MBTMCallahan,Mike Callahan
190688122,Rosenberg_Mike,Michael Rosenberg
259500150,_MarcusD_,MarcusD
2229034573,FanSidedGIF,FanSided GIF
265522709,jgray_ND25,Jonas Gray
1120499768,pastrnak96,davidpastrnak
480538809,DrewBledsoe,Drew Bledsoe
200867498,masshole000,michael breault
2470894301,weekendatbergys,Weekend at Bergy's
23992159,JimBowden_ESPN,Jim Bowden
107186754,JamieOGrady,Jamie O'Grady
313582007,KFP48,KFP48
353990363,LG_Blount,LeGarrette Blount
543954514,smart_MS3,marcus smart
29048185,Jetstriar,Jet Striar
49527541,cswitaj,Caryn Switaj
1140790656,SixSecSports,Six Second Sports
415605847,PlayersTribune,The Players' Tribune
34104616,nflcommish,Roger Goodell
80937127,guerinaustin,Guerin Austin
131227398,DunkinBoston,DunkinBoston
14408989,masslivenews,masslivenews
19426551,NFL,NFL
140085538,Momohaggs,Momo Haggs
2786936540,eastieND,Neal DiCampo
252293151,JosephKellyJr,Jk
2575581534,MLBGIFs,MLB GIFS
794739164,christianfauria,christian fauria
334871713,______H______O,Henry Owens
22685294,PawSox,PawSox
111126193,mattbarnesRHP,Matt Barnes
124455872,CityOfBoston,City of Boston
1397342508,theMMQB,The MMQB
59287889,BarDown,BarDown
2610263815,tseguinofficial,Tyler Seguin
296630223,mookiebetts,mookiebetts
269055437,NFLRT,NFL Retweet
2575676101,TheNFLGIF,NFL GIF
45114730,ByKevinAllen,Kevin Allen
747836472,BetaBoston,BetaBoston
22156793,asolomon6,Aaron Solomon
367484118,Lennyclarke,Lenny Clarke
339317307,JimmyG_10,Jimmy Garoppolo
444367358,mduggan10,Meghan Duggan
