id,name,screen_name
542911711,joebetts8,Joe
284918890,rli519,Robbie Li
3195078739,aakashgarg24,Aakash Garg
474333591,cindysxu,Cindy Xu
573900467,Follow_Stas,Anastas Kanaris
3641702054,loveBeautyTouch,BeautyTouch
27997138,thecolormorale,The Color Morale
40294317,josephdupont,Joseph Du Pont
1621127264,ColumbiaEship,Columbia Eship
250442137,Josh_Coyne,Josh Coyne
71738552,BCGradTechClub,BC Grad Tech Club
32528828,BCinfosystems,Information Systems
83912923,BCCarrollMBA,BC Carroll MBA
281166100,csomhonors,CSOM Honors
27737473,bcheights,The Heights
56006821,galvezmi,Miguel Galvez
190687745,laurlandry,Lauren Landry
360049075,Jebbitinc,Jebbit Inc.
347982043,Fulton360,Fulton360
34527436,nmcremins,Nancy Cremins
16684965,BosBizJournal,Boston Business
14831824,le_isms,Le Zhang
204917005,adejirebademosi,Adejire Bademosi
110991219,BCISAcademy,BC IS Academy
212439445,beaulieujones,Brett Beaulieu-Jones
579573855,alex_loverde,Alex LoVerde
110823121,badboyboyce,Peter Boyce
5409582,peterwbell,Peter Bell
214210564,soniamfurtado,Sonia
410112548,PhilDumontet,Phil Dumontet
2451650570,soaringstartup,Soaring Startup Cir.
944042744,Drizly,Drizly
213320978,BCLSOE,Lynch School
2864046767,corcorancenter,Corcoran Center  
146312174,jay_elm,Jesse Mu
15377474,ChaseMcAleese,Chase McAleese
3092424681,BCWoodsCollege,BC Woods College
27144136,joshmercado,josh mercado
550021990,presidentliam,Liam Weir
16054093,theREALmarvin,marvin chow
1682441611,josephine_xiong,josephine xiong
95560268,DavidLoVerme,David LoVerme
2987889352,jeg460,James Gips
3313365855,Cogitr,Cogitr
3313834997,RadiciTravel,Radici Travel
1151051334,BagEliz,Elizabeth Bagnani
3040937949,BCCarrollSchool,BC Carroll School
3328888338,_aoyi_,Aoyi Candic
1000591,fredwilson,Fred Wilson
3293011635,BCSheaCenter,BC Entrepreneurship
3376827070,BCCarrollGMA,the BC GMA
281224145,DavidAFrankel,David A. Frankel
44003552,BreakawayBoston,Breakaway
805438718,dalton_danielle,Danielle Dalton
5525212,DianeHessan,Diane Hessan
449102209,ali_christine00,Alexandra Fuller
2272130323,LevelGroundMMA,Level Ground MMA
229856833,Robert_Mauro,Robert Mauro
2363064158,GLIatBC,GLI at BC
52441862,larrymcsheffery,Larry McSheffery
619126964,BCStudyAbroad1,BC Study Abroad
82002786,GreenhornBoston,Greenhorn Connect
2314210538,CTB_TSmith,Thomas Smith
17889970,Gladwell,Malcolm Gladwell
1059273780,AdamMGrant,Adam Grant
3070503027,AgapeLatte,Agape Latte
1964926484,BCMgtOrg,Mgt & Org Dept
154712648,bfdace,Brian Dacey
70350936,JRoddyBusiness,J. Roddy Walston
224656141,glassrobinson,Justin Robinson
240665760,NRellas,Nick Rellas
38097356,zisow,Matt Zisow
17495982,irent,iRent
2842844908,RickKosti,Rick Kosti
520033038,marketmymarket,Market My Market
3222740934,WIB_BC,Women in Business 
2772999469,ProfAkinc,Bridget Akinc
2516693984,techinboston,Tech In Boston
56963745,ChristyLaubach,Christy Laubach
31099876,gcvp,General Catalyst
15307727,firstround,First Round
479069271,NewEnglandVC,NEVCA
988957262,DormRoomFundBOS,Dorm Room Fund BOS
18937279,sparkcapital,Spark Capital
98480807,thredUP,thredUP
2725084016,TryScratch,Scratch
17104751,pschiller,Philip Schiller
14653404,HighlandCapital,Highland Capital
360831528,trello,Trello
93017945,Square,Square
17064562,profkane,Jerry Kane
16582289,WePay,WePay
1305940272,SlackHQ,Slack
587811802,sunrise,Sunrise
134130946,bcurleymbs,Brad Curley
21576577,BobDavisHCP,Bob Davis
1856980754,CanvasVC,Canvas Venture Fund
370266205,Paul_Hillen,Paul Hillen
234065046,jmzledoux,James LeDoux
37370427,CJ_QUINTANA,Claudio Quintana
3109032347,bcwinnovators,BCWomenInnovators
2798297791,csuttlehan,Caroline Suttlehan
2901475659,angofthepalmm,ang
1322925006,HansDasFuhrer,Hans 
141664648,JohnCena,John Cena
2377837553,Morgsinthehood,Morg
14692016,JereDoyle,Jere Doyle
3713811,bijan,Bijan Sabet
2528789125,flywithcc,Chris Castro
420109837,annweber04,Ann Weber
243768368,Andy_Boynton,Andy Boynton
444268559,lacostejonathan,Jonathan Lacoste
52271220,mikelapointebc,Mike Lapointe
2794604264,khasnave,Suraj Khasnavees
16538023,billclerico,Bill Clerico
381616108,BCCSSociety,BCCSS
2934780430,techarev,Arev Doursounian
365823060,kocoa4kelsey,Kelsey
202858591,maddyhyness,maddy
378212771,jencoco_,Jenny Sara
281138384,iamdeepa,Deepa Subramaniam
590312401,IISummit14,Harvard Ignite
173885254,CoreyTaylorRock,MEGA-GEEK MELTDOWN!!
14208617,robgo,Rob Go
924613568,roughdraftvc,Rough Draft Ventures
275663081,MattBilotti,Matt Bilotti
413454245,BDziobak38,Brian Dziobak
496462453,DRytowski,Dominika R
180656346,StartAtShea,Start @ Shea
139526249,abbillingss,Abigailer
534861635,Tarp_,Dylan Tarpey
1636590253,tim_cook,Tim Cook
334813664,Thomas_Herer,Tom Herer
2179901116,amandascarpaa,Amanda Scarpa
2487511589,chris_velardo,Chris Velardo
340618077,EmmRozansky,Emily Rozansky
168386267,Anguhl,Angelique Fathy
154639065,MauryaCouvares,Maurya Couvares
420031812,colerene,Nicole Rodriguez
541145267,ScriptEdOrg,ScriptEd
541145267,ScriptEdOrg,ScriptEd
16980060,geowyn,George Wyner
2788904485,Ransbotham,Sam Ransbotham
634707797,TheGr8Baldini,Michael Baldini
16582975,BostonCollege,Boston College
339187009,TomCoburn1,Tom Coburn
364622338,Jebbit,Jebbit
381898270,alex__oconnor,Alex O'Connor
35225453,BrennaHynes,Brenna Hynes
325086830,carlywesticles,Charlie
1418628462,gianna_barres,gigiiii
357275106,kylepatrick7,kyle patrick
963566816,jdman96,John DiSessa
635044044,GillianL321,Gillian Lever
476314762,GarretPatten,Garret Patten
16288392,gallaugher,John Gallaugher
74286565,Microsoft,Microsoft
2425151,facebook,Facebook
309728693,GileadSciences,Gilead Sciences
20536157,google,Google
