id,name,screen_name
1658777815,tslint,TypeScript Linter
2806000111,todogroup,TODO Group
541136693,futureofprivacy,Future of Privacy
8919762,JulesPolonetsky,Jules Polonetsky
16228337,CenDemTech,CDT
11347122,GavinNewsom,Gavin Newsom
7475972,jkriss,Jesse Kriss
15398764,brianbehlendorf,brianbehlendorf
765548,hmason,Hilary Mason
22839233,kaythaney,Kaitlin Thaney
424181600,brookeamasters,Brooke Masters
1514689064,PalantirU,PalantirU
15966903,mfrederickson,Michael Frederickson
1113541,bruces,Bruce Sterling
103352755,kn0thing,Alexis Ohanian
803694,mikeolson,Mike Olson
16363771,IllinoisCS,CS @ ILLINOIS
10147732,nodeOne,Joshua
18743550,tceb62,Tim Brown
277912405,lastradainterna,La Strada Int.
20263710,rabois,Keith Rabois
9632312,ted_dunning,ted_dunning
36153601,bradfordcross,bradford cross
15098559,ianfoster,Ian Foster
7542902,cutting,Doug Cutting
20731304,adafruit,adafruit industries
186755547,lawfareblog,Lawfare
3619421,avc,avc
149395384,awdallah,mhmoued
19041500,hadoop,Apache Hadoop
458647237,DataKind,DataKind
15716318,JamesCarville,James Carville
22053725,theIRC,IRC Intl Rescue Comm
19997113,DirectRelief,Direct Relief 
9534522,Pogue,David Pogue
463197418,Socialgence,Socialgence
786983,skr,Johan Oskarsson
15626406,michael_nielsen,michael_nielsen
250103509,kncukier,Kenneth Cukier
94475714,willmcnulty,williemcnulty
55432291,latonero,mark latonero
81961201,valleyhack,Ashlee Vance
14515931,therealfitz,Brian Fitzpatrick
12984202,mikeloukides,Mike Loukides
64482503,codeforamerica,Code for America
14344469,peteskomoroch,Peter Skomoroch
14984090,radar,O'Reilly Radar
14048901,jilliancyork,Chillian J. Yikes!
14278978,ericries,Eric Ries
39383125,acmurthy,Arun C Murthy
22512172,jakeporway,Jake Porway
2981431,acroll,Alistair Croll
3339171,dsearls,Doc Searls
25444905,kpoulsen,Kevin Poulsen
3364,cjoh,Clay Johnson
31179862,Polaris_Project,Polaris
5474592,lesliefine,Leslie R. Fine
17595439,chr1sa,Chris Anderson
1260231,joehewitt,Joe Hewitt
5840062,gregrluck,Greg Luck
195826487,RichardHaass,Richard N. Haass
1497,harper,harper
44423,cdibona,Chris DiBona
460493,jf,Jol Franusic
2729061,doctorow,GORY SPOOKtorow
420021278,LibertyAsia,Liberty Asia
12370372,phunt,Patrick Hunt
278159413,peterdelevett,Peter Delevett
14541402,mlevchin,Max Levchin
28576135,thejointstaff,The Joint Staff
728673283,MissingKids,NCMEC
46440718,squarecog,Dmitriy Ryaboy
296453816,LAAF,Arrillaga-Andreessen
388555493,CondoleezzaRice,Condoleezza Rice
10670192,paulohm,Paul Ohm
14058843,djweitzner,Danny Weitzner
3839,davewiner,Dave Winer
5409802,jessykate,Jessy Kate Schingler
606416710,IRCPress,IRC Press
16134540,cloudera,Cloudera
106507775,TeamRubicon,Team Rubicon USA
15537522,cecysnyder,Cecilia Snyder
12962882,simplescott,simplescott
16061930,hackingdata,Jeff Hammerbacher
184710151,newsp2p,Ana Kovali
6535212,eladgil,Elad Gil
149674735,bobmcgrew,Bob McGrew
27700708,nartv,Nart Villeneuve
11388132,lessig,Lessig
6141832,cshirky,Clay Shirky
930061,ginatrapani,Gina Trapani
36823,anildash,Anil Dash
1175221,digiphile,Alex Howard
15008449,amcafee,Andrew McAfee
2384071,timoreilly,Tim O'Reilly
16286989,ssankar,ssankar
14574697,alephbass,Ari Gesher
