id,name,screen_name
22061737,AiANews,Art in America
16965975,NYArtBeat,New York Art Beat
14199378,smithsonian,Smithsonian
1440641,nytimesarts,New York Times Arts
72051169,Cory_Henry,Cory Henry
348784025,RealSnarkyPuppy,RealSnarkyPuppy
14445458,carolinehbray,Caroline Bray
2872977869,seattleartfair,Seattle Art Fair
15723895,conchitaleef,Conchita Leeflang
19150116,CarlySimonHQ,Carly Simon
34774807,Carole_King,Carole King
181330082,kcreospeedwagon,REO Speedwagon
3259285543,FridayOnTheRez,DavidHBunnell
2548844174,MickFleetwood,Mick Fleetwood
17666290,Nickslive,FLEETWOOD MAC NEWS
19176674,stevienicksnews,Stevie Nicks News 
35118790,Lndsybuckingham,Lindsey Buckingham
327558743,Seattle_Tourism,Seattle Attractions
235236313,StevieNicks,Stevie Nicks
16017753,calacademy,CA AcademyOfSciences
2771870352,clippersteveb,Steve Ballmer
1526052913,TrueDetective,True Detective
14939981,questlove,Questlove Gomez
372905321,NancyHeartMusic,Nancy Wilson
372897535,AnnHeartMusic,Ann Wilson
122473311,southlakeunion,South Lake Union
67693464,BizTechMagazine,BizTech Magazine
85401970,billyjoel,Billy Joel
179657772,TheOrcaProject,The Orca Project
38042166,halloates,Hall & Oates
874651466,BennettBarbJ,Barbara Bennett
76750204,SJDolphins,Save Japan Dolphins
17156000,seashepherd,Sea Shepherd
378746121,Dolphin_Project,Dolphin Project
619270714,Jason_Bonham,Jason Bonham
20531146,VisitEngland,VisitEngland
36054262,visitlondon,Visit London
108082820,radioheadlive,Radiohead
19180118,VisitBritain,VisitBritain
204489416,RobertPlant,Robert Plant
2437502443,RacingXtinction,Racing Extinction
42496144,Ocean_Networks,OceanNetworksCanada
121872852,VulcanInc,Vulcan Inc.
64770337,MoneyLynch,Shawn Lynch
232438705,GeeAlonzo,Alonzo Gee
27668977,SteveEarle,Steve Earle
1081032308,EmmylouSongbird,Emmylou Harris
301147914,yesofficial,yesofficial
44629131,shawnheinrichs,Shawn Heinrichs
53496184,HappyWoman9,Lucinda Williams
14786217,RnfrstAlliance,Rainforest Alliance
3459051,Greenpeace,Greenpeace
5360012,greenpeaceusa,Greenpeace USA
17329538,AustralianOpen,Australian Open
71873770,FightingMalaria,Malaria Consortium
36683668,USAID,USAID
585466175,uDiscoverMusic,uDiscover Music
232193350,rajshah,Raj Shah
68999404,ClintonGlobal,CGI
355696940,Winnie_Byanyima,Winnie Byanyima
68307227,MDGHealthEnvoy,MDG Health Envoy
48110818,LizSzabo,Liz Szabo
293538523,ValerieAmos,Valerie Amos
35810531,bill_easterly,William Easterly
17539739,CaseFoundation,Case Foundation
10297,kanter,Beth Kanter
18170896,drsanjaygupta,Dr. Sanjay Gupta
17004618,NickKristof,Nicholas Kristof
69181624,camanpour,Christiane Amanpour
17093617,hootsuite,Hootsuite
403881495,ESFloyd,Elson S. Floyd
1245078146,BigelowSpace,Bigelow Aerospace
19366651,SpaceAngels,Space Angels Network
124237063,NIHDirector,Francis S. Collins
426909329,DrFriedenCDC,Dr. Tom Frieden
15293735,NASAPrize,Centennial Challenge
139832064,CDCFound,CDC Foundation
1373313666,NBAcom,NBA.com
12892322,mikeyslade,mikeyslade
2835365134,AllenCellInst,AllenCellInst
442847698,BritSciAssoc,British Science
206306424,skyboximaging,Skybox Imaging
17663776,planetlabs,Planet Labs
40914713,RoyalSocBio,RSB
183351664,WMoon1,Warren Moon
20525807,sciencelondon,Science London
189065376,ScienceIsVital,Science is Vital
19539716,foe_us,Friends of the Earth
175691292,guardiansciblog,GuardianScienceBlogs
24953891,BrierDudley,Brier Dudley
229187988,Art_Thiel,Art Thiel
28567809,royalsociety,The Royal Society
330319196,OxNeuro,Oxford Neuroscience
201857425,Neurosci2015,Neuroscience 2015
19837528,wellcometrust,Wellcome Trust
2333017830,exploretravel1,exploretravel1
718832911,BritishNeuro,British_Neuroscience
39348006,SfNtweets,SfN (Neuroscience)
372922391,Brain_Facts_org,BrainFacts.org
9676212,latimestravel,L.A. Times Travel
24016767,usatodaytravel,USA TODAY Travel
30925378,KaceyMusgraves,KACEY MUSGRAVES
2281779271,BlazersMemes,Trail Blazers Memes
146569971,CDCgov,CDC
14499829,WHO,WHO
2657353472,DoyleBramhall2,Doyle Bramhall II
58876049,classicvacation,Classic Vacations
47786101,RobertDowneyJr,Robert Downey Jr
1325475392,Interstellar,Interstellar
18159470,macklemore,Macklemore
269374128,CooperHelfet,Cooper Helfet
39305801,bertk,Bert Kolde
487833518,nature,nature
2381578122,SamsungTMRW,Samsung Electronics
26832834,NatureMedicine,Nature Medicine
26565946,jtimberlake,Justin Timberlake
338084918,Pharrell,Pharrell Williams
111305843,NatureCellBio,Nature Cell Biology
44418062,NatureBiotech,Nature Biotechnology
349236053,BrockCoyle56,Brock Coyle
29795220,erichippeau,Eric Hippeau
54645160,DARPA,DARPA
2815393304,TackleEbola,#TackleEbola
36065771,cntraveller,Cond Nast Traveller
2222250451,BBallInsiders,Basketball Insiders
1080753187,NatureNeuro,Nature Neuroscience
28642017,CoveMovie_OPS,The Cove/OPS
1619035146,lasnoop24,Tharold Simon
17219108,CNTraveler,Cond Nast Traveler
16211434,TravelLeisure,Travel + Leisure
226661750,ChrisKaman,Chris Kaman
164404575,SteveBlake5,Steve Blake
109422761,tony_ventrella,Tony Ventrella
17233561,michaelshrieve,Michael Shrieve
357529960,KieroSmall36,Kiero Small
1438583576,jstaten90,Jimmy Staten
152659591,G_smooth75,Garrett Scott
240748416,MrHyde_24,Kevin Pierre-Louis
2384586054,MrClutch_83,Kevin Norwood
89365992,JustinBritt68,Justin Britt
15371319,RoseQuarter,Rose Quarter
68051191,BrainCatalog,Whole Brain Catalog
23985796,FriezeLondon,Frieze London
188398158,RipCityUnited,Rip City United
1338253471,prich10,Paul Richardson
32137602,Gagosian,Gagosian Gallery
34060601,TerrillMusic,Craig Terrill
1333922258,ScubaverseMedia,Scubaverse
15919988,xprize,XPRIZE
2409489144,ElephantCount,Counting Elephants
13418072,stevesi,Steven Sinofsky
903368942,KnowingNeurons,Knowing Neurons
133093395,russellcrowe,Russell Crowe
1534897626,CaroleTomko,Carole Tomko
20571756,satyanadella,Satya Nadella
71832238,kaleekreider,Kalee Kreider
1490919512,CEO_McLoughlin,Peter McLoughlin
1201661238,ThatsEarth,Earth Pics
18981325,dkpublishing,DK US
72870269,Jazznheritage,NOLA Jazz & Heritage
87493961,jazzfest,New Orleans JazzFest
327558424,StayingInMyLane,jeremy lane
32340023,GoPro,GoPro
109944769,CraigAWelch,Craig Welch
32210882,genebalk,gene balk
42115793,BenMalcolmson,Ben Malcolmson
250480521,RicardoLockette,Ricardo Lockette
120550155,MalcSmitty,Malcolm Smith
1103376337,MantaTrust,Manta Trust
1613440802,mosesbread72,Michael Bennett
279831057,catholiccran,Alex Cranstoun
84061224,stopfinning,Stop Shark Finning
43303934,SharkTrustUK,The Shark Trust
2177752682,DC2forlife,Derrick Coleman Jr
223935062,taotaotasi,Angelo Villagomez
891558661,SeahawksProShop,Seahawks Pro Shop
19110632,TravelMagazine,The Travel Magazine
28124259,wanderlustmag,Wanderlust magazine
40807202,mwsrp,Whale Shark Research
183329477,projectseahorse,Project Seahorse
48150931,museumofflight,The Museum of Flight
5943622,pmarca,Marc Andreessen
15125585,edge,John Brockman
23990068,travelweekly,Travel Weekly
57683365,TWtravelnews,Travel Weekly
40293333,VanHalen,Van Halen
20962674,TimeOutNewYork,Time Out New York
602317143,SirPatStew,Patrick Stewart
26066384,TravelIndustry,Travel Industry
36114716,ST_TravelMag,SundayTimesTravelMag
21209392,TelegraphTravel,Telegraph Travel
20071863,HuffPostTravel,HuffPost Travel
16031536,fodorstravel,Fodor's Travel
161801527,melindagates,Melinda Gates
310630578,jeffraikes,Jeff Raikes
16807921,travelmail,MailOnline Travel
147590684,ST_Travel,Sunday Times Travel
1923729505,TechTimes_News,Tech Times
10933662,timestravel,The Times Travel
173992307,BBC_Travel,BBC Travel
21887420,GuardianTravel,Guardian Travel
12397052,luxury__travel,A Luxury Travel Blog
1716208177,ChrisBakkes,Christiaan Bakkes
22330739,Benioff,Marc Benioff
20343860,EnchantingNM,Enchanting NM
46677640,RealGM,RealGM
24769862,NMMagazine,New Mexico Magazine
44991932,GrandTetonNPS,Grand Teton NP
44992488,YellowstoneNPS,YellowstoneNPS
132670126,DinosaurNPS,Dinosaur Nat'l Mon't
45854669,SequoiaKingsNPS,Sequoia & Kings Cyn
22781010,NewMexico,Visit New Mexico
44984641,SaguaroNPS,SaguaroNationalPark
111932837,PetrifiedNPS,Petrified Forest NP
255784266,geekwire,GeekWire
298047906,CanyonlandsNPS,CanyonlandsNPS
369615224,CapitolReefNPS,Capitol Reef NPS
271060845,ArchesNPS,Arches National Park
57339949,BryceCanyonNPS,Bryce Canyon NP
232294292,GaryMarcus,Gary Marcus
44984439,ZionNPS,Zion National Park
1666108548,ModaCenter,Moda Center
16095572,toddbishop,toddbishop
807608628,ledzeppelin,Led Zeppelin
951541,rozzie,Ray Ozzie
91208190,MelKiperESPN,Mel Kiper Jr.
21193261,aimeemann,Aimee Mann
15143478,RichardDawkins,Richard Dawkins
56436152,Carrie_Rachel,Carrie Brownstein
262911271,portlandia,Portlandia
21229729,LAOpera,LA Opera
28162128,WSJdeals,WSJ Deals
18091654,seattlesymphony,Seattle Symphony
25369931,SeattleOpera,Seattle Opera
465680140,TheRoyalBallet,The Royal Ballet
17056177,PNBallet,PNBallet
79017467,santafeopera,Santa Fe Opera
26811908,Tipitinas,Tipitina's Uptown
114707315,faulkestel,Faulkes Telescope 
492514137,PasaTweet,Pasatiempo
45765164,santafecom,SantaFe.com
19364233,OffBeatMagazine,OffBeat Magazine
52202414,InsideSantaFe,Inside Santa Fe
84706027,NMMuseumofArt,Museum of Art
1958687989,waynejobson,wayne jobson
67426151,okeeffemuseum,GeorgiaOKeeffeMuseum
976178305,CrocworldCC,Crocworld Scottburgh
828754867,SANParksKNP,Kruger National Park
21719132,sbink,Steven Bink
92636901,JulianLennon,Julian Lennon
9684932,andyhickl,Andy Hickl
94271261,SKA_Africa,SKA Africa 
201189735,SKA_telescope,SquareKilometreArray
319920511,TravelAfricamag,Travel Africa mags
214934802,Tswalu,Tswalu Kalahari
66082823,londolozi,Londolozi
55180707,Singita_,Singita 
104156791,africageo,Africa Geographic
41537769,WeAreWilderness,Wilderness Safaris
196187990,rangerdiaries,Ranger Diaries
102306857,andBeyondSafari,andBeyond
636986756,BushMagic,Richard Madden
24585846,judithowen,Judith Owen
211050464,chopchop_15,Jermaine Kearse
29946265,Oceanwarrior,Sea No Plastic
26540417,SantanaCarlos,Carlos Santana
407624682,NatRevNeurosci,Nature Rev Neurosci
282111635,SeaCitizens,Citizens of the Sea
1081409916,Cmike33,Mr.Champ33
16672159,ProFootballTalk,ProFootballTalk
1411470840,LWillson_82,Luke Willson
1705023294,ChemChemSafari,Chem Chem Safari
274649460,BillyCrystal,Billy Crystal
67976245,ScienceOnline,ScienceOnline
54575503,mowilliams,Mo Williams
139823781,BetteMidler,Bette Midler
34104616,nflcommish,Roger Goodell
573754038,JamesTaylor_com,James Taylor
64814367,BrianWilsonLive,Brian Wilson
19426551,NFL,NFL
21079277,RoyalOperaHouse,Royal Opera House
59362595,oceansresearch,oceans initiative
246140765,KJ_WRIGHT34,KJ
165622311,deepseanews,Deep Sea News
25066853,SkyandTelescope,Sky & Telescope
195814782,themichaelcaine,Michael Caine
54999357,beck,Beck
22971980,AstronomyMag,Astronomy Magazine
24243022,SmashingPumpkin,Smashing Pumpkins
14941140,jonpeddie,jonpeddie
11219992,RogerMcGuinn,Roger McGuinn
23759291,SustainableSeas,SustainableSeas
1454848388,Davidvanterpool,David Vanterpool
53518563,SmithsonianChan,Smithsonian Channel
377780419,Earl_Watson,Earl J Watson
30568788,oceanfdn,The Ocean Foundation
110798209,savingoceans,Marine Conservation
13388532,colingreenwood,colingreenwood
48028402,rolopez42,Robin Lopez
22443383,aseachange,A Sea Change
17283244,SethShostak,SethShostak
64643728,Trobinson0,thomas robinson
183755853,DWRIGHTWAY1,Dorell Wright
14750983,MontereyAq,Monterey Aquarium
17899109,gatesfoundation,Gates Foundation
241640639,spacepolar,spacepolar
31098756,SpaceNews_Inc,SpaceNews
16348549,ONECampaign,ONE
15318737,smallsats,Smallsats
159588456,NASA_Technology,NASA Technology
19017659,sam_amick,Sam Amick
23503181,AsteroidWatch,Asteroid Watch
1483855976,bbrowner27,Brandon Browner
430273385,allmanbrothers,Allman Brothers Band
19802879,NASAJPL,NASA JPL
29472803,NASAWebbTelescp,NASA Webb Telescope
15431856,SPACEdotcom,SPACE.com
2893971,gigaom,Gigaom
70482598,AutomatonBlog,Automaton
42226885,vkhosla,Vinod Khosla
24129206,universetoday,Universe Today
137924400,MBSociety,MarineBio
42220353,rolandgarros,Roland Garros
373677327,allencrabbe,Allen Crabbe
12413822,collectSPACE,collectSPACE
15560223,techradar,techradar
23225996,Military_Flight,Military Flight
17057271,metmuseum,metmuseum
86772445,nasahackspace,NASA Hack Space
34716719,EDFOceans,EDF Oceans
11229432,earthtoday,EarthToday
43230633,oceansolutions,Ocean Solutions
270533441,Abercrombie,Abercrombie & Fitch
92903456,CJMcCollum,CJ McCollum
360312461,SpaceQuarterly,Space Quartery
23908002,StevieVanZandt,Stevie Van Zandt
162068753,hubblescience,HubbleScience
19301925,Rhino_Records,Rhino Records
11229132,spaceed,SpaceEd
5763262,karaswisher,Kara Swisher
15220336,spacememe,SpaceMeme
11229162,marstoday,MarsToday
11214332,astrobiology,Astrobiology
296453816,LAAF,Arrillaga-Andreessen
16046805,XRAY_Magazine,X-Ray  Magazine
1434251,nytimesbooks,New York Times Books
277530158,DIVERMAGAZINE,DIVER MAGAZINE
22001973,GuardianBooks,Guardian Books
105091063,sportdiverEMEA,Sport Diver Magazine
422305556,oceanCRIES,clicks n' whistles
76958344,DiveMagazine,DIVE Magazine
8623332,SpaceRef,SpaceRef
99741467,uwjournal,Underwater Journal
285679560,TheScubaNews,The Scuba News
22845770,ulalaunch,ULA
467739426,NASA_SLS,NASA_SLS
15662133,OrbitalATK,Orbital ATK
15601001,SIFFnews,SIFF
15227791,WilliamShatner,William Shatner
128956175,TheRealNimoy,Leonard Nimoy
18396070,levarburton,LeVar Burton
66727905,HubbleDaily,Hubble Daily Image
25560255,JMCousteau,Jean-Michel Cousteau
17758502,FCousteau,Fabien Cousteau
18148907,AviationWeek,Aviation Week
29221344,Oceana,Oceana
122605169,SteveWill_14,Estban Williams
15822969,sanctuaries,Sanctuaries (NOAA)
132655244,Oceanwire,Oceanwire
285125151,SafinaCenter,The Safina Center
22029553,Seasaver,Blue Planet Society
572225652,SciencePorn,SciencePorn
82208992,OceanPortal,The Ocean Portal
252233089,1World1Ocean,One World One Ocean
44442099,theoceanproject,The Ocean Project
19344825,saveourseas,Save Our Seas
189239468,SeaWeb_org,SeaWeb.org
98222986,ElliottBayBooks,Elliott Bay Book Co.
71019945,OurOcean,Ocean Conservancy
545599267,68Breno,Breno Giacomini
16630098,AMNH,AMNH
15737554,Scripps_Ocean,Scripps Oceanography
18851704,scifilondon,SCI-FI-LONDON
36967273,JEcarpenter77,James Carpenter
45892981,DougBaldwinJr,Doug Baldwin Jr
239648023,WaltThurm3,walter thurmond III
81277268,ExpertZone,Microsoft ExpertZone
29797840,cliffavril,Cliff Avril
227418297,BIrvin_WVU11,Bruce Irvin
113503757,Mebane92,Brandon Mebane
37823344,Kam_Chancellor,Kameron
105147032,Earl_Thomas,Earl Thomas
15537451,SLAMonline,SLAM Magazine
20443852,AnnieLennox,Annie Lennox
29805206,sidneyrice,Sidney Rice
29375037,esciencenews,(e) Science News
74501824,cyndilauper,Cyndi Lauper
143812589,HBODocs,HBO Documentaries
174593833,eltonofficial,Elton John
140699869,OfficialSting,Sting
