id,name,screen_name
14226196,pjmcnealy,P.J. McNealy
4408271,ckeller,Chris Keller
31329825,ericsung,Eric Sung
1406071,dkrupinski,Dave Krupinski
15377474,ChaseMcAleese,Chase McAleese
337497627,christymotch,Christy Motch
3653570363,olivia_vanni,Olivia Vanni
539549420,SocialBattles,SocialBattles App
2707540832,pingpad,Pingpad
885,Ross,Ross Mayfield
3313834997,RadiciTravel,Radici Travel
80763357,NathanParcells,Nathan Parcells
472587261,ClintSmithIII,Clint Smith
3293011635,BCSheaCenter,BC Entrepreneurship
550021990,presidentliam,Liam Weir
549616504,eSportHero,eSports Hero
1954658424,andy_bromberg,Andy Bromberg
55432717,dooraven,Nilu
901463886,Wongmanrox,Anthony Wong
2936675876,TheRoarOfficial,Roar
348278208,SotLTravis,Travis Gafford
550605277,karonmoser,Kelsey Moser ()
474536323,Samdtoole,Sam Toole
476924146,DaisyPriede,Daisy Priede
33846451,Accel,Accel Partners
270901752,OfficialBirdy,Birdy
2573090341,JustiServ,JustiServ
38215107,felixturner,Felix Turner
113130846,ycombinator,Y Combinator
15307727,firstround,First Round
16228398,mcuban,Mark Cuban
531690550,alexwsmith24,Alex Smith
819028964,DormRoomFund,Dorm Room Fund
2172682861,PickasoundMusic,Pickasound
2922617405,QuokkaIM,Maxim Burtikov
126126365,sarahvorhaus,sarah vorhaus
24613756,jennxpenn,Jenn McAllister
13680252,christenobrien,Christen O'Brien
22097962,ataussig,Alex Taussig
57502401,zatlyn,Michelle Zatlyn
23275456,eastdakota,Matthew Prince
12901712,bchesky,Brian Chesky
23433965,nathanblec,Nathan Blecharczyk
33582043,laurenannelrick,Lauren Elrick
223990128,yochrismurphy,Chris Murphy
479982598,Zoomforth,Zoomforth
1247237509,GlennKramon,Glenn Kramon
72435786,jeffmcrowe,Jeff Crowe
24949412,matt_slotnick,Matt Slotnick
3036019340,magic,Magic
2167690465,HelloAlfred,Hello Alfred
1017647282,JessGBeck,Jessica Beck
962394086,MsSapone,Marcela
2211994704,GetSortd,Sortd
18374005,apurvmishra,Apurv Mishra
381616108,BCCSSociety,BCCSS
347648964,mjburke2,Matt Burke
3120417249,MyCoreHub,CoreHub
2772999469,ProfAkinc,Bridget Akinc
2987889352,jeg460,James Gips
108520314,schwiepit,Frances Schwiep
2810884597,linktexting,Link Texting
1403893830,thedatingring,Dating Ring
310054372,emmatessler,Emma Tessler
622492334,laurenikay,Lauren Kay
2821464700,draftedapp,Drafted
1121745176,CarlLittke,Carl Littke
185214736,littke,Jonatan Littke
1451999862,lookback,Lookback
3252970022,theleagueapp,theleagueapp
865427900,basche42,Ben Basche
2754032714,HeyNowUS,HeyNow
2927758254,AppMeerkat,Meerkat
974131,chrisfahey,Christopher Fahey
2169531733,ameetkall,Ameet
17075525,JoshSundquist,Josh Sundquist
20777047,JakeHurwitz,Jake Hurwitz
17836026,jakeandamir,Amir Blumenfeld
17919972,taylorswift13,Taylor Swift
17844280,johnkrasinski,John Krasinski
15182642,Anthony_Sessa,Anthony Sessa
806934734,jreed0614,Josh Reed
53058714,kimkaupe,Kim Kaupe
1588926073,Brenomics,Brennan White
8287602,jaltucher,James Altucher
706858639,hlgrsm,Holger Seim
794535782,blinkist,Blinkist
15126388,bhalligan,Brian Halligan
16031524,racheltipograph,Rachel Tipograph
89626699,maxk,Max Kanter
27737473,bcheights,The Heights
988957262,DormRoomFundBOS,Dorm Room Fund BOS
579328954,sjtousley,Scott Tousley
2811683299,abarreira_dc,Alex Barreira
475500599,spireandco,Spire & Co
385787874,emilyeraleigh,Emily Raleigh
3059548375,examplapp,Exampl
14313332,ramit,Ramit Sethi
2934780430,techarev,Arev Doursounian
284918890,rli519,Robbie Li
216502130,AddLikeFollow,Nick NM Yap
283917155,muhanzhang,Muhan Zhang
447302467,Toastmade,Toast
1727040013,WedellLauren,Lauren Wedell
300344786,amidha,Anjali Midha
28731551,bolotsky,Cory Bolotsky
19000659,chriscosentino,Chris Cosentino
44956058,KathyGiusti,Kathy Giusti
14245850,alexcote,Alex Cote
90990876,scottbaileyBTV,Scott Bailey
1377348085,JessMeetKen,Jess, Meet Ken
68496094,KenDeckinger,Ken Deckinger
486987537,jtangoVC,Jo Tango
14417215,rrhoover,Ryan Hoover
2458844640,tzhongg,Tiffany Zhong
16980060,geowyn,George Wyner
2903129751,hannahsaywhaaat,Hannah Say
292952065,SarahSherby,Sarah Sherburne
45235907,satramakrishnan,Satish Ramakrishnan
15522014,mxie,Melissa Xie
191274509,alexschiff,Alex Schiff
2451731755,nahommarie,Nahom Marie
16123223,heoj,Holly Epstein Ojalvo
14850356,jjacobs22,Jason Jacobs
1578252474,Syfted,Syft
1883729550,EbenPingree,Eben Pingree
723367982,a_garg24,AG
14692016,JereDoyle,Jere Doyle
5409582,peterwbell,Peter Bell
1605,sama,Sam Altman
2460044760,MikeDixonSC,Michael Dixon
126615815,pgallen90,Patrick Allen
212639702,SpencerWiedeman,Spencer Wiedeman
914061,levie,Aaron Levie
1347512610,Entefy,Entefy
56006821,galvezmi,Miguel Galvez
30498328,lukelightning,Luke Lightning
11648452,pentagoniac,Christopher Nguyen
2228759396,adataoinc,Adatao
168857946,500Startups,500 Startups
27814665,GoogleVentures,Google Ventures
24775410,sequoia,Sequoia Capital
16242081,bhorowitz,Ben Horowitz
5943622,pmarca,Marc Andreessen
2529971,cdixon,Chris Dixon
112880396,TWistartups,ThisWeekinStartups
1938943548,Quabblejack,Quabblejack
96652888,bretthuneycutt,Brett Huneycutt
278691695,YoungEnt,Young Entrepreneur
18206161,tristanwalker,tristan walker
10202,chrisbrogan,Chris Brogan
11740902,tferriss,Tim Ferriss
14777649,LewisHowes,Lewis Howes
12,jack,Jack
14363893,Mazzeo,Matt Mazzeo
196028340,lizwessel,Liz Wessel
3713811,bijan,Bijan Sabet
2591480054,nxtfour,nxtfour
180656346,StartAtShea,Start @ Shea
420109837,annweber04,Ann Weber
14208617,robgo,Rob Go
21576577,BobDavisHCP,Bob Davis
586,sacca,Chris Sacca
19377451,gilgenasty,A$AP Gilgi
599356686,thestartupmag,The Startup Magazine
179136226,AlexaLee1,Alexa Fleischman
511291883,theashbhat,Ash Bhat
16142275,InternQueen,Lauren Berger
21736012,JoshuaJBerk,Joshua BRK
190292949,LAUNCH,LAUNCH
360080339,simonsaysrach,Rachel Simon
64844802,a16z,a16z
4371031,waltdoyle,Walt Doyle
805438718,dalton_danielle,Danielle Dalton
27812057,CJ_Reim,CJ Reim
350988393,davemacboston,Dave McLaughlin
31099876,gcvp,General Catalyst
1081,davemcclure,Dave McClure
195738329,abexlumberg,Alex Blumberg
2855047214,Gimletmedia,Gimlet
14653404,HighlandCapital,Highland Capital
16054093,theREALmarvin,marvin chow
6344912,markgoines,mark goines
154730760,FelixPalazzi,Flix Palazzi
14711282,MOO,MOO
3840,Jason,jason
10078,reidhoffman,Reid Hoffman
275663081,MattBilotti,Matt Bilotti
553880052,PanoramaEd,Panorama Education
370266205,Paul_Hillen,Paul Hillen
437172670,_J_M_R,james reed
52271220,mikelapointebc,Mike Lapointe
16877220,BostInno,BostInno
44196397,elonmusk,Elon Musk
924613568,roughdraftvc,Rough Draft Ventures
1280533519,JennPleus,Jenn Pleus
16728918,AylinAhmet,Aylin Ahmet
110991219,BCISAcademy,BC IS Academy
14831824,le_isms,Le Zhang
