id,name,screen_name
154921482,soosie_smith,Suzanne 
37931791,ejzman,Ed Zaniewski
18270661,brunofridl,Bruno Fridlansky 
2767811721,RKRTB,Reaching Da Beach
7376382,AgentM,Ryan Penagos
18954193,markkinsley,Mark Kinsley
497583009,runlikeagrl,Run Like a Grl
3226185534,runningonpinot,Hillari 
399798848,AubreyMoskal,Aubrey Moskal
1947471769,AyhellOiselle,Ayhell Oiselle
15576480,fitnessista,fitnessista
127707739,PBFingers,Julie
16246788,CarrotsNCake,CarrotsNCake
18382169,LCCotter,Lindsay Cotter
224896282,LeanGrnBeanBlog,Lindsay L, RD 
3012955337,runhappy72,Colleen
441129053,lilfancynancy,Nancy Capen
215114059,earl_penney,Earl Runs NYC
2212602878,LoughranKat,Katherine Loughran
434894043,RunningEscapade,Amy C.
30557543,RunToTheFinish,Amanda Brooks
478877394,mommyrunfaster,Laura
504301585,happyfitmama,Happy Fit Mama
79280332,rUnladylike,Jesica D'Avanza
82183108,MissZippy1,Amanda Loudin
419301720,CoachHenness,Tiffany Henness
390290021,nycrunningmama,Michele Gonzalez
24398239,runwiki,Lisa McClellan
53095216,PavementRunner,Pavement Runner
17532824,bjcjapan,Bradley on the Run
2794940491,Deerfoot95,MacBane
2632439808,presentlyrun,Presently Running
3257818608,daddydidyouwin,Daddy, Did You Win?
339962154,NYCSweat,NYC Sweat
205494181,PhxRecruit,Ryan Harding
17874669,bigdock,Still The BIGDOCK
28546099,MarkMcD4,Mark McDonough
3128438857,werunsocial,#WeRunSocial
84436426,OkieTorchbearer,Steve Ford
2523769992,IMeasureU,I Measure U Ltd.
2755476668,DisneyAnywhere,DisneyMoviesAnywhere
4651761,dj,Dorothy Jean Chang
369748600,ppender6,Paul Pender
208337188,jaypehr,Jay Pehr
22801014,runningday,National Running Day
27517399,tipcan,Antonio Hernandez
1464874562,UrskaSrsen,Urska Srsen
1515845250,GetBellaBeat,Bellabeat
551295019,Supplet,Supplet
2412785605,TerryTrail,Terry Trail
2385267143,grigely,Jason
646633,hakamadare,Steve Huff
2905354061,mplaehn,Molly Plaehn
35903137,alexthomascnn,Alex Thomas
944042744,Drizly,Drizly
123871521,bostonhash,Boston Hash
16004698,bwilli27,Bonnie Wilson
275973821,ruskin_ke,Ruskin
445460964,lindreamer,lin
250728491,callme_cassie_,Tanaka Kaseke
2974860892,phat2phab,Jen Hudson Mosher
126500932,azsungoddess1,Emily White
630909797,MsAMOne77,Amanda
84336761,hosimmons4,Harvey Simmons IV
783214,twitter,Twitter
7708792,Robert_Banghart,Robert_Banghart
9884302,amaravp,Amara Poolswasdi
14284726,calebc,calebc
14797033,daronyondem,Daron Yondem
15392457,joshto,Joshua To
16306619,producingk,Kim Green
17187394,RookieKE,Gatwiri
18074953,fransvanzon,macsnarfje
35616250,ctebow,Carolin Tebow
186549684,meganmarie122,Megan Hawkins
279036810,DylanKehoe,Dylan Kehoe
446754704,Danny_Ray5,Dan Parsons
1413275209,OlsenQuidel,Franco Quidel 
17002395,nytimeswell,NYTimes Well 
2707211156,RWZelle,Zelle 
2662348537,GrosOnAir,Rdiger Gros
28312018,paulrunslong,Paul Adams Running
168020161,timmyolson_run,Timothy Allen Olson
134539954,SageCanaday,Sage Canaday
104336143,ClifBar,Clif Bar & Company
291776660,HOKAONEONE,HOKA ONE ONE
146668923,AltraRunning,Altra Running
27122407,HoneyStinger,Honey Stinger
33835869,nuunhydration,Nuun Hydration
851894738,skechersGO,Skechers Performance
464805322,NickSymmonds,Nick Symmonds
327549479,trackjenny,Jenny Simpson
63075085,HugsAintFree,Hugs Ain't Free
2238849123,Key2fitness1,Key2fitness
65232269,SheRunsBoston,She Runs Boston
223216175,KStewJones,Kristen 
16330790,AviMayer,Avi Mayer
23831679,RoxstarRoxanne,Roxanne Martinez
13734152,BklynRunner,michelle 
33798071,JordanMcNamara,J.MAC
54185325,running_tips,Best Running Tips
33228487,SeeKrisRun,Kris Stevens
138157785,runnerNYC,runnerNYC
19417549,NordicMoxie,Nordic Moxie
69960524,PinkChickRunner,Dawn Hopkins
144338245,MamacitaTri,Coach Christina
81026470,Coupleontherun,Couple on the Run
17325905,BrennanAnnie,Ann Brennan
150173322,MoniqueBolder,M Bolder
22905076,baitman,Beth Aitman
32270806,seattlevj,Vanessa
111212570,hilaryue,Hilary Bienstock
33763415,nkeller4,Nikki Keller
15065441,terrenceturner,Coder T
33939224,carolleeson,Carol Leeson
18097347,coachjanjacobs,Jan Jacobs
84688785,rodolfonava,Rodolfo Nava
14384553,EdTechLife,Ann McGregor
318208510,MrsJasmanJili,Mrs Jasman Jili
961287474,ward_video,John Ward
19519291,officemouse,Meredith Cheryba
39831010,fmholwerda,Freddy and Mirella
1941541375,rohitunaik,Rohit Naik
302224888,ProfCWanderley,Carlos Wanderley
9614342,DrifterMama,Amanda Martin
178554063,Esther_GK,EstherGK
2230421418,augmachino,Augustine Machino
5399142,craigweich,Craig Weich
2326292192,LeslieRuns,Leslie Runs
