id,name,screen_name
20944353,melchen,Melissa Chen
321148927,RyanLemoine337,Ryan Lemoine
29434790,conormurdoch,Conor Murdoch
234521957,notthefakeSVP,Scott Van Pelt
547709514,SlipperyGrapplr,Reed Hayes
2908223661,RTRockets,RT Houston Rockets
114960627,MIT_S_Summit,MITSustainSummit
3082009769,thecurtainapp,Curtain
331069655,samberdinka,Samantha Berdinka 
259882146,leighalanklein,Leigh Klein
98579421,katesacliche,Kate Agnew
403476716,Samma826,Samantha Burke
1301971068,kullatheworld,Salit Sela Kulla
567539169,acthomasca,A.C. Thomas
135544874,MichiMorfoni,Michelle Villagra
2329008026,TorBair,Tor Bair
18274204,pullyl,lauren
5252591,bgurley,Bill Gurley
1942085478,DBeeCee,Denise Bailey-Castro
34537403,b2bLauren,Lauren Brubaker
19050793,CraigCustance,Craig Custance
277717081,GlobeFluto,Fluto Shinzawa
3006334876,NotoriousKSG,Kyle Gerbe
414917275,Phizzleben,Benjamin Davis
17375116,BoozAllen,Booz Allen Hamilton
108479415,davidcapen,David Capen
2987658454,RyersonSpIn,RyersonSpIn
19818470,dallaseakins,Dallas Eakins
17553052,juliann612,Juliann S Larimer
19536617,sstone703,Sarah Stone
29819291,Agylicious,Jyoti Agarwal
66435191,MITFitz,Mike Fitzgerald
36193803,MasonGinsberg,Mason Ginsberg
192224833,_amiller_,Andy
184026932,afranks53,Alex Franks
2158653245,rayhensb,Ray Hensberger
40703475,Pdoro,Pete D'Alessandro
374331960,LukeBornn,Luke Bornn
28396698,RevsPrez,Brian Bilello
14176981,JustinNXT,Justin Ellis
2293912875,zdeossie,Zak DeOssie
39542411,perez2k,Anthony Perez
2279679200,briankrussell,brian
2859470604,bkoppcatapult,Brian Kopp
33614600,Hawk,Andrew Hawkins 
48440127,andrew_wiebe,Andrew Wiebe
18075491,JillStelfox,Jill Stelfox
532752544,StatsbyLopez,Michael Lopez
2480249887,DanRosenheck,Dan Rosenheck
77021540,tennisabstract,Jeff Sackmann
52123759,kevinablue,Kevin Blue
22932207,elyselorraine,Elyse Guilfoyle
371407469,JasonDRobins,Jason Robins
34045140,alieppman,Alissa Lieppman
45607197,LatimerAmy,Amy Latimer
27152997,skennedysox,Sam Kennedy
34735936,DavidPurdum,David Payne Purdum
190709835,DrPatSportsBiz,Patrick Rishe
28441267,KJSchwartzkopf,Kurt Schwartzkopf
161028500,AtAthena,Athena
30029942,AEGSportsCheese,Kelly Cheeseman
7512222,vanDijk,Jennifer van Dijk
32558931,mikedfresh,Mike Derezin
300253369,TomLuginbill,Tom Luginbill
249974958,coachjfranklin,James Franklin
76369773,DrLeslieSaxon,Leslie Saxon, MD
259362652,soccerquant,Chris Anderson
1459758564,SeanPayton,Sean Payton
34345491,marshallfaulk,Marshall Faulk
1560907016,BirkMatt,Matt Birk
33216611,AswathDamodaran,Aswath Damodaran
874876566,ShiraSpringer,Shira Springer
21573326,YinzcamPriya,Priya Narasimhan
1961427530,cgkings,Chris Granger
1638756846,S10Bird,Sue Bird
94457225,ShaneBattier,Shane Battier
46243602,ben_fry,Ben Fry
260523318,CoachBillick,Brian Billick
23633023,Vivek,Vivek Ranadiv
129276705,BonnieBernstein,Bonnie Bernstein
36623013,GrantWahl,Grant Wahl
104633982,Sawchik_Trib,Travis Sawchik
381959968,Spreadapedia,Spreadapedia
272534451,JordanBrenner,Jordan Brenner
311613062,AInsights,Automated Insights
17065799,RobbieAllen,Robbie Allen
1202058846,InsideSportsLaw,The Sports Law Blog
61911267,gusmcnab,Angus McNab
767955936,frankprosports,Frank Provenzano
702167898,LauAtSloan,Laurence Lau
143597858,robertmays,Robert Mays
15193485,mmacmillan3,Mike Macmillan
1214019698,rink_stats,Stephen Pettigrew
44898678,BCECNav,BCECNav
25107345,MassConvention,Mass Convention
16662956,kylenw,kyle wagner
20439806,Doctor_Bryan,Bryan Cole
26613687,keithgoldner,Keith Goldner
139824935,numberFire,numberFire
1054360032,AlokPattaniESPN,Alok Pattani
547160372,analyseFooty,Ravi Ramineni
803723030,SixToolPlayer,Dan Rozenson
17497382,marketo,Marketo
522468677,Thuzio,Thuzio 360
77639821,BenAlamarESPN,Ben Alamar
45027357,alexspeier,Alex Speier
23889019,LewsOnFirst,Lewie Pollis
126716505,PaulAzinger,Paul Azinger
86638213,theCwu,Chachu
46240925,MassChallenge,MassChallenge
20180244,MIT_alumni,MIT Alumni
19389668,mit100k,MIT $100K
70971351,EshipMIT,Martin Trust Ctr MIT
343772422,DanHanner,Dan Hanner
176210560,skepticalsports,Benjamin Morris
2753128310,war_on_ice,WAR On Ice
2228934048,SethPartnow,Seth Partnow
252374454,jillmezz,Jillian Mezzanotte
137512415,micahcohen,Micah Cohen
65122792,CarlBialik,Carl Bialik
16036036,WFNYJacob,Jacob Rosen
270139494,dschoenfield,David Schoenfield
55851119,Baer_Bill,Bill Baer
1615645123,inpredict,Mike Beuoy
48463080,Jeff_Erickson,Jeff Erickson
27449758,SteveAGardner,Steve Gardner
2286066582,No_Little_Plans,Rob Arthur
2844524556,MITLeadership,MIT Leadership Ctr
97722266,MikeGianella,Mike Gianella
17859981,caseywasserman,Casey Wasserman
21527211,jh_moore,Jack Moore
68449573,baseball_ref,Baseball Reference
16629256,seanlahman,Sean Lahman
16273915,dianagram,Diane Firstman
18104452,sabr,sabr
26031372,ESPNBoston,ESPNBoston
19039909,pinepaula,Paula Lavigne
96466429,BenCarsley,Ben Carsley
15312876,ctrent,C. Trent Rosecrans
14458280,HubSpot,HubSpot
487848229,MetsGM,Sandy Alderson
7563792,ussoccer,U.S. Soccer
107146095,MLS,Major League Soccer
27553776,thesoccerdon,Don Garber
2565963218,statcast,#Statcast
1365606414,BaumerBen,Ben Baumer
113765408,daynperry,Dayn Perry
17160895,JHamrahi,Joe Hamrahi
19032103,williamfleitch,Will Leitch
29219500,MikeFerrinSXM,Mike Ferrin
32817728,BizballMaury,Maury Brown
22159997,dynastyguru,Bret Sayre
35011750,cgasper,Christopher Gasper
100859077,ChristinaKahrl,Christina Kahrl
346611655,SportsTaxMan,Robert Raiola, CPA
89553469,MJ_Baumann,Michael Baumann
39618218,longenhagen,Eric Longenhagen
74677491,emmaspan,Emma Span
114971345,sabometrics,Craig Glaser
10266802,ducksnorts,Geoff Young
13982132,medialab,MIT Media Lab
98042827,ThomasGower,Tom Gower
265588915,kyledubas,Kyle Dubas
759823346,MLBPlayerAnalys,Jon Roegele
66672175,Bill_TPA,Bill P
220074860,PacersKev,Kevin Pritchard
29695913,EricFisherSBJ,Eric Fisher
54696250,sahadevsharma,Sahadev Sharma
54314485,JohnGasaway,John Gasaway
83912923,BCCarrollMBA,BC Carroll MBA
17903419,Ourand_SBJ,John Ourand
376838881,Marchese_C,Clint Marchese
38711559,amolmepani,Amol Mepani
326583744,KateABarnard,Katherine Barnard
315189586,amanda_lurie,Amanda Lurie
1534441422,JacobsDavidG,David Jacobs
35355815,RealCharlesLee,Charles Lee
24771267,iTanyaS,Tanya Sarkissian
72365509,benshields3,ben shields
14344140,darenw,Daren Willman
175467374,HickoryHigh,Ian Levy
147205029,TheM_L_G,Mike L. Goodman
365228604,TrakusRacing,Trakus
17491445,AndyGlockner,Andy Glockner
2426131435,scottrosner,Scott Rosner
397651661,adirshiffman,Adir Shiffman
63482276,tyleroberly,Tyler Oberly
582286801,DavidLaurilaQA,David Laurila
27511890,BenJedlovec,Ben Jedlovec
57356422,capgeek,CapGeek
229932742,mattymatty2000,Matthew Kory
73437080,BillAulet,Bill Aulet
75717872,Toirtap,P
30803494,sean_forman,Sean Forman
29278059,BillPetti,Bill Petti
1549229640,mitchellichtman,Mitchel Lichtman
156461982,SBN_BillC,Bill Connelly
33929775,jazayerli,Rany Jazayerli
491480074,MarchiMax,Max Marchi
417224567,gabekapler,gabe kapler
19218763,Neil_Paine,Neil Paine
14736892,ngreenberg,Neil Greenberg
18960302,sporer,Paul Sporer
108186684,kenpomeroy,Ken Pomeroy
14923674,jasoncollette,Jason Collette
95580265,JohnEzekowitz,John Ezekowitz
111464203,ReubenFB,Reuben Fischer-Baum
17071845,mirtle,James Mirtle
1564044589,ExtraSkater,Extra Skater
16856187,mc79hockey,Hon. mc79hockey
61092817,FenwickMatt,Matt Fenwick
116045245,r_j_anderson,R.J. Anderson
96690588,pizzacutter4,Russell A. Carleton
20242861,Sky_Kalkman,Sky Kalkman
2713951,erikmal,Erik Malinowski
50942858,devil_fingers,MJK
37712997,Marc_Normandin,Marc Normandin
561516199,timmarchman,Tim Marchman
23378774,ZachLowe_NBA,Zach Lowe
77810367,octonion,Christopher D. Long
43750993,KDonhoops,Kelly Dwyer
1278161922,based_ball,Jeff Sullivan
47209624,BenLindbergh,Ben Lindbergh
14550476,SamMillerBP,Sam Miller
14747221,enosarris,Eno Sarris
28682014,zacharylevine,Zachary Levine
2178345199,ZebraSports,Zebra Sports
2253979027,WFU_SA,WFU Sports Analytics
152862026,EdwardTufte,Edward Tufte
18279744,harrypav,Harry Pavlidis
15146558,keithlaw,keithlaw
106608573,BeckleyMason,Beckley Mason
80957405,jay_jaffe,Jay Jaffe
146461930,msimonespn,Mark Simon
16037600,jessespector,Jesse Spector
71344809,Jonathan_Feigen,Jonathan Feigen
21283675,brooksbaseball,Dan Brooks
17889970,Gladwell,Malcolm Gladwell
305266391,BurkieNHL,Patrick Burke
25019638,richarddeitsch,Richard Deitsch
94813832,sabermetrics101,Andy Andres
268351423,SaberSeminar,Saberseminar
15439386,dturkenk,Dan Turkenkopf
2472492794,DRFFormulator,DRF Formulator
1342420165,SAnalyticsBlog,SportsAnalytics Blog
50418887,ZebraTechnology,Zebra Technologies
49200060,pobguy,Alan Nathan
47648353,schwartzstops,Cory Schwartz
322249526,NHLEricT,Eric Tulsky
1093896824,patty_ob,Patrick O'Brien
14851881,lmorey,lmorey
516894389,Kim_Sheldon,Kim Sheldon
2288854442,RealBanny,Brian Bannister
645043,injuryexpert,Will Carroll
78100510,mitsloanexperts,MIT Sloan Experts
242368265,hangingsliders,Wendy Thurm
44929255,DSzymborski,Dan Szymborski
14984030,MattWaldman,Matt Waldman
87037825,BtBScore,Beyond the Box Score
74702496,riversmccown,Rivers McCown
26863892,fangraphs,FanGraphs Baseball
15739207,baseballpro,Baseball Prospectus
95229690,cwyers,Colin Wyers
118185433,fastballs,Mike Fast
77395878,DCameronFG,David Cameron
2303751216,FiveThirtyEight,FiveThirtyEight
28370738,SInow,Sports Illustrated
1397342508,theMMQB,The MMQB
28489563,paul_m_campbell,Paul Campbell
821946295,60minSports,60 Minutes Sports
1380107316,MITnews,MIT News
108372088,matt_dollinger,Matt Dollinger
45919599,vayetze,Brian K
8724862,MITSloan,MIT Sloan
2161609166,avatechsafety,Avatech
109497977,katheral,Kate Lewis
320557855,emihontas,emi kiyoizumi
253854657,Prof_Malhotra,Deepak Malhotra
93997039,DaleEArnold,Dale Arnold
600223431,CoachKarl22,George Karl
2341031288,Real_MITCarrie,Carrie Shafir
38686567,regfarina,Reggie Farina
23592598,Kafranklin21,Katie Franklin
798956419,jennycataj,Jenny Jin
592131631,PerssonGulda,Charlotte
19533269,DanielleRussell,Danielle Russell
754710770,CatapultSports,Catapult
34040385,CDWNews,CDW News
21141153,BainbridgeSport,Bainbridge Sports 
462122963,CDWCorp,CDW Corporation
167103505,ShotLink,PGA TOUR ShotLink
39835002,tangotiger,Tangotiger
705092732,DeanO_Lytics,Dean Oliver
2246137147,PValueSports,P-Value Sports
1654684794,cric_reference,Cricket Reference
17093617,hootsuite,Hootsuite
349066972,NewmsTweet,David Newman
22494516,mcten,Dave McMenamin
39215566,haralabob,Haralabos Voulgaris
265159806,Aghanomics,Kareem Agha
41023170,KNegandhiESPN,Kevin Negandhi
397823963,TonyKhan,Tony Khan
20899023,MatthewBerryTMR,Matthew Berry
14816854,katiebakes,katiebakes
262900144,Wasserman,Wasserman
103667704,SASanalytics,SASanalytics
816871884,FENfootballnews,Football Express 
114971521,omid,Omid Ashtari
62413785,94FiftyCEO,Mike Crowley
250327399,Zoomph,Zoomph
353889628,PlayersHealth,Player's Health
385493131,stattleship,Stattleship
494289622,SportsTradex,SportsTradex
272015362,pogoseat,Pogoseat
108202076,Krossovr,Krossover
91043033,jpluscorp,J Plus
58217147,GCsports,GameChanger
595277149,Sentio_Sports,Sentio Sports
435507718,BrandMatchScore,BrandMatch Score
35750112,HPVertica,HP Vertica
74161330,VerizonNews,Verizon News
508298392,SportvisionInc,Sportvision
178306028,Ropes_and_Gray,Ropes_and_Gray
112464786,SASsoftware,SAS Software
23114836,UnderArmour,Under Armour
450952846,KOREsoftware,KORE Software
740855040,LiveAnalyticsTM,LiveAnalytics
76117579,SAP,SAP
5698342,markmcc,Mark McClusky
196318875,ESPNMag,ESPN The Magazine
17814938,Storify,Storify
16963843,PabloTorre,Pablo S. Torre
21841004,evansilva,Evan Silva
51263592,AdamSchefter,Adam Schefter
88763317,Buster_ESPN,Buster Olney
87123771,thepowerrank,Ed Feng
39612543,andymcgeady,Andy McGeady
55424198,chadfordinsider,Chad Ford
19540949,AmyKNelson,Amy K. Nelson
35586563,jemelehill,Jemele Hill
50756605,kirkgoldsberry,Kirk Goldsberry
129942657,bburkeESPN,Brian Burke
351733431,WISEBOS,WISE Boston
42040091,Chris_Broussard,Chris Broussard
50323173,WojYahooNBA,Adrian Wojnarowski
50811932,JHarden13,James Harden
33995409,DwyaneWade,DWade
62587361,daldridgetnt,David Aldridge
16165525,KD,Kendra Desrosiers
366629301,CNBCSportsBiz,Sports Biz
261322929,MCFCGavinFleig,Gavin Fleig
442782820,SportsBoard,SportsBoard
89783226,StarStreet,StarStreet
22159122,TonyReali,Tony Reali
313799238,JackieMacB,Jackie Macmullan
362189733,HisAndHers,His And Hers
342897880,wallyball,Wally Szczerbiak
26844065,KatzJonS,Jon Katz
17033870,brilaf,Brian Lafemina
78504067,RobbHeineman,Robb Heineman
250966338,bettingtalk_,Betting Talk
256529643,WhartonSports,Wharton Sports Conf
3108351,WSJ,Wall Street Journal
355909229,observebaseball,Mateo Fischer
11990782,JoshNason,Josh Nason
15139633,Mark_Cuban,Mark_Cuban
38367466,sportsgal33,The Sports Gal
123930213,fboutsiders,Football Outsiders
511200126,MITDeanDave,David Schmittlein
17874544,Support,Twitter Support
50835878,DrewFromTV,Drew Carey
435820478,thorn_john,John Thorn
172448785,FieldingBible,John Dewan
18580446,performasports,Performa Sports
15966106,YourManDevine,Dan Devine
230939054,LoJackson94,Lawrence Jackson
24240392,bcmassey,Cade Massey
34862549,JeanieBuss,Jeanie Buss
150967034,borascorp,Boras Corporation
19426551,NFL,NFL
221761135,mobivitydisplay,Mobivity Display
278166569,WassermanFDN,Wasserman Foundation
96191847,SportvisionHR,Sportvision Talent
309748017,CDWgolf,CDWgolf
40263343,VitaminShoppe,The Vitamin Shoppe
14253109,adambain,adam bain
14654965,MLGSundance,Dr. Sundance
170424259,JLin7,Jeremy Lin
111681526,ThatHarrisGuy,Courtenay Harris
143947826,AlexiLalas,Alexi Lalas
18805645,djacoby,Jacoby
