id,name,screen_name
27716208,ClwtrBkAtty,Carol A Lawson Esq
83917296,SinglePlatform,SinglePlatform
2258996838,RobertaLipp,Roberta Lipp
2859361547,RoostOklahoma,Roost Oklahoma
19158098,coffeeco,Coffeeco
21762955,hattiesparks,Hattie Sparks
169975493,saffronsd,Su-Mei Yu
101019351,TLNola,Taceaux Loceaux
193116386,SalonSnob,Jordyn Olawumi
450203783,DreamCreamPgh,Dream Cream Icecream
1970038374,hello_itsdeb,Debra Carpenter
193017228,bonme,Bon Me
2920012307,StuffedByPapi,PapiStuffedSopapilla
972867726,scopeguardpony,Spooky Scope 6
14102440,rayyamartino,Ray Yamartino
485448629,OnanaKnits,Eli & Rach
2339530711,Skeeterhotdogs,SkeeterHotDogs
3234728898,Sweet_Scoops_IC,Sweet Scoops
2338838130,MumbaiCafeChi,Mumbai Cafe
573264353,MadeinLES,miLES
2232260892,MoxiJunction,Moxi Junction
23713376,burgerjunkies,Burger Junkies
3286510146,GVcoffee,Green Valley Coffee
145069459,AlabasterCoffee,Alabaster Coffee
316105092,S2Stationery,Sara Stroman
118297257,Brooklyn_Charm,Brooklyn Charm
3247186404,Paradoxbarbers,/Paradox/
623811946,fiordilatte_co,Fior di Latte
190832829,signednumbered,Signed & Numbered
44751340,miettemeg,Meg Ray
1556715145,DobraTeaMA,Dobr Tea MA
57254288,hugetheater,HUGE Theater
843850142,HighFiveCoffee,High Five Coffee
892590354,BeerHallSF,The Beer Hall
273417431,LaColombeCoffee,La Colombe Coffee
36924725,PizzaHacker,PizzaHacker
1704659318,sidecarcoffee,Sidecar Coffee
77274714,bigasssandwich,Big-Ass Sandwiches
330497499,JoyGryson,Joy Gryson
2794619691,FreshKDS,Fresh KDS
324567423,Bellawines,Bella Wines
31154501,paizanos,Paizano's Pizza
2301824520,3steveswinery,3 Steves Winery
90191353,GardeRail,Garde Rail Gallery
3234362916,windwardjuice,Windward Juice
3219579078,Yummy_Grainless,Grainless Gourmet
3047149831,fanatiqueof,fanatique_of
93302391,2000F,Jim McKelvey
2984536357,TryCaviarNYC,Caviar NYC
236526490,LHSummers,Lawrence H. Summers
12,jack,Jack
1190051,roelofbotha,Roelof Botha
42226885,vkhosla,Vinod Khosla
248900032,MagicJohnson,Earvin Magic Johnson
79577888,DucksEatery,Ducks Eatery
487071815,LiveAtFirefly,Firefly Festival
2787028453,SquareAU,Square Australia
1561212001,squeezedcafe,Squeezed Cafe
580030139,eatretrolicious,retrolicious
384029204,AstoriaCoffeeNY,Astoria Coffee
29006129,RobustWineBar,Stanley and Arlene
208667649,grouchyjohns,Grouchy John
170493553,frozenkuhsterd,Frozen Kuhsterd
19750055,PhoenixCoffeeCo,Phoenix Coffee Co.
60900903,MrTodsPies,Mr. Tod
156031148,DIGWineSF,DIGWineSF
100559386,Salsadriven,Salsa Driven
1322619553,echobeachstudio,echobeachstudios
87847388,borealebiking,Borale Biking
