id,name,screen_name
1093090866,FLOTUS,The First Lady
5603992,helvetica,Zach Gage
1291772160,sealln,Sandra Allen
500704345,Pontifex,Pope Francis
50055701,MittRomney,Mitt Romney
502135911,Nick_Offerman,Nick Offerman
132022097,TVsAndyDaly,Andy Daly
331141273,django,Django Gold
18803650,bryanbrinkman,Bryan Brinkman
43841718,alexwellhousen,Alex from Larson's
551533726,ermahgarton,studious emma
59839834,JonBatiste,Jon Batiste
194818167,allisonsilvermn,Allison Silverman
317394465,HelloCullen,Cullen Crawford
475306547,ArielDumas,Imperator Areola
21844854,jonathanalter,Jonathan Alter
181807517,RichDahm,Rich Dahm
233228833,petergrosz,Peter Grosz
32587528,GlennEEEE,Glenn Eichler
637338906,carlreiner,carl reiner
12562402,jenspyra,Jen Spyra
2564263380,BrianStack153,Brian Stack
31344091,GabeGronli,Gabe Gronli
24624541,danguterman,guterman
233001368,sadmonsters,Frank Lesser
9465252,robdubbin,Rob Dubbin
18839897,scardinoandsons,Meredith Scardino
28443216,heyitsopus,opus moreschi
2835886194,colbertlateshow,The Late Show on CBS
1330457336,billclinton,Bill Clinton
