id,name,screen_name
1148628416,HarvardFootball,Harvard Football
168667707,hoopsatharvard,Harvard Basketball
14372486,engadget,Engadget
17003765,GoogleforWork,Google for Work
89517005,MSCloud,Microsoft Cloud
15813140,googlecloud,GoogleCloudPlatform
17000457,Azure,Microsoft Azure
66780587,awscloud,Amazon Web Services
41754227,scottgu,Scott Guthrie
74286565,Microsoft,Microsoft
20571756,satyanadella,Satya Nadella
1636590253,tim_cook,Tim Cook
138182116,trish_regan,Trish Regan
304909941,Lagarde,Christine Lagarde
23642374,Seahawks,Seattle Seahawks
5746452,waltmossberg,Walt Mossberg
35936474,KDTrey5,Kevin Durant
12273252,tomwarren,Tom Warren
377723724,JCrossover,Jamal Crawford
34430522,blakegriffin32,Blake Griffin
47506568,deandrejordan6,DeAndre Jordan
53853197,CP3,Chris Paul
49465463,maryjofoley,Mary Jo Foley
236526490,LHSummers,Lawrence H. Summers
3108351,WSJ,Wall Street Journal
18093476,ScottEnyeart,Scott Enyeart
12,jack,Jack
58621663,hpvigil,Hank Vigil
169321761,PeterChernin,Peter Chernin
13535762,fxshaw,Frank X. Shaw
1249982359,SenateMajLdr,Leader McConnell
30313925,WhiteHouse,The White House
5988062,TheEconomist,The Economist
24167314,PaulGAllen,Paul Allen
42115793,BenMalcolmson,Ben Malcolmson
10078,reidhoffman,Reid Hoffman
783763632,JordanSpieth,Jordan Spieth
23083404,KingJames,LeBron James
26257166,SportsCenter,SportsCenter
