id,name,screen_name
854513532,paulloduca16,Paul Lo Duca
2883512186,NoTechBen,No Tech Ben
1193126047,LessardsBshop,Lessard's Barbershop
110520327,asymco,Horace Dediu
222953824,gov,Twitter Government
870325686,facebookstories,Facebook Stories
85957625,at_nocturn,Alex Tass
84675324,usantidoping,USADA
38130228,KimDeJesus9,Kim DeJesus
296338717,jordanrcrook,Jordan Crook
7380362,alex,Halloween Name Alex
339317307,JimmyG_10,Jimmy Garoppolo
1112233753,AlexRodNews,Alex Rodriguez
96154204,RealKingFelix,Felix Hernandez
16577001,sportsphotos,Sports Photos
3345568971,SeedToSuccess,GlennReed
1092292536,MLBsocial,MLB Social
525054568,chris_hermida,Chris Hermida
2364686624,CharlieWisco,Charlie
223357363,JRMurphy513,John Ryan Murphy
24808379,ChaseWhitley,Chase Whitley
117640526,EliasSports,Elias Sports Bureau
1666471531,WorIdStarFights,World Star Vines
2436389418,SwiftOnSecurity,SecuriTay
1274492916,Things4WhitePpl,ThingsWhiteFolksLike
1408128282,jn2_dgosstol,JN2
15307727,firstround,First Round
185808487,kpcb,Kleiner Perkins
275312020,allieiznardi,allie isnardi
486166536,erinjwhit,Ern
365111467,Peter_Levine,Peter Levine
510903404,StonyBrookBASE,Stony Brook Baseball
16651754,NYIslanders,New York Islanders
17106845,kennethn,Ken Norton
2314726962,BostonVRMeetup,Boston VR Meetup
50762782,stonybrooku,Stony Brook U.
15021324,CorkGaines,Dr Cork Gaines
20463402,JasonSobelESPN,Jason Sobel
27702153,Lefsetz,Bob Lefsetz
246033684,Quid,Quid, Inc.
24234881,ArmyROTC,Army ROTC
76133,tim,Tim Bradshaw
15180311,jandawson,Jan Dawson
93957809,ericschmidt,Eric Schmidt
586,sacca,Chris Sacca
2445809510,periscopeco,Periscope
2193616844,twobitidiot,Ryan Selkis
3084085421,idfwu_mas,Danny H
557141478,TerryTates,TomC
41144996,Cubs,Chicago Cubs
106041193,nuzzel,Nuzzel
1491158084,malibui05,Matt Bui
36082429,jack_welch,Jack Welch
214772204,McKaileyFast,McKailey
1333467482,coindesk,CoinDesk
2828687093,sixcolorsevent,Six Colors liveblog
2927758254,AppMeerkat,Meerkat
605463251,rootulp,Rootul Patel
334813664,Thomas_Herer,Tom Herer
2798297791,csuttlehan,Caroline Suttlehan
2788904485,Ransbotham,Sam Ransbotham
24775410,sequoia,Sequoia Capital
351357724,HammerFist3,Karl From Online
1516409251,OldSchoolBoston,Old School Boston
106837463,Pinterest,Pinterest
64498695,MichaelEPorter,Michael E. Porter
1262737645,MyRocki,ROCKI
284918890,rli519,Robbie Li
44415460,tobiasmcg,Tobias McGuigan
21618305,hellobobby,Bobby Murphy
43968744,nicolejamessays,Nicole James
906002144,dylan_patrick13,Dylan
3028966175,anthonysant909,Anthony Santaniello
46825221,jimgoetz,jim goetz
87036799,gradypb,Pat Grady
