id,name,screen_name
18697326,cloudfoundry,Cloud Foundry
26786964,johnofa,John O'Farrell
2458844640,tzhongg,Tiffany Zhong
3197421097,docravihari,Ravi Hariprasad
11041992,austencollins,Austen Collins
4690301,jdub,Jeff Waugh
756475,Annaleen,Annalee Newitz
2513772432,SkybridServices,Skybrid
211583400,chrissyfarr,Christina Farr
2132641,fredericl,Frederic Lardinois
1093299085,neilswmurray,Neil S W Murray
35405523,mcmiller00,Matt Miller
21626287,davideagleman,David Eagleman
1378117842,droneanalyst,Drone Analyst
3257878578,lesleystolz,Lesley Stolz
466070047,lebrechts,Sophie Lebrecht
776715331,doctorrem,Robert Mittendorff
14284718,SkipFleshman,Skip Fleshman
1330055544,BentheFidler,Ben Fidler
202259748,dollskill,Dolls Kill
72877467,ERINJEEN,DAVEY HAVOK
69123976,Loh,Elliot Loh
794767,gojomo,Gordon Mohr 
49753604,ritholtz,Barry Ritholtz
14528991,teresadg,Teresa Dietrich
97530284,awealthofcs,Ben Carlson
185497496,IshaDatar,Isha Datar
38553720,armenvidian,Armen Vidian
93529573,michaelbatnick,Irrelevant Investor
3302,awilkinson,Andrew Wilkinson
361600531,NewHarvestOrg,New Harvest
269329823,MiyokoSchinner,Miyoko Schinner
23971403,adriancolyer,Adrian Colyer
2859872633,thetarasova,Kat Tarasova
1833561,arbesman,Samuel Arbesman
37363572,bhadrasandeep,Sandeep Bhadra
149029214,AlokVasudev,Alok Vasudev
2436389418,SwiftOnSecurity,SecuriTay
23480524,nanli,Nan Li
2181071694,kunjapur,Aditya Kunjapur
10943662,tbridis,Ted Bridis
65375759,zeynep,Zeynep Tufekci
15935561,marksolon,Mark Solon
8198012,romanmars,Roman Mars
14896592,commagere,Blake Commagere
23613584,clippi,Chris Lippi
24831757,DonaldShoup,Donald Shoup
14723405,markorgan,Mark Organ
8936082,Gawker,Gawker
226611059,SystemsSally,Systems Sally
9264672,krening,karen ingram
11409612,pbrody,Paul Brody
7303572,erictj,Eric Jennings
12416352,bwertz,Boris Wertz
233012661,JustinFulcher,Justin Fulcher
15089988,thetylerhayes,Tyler Hayes 
29094375,joshualandy,Joshua Landy
24765973,ATKingyens,Angela Tran Kingyens
17611064,libovness,Jonathan Libov
2479237915,MikeItagaki,Mike Itagaki, MD MBA
37752766,leecronin,Prof. Lee Cronin
20252406,nigelcameron,Nigel Cameron
217234313,ccc,CCC Events
18783289,adamshostack,adam shostack
