id,name,screen_name
3070280017,RichterMaxwell,Maxwell Richter
45708132,AzureAntoinette,Azure Antoinette
9954032,MimoCT,Michael Morand
15893120,bridey28,bridey28
53978268,mbfxc,Marialice BFX Curran
243754144,patrick_twomey,Patrick Twomey
27812057,CJ_Reim,CJ Reim
28412286,karliekloss,Karlie Kloss
160618826,judyc,Judy
16939148,delbius,Del Harvey
190632027,blakeir,Blake Robbins
2363571,ChloeS,Chloe Sladden
473434157,BrittDanneman,Britt Danneman
1352586948,BlackPplVines,Black People Vines
128717738,beardigsit,Bear Douglas
16369797,kdwalker,Kumi D. Walker
214381876,katja,katja nelson
292337244,ClaudiaSantiFer,Claudia Fernandes
293226880,breakowt,Jennifer Shola
122292238,whitloves,Whitney
2923727883,DondaCreate,DONDA
3093491501,makerbase,Makerbase
499046599,PhilippaBiddle,Pippa Biddle
312544085,marcusmabry,Marcus Mabry
2427933145,mattjohnlas,Matt Johnson
111237194,Paltelco,Paltel
427505253,IjeomaOluo,Ijeoma Oluo
4099171,JessicaValenti,Jessica Valenti
2163374389,existentialcoms,Existential Comics
9019482,akashgarg,akashgarg
443438052,ShilohNoelle,Shiloh Gulickson
37537286,shaun_tai,Shaun Tai
13,biz,Biz Stone
131246994,cdanderson805,Christian Anderson
70976011,jdrishel,Jeremy Rishel
953,mrdonut,Ed Ho
164479591,aspire4gr8ness,Cai Thomas
3366168851,DREAMDGTL,DREAM Digital
37584290,cash,Meredith Colton Hazy
268439877,simiskeez,Simi Faj
37263734,MJGillis,Mark Gillis
248900032,MagicJohnson,Earvin Magic Johnson
127062637,omidkordestani,Omid Kordestani
14454645,vivian,Vivian Schiller
482708367,MichaelDTubbs,Michael Tubbs
25330784,Dannystrong,Danny Strong
14719341,mkerns,mkerns
15723653,sarahrlnrd,Sarah Leonard
36823,anildash,Anil Dash
831902605,DeMarillacSF,De Marillac Academy
5763262,karaswisher,Kara Swisher
15698507,scottbelsky,Scott Belsky
3463550656,WeRiseNigeria,We Rise Nigeria
3930063208,AfricaYouthGala,African Youth Gala
3890544262,TheREDSummit,TheREDSummit
3233509898,FemAdesina,Femi Adesina
2834056048,LarryLarmeu,Larry
17493187,aileenlee,aileenlee
3668032217,JRBlake,James Blake
283363982,Chinaeg,Chinae
1339809884,NickPacilio,Nick Pacilio
3254857712,devcolororg,/dev/color
15010324,makinde,Makinde Adeagbo
13180442,RebeccaClayman,Rebecca Clayman
1339483092,MaciPeterson,Maci Peterson
818071,ericjackson,Eric Jackson
62653,donlbe,Don Loeb
24469504,CarolineAvakian,Caroline Avakian
443740373,DrAngelicaPerez,Angelica Perez, PhD
163456477,ThinkBigSociety,LATINAS THINK BIG
3835855337,todayinblk,Today in Blk
42559115,joshm,Josh Miller
3260518932,TwitterMoments,Twitter Moments
23377569,ogundamisi,Kayode Ogundamisi
102321171,supersanusi,SuperSanusi
3254874349,AfriTechSummit,Africa Tech Summit
586671909,vine,Vine
