id,name,screen_name
31285982,googleearth,googleearth
3245142196,googlenewslab,Google News Lab
27814665,GoogleVentures,Google Ventures
168264219,nest,Nest
300378623,googlefiber,Google Fiber
32468665,googledrive,Google Drive
243381107,GooglePlay,Google Play
382267114,Android,Android
38679388,gmail,Gmail
31311757,googlemaps,Google Maps
56505125,googlechrome,Google Chrome
180380465,YouTubeIndia,YouTube India
94530194,googleindia,Google India
10228272,YouTube,YouTube
33838201,googleresearch,Google Research
783214,twitter,Twitter
20536157,google,Google
3413862945,alphabetincIN,Alphabet Inc. India
