id,name,screen_name
858051,dannysullivan,Danny Sullivan
2916305152,Snowden,Edward Snowden
16519214,jkumahara,jkumahara
47285504,MarkRuffalo,Mark Ruffalo
14167938,zoefinkel,zoe finkel
22456397,briankadar,Brian Kadar
104969057,IanMcKellen,Ian McKellen
2833968280,lookupHQ,Lookup
17618539,deepakravindran,Deepak Ravindran
972651,mashable,Mashable
1132994426,BiIIMurray,Bill Murray
139638149,jmilinovich,John Milinovich
325832193,jonathansfrakes,Jonathan Frakes
19029137,BrentSpiner,Brent Spiner
1137700339,gates_mcfadden,Gates McFadden
14712874,jeffrey,Jeffrey Kalmikoff
11348282,NASA,NASA
37710752,BillNye,Bill Nye
19725644,neiltyson,Neil deGrasse Tyson
2726777680,YrBFF,BFF
488620840,OpenMindTV,The Open Mind
19333719,heffnera,Alexander Heffner
443216748,jeromejarre,JRME JARRE
6480682,azizansari,Aziz Ansari
8161232,richardbranson,Richard Branson
190238849,fruitandbarley,FruitandBarleyMusic
24024778,kalpenn,Kal Penn
330101332,SaltzmanJason,Jason Saltzman
33950666,ericharr,Eric
125125321,MollyDotOrg,Molly Wernick
10064382,MartinSFP,Martin Bryant
6206612,MikeSnider,Mike Snider
220496287,StringStory,Suzanne Nguyen
364477412,CapitalOne,Capital One
2655108936,superme,Super
76121198,Interactivlogic,Evan K. Stone
239471674,lesleyChile,Lesley
1025460504,MarkHoplamazian,Mark Hoplamazian
37434855,HyattConcierge,Hyatt Concierge
37453630,TheJetGuy,Miles Rogers
836447504,mostwoke,radio raheem
17452214,Shmi_So_Far,Lakshmi
5413,dustin,dustin senos
389060072,montalvo_d,David Montalvo
185808487,kpcb,Kleiner Perkins
44771048,RonConway,Ron Conway
12488992,JuliaPrieto,Julia Prieto
35146779,chademeng,Chade-Meng Tan
29554644,crzyopossumlady,Kim Sandholdt
2358853867,StellerStories,Steller
2767632555,DnaTestDirect,DNA Test Direct
370862912,AdobeDrawing,Adobe Drawing
21576543,tfadell,Tony Fadell
109589216,ftreports,FT Special Reports
9109712,PeaceCorps,Peace Corps
77527412,WarbyParker,Warby Parker
14936846,BoxHQ,Box
276254736,Postmates,Postmates
28644174,bjnovak,B.J. Novak
159223609,whymicrosoft,Why Microsoft
110365072,GordonRamsay,Gordon Ramsay
382267114,Android,Android
183320631,SFOpera,San Francisco Opera
19261791,zem,Zem Joaquin
46556163,tykin88,Jason
1636590253,tim_cook,Tim Cook
248900032,MagicJohnson,Earvin Magic Johnson
92367751,jessicaalba,Jessica Alba
242797389,smtabatabaie,Mojtaba Tabatabaie
14715999,everydaydude,Aaron Durand
15075035,colbay,Coleen Baik
114971521,omid,Omid Ashtari
14253109,adambain,adam bain
756129,johnolilly,John Lilly
1586501,nickbilton,Nick Bilton
353195232,liftapp,Lift
4265731,aunder,April Underwood
2536132270,jellychad,Jelly Chad
573008688,JaimePrimak,Jaime Primak
16939148,delbius,Del Harvey
949,pedraum,Pedraum Pardehpoosh
2195887807,Iearnsomething,Learn Something
6750982,torbahax,Andrew Torba
31497981,KrisSanchez,Kris Sanchez
16281180,MargaretSimons,MargaretSimons
66325391,tsraamu,tsraamu
29613554,meileen_buckley,Eileen Buckley
337397736,TeachJones,Mr. Jones
21122578,AdamS,Adam Sharp
21865734,jennyhutt,Jenny Hutt
6633812,jazzychad,Chad Etzel
318571154,iBooks,iBooks
12476572,capetechtress,T
224815659,k_krakatoa,Katie Wright
1358496307,TwoCleanDudes,Two Clean Dudes
19568034,CaroMT,Caroline MT
18221407,aporemski,Andre Poremski
106908333,kimkconnects2u,Kim Kennedy
15603374,origiful,Ian Padgham
44196397,elonmusk,Elon Musk
31586578,stephen_wolfram,Stephen Wolfram
93816871,jessedana,Jesse Dana
15636291,GrandCentralPub,Grand Central Pub
47638150,bengreenberg1,ben greenberg
15827269,BradStone,Brad Stone
3226561,davidsze,David Sze
2363555545,j_w_l_e,John Elia
244255536,tgsfilm,T Greenfield-Sanders
181703779,grafera,Alexa Grrrfera
6516752,steven_johnson,Steven Johnson
2335526227,the1olive,One Olive
226933619,JohnLMacFarlane,John MacFarlane
1316672252,jelly,Jelly
1110531,original_jelly,Jelly
17100373,galharth,Gal Harth
31496613,PGE4Me,PG&E
9534522,Pogue,David Pogue
920104904,bad_robot,Bad Robot
24776235,DonnieWahlberg,Donnie Wahlberg
17877122,clairecm,Claire Cain Miller
30973,Starbucks,Starbucks Coffee
118203,eoghanmccabe,Eoghan McCabe
13226712,zachb,Zach Blume
792690,hoverbird,Patrick Ewing
1955219839,drswagel,Eric Swagel
175770747,cadencestirman,Cadence Stirman
181851585,Nick,Nick Fisher
1330313185,lucasmuseum,Lucas Museum
29552896,CodeCloak,David Brett
68167893,vivienneharr,Vivienne 
333081796,Lornebalfe,Lorne Balfe
9464422,rwebb,Rob Webb
17265139,jimmyshen,Jimmy Shen
259701844,originmagazine,Origin Magazine
22503430,Eunner,David Eun
7137662,bahetipras,Prashant
16589206,wikileaks,WikiLeaks
5965332,davidlee,David Lee
17854419,kraneland,David Krane
1183041,wilw,Wil SCREAMton
232739652,rullifrancesco,Francesco Rulli
522205169,RoyaMahboob,Roya Mahboob
40348978,gregfriia,Greg Friia
816321,austinsarner,Austin Sarner
1032290077,sandyhook,Sandy Hook Promise
93465778,reneauberjonois,Rene Auberjonois
203718372,kaalpert,Katie Alpert
61996549,christvas,ChristosVasilopoulos
431412404,FaradayBikes,FaradayBikes
50033539,ArtsJCCSF,Arts & Ideas JCCSF
602317143,SirPatStew,Patrick Stewart
740669928,JillTracySnider,Jill Tracy Snider
22265745,kevinhuanghk,Kevin Huang
210967384,rosenfeld_j,Jonathan Rosenfeld
571202103,Medium,Medium
631603,cassiestirman,Cassie
35404273,larsras,Lars Rasmussen
569714177,BeyondMeat,Beyond Meat
15473958,MarsCuriosity,Curiosity Rover
608530280,TinPunchMedia,Tin Punch Media
7647882,stevesteve,Steve Snider
15076390,Padmasree,Padmasree
2397,daveg,David Galbraith
6273552,MCHammer,MC HAMMER
466807381,NikeFuel,NikeFuel
30022913,alewnes,Ann Lewnes
202571491,idiot,Visual Idiot
5841,stirman,Jason Stirman
14600116,johnbattelle,John Battelle
657863,kevinrose,Kevin Rose
18586800,neoinnovate,Neo Innovation
22193381,jyhsu,Jean Hsu
20917630,inventioneer,Nancy Conrad
5017,joshu,joshua schachter
475757358,danielwuyanzu,Daniel Wu
234489403,mayoredlee,Edwin Lee
415859364,Nike,Nike
19301287,lkcostolo,Lorin Klein costolo
36600339,NiceCollective,N.I.C.E. COLLECTIVE
2426,monteiro,Mike Monteiro
9207632,brainpicker,Maria Popova
15420902,jrw,jen reiber walsh
23217821,ashishgoel,Ashish Goel
378223565,sparker,Sean Parker
312069087,MargeryNorton,margery
173955238,narrowd,Nick Jones
27471945,DaraTorres,Dara Torres
14380175,sirgutz,Brian Sirgutz
90922259,kevinprivate,Kevin.private
380,kevin,Kevin S.
14985228,petersagal,Peter Sagal
13784322,waitwait,waitwait
322904764,obviousvc,Obvious Ventures
13706042,rahafharfoush,Rahaf Harfoush
7586362,randomhouse,Random House 
270833612,cccdday,Debbie Day
248073897,fm0708,f&m
14995883,cristinafpereda,Cristina F. Pereda
27550622,lschlesinger,Len Schlesinger
29964675,rqui,Robin Quivers
265696074,pepcostudio,philip pascuzzo
212364827,twitterchicago,Twitter Chicago
64857643,jeffreytambor,Jeffrey Tambor 
20245775,nprscottsimon,Scott Simon
86336234,Astro_Flow,Leland Melvin
243640768,ConvergeUS,ConvergeUS
41922755,hubsarasota,HuB Incubator
250831586,TheRock,Dwayne Johnson
13783772,nprfreshair,Fresh Air
246481013,HowardStern,Howard Stern
24266406,JBoorstin,Julia Boorstin
17004618,NickKristof,Nicholas Kristof
21294552,Paperwheel,Paperwheel
16118082,emofly,Emily Fleischaker
1347391,davidrdesign,David Robinson
28164096,rachaelray,rachael ray 
828991,VCMike,Mike Hirshland
14248451,Joshmedia,Josh Felser
17289517,lisalutz,Lisa Lutz
128956175,TheRealNimoy,Leonard Nimoy
71294756,wolfblitzer,Wolf Blitzer
16906137,pourmecoffee,pourmecoffee
80700514,RealTracyMorgan,Tracy Morgan
1468401,sockington,Sockamillion
145364834,SchwabService,Charles Schwab Corp
39585367,Harvard,Harvard University
59807716,trendingboys,chee$e
5943622,pmarca,Marc Andreessen
130491582,StarTrek,Star Trek
88749392,JuddApatow,Judd Apatow
12622352,Stoli,Stolichnaya Vodka
203973528,bizandlivia,Biz and Livia
36871891,thesheds,The Sheds
25515892,MrMorganMiller,Morgan Miller
28800145,shedmama,Colleen Miller
183749519,paulg,Paul Graham
30313925,WhiteHouse,The White House
14348594,hodgman,John Hodgman
14761795,TEDchris,Chris Anderson
14112294,benhuh,benhuh
179339999,RonConwayFacts,Ron Conway Facts
15705437,Lookout,Lookout
14824849,SteveMartinToGo,Steve Martin
24019308,iTunesTrailers,iTunes Trailers
185210288,melbmiller,Melissa B. Miller
23693443,Witchy17,Samantha Stone
121208814,mimitowle,Mimi Towle
16190898,RyanSeacrest,Ryan Seacrest
107795399,adriangrenier,Adrian Grenier
180505807,instagram,Instagram
20263710,rabois,Keith Rabois
666073,trammell,Trammell
12,jack,Jack
26505261,FSCostaRica,Four Seasons Costa R
9410952,putorti,Jason Putorti
16896060,buckhouse,James Buckhouse
42226885,vkhosla,Vinod Khosla
21179089,vittana,Vittana
18925830,qftravelinsider,Qantas Travelinsider
160995603,BambooBottleCO,Bamboo Bottle Co.
18337283,pandemona,Sara Haider
48410093,TomCruise,Tom Cruise
5500,iseff,Ian Sefferman
22060192,epicentercafe,Epicenter Caf
135621560,MTVTJ,Gabi
30706550,toddwomack,Todd Womack
21837144,shawndempy,Shawn Dempewolff
153698653,altavistaschool,Alta Vista School SF
18780567,Blogger,Blogger
75168146,ThirstyBearBrew,ThirstyBear Brewing
167596831,Rammystar,Rammy
19853,rk,Ryan King
30793570,sfjulie,Julie J
16230180,mkaufmann,michelle kaufmann
133085344,ShitMyDelSays,ShitMyDelSays
809760,badbanana,Tim Siedell
26376522,francesca,Francesca
19923144,NBA,NBA
15211564,sam,Sam Luckenbill
59003,Claire,Claire Daz-Ortiz
7320972,boblord,Bob Lord
130762663,PreschoolGems,Preschool Gems
133880286,LeoDiCaprio,Leonardo DiCaprio
169686021,kanyewest,KANYE WEST
28506038,ROWGHANI,Ali Rowghani
38706884,spartacus_starz,Spartacus
16444606,KatieBoehret,Katie Boehret
7493,leland,leland rechis
749863,hotdogsladies,Merlin Mann
145753059,TakeItFromUsPR,TIFU PublicRelations
13919072,robinsloan,Robin Sloan
949521,stop,Doug Bowman
93547212,choppedonion,Kelly
48797251,OldSpice,Old Spice
79797834,ebertchicago,Roger Ebert
13925632,mrtall,Andy Lorek
27148700,amy,Amy Saper
14520685,lg,Larry Gadea
7101692,mm,Morgan Missen
14013722,mgrooves,Matt Graves
9943672,lorenb,Loren Brichter
30013010,kairyssdal,Kai Ryssdal
22937232,mabb0tt,michael abbott
115734106,kris,kris
7356562,askgeorge,Rep.George Miller
95948044,FloreVegan,Flore Vegan Cafe 
12101862,VirginAmerica,Virgin America
153812887,MedvedevRussia, 
28247129,OliRyan,Oli 
87532773,design,Twitter Design
257,rael,Real Ghoulfest
1979921,joshelman,Josh Elman
27817411,Bakari,Bakari Brock
158079127,Nonprofits,Twitter Nonprofits
68837369,aspenjfm,jerry murdock
74534435,janetvh,janet van huysse
14098762,pesmou,Maria Thomas
94143715,KatieS,Katie Jacobs Stanton
2363571,ChloeS,Chloe Sladden
691353,Joi,Joi Ito
14097951,jguynn,Jessica Guynn
54002110,sqfield,Simon Quellen Field
34572451,Doutzen,Doutzen Kroes
20109973,AnnCurry,Ann Curry
60103934,candle79,Candle 79
15830716,hughhefner,Hugh Hefner
114060538,LiberalHitGirl,Liberal Hit-Girl
79401620,stevendeknight,Steven DeKnight
74680047,demotterudy,Rudy Demotte
113425681,toptweets,Top Tweets
83367875,LesleyAnnBrandt,Lesley-Ann Brandt
5385912,jpsilvashy,JP Silvashy
22857071,barnaby_b,Barnaby Bienkowski
14221193,YourTravis,Travis Tilley
26133822,TheJournalizer,Elliot Volkman
13684712,austinbryan,Austin Bryan
142314474,akazan,Arda Kazan
91586468,Notgregory,Gregory
42616332,WebNinjasi,Cengizhan Kurt
14294950,sjsivak,Seth Sivak
133348274,monsieur_ancor,A. v. d. Bornwiesen
17738516,dogantuncer,Dogan Tuncer
8632782,erhanerdogan,Erhan Erdogan
28195789,georgemasonlaw,George Mason Law
73443014,ninadobrev,Nina Dobrev
643443,Twitterrific,Twitterrific
19064312,Emmabarnett,Emma Barnett
139583855,herbivorecc,Herbivore
93049017,katrinalaw,Katrina Law
17454341,laura,laura i. gmez
40581159,IntBirdRescue,BirdRescue.org
129073048,therealjess,Jessica Verreally?
7694352,cpen,carolyn penner
16373878,MilkenInstitute,Milken Institute
30918717,KorakiaPensione,Korakia Pensione
121861574,RT2Give_Confirm,Retweet Confirmation
14628988,x5315,Tom Brearley
22048294,jjlauer,Joe Lauer
134049154,theashcloud,Volcanic Ash Cloud
104653858,taggable,Taggable
18812301,katiecouric,Katie Couric
75323662,KristinK,Kristin Kanaar
64823914,RoomtoRead,Room to Read
11347122,GavinNewsom,Gavin Newsom
49573859,iamwill,will.i.am
287713,crystale,Crystal English
115485051,ConanOBrien,Conan O'Brien
17367919,the_ball,The Ball
58560480,MichaelDell,Michael Dell
7716532,hsyee,Henry Sene Yee
20609518,DalaiLama,Dalai Lama
54365543,AliciaSilv,Alicia Silverstone
9624742,StateDept,Department of State
22207014,AirshipPrize,Airship Prize
18681139,priyankachopra,PRIYANKA 
25216995,olivia,olivia wilde
27830610,WFP,World Food Programme
70773415,digicelgroup,Digicel Group
113459473,vintagepc,PC Museum
822571,SG,Sean Garrett
16908562,FarmSanctuary,Farm Sanctuary
110827653,EvaLongoria,Eva Longoria
103943240,playglitch,Glitch, the game
112609820,Coccyzus_biz,Abdur
58610772,caafoundation,CAA Foundation
21982720,ariannahuff,Arianna Huffington
95901946,LudovicoEinaud,Ludovico Einaudi
50393960,BillGates,Bill Gates
50374439,tomhanks,Tom Hanks
18259651,emaland,emaland
82004683,CauseWorld,CauseWorld
88767967,thestartproject,The Start Project
94952375,Coccyzus,Abdur Chowdhury
3588081,tripadler,Trip Adler
95802291,blippy,Blippy
46123040,mischa,Mischa Nachtigal
42437497,boblesko,Bob Lesko
