id,name,screen_name
393643881,kpjohnson67,Kevin Johnson
14134461,rlaskey,Richard Laskey
420636848,daviddao_,David Dao
3724527616,ssanderson11235,Scott Sanderson
1972447699,shivasai_shinde,Shiva Shinde
4908331,hughpyle,Hugh Pyle
2612272831,lizvdk,Liz
67915432,jeffknupp,Jeff Knupp
880393998,SagnewShreds,Sam Agnew
83059488,ideepakkrishnan,Deepak
248849136,margotcodes,Margot Mazur
14698049,alexip,Alex Perrier
8600232,matthewcornell,Matthew Cornell
3236716955,percipienthq,Percipient Networks
2828344441,fluentpython,Fluent Python
16996963,shireenrao,shireenrao
150980693,kazuarous,Tzahi Vidas
28131544,Brendan_G_Reese,Brendan Reese
536965103,haxor,Brett Slatkin
8872712,wescpy,Wesley Chun
3608565616,pythoncookbook,Python Cookbook
21473325,hjwp,Harry Percival
1813571,liza,Liza Daly
402402174,clokep,Patrick Cloke
15111542,tomleo,Tom Leo
60951086,nocnokneo,Taylor Braun-Jones
35242212,macdiesel412,Brian Beggs
9047952,dibau_naum_h,Udi h Bauman
16261827,pszNicx,Nick Gotch
18642858,abeals,Aaron Beals
1713902882,jmeickle,James Meickle
17904539,Art_Wolf,John Doyle
255494602,hattwick,Phil Hattwick
17620041,keithxm23,Keith Mascarenhas
317132738,SmartererDaveS,David Sturgis
3252473567,stephendicato,Stephen DiCato
2996502625,fullstackpython,Full Stack Python
184241690,DanaKE,Dana Engebretson
6684742,ubernostrum,James Bennett
73806016,macropin,Andrew Cutler
2445802928,pythontrending,Python Trending
197436479,giocalitri,Giovanni Di Milia
14354369,regebro,Lennart Regebro
574827627,PythonHub,Python Hub
447840446,PythonCentral,Python Central
74722148,etianen,Dave Hall
187863503,GrahamDumpleton,Graham Dumpleton
21097510,PythonIreland,Python Ireland
5637652,codinghorror,Jeff Atwood
254791849,SciPyTip,Scientific Python
73946259,planetpython,Planet Python
14749606,Dropbox,Dropbox
6040792,pythoncoders,Python Coders
484757080,pycoders,Pycoders Weekly
995848285,nginx,NGINX, Inc.
313094508,meredytheco,megadeth moleman
373620985,PythonWeekly,Python Weekly
17182307,bettlebrox,Mick T.
2255541889,OH_edX,Overheard at edX
284467345,pythonanywhere,PythonAnywhere
3729891,audreyr,Audrey Roy Greenfeld
14835908,pydanny,Daniel Roy Greenfeld
3098427092,TalkPython,Talk Python Podcast
3140860217,Podcast__init__,Podcast.__init__
22042824,ericmjl,Eric Ma
3018841323,OpenDataSci,Open Data Science
168689625,JustinRCarroll,Justin Carroll
426482223,v_makushkin,Vladimir Makushkin
38199764,zevav,Zev Averbach
95977532,crossfitandbeer,Scott Prive
184392222,ggerrietts,Geoff Gerrietts
9651202,clarkjacker,Ben Clark
1133104273,__qualname__,Joe Jevnik
41291312,shanbady,Shankar Ambady
12250612,searsmerritt,Sears Merritt
2722546986,jlowryduda,Joanna Lowry-Duda
903014323,sn0rthway,Stephanie Northway
106151810,python_tips,Python Tips
1658689652,bigapplepyinc,Big Apple Py
457886651,getpy,Get Python
106039518,pyconau,PyCon Australia
14637453,pyconit,PyCon Italy
216699408,phillypug,Philly PUG
2835746784,importpython,importpython
745911914,RealPython,RealPython.com
277141637,pypyproject,The PyPy Project
284739139,pyladies,PyLadies
345673106,WomenWhoCode,Women Who Code
242645565,adainitiative,The Ada Initiative
15066550,ironpython,IronPython Team
15804774,gvanrossum,Guido van Rossum
987181214,SciPyConf,SciPyConf
15324940,europython,EuroPython
15962027,djangocon,DjangoCon
14513179,cgoldberg,Corey Goldberg
6146692,arnicas,Lynn Cherny
17190722,jbiggar,jbiggar
15904012,danrie,danrie
62610095,bgalbraith,Byron Galbraith
102080846,ThatAndromeda,Andromeda Yelton
14337485,jhamrick,Jess Hamrick
14996393,pmcanulty01,Pamela McA'Nulty
15162418,eddiehebert,Eddie Hebert Jr.
215739497,singingwolfboy,David Baumgold
683813,paulswartz,Paul Swartz
6053842,lmacken,Luke Macken
404824754,janet_riley_net,Janet Riley
435009411,LauraRupprecht,Laura Rupprecht
18326200,philipdurbin,Philip Durbin
38550371,dankosaur,dan kuebrich
263270016,stuartpowers,Stuart Powers
11133592,ijstokes,Ian Stokes-Rees
381193410,tyrostone,Laura Stone
4914941,tfmorris,Tom Morris
28512856,MattBachmann,Matt Bachmann
395627196,shauna_gm,Shauna Gordon-McKeon
1337348780,AllenDowney,Allen Downey
21161420,oboesqueaks,Jennifer
1433864449,makmanalp,Mali Akmanalp
1068642878,skscharr,Sam Scharr
48843,marinaz,Marina
7717322,PerryGrossman,Perry Grossman
1548721730,deborahhanus,Deborah Hanus
1075381992,cushyChicken,Nash Reilly 
600563757,VikParuchuri,Vik Paruchuri
110536288,nedjl,Ned Jackson Lovely
1448902934,tushman,Jonathan Tushman
1935185257,LCRcircuit,Laura Rupprecht
11034462,bhrutldg,Brian Rutledge
96179624,1angdon,Langdon White
1846474309,diatomsRcool,Anne Thessen
2198317052,Python_Dojo,Python Dojo
45208530,openhatch,OpenHatch
15700773,CartyBoston,CartyBoston
911304212,TobiasMacey,Tobias Macey
79615410,michelleful,Michelle Fullwood
54594273,mikec64,Mike Combs
617072239,pvangundy,Paul VanGundy
2485336275,HowToLrnPython,How to Learn Python
22326922,darrinmc,Darrin McCarthy
11069462,OReillyMedia,O'Reilly Media
2530339754,easyaspython,Easy as Python
2375451662,petecious,Pete Martin
8396342,MA02129,MA02129
28032548,pyohio,PyOhio
2727767280,PyChicago,PyChicago
2807629028,mike3d0g,Mike Combs
2567739300,bostondatacomm,BostonDataCommunity
18498783,doctaphred,Frederick Wagner
963481,natea,Nate Aune
24877257,mmillions,Molly de Blanc
1513377314,OpenEdX,Open edX
1413197468,PyLadiesBoston,PyLadies Boston
16273417,nedbat,Ned Batchelder
24945605,jessicamckellar,Jessica McKellar
191225303,djangoproject,Django
16247281,djangopony,djangopony
14711268,BarCampBoston,BarCamp Boston
61555190,djangoboston,Django Boston
86141716,jqueryboston,jQuery Boston
63873759,ThePSF,Python - The PSF
9475182,pycon,PyCon
