id,name,screen_name
21158535,petroccoco,Pete Winterscheidt
14860283,iheart2code,Jeremy White
36823,anildash,Anil Dash
27463816,tyeetyee,Tyee
516778814,wellskatie,Katie Wells
3270622363,UMichAthletics,Michigan Athletics
14085740,jimprosser,Jim Prosser
230287527,evanspiegel,Evan Spiegel
127062637,omidkordestani,Omid Kordestani
14602130,cra,Chris Aniszczyk
407933800,joyding,all hallows' joy 
2436115542,TheLiebowitz,Josh Liebowitz
29417304,deray,deray mckesson
439666606,isaacvandor,Isaac Vandor
381679006,alizar,Aliza Rosen
26659703,MeredithFrost,Meredith Frost
3260518932,TwitterMoments,Twitter Moments
1410245676,KayteSB,Kayte SpectorBagdady
868626307,mturco35,Marty Turco
1425570211,NozomuSas,Noz Sas
214381876,katja,katja nelson
14216123,jimcramer,Jim Cramer
57504781,DanJackson415,Dan Jackson
3742863554,CapitalHLabs,Capital H Labs
1115938326,yohan,Yohan Hartanto
28624682,sbxr,Steve Baxter
2916305152,Snowden,Edward Snowden
359212157,kumargautam11,Kumar Gautam
8925322,crazyfoo,Josh McFarland
265561361,toddlovesthis,Todd
1945618494,aleepay,ALicia P
17611446,joulee,Julie Zhuo
353789193,StartupLJackson,Startup L. Jackson
86158118,jasongay,Jason Gay
14229118,iamstevearnold,Steve Arnold
66664899,RachitUppal,Rachit Uppal
206014299,anitdas,Anit Das
29757988,gchaturvedii,Gaurav Chaturvedi
106116852,DangerGuerrero,Danger Guerrero
14231571,marcoarment,Marco Arment
16734909,TurnbullMalcolm,Malcolm Turnbull
23097320,nslovan,Nicholas Slovan
600029236,50NerdsofGrey,50 Nerds of Grey
17442726,rafaeldahis,Rafael Dahis
372480639,justmadhu,Madhu 
783763632,JordanSpieth,Jordan Spieth
116669011,ilyasu,Ilya Sukhar
144045524,dannyjespinoza,Danny Espinoza
3288393160,kathyminando,Kathy
393498225,laurenoni,Lauren Oneill
2615711668,ItsTaliTime,Tali Sason
142457170,Harmonix,Harmonix
519151098,deeps,deeps
155772387,numazer,Numazer Pavri
405248214,brextonpham,Brexton Pham
24887250,briangriffey,Brian Griffey
113928492,jzazove,Jonathan Zazove
2401934150,SemyonDukach,Semyon Dukach
13459772,VernonW,Vernon Wharff
15092220,sherene,Sherene
11730942,jarredt,Jarred Taylor
449588356,Kasparov63,Garry Kasparov
30352096,MagnusCarlsen,Magnus Carlsen
3249036551,WordenHall,Worden Hall
2602243418,lawnond,The Lawn on D
16432083,erna_solberg,Erna Solberg
