id,name,screen_name
132961448,AngelaAhrendts,Angela Ahrendts
256277422,StocktonSays,Nick Stockton
29623382,mjw,Michael J. Wolf
21872269,laurenepowell,Laurene Powell
232991743,kaarmann,Kristo Krmann
17234976,mdlevinson,Michael Levinson
1868925908,ResearchMark,Research Wahlberg
54711914,Nicolas_Colin,Nicolas Colin
14260960,JustinTrudeau,Justin Trudeau
14974187,MarcusRomer,Marcus Romer
3942597494,PessimistsArc,Pessimists Archive
18152897,chirag_mehta,Chirag Mehta
64657863,prchovanec,Patrick Chovanec
17579431,spignal,Stanley Pignal
1180379185,RealBenCarson,Dr. Ben Carson
15745368,marcorubio,Marco Rubio
85831860,Ronin_Jim,James Clark
14592723,MayoClinic,Mayo Clinic
3751591514,Steven_Ballmer,Steve Ballmer
398393655,mvellank,Mahesh Vellanki
20272531,HopkinsMedicine,JohnsHopkinsMedicine
30862829,harvardmed,Harvard Med School
35405523,mcmiller00,Matt Miller
12329252,GregorMacdonald,Gregor Macdonald
14710416,synopsi,Rasty Turek
127062637,omidkordestani,Omid Kordestani
18839785,narendramodi,Narendra Modi
3632,eriks,Erik Schwartz
4855501,mialomo,Mia Bennett
14642495,sarahcpr,Sarah Cooper
284278132,TMFHousel,Morgan Housel
15332502,JeffEpstein,JeffEpstein
32725792,stephenkraus,Stephen Kraus
1180301,unclegrambo,Mark Graham
14635408,lolacoaster,Kristin ChiriGHOST
14562685,rwang0,R Ray Wang ()
15892447,ageiger,ageiger
1552038578,anat_gilboa,anat
2803852087,DCGco,DigitalCurrencyGroup
109323518,marypcbuk,ScaryMary Branscombe
28863952,imjamesjlopez,James Lopez
218558150,VALENTI,Sam Valenti IV
14960835,getwired,Wes Miller
3173670578,FFoundersSlack,#FemaleFounders 
17881672,simondlr,Simon de la Rouviere
386291352,vmocherla,Venkat Mocherla
14108352,TheRomit,Romit Mehta
2973730096,bedehomender,Bedeho
17267142,ncardozo,Nate Cardozo
1267770224,JZdziarski,Jonathan Zdziarski
7591572,asmith83,Adam Smith
14627653,PranavDixit,\_()_/
14575846,BenKuchera,H.P. Bencraft
14092380,joelgrus,Joel Grus
17713318,avifreedman,avifreedman
135597147,mjkiebus,Matt Kiebus
18164272,NickBaumann,NickBaumann
14369905,nglaros,Nicole Glaros
39586233,em_dash3,Emmy Jo Favilla
16044192,eileenmcarey,Eileen Carey
14106059,SoBendito,Ben Carlos Thypin
20725994,AdamWeinstein,Adam Weinstein
822722,arinewman,ari newman
13268042,art_chang,Arthur Chang
18591618,staringispolite,Jonathan Howard
450331119,jasdev,Jasdev Singh
2285603736,jamiesmallwood,Jamie Smallwood
14968475,jurafsky,Dan Jurafsky
17711997,TommyWesely,Tommy Wesely
62137764,theseamar,chelsea marshall
1629336979,eholmes2003,Elizabeth Holmes
14967616,patrickmoran,Patrick Moran
1601143752,LuminousChao,Monseigneur Gardner
118263124,stanfordnlp,Stanford NLP Group
17461978,SHAQ,SHAQ
248900032,MagicJohnson,Earvin Magic Johnson
14305022,edog1203,Evan Doll
15341579,raphaelschaad,Raphael Schaad
15384741,tbrant,Troy Brant
14710479,immunoglobulin,Gloria Lin
267367479,andychen,Andy Chen
12439842,efeng,Eric Feng
1112421,twitney,Whitney Jefferson
175118966,itslaurenyap,lauren yap
20214495,TED_TALKS,TED TALKS FANS
1070005202,ErinChack,erin chack-o-lantern
416937657,AriannaRebolini,Scaryanna Reboolini
103688240,mkruvant,Mackenzie Kruvant
94626542,hotdoorknobs,Alex Naidus
121632557,IAM486,Peggy Wang
30956116,alanna,Alanna Okun
40309057,rags,Rags Srinivasan
18567018,bigthink,Big Think
201131595,ortile,Pizza Ratt Ortile
409823,brucel,Bruce Lawson
18138491,carlmartin,Carl Martin
47682486,StanfordAsh,Ashley Carroll
23116280,PopMech,Popular Mechanics
429334428,GeorgeAHallam,George Hallam
476192272,tensorjack,Jack Peterson
155938214,TonySwish,Tony Swish
896221,ScottKirsner,Scott Kirsner
194538595,ippisl,ippisl
229376164,jamesallworth,James Allworth
2474749586,MichaelBTI,Mike Shellenberger
3240985277,DroneRaceLeague,Drone Racing League
11347122,GavinNewsom,Gavin Newsom
204343158,rosenblattdavid,David Rosenblatt
10541,smallchou,Jack Chou
2957234555,twentyminutevc,The Twenty Minute VC
16303211,jacobgoldstein,Jacob Goldstein
72946315,joshdickson40,Josh Dickson
34220569,lavanyashukla,Lavanya Shukla
1510783556,port8333,Bitnodes
87098546,LesliePicker,Leslie Picker
100534402,plscurrie,Peter Currie
59268383,STurkle,Sherry Turkle
370113964,sangerkatz,Margot Sanger-Katz
11375732,DrPizza,Pumpkin Fright
34715047,eugenekim222,Eugene Kim
8165542,igor,Igor Faletski
32357492,selinato,Selina Tobaccowala
2858533652,UploadVR,UploadVR
14445325,betaworks,betaworks
14511951,HuffingtonPost,Huffington Post
31900100,kshillo,Kate Shillo
13520882,ddebow,ddebow
2916305152,Snowden,Edward Snowden
15528431,alexcornell,Alex Cornell
15365853,brianeha,Brian Patrick Eha
1680681,chrisFnicholson,Chris F. Nicholson
237409428,eperlste,Ethan O. Perlstein
95933872,KaraScannell,Kara Scannell
21926404,IsaacFitzgerald,Isaac Fitzgerald
18372260,grapealope,Rachel Kalmar
395978320,typesfast,Ryan Petersen
703873,jblanton,Justin Blanton
251481021,JacobJaber,Jacob Jaber
164726768,neilcybart,Neil Cybart
10834752,random_walker,Arvind Narayanan
843112550,EarnKnowledge,Learn Something
52378533,JeffGlueck,Jeff Glueck
35383,chartier,David Chartier
369017980,philgcarter,Phil Carter
14149971,plibin,Phil Libin
937937953,kevinzhao53,Kevin Zhao
126702857,KyleTibbitts,Kyle Tibbitts
20778387,bittman,Mark Bittman
34484622,aexm,Ana Milicevic
14620362,christine_tsai,Christine Tsai
19058800,kitosan,Kit Ellis
19343841,wfrick,Walt Frick
37924398,margaretomara,Margaret O'Mara
4215921,jasonlk,Jason M. Lemkin
496082117,datarade,Kumar Thangudu
337167459,bthdonohue,Brian Donohue
1050431,dbentley,Dan Bentley
18463930,drewconway,Drew Conway
142356057,willbourneo,Will Bourne
9717472,chafkin,Max Chafkin
12594872,CGDev,CGD
361486440,JPAL_Global,J-PAL
14378113,DanielPink,Daniel Pink
17889970,Gladwell,Malcolm Gladwell
17997789,danariely,Dan Ariely
35810531,bill_easterly,William Easterly
405124125,m_sendhil,Sendhil Mullainathan
