id,name,screen_name
444314232,OnceAgainSam,Sarah Mandell
29442313,SenSanders,Bernie Sanders
216776631,BernieSanders,Bernie Sanders
15383276,kirklove,Kirk Love
320846092,BethanyMacri,Bethany Macri
2445809510,periscopeco,Periscope
294517717,etsygreekteam,etsygreekstreetteam
17336443,Nafsika,Nafsika
6489102,arctictony,Tony Haile
487042847,designosaurYEAH,designosaur
42559115,joshm,Josh Miller
150185852,baconmeteor,Maciej Ceglowski
53577849,bkdefend,Billy King
14651539,jeffiel,Jeff Lawson
110447151,claudiagpearson,Claudia Pearson
318538184,MioMucaro,Mio Mcaro
279299008,BabyJives,Jahje / BabyJivesCo.
398303383,jennytopolski,jenny topolski
255349908,IlyssaMeyer,Ilyssa Meyer
308573576,PennyPritzker,Penny Pritzker
2557916180,ThreesBrewing,Threes Brewing
15125371,KateKendall,Kate Kendall
3327192346,ri_cook,Richard I. Cook
115710745,EtsySuccess,Etsy Success
4939401,patrickc,Patrick Collison
44458277,abbyglassenberg,Abby Glassenberg
271787494,michael_desafey,Michael DeSafey
155613846,marykarrlit,Mary Karr, Author
19310524,peppersprouts,jen pepper
14529929,jaketapper,Jake Tapper
28406270,kumailn,Kumail Nanjiani
502281810,OfficialJLD,Julia Louis-Dreyfus
382258249,Jessica_StClair,Jessica St. Clair
3273412544,forrestmacneil_,Forrest MacNeil
3032082945,WendellDaily,Wendell Berry
3055990113,EtsyOrg,Etsy.org
1894730293,kumar_rachana,Rachana Kumar
1158126384,sbillmassie,William Massie
205870822,mayabruck,Maya Bruck
18958993,Blakei,Blake Irving
2197411,emjsmith,emily j smith
8442372,HirokoTabuchi,Hiroko Tabuchi
2288182556,csnyc,CSNYC
2328937074,MikeFroman,Michael Froman
2802592368,LeslieKeilEsq,Leslie Keil
249743006,rasanathdas,Rasanath
44615672,USTradeRep,USTR
565264651,QuoteResearch,Quote Investigator
15970050,simonsinek,Simon Sinek
38146999,UNEP,UN Environment
17396865,SVB_Financial,Silicon Valley Bank
1208778043,HUMANthemovie,HUMAN The Movie
92839860,Yann_A_B,Yann Arthus-Bertrand
