id,name,screen_name
20884310,TimDraper,Tim Draper
52271220,mikelapointebc,Mike Lapointe
9944032,richardgingras,Richard Gingras
14538601,jquery,jQuery
372475592,getbootstrap,Bootstrap
91985735,nodejs,Node.js
45682709,rajdate,Raj Date
1164839209,nodesecurity,Node.js Security
334161392,mariatucker3,Maria Tucker
29387184,i8joe,Joe Robinson
268399515,cnspills,Christina Spiliakos
1236101,BenedictEvans,Benedict Evans
300364194,erikzrekz,Eriks
26637792,atlasventure,Atlas Venture
322904764,obviousvc,Obvious Ventures
15126388,bhalligan,Brian Halligan
43976252,benchmark,Benchmark
15769774,ProsperLoans,Prosper Loans
25531882,Finovate,Finovate
6245822,LendingClub,Lending Club
14335498,newsycombinator,Hacker News
18080585,MongoDB,MongoDB
1137701,DavidSacks,David Sacks
20263710,rabois,Keith Rabois
4767131,RWong,Rich P Wong
23137860,chrislarsensf,Chris Larsen
23976717,jeremysliew,jeremy liew
44322763,matthuang,Matt Huang
357312062,Bitcoin,Bitcoin
361289499,BitcoinMagazine,Bitcoin Magazine
34526610,dougleone,doug leone
2460044760,MikeDixonSC,Michael Dixon
52849759,davidein,David Einhorn
541042800,foundersfund,Founders Fund
8646172,ethankurz,Ethan Kurzweil
100284732,SFCityCIO,Miguel A. Gamio Jr.
27533953,ktslemp,Kevin Slemp
42274287,mcagney,Mike Cagney
431968702,t_blom,Tom Blomfield
3224409977,getmondo,Mondo
91367571,derosetech,Chris DeRose
2337791851,CounterpartyXCP,Counterparty
250133790,iasen_87,Yasen
560591804,joshua_j_lim,Joshua Lim
6730222,hblodget,Henry Blodget
5668942,sarahcuda,Sarah Lacy
16246929,danprimack,Dan Primack
14181273,BrianForde,Brian Forde
61417559,ErikVoorhees,Erik Voorhees
74130577,emilychangtv,Emily Chang
2451650570,soaringstartup,Soaring Startup Cir.
605463251,rootulp,Rootul Patel
13,biz,Biz Stone
370266205,Paul_Hillen,Paul Hillen
586,sacca,Chris Sacca
989,om,Om Malik
2312333412,ethereumproject,Ethereum
213236426,adam3us,Adam Back
1394399438,JohnLegere,John Legere
15745368,marcorubio,Marco Rubio
15745368,marcorubio,Marco Rubio
472640093,LemeLemz,Christina Leme
253716916,ckhan13,Chris Khan
362206576,I_AMerrrica,Erica Wilson
257546864,dansipple,Dan Sipple
529713944,mawill8,Mary Austin Williams
14936846,BoxHQ,Box
270971661,vermooti,Aaron Vermut
28406270,kumailn,Kumail Nanjiani
34547678,Middleditch,Thomas Middleditch
2468282359,KrakenTicker,KrakenTicker (BTC)
392225137,etmccauley,Elizabeth McCauley
87194694,docbtc,Doug Carrillo
3108351,WSJ,Wall Street Journal
146312174,jay_elm,Jesse Mu
3080528536,jonhbit,Jonathan HB
12,jack,Jack
783214,twitter,Twitter
2425151,facebook,Facebook
2803191,intel,Intel
12092012,VMware,VMware
16787947,Fanatics,Fanatics
17230018,Spotify,Spotify
19103481,Uber,Uber
20339060,trueventures,True Ventures
22728255,zynga,Zynga
20536157,google,Google
27039884,OpenTable,OpenTable
615467013,Hearns,Matthew Hearns
1636590253,tim_cook,Tim Cook
234065046,jmzledoux,James LeDoux
334813664,Thomas_Herer,Tom Herer
2161093638,lukegeorgebc,Luke George
538613465,BlackRosett,Lisa Huang
1729559335,desaitechtalk,Akash Desai
2934780430,techarev,Arev Doursounian
1727192630,samkim316,Samuel Kim
442453142,pedersenkelly,Kelly A Pedersen
387143198,Emmawest11,Emma West
311240662,VeronikaFojtu,VFojtu
1411712358,FayeHubie,Faye Hubregsen
805438718,dalton_danielle,Danielle Dalton
2817235339,AlexandraPear43,Alexandra Pear
37370427,CJ_QUINTANA,Claudio Quintana
2163519722,YunqingW,Betty Wang
805697354,West_Costa,Joseph Costa
1013881596,tomedwds,Thomas Edwards
134205644,maxbg17,Max Gross
284918890,rli519,Robbie Li
381130353,AppleiDigital,Apple
180656346,StartAtShea,Start @ Shea
802225,gubatron,Angel Leon
1338324476,HackMIT,HackMIT
369735258,RyanBreslow,Ryan Breslow
14149992,clarkmoody,Clark Moody
2342495588,CoinbaseAPI,Coinbase Developers 
611986351,KimDotcom,Kim Dotcom
15365853,brianeha,Brian Patrick Eha
1434164370,Mattermark,Mattermark
22938914,stevewoz,Steve Wozniak
754500,cue,Eddy Cue
14647570,sciam,Scientific American
11348282,NASA,NASA
5746402,allthingsd,AllThingsD
611823,macworld,Macworld
34743251,SpaceX,SpaceX
13298072,TeslaMotors,Tesla Motors
500704345,Pontifex,Pope Francis
14602259,BostonDotCom,Boston.com
292398011,kari_paul,Kari Paul
353757435,CFMcKnight,Connor McKnight
14850356,jjacobs22,Jason Jacobs
3439831,8en,Ben Silbermann
77764733,marty_walsh,Mayor Marty Walsh
365063157,AmyDonegana,amy
19720395,IndexVentures,Index Ventures
33846451,Accel,Accel Partners
14946614,usv,USV
7015112,albertwenger,Albert Wenger
15903746,mokoyfman,Mo Koyfman
15903746,mokoyfman,Mo Koyfman
43089674,BCAlumni,BC Alumni
127613663,virginrecords,Virgin Records
27943891,SonyMusicGlobal,Sony Music Global
50517206,CapitolRecords,Capitol Records
18142856,RCARecords,RCA Records
24275419,therealjuicyj,juicy j
62971680,wbr,Warner Bros. Records
15891115,warnermusic,Warner Music Group
16380610,RocNation,Roc Nation
48504743,ColumbiaRecords,Columbia Records
18033062,UMG,Universal MusicGroup
22171007,Roc_A_Fella,Roc-A-Fella Records
38709939,Interscope,Interscope Records
24429991,AtlanticRecords,Atlantic Records
51742969,1future,FUTURE/FREEBANDZ
19028953,JColeNC,J. Cole
25638291,YoGottiKOM,Yo Gotti
18653699,FrencHMonTanA,French Montana
22085184,DefJamRecords,Def Jam Recordings
22085184,DefJamRecords,Def Jam Recordings
39932652,MaybachMusicGrp,Maybach Music Group
18220175,iamdiddy,Sean Diddy Combs
23561980,kendricklamar,Kendrick Lamar
28683184,Jeezy,Young Jeezy
20567939,MeekMill,Meek Mill
149726145,rickyrozay,BlackBottleBoy
18228898,johnlegend,John Legend
5746452,waltmossberg,Walt Mossberg
169686021,kanyewest,KANYE WEST
365111467,Peter_Levine,Peter Levine
27195114,Drake,Drizzy
116362700,LilTunechi,Lil Wayne WEEZY F
16017475,NateSilver538,Nate Silver
378223565,sparker,Sean Parker
2730791,mkapor,Mitch Kapor
22330739,Benioff,Marc Benioff
5502392,mojombo,Tom Preston-Werner
148969874,newsyc20,Hacker News 20
38127255,BIRDMAN5STAR,BIRDMAN
21576543,tfadell,Tony Fadell
15139633,Mark_Cuban,Mark_Cuban
7017692,DanielleMorrill,Danielle Morrill
5699,stewart,Stewart Butterfield
745273,naval,Naval Ravikant
1557008785,zeroblock,ZeroBlock
66950686,jespow,Jesse Powell
14480299,bling0,Benjamin Ling
2189541,starkness,elizabeth stark
26786964,johnofa,John O'Farrell
16005828,jeff_jordan,Jeff Jordan
361228184,W_ScottWeiss,Scott Weiss
312789382,PerianneDC,Perianne Boring
1016952260,zerotoonebook,Zero to One
117338050,bgmasters,Blake Masters
1305940272,SlackHQ,Slack
12819682,mitchellh,Mitchell Hashimoto
13334762,github,GitHub
457033547,digitalocean,DigitalOcean
29255412,tjholowaychuk,TJ Holowaychuk
9533042,BrendanEich,BrendanEich
33152005,EricRWeinstein,Eric Weinstein
33838201,googleresearch,Google Research
50090898,googledevs,Google Developers
93711247,AndroidDev,Android Developers
382267114,Android,Android
7813382,SimonEdhouse,iSimon
77034099,CyanogenMod,CyanogenMod
65119912,xdadevelopers,XDA Developers
1878084872,cyngn,Cyanogen
381289719,nntaleb,NassimNicholasTaleb 
271009040,eshares,eShares
763893,chudson,Charles Hudson
7717612,Wharton,The Wharton School
125644689,OpenIDEO,OpenIDEO
8724862,MITSloan,MIT Sloan
382253381,IDEOorg,IDEO.org
23462787,ideo,IDEO
19606528,HarvardHBS,Harvard Business
30331404,stanforddschool,Stanford d.school
14379660,brian_armstrong,Brian Armstrong
101580574,jonmatonis,Jon Matonis
176758255,rogerkver,Roger Ver
14744734,bendavenport,Ben Davenport
572478728,nejc_kodric,Nejc Kodri
324539863,MihaiAlisie,Mihai Alisie
17977475,shak,Shakil Khan
43264740,borntobank,Jaron Lukasiewicz
287350085,coinsetter,Coinsetter
1469101279,aantonop,AndreasMAntonopoulos
16955517,dealbook,DealBook
18856867,zerohedge,zerohedge
2178012643,balajis,Balaji S. Srinivasan
29468585,brockpierce,rock Pierce
285807552,winklevosscap,Winklevoss Capital
1881296893,OverstockCEO,Patrick Byrne
1344645140,elliptic,elliptic
16076032,ggreenwald,Glenn Greenwald
1888208708,xapo,Xapo
2329526714,JamesGDAngelo,James D'Angelo
295218901,VitalikButerin,Vitalik Buterin
2379624572,CollegeCrypto,CollegeCryptoNetwork
1854401,VinnyLingham,Vinny Lingham
2211823729,yBitcoin,yBitcoin
1630959944,DATAuthority,DATA
24222556,tylerwinklevoss,Tyler Winklevoss
250980843,winklevoss,Cameron Winklevoss
14338147,SatoshiLite,Charlie Lee
15369123,Jim_Harper,Jim Harper
2294954370,BitGo,BitGo
385162204,dan_pantera,Dan Morehead
2207129125,CoinTelegraph,CoinTelegraph
712580966,itBit,itBit 
2491780596,chain,Chain
2463832009,GoCoinCEO,Steve Beauregard
20833,waterhousephd,Steve Waterhouse
6661012,BlocktechCEO,Devon Read
6264512,mickymalka,Meyer Malka
94274445,jgarzik,Jeff Garzik
1865180844,coinsummit,CoinSummit
1399148563,krakenfx,Kraken Exchange
1414582549,cryptocointalk,CryptoCoinTalk
2338229497,YourBTCC,BTCC
2568108282,NickSzabo4,Nick Szabo
1471313300,petertoddbtc,Peter Todd
2307692107,Blockstream,Blockstream
2387781896,Libra_Tax,Libra
302991385,ryanxcharles,Ryan X. Charles
717313,arstechnica,Ars Technica
1126127022,GarrettSCassidy,Garrett Cassidy
2203747308,BitcoinCEO,Karsten 
2460502890,StellarOrg,Stellar
12137672,gorillamania,Nick Sullivan
2278700532,BTC_Society,BTC Society
8289702,martindale,Eric Martindale
6568422,adamludwin,Adam Ludwin
1598709350,bitonbit,Dan Held
539137645,BoostVC,Boost VC
85203198,jony_levin,jonathan levin
6853442,willobrien,Will O'Brien
25049491,chloregy,Dominik Zynis
2601630428,coincenter,Coin Center
2544862219,DCCCertified,DigitalCurrency
14802014,spair,Stephen Pair
713179445,TonyGallippi,Tony Gallippi
2634839532,gemhq,Gem
1337533452,StellarBtc,StellarFoundation
77595423,derekminter,Derek Minter
141395357,Cpzhao,Changpeng Zhao
2515887780,RonGlantz,Ron Glantz
118917461,ryaneshea,Ryan Shea
1199152406,BitPagos,BitPagos
35507675,johnmcd3,JOHN MCDONNELL
18691131,bussgang,Jeff Bussgang
22977825,gmelika,George Melika
13172492,smcnamara,Stephen Mc Namara
15432741,ArthurLevitt,Arthur Levitt
1274469684,BitX,BitX
824476477,btcjam,BTCjam
2350794840,onename,Onename
2291515465,tradewavenet,Tradewave
1905095641,RippleLabs,Ripple Labs
1515392432,RippleStream,Ripple Stream
399822089,MirrorHQ,Mirror
148243590,BTCVIX,BTCVIX
2269527696,CoinFilter,CoinFilter
352053266,coursera,Coursera
17813899,StanfordBiz,Stanford Business
13982132,medialab,MIT Media Lab
5750512,gendal,Richard Gendal Brown
2178858974,msantoriESQ,Marco Santori
324714133,MarcHochstein,Marc Hochstein
1435626302,Scotonomist,John Law
249134535,southtopia,Jon Southurst
1333467482,coindesk,CoinDesk
1330477226,TradeBlock,TradeBlock
3241231,GamerAndy,Adam B. Levine
915465450,BitPay,BitPay
365761759,coinlab,CoinLab
352518189,Bitstamp,Bitstamp
1051053836,Ripple,Ripple
22682896,CharlieShrem,Charlie Shrem
60642052,VentureBeat,VentureBeat
492064542,gyft,gyft
315991624,FEhrsam,Fred Ehrsam
17396865,SVB_Financial,Silicon Valley Bank
2154512879,MITBitcoinClub,MIT Bitcoin Club
341746855,pete_rizzo_,Pete Rizzo
85863469,BenLawsky,Ben Lawsky
2193616844,twobitidiot,Ryan Selkis
102812444,stripe,Stripe
4939401,patrickc,Patrick Collison
5418912,collision,John Collison
1548901218,BitcoinTrust,Bitcoin Trust
1641971,anders94,Anders Brownworth
22981025,mattyven,Matt Venables
188756159,psneville,Sean Neville
396045469,barrysilbert,Barry Silbert
2478756618,jerallaire,Jeremy Allaire
2468250432,AskCircle,Circle Support
2726305663,jabeccia,John Beccia
2178242827,Disruptepreneur,Jeremy Gardner
379400685,JeremyRubin,Jeremy Rubin
23656945,delitzer,Dan Elitzer
31099876,gcvp,General Catalyst
817386,Techmeme,Techmeme
2742539024,jinglanW,Jinglan Wang
1451851008,winklevossindex,WinkDex
6213582,wences,Wences Casares
2287471915,PanteraCapital,Pantera Capital
14763980,niccary,Nic Cary
2863943758,CircleEng,Circle Engineering
707471022,BTCFoundation,Bitcoin Foundation
574032254,coinbase,Coinbase
125304737,blockchain,Blockchain
2151686839,circlepay,Circle
5120691,wef,World Economic Forum
30018058,PayPal,PayPal
93017945,Square,Square
657863,kevinrose,Kevin Rose
16582975,BostonCollege,Boston College
16538023,billclerico,Bill Clerico
16582289,WePay,WePay
3713811,bijan,Bijan Sabet
20,ev,Ev Williams
15808647,techreview,MIT Tech Review
1000591,fredwilson,Fred Wilson
5409582,peterwbell,Peter Bell
14260608,dharmesh,Dharmesh Shah
16877220,BostInno,BostInno
972651,mashable,Mashable
17983307,BIGinnovators,Boston Innovators
14277276,techstars,techstars
19306563,mitentforum,MIT Enterprise Forum
5252591,bgurley,Bill Gurley
18937279,sparkcapital,Spark Capital
10078,reidhoffman,Reid Hoffman
15978268,Tech21HBS,Tech Conference 21
87117561,DigitalDrex,Andrew Chang
28465863,sethpriebatsch,Seth Priebatsch
14653404,HighlandCapital,Highland Capital
72876189,vcrecruiter,Craig Driscoll
93957809,ericschmidt,Eric Schmidt
7746932,DanB,Dan Bricklin
16592401,RichAberman,Rich Aberman
54726440,JoeFalkson,Joseph Falkson
50393960,BillGates,Bill Gates
27812057,CJ_Reim,CJ Reim
46240925,MassChallenge,MassChallenge
113130846,ycombinator,Y Combinator
14541402,mlevchin,Max Levchin
82002786,GreenhornBoston,Greenhorn Connect
146172499,andykessler,Andy Kessler
21350494,ECorner,Stanford ECorner
6385432,dickc,dick costolo
19389668,mit100k,MIT $100K
183749519,paulg,Paul Graham
2529971,cdixon,Chris Dixon
22937232,mabb0tt,michael abbott
73437080,BillAulet,Bill Aulet
