id,name,screen_name
44196397,elonmusk,Elon Musk
5943622,pmarca,Marc Andreessen
16242081,bhorowitz,Ben Horowitz
3283901,andrewchen,Andrew Chen
207756340,wwwtxt,wwwtxt (1980-94)
185808487,kpcb,Kleiner Perkins
1304831905,JustworksHR,Justworks
1979921,joshelman,Josh Elman
166692856,ibringtraffic,Andy Johns
17343419,NickeySkarstad,Nickey Skarstad
826771,mgris,Mike Grishaver
1598644159,HistoricalPics,Historical Pics
388823843,TomTaki,Tom Takigayama
18872501,joeblossom,Joe Blossom
915218797,nixknits,Nicole Grazioso
758421,labelreader,Jacob Rose
93017945,Square,Square
727012381,grandst,Grand St.
18348795,amandapey,amanda peyton
17809727,JoeLallouz,Joe Lallouz
115422892,zanelackey,zane
2252938063,signalsciences,SignalSciences
20456848,mrembetsy,Michael Rembetsy
112614654,etsystatus,Etsy Status
16841164,seanflannagan,Sean Flannagan
788039862,millabearwolf,Camilla Velasquez
26751851,daguy666,Joey Pistone
1786961,bephf,Dan Betz
16084473,kimmchi,kimmchi
602317143,SirPatStew,Patrick Stewart
54206230,erniecline,Ernie Cline
687123,rafeco,Rafe
7152642,mikebrittain,Mike Brittain
64008479,sarawyman,Sara Wyman
11426942,ioates,Isaac Oates
19637161,btoconnor,Brian O'Connor
47,kellan,kellan
87117561,DigitalDrex,Andrew Chang
226976689,marcprecipice,Marc Hedlund
101787835,KabbageInc,Kabbage
8015252,beamrider9,Ross Snyder
180656346,StartAtShea,Start @ Shea
205296670,EtsyHelp,Etsy Support
14319958,acasalena,Anthony Casalena
112601087,codeascraft,Etsy Engineering
54613,cadler,Charles Adler
7482,arainert,Alex Rainert
5702,Caterina,Caterina Fake
2893971,gigaom,Gigaom
11522502,Etsy,Etsy
7493,leland,leland rechis
13378422,allspaw,John Allspaw
15692778,randyjhunt,Randy J. Hunt
632343,chaddickerson,Chad Dickerson
18948541,SethMacFarlane,Seth MacFarlane
225502892,KevinMcK1228,Kevin McKeefery
86391789,big_ben_clock,Big Ben
949521,stop,Doug Bowman
173326306,SinnerManNYC,Sinner Man
6385432,dickc,dick costolo
989,om,Om Malik
10078,reidhoffman,Reid Hoffman
1586501,nickbilton,Nick Bilton
20106852,starwars,Star Wars
12044602,Schwarzenegger,Arnold
30060311,Shedletsky,John Shedletsky
2425151,facebook,Facebook
80273245,DRUNKHULK,DRUNK HULK
70513691,Betterment,Betterment
113130846,ycombinator,Y Combinator
128956175,TheRealNimoy,Leonard Nimoy
14120151,foursquare,Foursquare
418,dens,Dennis Crowley
6141832,cshirky,Clay Shirky
8841372,SAI,BI Tech
11222,k,Kevin Cheng
50393960,BillGates,Bill Gates
105895323,ricmac,Richard MacManus
14946614,usv,USV
18560574,NYTM,NY Tech Meetup
7015112,albertwenger,Albert Wenger
1000591,fredwilson,Fred Wilson
768632,ceonyc,Charlie O'Donnell
10760422,daringfireball,Daring Fireball
12217,tconrad,Tom Conrad
17890601,JoeQuesada,JoeQuesada
5668942,sarahcuda,Sarah Lacy
14335498,newsycombinator,Hacker News
29344169,thomaslennon,Thomas Lennon
3080761,mattcutts,Matt Cutts
1137701,DavidSacks,David Sacks
2384071,timoreilly,Tim O'Reilly
12,jack,Jack
60642052,VentureBeat,VentureBeat
788673,johnbiggs,John Biggs
16582975,BostonCollege,Boston College
65289126,TheRealStanLee,stan lee
648,heif,Scott Heiferman
14749606,Dropbox,Dropbox
16538023,billclerico,Bill Clerico
30090568,michaeljnelson,Michael J Nelson
15854271,yebo,Hugh Buchanan
428333,cnnbrk,CNN Breaking News
817386,Techmeme,Techmeme
6017542,BreakingNews,Breaking News
16573941,netflix,Netflix US
20263710,rabois,Keith Rabois
1344951,WIRED,WIRED
1183041,wilw,Wil SCREAMton
13,biz,Biz Stone
14118444,twitlive,TWiT Live
32528828,BCinfosystems,Information Systems
22938914,stevewoz,Steve Wozniak
652193,mgsiegler,M.G. Siegler
783214,twitter,Twitter
4641021,RWW,ReadWrite
816653,TechCrunch,TechCrunch
9840002,michaelbd,Michael B Dougherty
38580235,seanvinci,Sean Vinci
37570179,arrington,Michael Arrington
14426048,jeffcannata,Jeff Cannata
14438306,DannyTRS,Dan Trachtenberg
586,sacca,Chris Sacca
20536157,google,Google
20,ev,Ev Williams
15227791,WilliamShatner,William Shatner
22677790,Jon_Favreau,Jon Favreau
14681605,ThatKevinSmith,KevinSmith
14413075,alexalbrecht,Alex Albrecht
13348,Scobleizer,Robert Scoble
3829151,leolaporte,Leo Laporte
657863,kevinrose,Kevin Rose
16288392,gallaugher,John Gallaugher
