id,name,screen_name
19029306,kenblanchard,Ken Blanchard
80055340,shelwaggener,Shel Waggener
317647291,OVH,OVH
3266507503,EquinixCareers,Life at Equinix
552010576,rascierto,Rhonda Ascierto
290971726,olesovhcom,Octave Klaba / Oles
3529361474,MegaTroyer,Eric Troyer
381628791,GenerativeLead,Generativeleadership
34398872,CMCnews,Claremont McKenna 
80940290,scrippscollege,Scripps College
153492935,commun_it,Commun.it 
3075228110,dwebster2k,Daniel G. Webster
205290095,mcchrystalgroup,McChrystal Group
2648831197,StanMcChrystal,Stan McChrystal
486731383,SimonettaLein,Simonetta Lein
45438133,mkeithley,Michael Keithley
14278978,ericries,Eric Ries
116485600,Money23Green,Draymond Green
23424617,AnjaHoffmann,Anja Hoffmann
86170938,DenaMarean,Dena Marean
14851470,jayjacobs,jayjacobs
16246929,danprimack,Dan Primack
106463784,VilliSpeaks,Villi Iltchev
7453012,mkrigsman,Michael Krigsman
1018207584,SkyhighNetworks,Skyhigh Networks
74286565,Microsoft,Microsoft
14936846,BoxHQ,Box
42562446,StephenCurry30,Stephen Curry
15013580,danieloleary,Daniel O'Leary
27814665,GoogleVentures,Google Ventures
185808487,kpcb,Kleiner Perkins
7302282,YahooSports,Yahoo Sports
1289148206,HighfiveHQ,Highfive
18479513,MLB,MLB
26894723,martenmickos,Mrten Mickos
15128930,reillyusa,Christian Reilly
22444948,sramji,Sam Ramji
46153776,PaloAltoNtwks,Palo Alto Networks
26094126,Apigee,Apigee
57878571,sappley,Stuart Appley
117639849,ViolinMemory,Violin Memory
275122356,vmwaresddc,VMware SDDC
67358777,BW,Businessweek
104859281,ScienceLogic,ScienceLogic
9980562,andredurand,Andre Durand
41977443,ATCnow,Sara
27931927,pingidentity,PingIdentity
89447929,J_Klinsmann,Jrgen Klinsmann
60704215,HuffPostSports,HuffPost Sports
221950960,MarkSKatzITExec,Mark Katz
7563792,ussoccer,U.S. Soccer
385501481,yedlinny,DeAndre Yedlin
2508772465,ClarenceGoodson,Clarence Goodson
2231915576,magee9,Mike Magee
2370233761,j_brooks25,John Anthony Brooks
431429137,clint_dempsey,Clint Dempsey
2511477648,TimHowardGK,tim howard
2555393190,J_Green37,Julian Green
2361986612,MFparkhurst,Michael Parkhurst
1524557191,FabianJohnson23,Fabian Johnson
1627568958,JSpector23,Jonathan Spector
400251832,ShannonBoxx7,Shannon Boxx
414994284,TBoyd91,Terrence Boyd
16150806,brewerma,Mark Brewer
71322279,jcycio,Joanna Young
37776670,Kimsstevenson,Kim Stevenson
309399331,babcockcw,Charles W. Babcock
22281788,marthaheller,Martha Heller
61150150,matthewhaney,Matthew Haney
368103469,AndiKaraboutis,Adriana Karaboutis
38410715,RamonfBaez,Ramon F. Baez
60308942,claychristensen,Clayton Christensen
28908004,steven_phillips,Steve Phillips
795029,samj,Sam Johnston
789969122,StoddardCA,Cynthia Stoddard
80354667,profhamel,Gary Hamel
48095602,tech,Tech
1393920541,thisishero,HERO
5796972,pandora_radio,Pandora
19203429,bhaines0,Ben Haines
26037034,baskiyer,Bask Iyer
14857438,Spencerante,Spencer Ante
5943622,pmarca,Marc Andreessen
65450350,BI_Strategy,BI Strategy
39922782,VernonDavis85,Vernon Davis
146900965,trustedmind,rajiv gupta
524396430,Upworthy,Upworthy
28433797,ronnytey,Ronny Tey
93957809,ericschmidt,Eric Schmidt
23756134,blackrock,BlackRock
148857281,PosPositive,Positively Positive
51085686,shawnachor,Shawn Achor
14763734,DigitalTrends,Digital Trends
511199782,lasdk8,LASDK8
463147045,BI_Careers,BI Careers
14885549,ForbesTech,Forbes Tech News
259725229,ValaAfshar,Vala Afshar
73147282,HuffPostTech,HuffPost Tech
14511951,HuffingtonPost,Huffington Post
4255361,a_greenberg,Andy Greenberg
110537047,lamvpb,LAMV Pony Baseball
145263152,NextGenLC,NextGenLC
331283041,andre,Andre Iguodala
15129227,aaref,Aaref Hilaly
14162990,ClintBoulton,Clint Boulton
743585142,LeanInOrg,Lean In
20348377,jeffweiner,Jeff Weiner
19506790,sherylsandberg,Sheryl Sandberg
14691295,DECAFdesign,DECAFdesign
385193525,Murph_CJ,Chris Murphy
19192943,SiliconANGLE,SiliconANGLE
17469283,KNBR,KNBR
14410145,robpreston,Rob Preston
12615582,InformationWeek,InformationWeek
533973545,EquinixUK,Equinix UK
1193979271,datacentreninja,Sarah Wright
19747972,kirkfelbinger,Kirk Felbinger
816653,TechCrunch,TechCrunch
9898542,mdkail,mike d. kail
377579620,hellersearch,Heller Search
38164370,cmcforum,CMC Forum 
14211141,jessicahagy,Jessica Hagy
22330739,Benioff,Marc Benioff
36511031,SFGate,SFGate
116023738,knbrmurph,Brian Murphy
914061,levie,Aaron Levie
51286078,neiljpearce,Neil Pearce
14885860,CBSSports,CBS Sports
19316312,pamdyer,Pam Dyer
15766070,servicenow,ServiceNow
15172699,j_roberts,John Roberts
10078,reidhoffman,Reid Hoffman
169183158,HouseOfWebCom,House Of Web
13298072,TeslaMotors,Tesla Motors
60642052,VentureBeat,VentureBeat
3819701,ZDNet,ZDNet
6486602,TechRepublic,TechRepublic
7329352,philmckinney,Phil McKinney
117467714,DanPetlon,Dan Petlon
252617018,onlinecio,Online CIO
57963332,chfry,Chris Fry
8453452,GuyKawasaki,Guy Kawasaki
13590972,chandna,Asheem Chandna
46825221,jimgoetz,jim goetz
30096533,iw500,InformationWeek 500 
515833127,CIOJournal,CIO Journal
91478624,Forbes,Forbes
12337072,sfwriter,Rachael King
3108351,WSJ,Wall Street Journal
5746402,allthingsd,AllThingsD
64844802,a16z,a16z
16242081,bhorowitz,Ben Horowitz
15492359,TEDTalks,TED Talks
22255654,johndoerr,John Doerr
5746452,waltmossberg,Walt Mossberg
