id,name,screen_name
3427434604,EvansWrites,Michael S. Evans
12889162,KSoltisAnderson,Kristen S Anderson
3356481809,SocSciMcAndrew,Siobhan McAndrew
950531,pbump,Philip Bump
58524428,margarita,Margarita Noriega
21424637,bakadesuyo,Eric Barker
8496762,tylercowen,tylercowen
111407412,junkcharts,Kaiser Fung
404895983,storywithdata,Cole Nussbaumer
2906820023,EnglandPaula,Paula England
46785124,balper,Becka Alper
2397531956,aronstrandberg,Aron Strandberg
133141410,bbhardy,Ben Hardy
237851661,NewsweekEurope,Newsweek Europe
2184943214,galka_max,Max Galka
373564351,Khanoisseur,Adam Khan
531475064,nkuriakose,Noble Kuriakose
2151059467,ESR_news,Eur Sociol Rev
14350588,mercatornet,MERCATORNET
76228303,SolomonMg,Solomon Messing
16399949,felixsalmon,Felix Salmon
258221822,skyegould,Skye Gould
35773039,TheAtlantic,The Atlantic
2530166282,EchelonInsights,Echelon
237563847,douglasboin,Douglas Boin
382728892,MilanV,Milan Vaishnav
35810531,bill_easterly,William Easterly
3015897974,pewmethods,Pew Research Methods
21312469,Reddy,Sudeep Reddy
32423136,Longreads,Longreads
152862026,EdwardTufte,Edward Tufte
14109167,flowingdata,Nathan Yau
54680395,infobeautiful,Info=Beautiful
23751864,GuardianData,Guardian Data
14420872,smfrogers,Simon Rogers
5845492,tomgara,Tom Gara
2814070272,GrahamDPeterson,Graham Peterson
10118912,ViNull,Michael C. Neel
17698956,moorehn,Heidi N Moore
59603406,NickTimiraos,Nick Timiraos
1329243757,sobata416,$hane Obata
29256864,chartoftheday,BI Chart of the Day
259716070,conormyhrvold,Conor L. Myhrvold
358566293,mkonnikova,Maria Konnikova
12382582,pescami,Michael Pesca
222618390,benmschmidt,Benjamin Schmidt
56312411,sagarikaghose,Sagarika Ghose
838179889,quartzthings,Quartz Things
3012686680,538viz,538Viz
233232425,bizweekgraphics,bizWITCHgrapHEX
15446531,mattyglesias,Matthew Yglesias
340613443,RonanFarrow,Ronan Farrow
149977320,rachel_soper,Rachel Soper 
480602390,rpq2,Ryan Quinn
20367547,naufalsanaullah,Naufal Sanaullah
1247652517,rgblong,Robert Long
13963112,katerz1,katerz1
23361428,ajwalsh08,Alex Walsh
608583,Zeinobia,Zeinobia
220226736,KristyT,Kristy Tillman
2952858590,Claire_deLu,Claire Young
56616220,fianxu,Gaia
172735242,benstewart999,ben stewart
305134471,JPSargeant78,John Sargeant
14413869,hildyjohns,Anthony Ramirez
18486446,jilleduffy,Jill E Duffy
2816944780,CNNData,CNN Data
873680875,PetraNahmias,Petra Nahmias
858646280,PoliticalLine,Political Line
2340558698,DataLab538,DataLab
1201186872,DataIsBeautiful,/r/DataIsBeautiful
990009265,BrankoMilan,Branko Milanovic
2228895084,KaisaSnellman,Kaisa Snellman
65122792,CarlBialik,Carl Bialik
1726670335,RobertDPutnam,Robert D. Putnam
145057047,minimaxir,Max Woolf
1562935142,BBCtrending,BBC Trending
250103509,kncukier,Kenneth Cukier
15549482,wrightr,Robin Wright
366164626,lisamahapatra,Lisa Mahapatra
62549025,tomvanderbilt,Tom Vanderbilt
281877818,Noahpinion,Noah Smith
