id,name,screen_name
534222686,MandelaSH,Mandela S-Hodge
3450748273,HowdyAI,Howdy
9027,benbrown,Ben Brown
1383157789,SomeonesAnIdiot,Someone's An Idiot
3839924539,anncradyweiss,Ann Crady Weiss
2877260236,hatchnursery,Hatch Baby
2950553700,LumityBenefits,Lumity Benefits
2381090334,joinHandshake,Handshake 
406483063,GarrettLord,Garrett Lord
2413040138,slamdata,SlamData Inc.
17271117,jdegoes,John A. De Goes
22789966,BeyondBlunt,Cyrus Sanati
41471329,sukhindersingh,Sukhinder Singh
322237432,samidhavisai,Samidha Visai
117792968,DannieHerz,Danielle Herzberg
522834247,ChickTechOrg,ChickTech
594038723,dam_ks,Adam KS
2897516897,nicalexiac,Nicole Clark
15121945,aaizuss,Amanda Aizuss
2957704744,zanezorr,Zeina Amhaz
2956214176,jerzzhang,Jeremy Zhang
2946453718,chadnach1,Chad Nachiappan
356912403,AllenOsgood,Allen Osgood
863927125,bike_thoughts,bike.thoughts
2936846168,willmchang,Will Chang
2932553477,michellelychan,Michelle Chan
1924347606,imshivs,Shivani Negi
390535802,williamcferg,William C. Ferguson
17290522,adwane,anne dwane
26162234,shinyee_au,Cindy Au
10172802,avelan,Arul Velan
481566633,GrandRoundsInc,Grand Rounds
123474380,LaurenKolodny,Lauren Kolodny
2321379974,AspectVC,Aspect Ventures
2665084237,glowforge,Glowforge
8070502,danshapiro,Dan Shapiro
1388585534,indbio,Indie Bio
7742162,soleio,Soleio
295,joshk,Josh Kopelman
915014563,nickxman,Nick Christman
6209262,keylargofoley,John Foley
771833052,RidePeloton,Peloton Cycle
176644153,EpicureanDeal,TED
552694939,tray,tray.io
129467447,domwlewis,Dominic Lewis
20244260,richwaldron,Rich Waldron
12891612,alirussell,Ali Russell
2391,mulegirl,Erika Hall
3015182189,honor,Honor
714864200,almonds,California Almonds
7782612,kevsmith,Kevin Smith
2334366985,JeopardySports,Jeopardy! Sports
237147973,NOTSportsCenter,NOT SportsCenter
1365573036,psarkar24,Prasenjit Sarkar
2980468657,datos_io,Datos IO
2454194042,thakurtarun,Tarun Thakur
3043752635,_fujilove_,FujiLove
3009496228,OperableInc,Operable, Inc.
9887162,markimbriaco,Mark Imbriaco
96812184,danyacg,Danya Cheskis-Gold
102749394,Catherine_Price,Catherine Price
16026783,dmac1,Doug MacMillan
2701949732,gyroscope_app,Gyroscope
14927800,jasoncosta,Jason Costa
71643224,conradhackett,Conrad Hackett
27571610,IsaChandra,Isa Chandra
563455650,Hackbright,Hackbright Academy
24212723,marionnestle,Marion Nestle
45452822,br_ttany,Brittany L. Gorevic
33252863,nkorzenko,Nicola Korzenko
28490614,dfkoz,Dan Kozikowski
9011772,aprilzero,Anand Sharma
42988213,VegTimes,Vegetarian Times
86180513,ForksOverKnives,Forks Over Knives
28609947,VegNews,VegNews Magazine
15102125,gduffy,gduffy
5252591,bgurley,Bill Gurley
205895400,theexoniannews,The Exonian
7433772,emilysteel,Emily Steel
132662284,PayNearMe,PayNearMe
95339302,duosec,Duo Security
14398638,missionmission,Mission Mission
14093707,SFist,SFist
16634635,MLNow,Mission Local
467909899,RidingShotgunLA,Papi
3283901,andrewchen,Andrew Chen
2723713757,AmznMovieRevws,Amazon Movie Reviews
18779876,LouiseRobertson,LouiseRobertson
7017692,DanielleMorrill,Danielle Morrill
200857376,markyhampton,Mark Bradbury
179581307,willmcq,William McQuillan
2712835158,ring,Ring
270548301,northtechinc,North Technologies 
2842116490,ymcacampbelknap,Camp Belknap
110808917,campbelknap,camp belknap
40574095,RachelAubrey,Rachel Rutherford
106204755,jsteelephotos,Jordan Steele
874,waynesutton,Wayne Sutton
16821478,km,Kanyi Maqubela
18300979,chrisgenteel,Chris Genteel
18717710,Nate_Stewart,Nate Stewart
16369797,kdwalker,Kumi D. Walker
399742659,tcburning,Terri
234857514,NaithanJones,Nait Jones
2497081027,lataqueriasf,La Taqueria
1326144546,ScannerSays,Scanner Says
30343716,SF_emergency,San Francisco DEM
325658649,noredink,NoRedInk
39029972,jscheur,Jeff Scheur
2391067616,tldrwikipedia,tldrwikipedia
9637632,JamieSiminoff,JamieSiminoff
1711038470,PicnicOnThird,Picnic on Third
24346586,Eerrp,Eric Stackpole
