id,name,screen_name
280207390,WesPas88,Wesley Pasfield
135192186,JohnTCopeland,John Copeland
80900783,sanjonathan,Jonathan San
30231755,EnergyCleanTech,Sahir Surmeli
2542536168,VENTUREAPP,VENTUREAPP
148198778,kreyn5,Kaitlin Reynolds
3293011635,BCSheaCenter,BC Entrepreneurship
49731661,EthanASullivan,Ethan Sullivan
1197242538,Lobster_it,Lobster
5943622,pmarca,Marc Andreessen
2787290582,MrPerreira,Michael Perry
293770102,Ashaegan,Ash Egan
74491717,jonathan_io,Jonathan Ortheden
2429474923,BCCEOClub,BC's Chief Exec Club
27737473,bcheights,The Heights
1446534812,DrizlyBos,Drizly Boston
260090238,CorbinKHolt,Corbin Holt
2457422802,MollyBeanShow,Molly Bean
82002786,GreenhornBoston,Greenhorn Connect
11177582,jab,Jay Batson
15936590,cortlandt,Cort Johnson
19514014,brentgrinna,Brent Grinna
20629286,jhusson,Jim Husson
569145781,MsTechGroup,Ms.Tech
243768368,Andy_Boynton,Andy Boynton
83912923,BCCarrollMBA,BC Carroll MBA
15384194,JHanlon,Jack Hanlon
988957262,DormRoomFundBOS,Dorm Room Fund BOS
15377474,ChaseMcAleese,Chase McAleese
91501494,MaiaHeymann,Maia Heymann
375656120,jordanfliegel,Jordan Fliegel
3313834997,RadiciTravel,Radici Travel
700903452,OnlyInBOS,Only In Boston
184997446,leanstartup,The Lean Startup
16908938,jongilman,Jon Gilman
528495434,drmegjay,Meg Jay
243847008,loyalelectron,Colleen Taylor
1279110006,ayako_mikami,Ayako Mikami
2788904485,Ransbotham,Sam Ransbotham
525054568,chris_hermida,Chris Hermida
194283025,cjquinn10,Chris Quinn
240665760,NRellas,Nick Rellas
3313365855,Cogitr,Cogitr
803646247,CondonEsme,Esme Condon
2390326692,jianing_wu,Jianing Wu
95560268,DavidLoVerme,David LoVerme
2395541010,tchaps_,Theodore Chapman
3092443113,MusicSplitter,MusicSplitter
2994552117,cnichs27,Christian  Nicholson
14104847,comcastcares,ComcastCares
726982278,countrylovin55,Katie Elizabeth
892331527,DanKelso3,Dan Kelly
301246989,TheReal_Mattew,Papa Z
3109032347,bcwinnovators,BCWomenInnovators
2772999469,ProfAkinc,Bridget Akinc
219694888,annummunir,S. Annum Munir
23004297,Localytics,Localytics
248802657,BrynAdler,Bryn Adler
929068394,ChrisKiertz,Chris Kiertz
515034648,theskimm,theSkimm
15445811,Runkeeper,Runkeeper
16877220,BostInno,BostInno
369614312,ErinAnnCullen,Erin Cullen
380971445,theLaurenJung,Lauren Jung
1411425830,ShelfInc,The Shelf
3183721,gilgul,Gilad Lotan
14445325,betaworks,betaworks
40807571,jtwald,Justin Waldron
17593765,nbanta,Nitesh Banta
110823121,badboyboyce,Peter Boyce
16980060,geowyn,George Wyner
28731551,bolotsky,Cory Bolotsky
465875958,cambria_davies,Cambria Davies
17933260,nickpatrick,Nick Patrick
14215426,ktrae,Katie Rae
2990859557,CymbalFM,Cymbal
3120417249,MyCoreHub,CoreHub
18088547,caylor,Kristy Caylor
14413529,MelodyMcC,Melody McCloskey
347648964,mjburke2,Matt Burke
14692016,JereDoyle,Jere Doyle
17569400,RileySoward,Riley Soward
373564351,Khanoisseur,Adam Khan
