id,name,screen_name
122992731,JScolnic,Josh Scolnic
43495684,marenkate,Maren Kate
1629336979,eholmes2003,Elizabeth Holmes
17064951,stacyannj,Stacy Jones
28316101,jdaly21,Jeremiah Daly
18156146,sofifii,Sophia Rivka Rossi
22111223,zamosta,Aaron Zamost
127062637,omidkordestani,Omid Kordestani
30320271,efalchuk,Evan Falchuk
292699428,womenvc,Women VC
37718217,TheDomino,Dominic Chu
138473986,AvidanRoss,Avidan Ross
12439842,efeng,Eric Feng
16847211,stephengillett,Stephen Gillett
53106616,beeskee1,Rebecca Singer
10005212,EMCcorp,EMC Corporation
3903185477,Dell_EMC,Dell EMC
26574283,CNBCnow,CNBC Now
9429102,joeciarallo,joeciarallo
155411603,RealOptionsKids,R.O.C.K.
1480423926,SandiBorchetta,Sandi S Borchetta
14692016,JereDoyle,Jere Doyle
256672084,valzarya,Valentina Zarya
29018269,vijaya,Vijaya Gadde
57688547,mikerozinsky,Mike Rozinsky
16319022,NickDunnCNBC,Nick Dunn
58629339,scott_dietzen,Scott Dietzen
3410415809,LavrockVC,Lavrock Ventures
53390892,hardi_meybaum,Hardi Meybaum
227070376,BobPisani,Bob Pisani
21600144,timcarvell,Tim Carvell
42751544,CapitalLeverage,Spencer McLeod
6476742,mollywood,Molly Wood
14098762,pesmou,Maria Thomas
3018829063,PrecursorVC,Precursor Ventures
377551978,HealyBeth,Beth Healy
3240542602,CharCreech,Charlotte Creech
125203154,pinjoanne,Joanne Bradford
3566618967,michal_addady,Michal Addady
11898042,bethferreira,bethferreira
14304618,AmandaWills,Amanda Wills
398393655,mvellank,Mahesh Vellanki
24916779,spencenow,Spencer Dailey
564001647,JeffFager,Jeff Fager
21252618,JakeSherman,Jake Sherman
17218096,ryros,Ryan Roslansky
858051,dannysullivan,Danny Sullivan
19487560,CraftyDeano,Dean Murphy
30516966,jonsakoda,Jon Sakoda
915333703,danielrainge,Danny Ainge
3401721466,AssembleVC,AssembleVC
21348880,Timodc,Tim Miller
324243049,christinekmagee,Christine Magee
817062,mags,Margaret Stewart
28637775,xmcj,michael joseloff
14231571,marcoarment,Marco Arment
161418344,SaraMaiC,Sara-Mai C
14305022,edog1203,Evan Doll
14115884,kgale,Kris Gale
14375810,fkerrest,Frederic Kerrest
14380974,nlaurell,Nate Laurell
14597239,TonyRomm,Tony Romm
12411952,ptenereillo,ptenereillo
233632336,BostonColleran,Matt Colleran
4265731,aunder,April Underwood
23787278,laire,laire
14339542,mlz,Marco Zappacosta
1475495658,eriktorenberg,Erik Torenberg
1055671,lo_toney,Lo Toney
109097299,DJMartirano,David Martirano
18380089,wp,William Peng
14323985,mulligan,Brenden Mulligan
65691824,CarlyFiorina,Carly Fiorina
14478614,JeffElder,Jeff Elder
28644174,bjnovak,B.J. Novak
299949309,BNarasin,Ben Narasin
91225807,austinbeutner,Austin Beutner
38462443,toddmaclean,Todd MacLean
707333,patk,Pat Kinsel
3420445395,FullFrontalSam,Samantha Bee
