id,name,screen_name
117862318,samirdesai01,Samir Desai
3452911,kevinweil,Kevin Weil
249768777,fxmacro,FxMacro
3260518932,TwitterMoments,Twitter Moments
86789868,gfreishtat,Gregg Freishtat
297161564,audhefmey,Audrey Meyer
460792252,GaryGinsberg,Gary ginsberg
1055079392,clue,Clue
372480639,justmadhu,Madhu 
2916305152,Snowden,Edward Snowden
7743292,gregsmirin,Greg Smirin
1702609808,Bootstrapworld,Bootstrap
312733572,reallymdp,Michael Preston
2375751019,seantstern,Sean Stern
253900343,eallatta,Eric Allatta
150185852,baconmeteor,Maciej Ceglowski
2973194710,JoshThomases,Josh Thomases
827409120,IanHathaway,Ian Hathaway
1547221,eugenewei,Eugene Wei
34145908,foxjust,Justin Fox
24765973,ATKingyens,Angela Tran Kingyens
14137874,eyecheng,Ian Cheng
362862535,b_petty14,Bryce Petty
10069172,ttunguz,Tomasz Tunguz
537525675,communedesign,commune design
14230772,matt_levine,Matt Levine
2195241,fmanjoo,Farhad Manjoo
1587156410,SMACKHighNY,SmackHigh New York
78423069,archibeau,Eric Archambeau
78621884,RodMenegaux,Rodolphe Menegaux
1024431,fcourt,Frederic Court
2370509087,GuilhemCheron,Guilhem CHERON
13141,slevene,Simon Levene
1980381,jasonli,Jason Li
541145267,ScriptEdOrg,ScriptEd
79923701,Lin_Manuel,Lin-Manuel Miranda
33792634,andrewrsorkin,Andrew Ross Sorkin
143053926,gavinandresen,Gavin Andresen
1536791610,POTUS,President Obama
15770165,juliepsamuels,Julie Samuels
3240992597,tealsk12org,TEALS
152341106,RebeccaJarvis,Rebecca Jarvis
52160722,nathanielpopper,Nathaniel Popper
14367669,kimmaicutler,Kim-Mai Cutler
156197800,ruchequiditoui,La Ruche qui dit Oui
14636374,superwuster,Tim Wu
14516013,pedrotp,Pedro Torres-Picn
2150981,Rasiej,Andrew Rasiej
37364919,juliawilson89,Julia Wilson
131003583,modestmouseband,Modest Mouse
729078223,LyricalBrock,Isaac Brock
2927758254,AppMeerkat,Meerkat
1394399438,JohnLegere,John Legere
72722761,brooklynrob,Rob Underwood
14100237,Alfred_Lin,Alfred Lin
2829401,roybahat,Roy Bahat
590535374,DoubleMcapital,Mark Mullen
8381682,LuisvonAhn,Luis von Ahn
18450149,LZSundayPaper,Lauren Zalaznick
486870620,athomasq,Abraham Thomas
15414807,johnmaeda,John Maeda
14097375,agentGav,Gavin Starks
74842755,swdoutloud,Stephen DeWitt
9464182,haynes_dave,Dave Haynes
394170953,JensLekman,Jens Lekman
23516416,jaredcohe,Jared Cohen
14130366,sundarpichai,sundarpichai
42872292,henrysward,Henry Ward
19751056,liliriveros,Lilian Riveros
18888713,FreddieGibbs,Freddie Gibbs
2942220309,CrispJonas,Jonas Lafortezza
2279776304,G_ante34,GiannisAntetokounmpo
148496087,Mariobatali,Mario Batali
716564185,JRosenworcel,Jessica Rosenworcel
110365072,GordonRamsay,Gordon Ramsay
334629775,Adeto_kouboS,T. Antetokounmpo
21056862,Baron_Davis,Baron Davis
116063765,axellelemaire,Axelle Lemaire
29961751,idatin,Ida Tin
96675300,mayawiley,Maya Wiley
102773464,NYCASP,NYC Alt Side Parking
26053643,jimmykimmel,Jimmy Kimmel
262794965,officialjaden,Jaden Smith
185739738,OfficialWillow,Willy
2350794840,onename,Onename
376991410,astradisastra,Astra Taylor
94274445,jgarzik,Jeff Garzik
14735033,AAinslie,Alexander Ainslie
17611064,libovness,Jonathan Libov
166244463,vacationermusic,Vacationer
295218901,VitalikButerin,Vitalik Buterin
13949332,jefftoig,jefftoig
14480855,chrisalbinson,chris albinson
15039632,gagnier,Christina Gagnier
17667803,mbaker000,Matthew Baker
195031706,mroth78,Michael S Roth
3661961,phkeane,Patrick Keane
392008108,RobintGill,Robin Gill
395750292,streetsoflaredo,Streets of Laredo
15812140,rimalovski,Frank Rimalovski
184136149,MarkHalperin,Mark Halperin
25923,dctanner,Damien C. Tanner
48354754,adamgopnik,Adam Gopnik
2601630428,coincenter,Coin Center
14801863,espiers,Elizabeth Spiers
58069392,morcosa,Alex Morcos
35739495,anthonynoto,Anthony Noto
20516485,Loverslollypops,Lovers and Lollypops
19046875,spencerrascoff,Spencer Rascoff
17659162,jmonegro,Joel Monegro
169606269,zkantor11,zck  kntr
64811484,ericreich,Eric Reich
16297233,ro_gupta,Ro Gupta
233990070,T_HardJR,Tim Hardaway Jr
52378533,JeffGlueck,Jeff Glueck
1260366252,PhilJackson11,Phil Jackson
19834403,BilldeBlasio,Bill de Blasio
19142461,ciaranoleary,Ciarn O'Leary
2669349654,KARachlin,Kerri Rachlin
126694626,Simonkhalaf,Simon Khalaf
2667107282,LoLorber,Lola Lorber
349816997,maxseddon,max seddon
15370304,eliasroman,Elias Roman
2576055661,TweetStormed,TweetStormed
20712333,hammerguy60,Jonathan Klein
826771,mgris,Mike Grishaver
24328692,danielgraf,Daniel Graf
811350,alexisohanian,Alexis Ohanian
118199605,aarti411,Aarti Shahani
2586227899,JodiBalsam,Jodi Balsam
77404218,crowdrise,crowdrise
132518463,harris,Aaron Harris
30569817,dkroy,Deb Roy
18227627,michaelbhorn,michaelbhorn
15332502,JeffEpstein,JeffEpstein
10406172,wiesenthal,Rob Wiesenthal
16046824,kategreer,Kate Greer
2178012643,balajis,Balaji S. Srinivasan
14158807,ilyaf,Ilya Fushman
400389728,KMMirko,karen-michelle mirko
282705587,AllSchuckUp,Adam Schuck
112601087,codeascraft,Etsy Engineering
401625957,SteveRattner,Steven Rattner
16868054,Jordalev,Jordy Levy
4939401,patrickc,Patrick Collison
1605,sama,Sam Altman
17881816,colortheory,Brian Hazard
62591681,EdwardNorton,Edward Norton
20599789,shanaglick,Shana Fisher
14651539,jeffiel,Jeff Lawson
70100659,frickcollection,The Frick Collection
1542533869,thereaIbanksy,banksy
9728112,startupman,David Hirsch
19485664,davidjaxon,David Jackson
745273,naval,Naval Ravikant
449588356,Kasparov63,Garry Kasparov
565613818,DROWNERSBAND,DROWNERS
11965122,smart,Steve Martocci
1005055250,DevendraBanhart,Devendra Banhart
396045469,barrysilbert,Barry Silbert
23976717,jeremysliew,jeremy liew
85863469,BenLawsky,Ben Lawsky
15768928,rachaelgking,Rachael King
361228184,W_ScottWeiss,Scott Weiss
1855351,seikatsu,Sten Tamkivi
252531143,SlaughterAM,Anne-Marie Slaughter
179529755,xpartysuppliesx,
2288182556,csnyc,CSNYC
704203,sarar,Sara Rowghani
13889622,lukew,Luke Wroblewski
2244340904,Recode,Re/code
3469,ericw,Eric Wahlforss
582317219,pegg_co,pegg
1592646438,433Rialto,433 Rialto
2231889180,rrwilson104,Rod Wilson
1974945445,marjscar,Marjorie M Scardino
17412147,charlesamadeus,Charlie Amadeus
7590212,dtelepathy,Digital Telepathy
17179368,Richard_Florida,Richard Florida
14875576,arachleff,Andy Rachleff
14098668,jimhirshfield,jim hirshfield
244979567,wefestival,WeFestival
17493187,aileenlee,aileenlee
2153366508,usvbot,USVbot
25719301,danaabcd,dana ardi
15209228,sjttocs,Scott Schwaitzberg
26233373,coryberger,cory berger
30071231,thebergershop,Ryan Berger
872538138,ronberger14,Ron Berger
14505932,stilenius,stilenius
138295682,JRJRmusic,JR JR
169321761,PeterChernin,Peter Chernin
247785677,mattturck,Matt Turck
1580655822,LastMinuteEatin,Last Minute Eatin'
