id,name,screen_name
575999970,RojaBandari,Roja Bandari
234321271,trevi, Michele Trevisiol
135945569,Doug_Laney,Doug Laney
1746361,gabor,Gabor Cselle
104788700,bdeelz,Brian
14161459,pmorelli,Peter Morelli
258032124,ChiefScientist,Alexy Khrabrov
2830321346,ccpinkham,Chris Pinkham
20928941,krishnagade,Krishna Gade
3003813372,yokymatsuoka,Yoky Matsuoka
156740537,MidPenH2O,Mid-Peninsula Water 
12093282,anamitra,anamitra banerji
17781165,NASAKepler,NASA Kepler
23503181,AsteroidWatch,Asteroid Watch
229910053,cxdig,Complexity Digest
90258002,sfiscience,Santa Fe Institute
1797321,QT1p,Alex Vorbau
7698,marius,marius eriksen
529438517,aaronclauset,Aaron Clauset
22674817,benhamner,Ben Hamner
208442526,Philae2014,Philae Lander
253536357,ESA_Rosetta,ESA Rosetta Mission
31496613,PGE4Me,PG&E
2319108198,serial,Serial
103989154,icwsm,ICWSM
13492342,khedaywi,Anthony Khedaywi
199877699,ana4pr,Ana Perez
385485421,crysgolightly,Crystal Golightly
2815631450,AMacOSTP,Alex Macgillivray
759576031,danielleodean,Danielle Dean
278214737,tweepmobile,Shuttle
37861434,earthquakesSF,SF QuakeBot
44690011,mdoroud,Mina Doroud
229638179,robjhyndman,Rob J Hyndman
185773994,brianjohnglynn,Brian Glynn
25670768,thomas_d_gray,Tom Gray
184543773,stat110,Joe Blitzstein
9802712,TomHCAnderson,Tom H C Anderson
532608688,puniverseco,Parallel Universe
1873684026,6abci,fhdsjk fdshkj
1169843972,skycatch,Skycatch, Inc
2359926157,CIA,CIA
11278102,nahumg,Nahum Gershon
330921167,astro_reid,Reid Wiseman
217681502,BenL,Benjamin Lee
799712594,BDataScientist,Juan Miguel Lavista
24998937,jabenitez,J. Armando Benitez
185808487,kpcb,Kleiner Perkins
14982112,rwitoff,robz
55504061,S_Lefebvre,Sbastien Lefebvre
14727247,dankmbp,Dan K
1401991,sujamthe,Sudha Jamthe
16034735,Chris_Said,Chris Said
18622869,ezraklein,Ezra Klein
15211564,sam,Sam Luckenbill
1287148471,aureliusgraphs,aurelius
24328692,danielgraf,Daniel Graf
534563976,KirkDBorne,Kirk Borne
1619531713,danseisun,Daniel Seisun
307489834,meelymay,Amelia Arbisser
2400484806,BrennanYeh,Brennan Yeh
65514044,yuzeh,
1183853520,CaltrainStatus,Caltrain Status
632675052,thanhtlt,Thanh Tran
396955810,dydt,diyang
1338100908,gillianmchin,Gillian Chin
20571756,satyanadella,Satya Nadella
14689181,solso,Josep M. Pujol
22749856,Gephi,Gephi graph viz
90739902,kostas,Kostas Tsioutsioulik
2270593045,ChevyChaseToGo,Chevy Chase
2913411,mitali,Mitali Pattnaik
36933718,sanfranphoto,San Francisco Photo
1567928341,Livemap_moto,Livemap_moto
2263413992,evanzhiyuanliu,evan zhiyuan liu
114750678,taoawu,Tao Wu
15558680,thossmann,Theus Hossmann
115445490,natethedrummer7,Nathan Ford
23347657,socinnovation,Social Innovation
289414745,mavani,Salima Mavani
14454645,vivian,Vivian Schiller
1323160854,MeanEthan,Ethan Yeh Fanboy
9019482,akashgarg,akashgarg
449116352,StatisticBrain,Statistic Brain
108131861,prakhar,Prakhar Mehrotra
484757080,pycoders,Pycoders Weekly
89673,JoeF,u o
326245910,_rchang,Robert Chang
237254045,treycausey,Trey Causey
238475531,Metallica,Metallica
1707321486,madeleine,Madeleine Albright
209721412,ethanyeh,Ethan
626624782,aianus,Alex Ianus
20964111,clarecorthell,Clare Corthell
13982132,medialab,MIT Media Lab
111358276,amitgoyal12,Amit Goyal
1431157350,todayin1963,Today in 1963
21969650,NathanCHubbard,Nathan Hubbard
602317143,SirPatStew,Patrick Stewart
978908012,Fascinatingpics,Fascinating Pictures
555928038,Earth_Pics,Earth Pics
1340692447,funnywhenwrong,Funny When Its Wrong
1086485478,History_Pics,ClassicPics
1178700896,ajam,Al Jazeera America
47241422,qqwjq,jay wang
1598644159,HistoricalPics,Historical Pics
1666038950,BoredElonMusk,Bored Elon Musk
1534167900,Carl_C_Icahn,Carl Icahn
1393164308,epic,Epic Magazine
1571270053,Amazing_Maps, Amazing Maps 
178912876,mylign,Juyong Park ()
1377400458,joshualande,Joshua Lande
151616175,justjlo,Jeff Dejelo
1641339336,EventRex,Event Rex
564686965,Brilliant_Ads,Brilliant Ads
397694029,spaceyliz,Liz MacDonald
1546823898,abandonedpics,Abandoned
14332860,satanjeev,Satanjeev Banerjee
162535413,bradleyvoytek,Bradley Voytek
249831786,sdean,Stephanie Williams
1411434049,eventparrot,Event Parrot
20963651,seanjtaylor,Sean J. Taylor
541058651,Speed2Design,Speed2Design
9271782,edchi,Ed H. Chi
135486484,DesignSparkRS,DesignSpark
468358793,SebFeed,Sebastian Leon
109613064,Flygirltwo,Farida Vis
14666934,kevinmitnick,Kevin Mitnick
1314101,eytanadar,Eytan Adar
214272214,sinanaral,Sinan Aral
40684667,peterseibel,Peter Seibel
15652541,michelejohnson,Michele Johnson
50437590,SiweiShen,Siwei Shen
1482958520,datamusing,Sudeep Das
1339835893,HillaryClinton,Hillary Clinton
5958082,xinit,Wouter de Bie
897463404,BenceArato,Bence Arato
146601627,FozzTexx,Chris Osborn
16734860,dangerousproto,Dangerous Prototypes
14324794,EMSL,Evil Mad Scientist
14607140,hackaday,hackaday
61019901,csong,Chunyan Song
15116631,interplanetary,Chris Lewicki
438301250,fhuszar,Ferenc Huszar
100394466,AnalysisFact,Analysis Fact
19601375,daveauld,Dave Auld
27965660,jenniromanek,Jenni Romanek
76348185,Interior,US Dept of Interior
20219699,noahmp,Noah Pepper
36771809,NatlParkService,NationalParkService
1270746139,MagicRecs,Magic Recs
19301681,trebor,Robert Harris
529817556,twoffice,Twoffice
1388838691,cynthiag,cynthia gaylor
1364930179,WarrenBuffett,Warren Buffett
318046158,kristw,Krist Wongsuphasawat
88892707,philogb,Nicolas Belmonte
1271338237,HelenMFarrellMD,Helen M. Farrell, MD
101353,willf,Will FitzGourd
777468985,nipoon,Nipoon Malhotra
6312712,SenanRyan,Senan Ryan
9904812,felhobacsi,Gergely Hodicska
35138602,drbridgewater,Jesse Bridgewater
6495102,jonsedar,jonsedar
1330457336,billclinton,Bill Clinton
78154150,leftparen,Justin Chen
572225652,SciencePorn,SciencePorn
22804156,RustedRoot,Rusted Root
15662133,OrbitalATK,Orbital ATK
15473256,lillian,Lillian Carrasquillo
1072232960,twisitor,Twisitor
29256864,chartoftheday,BI Chart of the Day
186154646,Cmdr_Hadfield,Chris Hadfield
14346209,sean,Sean Matsuno
