id,name,screen_name
21330800,loftusbc,James Loftus
14692016,JereDoyle,Jere Doyle
50393960,BillGates,Bill Gates
8161232,richardbranson,Richard Branson
249292235,michegann,Michelle Gannon
2927758254,AppMeerkat,Meerkat
319702634,DScottFreedman,David S. Freedman
22829392,MikeNard,Mike Nardella
2362144782,GorgWomenDaily,Gorgeous Women Daily
240665760,NRellas,Nick Rellas
2884502937,BarstoolSSOTD,Smokeshow Of The Day
2204248015,sexymodelpost,Sexy Model Post
263811682,Marci_Bb,Marcela Bedoya 
14483283,rohit,Rohit Gupta
2887928483,NbdRosen,Jonathan Rosen
808861362,UnfollowedmeOrg,Who Unfollowed Me
41853111,Emma_K_Model,Emma K
22002881,Rhianmarie,Rhian Sugden
482357921,xAliceGoodwinx,Alice Goodwin
34339630,TomBurtonIII,Thomas Burton
40306400,kemacdon,Katie MacDonald 
15370019,wolfejosh,Josh Wolfe
2802656856,gabmarie54,Gabrielle Gosselin
626274966,UpdatedHotties,Hot Girls Daily
76563833,alexandracaras,Alexandra Caras
314829292,GKarelitz,Gregory Karelitz
76399265,Lux_Capital,Lux Capital
91388229,GeoffCameron,Geoff Cameron
2511477648,TimHowardGK,tim howard
89447929,J_Klinsmann,Jrgen Klinsmann
38399009,bznotes,Bilal Zuberi
123661002,AleBedoya17,Alejandro Bedoya
16425462,AmericanOutlaws,The American Outlaws
563207569,ElizabethBarno,Elizabeth Barno
805438718,dalton_danielle,Danielle Dalton
350988393,davemacboston,Dave McLaughlin
2451650570,soaringstartup,Soaring Startup Cir.
142839300,DanBilzerian,Dan Bilzerian
224656141,glassrobinson,Justin Robinson
17230461,eboyden3,Ed Boyden
202484461,matkaliski,Mateusz Kaliski
1180354219,JDziama,Justin Dziama
806271169,StanfordEnergy,Stanford Energy
973118868,evangabor,Evan Gabor
210994083,SuperDrewbieOD,SuperDrewbie OnDeck
176619586,skepticsfool,Dean Frankel
352226135,missireynolds,India Reynolds
37468641,chinkatie,Katie Chin
14558880,tjericson,Timothy Ericson
38563757,ghorgan,Guy Horgan
520412607,ErikGrueter,Erik Grueter
