id,name,screen_name
15447034,Powells,Powell's Books
338665072,GregorTrebusak,Gregor Trebuak
31401611,Villarejo,Esteban Villarejo
21054720,stephenclark,Stephen Clark
20779619,alexabahou,Alexandra Bahou
146160591,Lee_in_Iowa,Lee in Iowa
3318439646,chrischong1989,Chris Chong
579916489,IVLPatWL,IVLP at WL
1728882062,PaulsonInst,Paulson Institute
16468227,Campaignmag,Campaign
274004832,Ailish_Campbell,Ailish Campbell
151930383,GordonGChang,Gordon G. Chang
40302362,ForbesLife,ForbesLife
603344194,BaldingsWorld,Christopher Balding
89713893,ForbesOpinion,Forbes Opinion
30043148,kaylatausche,Kayla Tausche
57912461,EmilyAllen01,Emily Allen
2842830110,RobH_SCMP,Rob Haddow
492941821,ngnaomi,Naomi Ng 
17416571,Airbnb,Airbnb
254136706,CoryTV,Cory Johnson
190569407,TechOrange,TechOrange
606645922,DevjyotGhoshal,Devjyot Ghoshal
3044665445,qzafrica,Quartz Africa
2400320881,qzindia,Quartz India
2964865881,USAsiaPacific,EAP Bureau
1236101,BenedictEvans,Benedict Evans
15827269,BradStone,Brad Stone
38146016,WinChungHK,Winnie Chung
17529576,dianawudavid,dianawudavid
64844802,a16z,a16z
37477788,AndrewSErickson,Andrew Erickson
82945525,zensoo,Zen Soo
148630141,JuroOsawa,Juro Osawa
1196328007,china,CHINA
117433286,adschina,Adam Segal
342623380,HeyJennyC,Jen Chan 
14804903,richardlai,Richard Lai
14372486,engadget,Engadget
226348151,LinkedInPulse,LinkedIn Pulse
13058772,LinkedIn,LinkedIn
19103481,Uber,Uber
501292034,Uber_HK,Uber HK 
2536510904,EvanFeigenbaum,Evan Feigenbaum
407098018,StateIVLP,IVLP
730644764,horwitzjosh,Josh Horwitz
5856182,fryan,Fergus Ryan
381618637,GSMA,GSMA
1177420700,BIAUS,Business Insider AUS
312266530,PatrickMcGee_,Patrick McGee
1200474236,stbusinessdesk,ST Business Desk
19224439,Nouriel,Nouriel Roubini
14096763,TheStalwart,Joseph Weisenthal
64657863,prchovanec,Patrick Chovanec
2950885511,berthofmanecon,Bert Hofman
813286,BarackObama,Barack Obama
1536791610,POTUS,President Obama
2927376877,DavidMooreSCMP,David Moore@SCMP
57142544,dkwong5,Derek Wong
14118981,tommer,Tom Cochran
101855247,edwininla,Edwin Chan
832683854,LKYSch,Lee Kuan Yew School
2556393734,SCMPgraphics,SCMPgraphics
1854347438,CoconutsHK,Coconuts Hong Kong
12876222,laurelchor,Laurel Chor
21771755,stegersaurus,isabella steger
104146203,caixin,Caixin Media
86107125,Brandwatch,Brandwatch
325230260,SamGellman,Sam Gellman
3684431,Colgo,Paul Colgan
24670970,getgavin,Gavin McDougall
3070395482,KarenLeungFdn,KarenLeungFoundation
50751836,shellytong,Shelly Tong
752855778,SydneyEditor,Peter Brown
50324367,_IainMartin,Iain Martin
4033561,simoncrerar,Simon Crerar
1891806212,AcademicsSay,Shit Academics Say
145216041,yumikoono,Yumiko Ono
794808,globalvoices,Global Voices
14858966,jhau727,Joyce Hau
