id,name,screen_name
273653939,agoogleaday,A Google a Day
49721456,chi2011,CHI 2011
37060788,lifeatgoogle,Life at Google
197313522,earnmyturns,Fernando Pereira
43712447,atishdassarma,Atish
125414616,GoogleFT,Google Fusion Tables
50554404,mirrokni,Vahab Mirrokni
80784646,krishnabharat,Krishna Bharat
38864204,cemcaglr,	
44423,cdibona,Chris DiBona
9814572,mccurley,Kevin McCurley
33834478,roberto_bayardo,Roberto Bayardo
18059898,theamitsinghal,Amit Singhal
8826872,AlonHalevy,AlonHalevy
16319797,IBMResearch,IBM Research
21457289,MSFTResearch,Microsoft Research
14346186,YahooResearch,Yahoo! Research
20536157,google,Google
