id,name,screen_name
3170157773,rue_reed,Andrew Reed
14684110,emileifrem,Emil Eifrem
280083576,mcgrathmag,Maggie McGrath
221871801,alphafishing,Daniel McAuley
18622869,ezraklein,Ezra Klein
295437001,juanleungli,Juan Luis Leung Li
55430564,c_barbin,Chris Barbin
17110946,singhns,Narinder Singh
49093730,bkurtic,Bruno Kurtic
915014563,nickxman,Nick Christman
407946414,jakecolognesi,Jake
269052050,dbialis,Deb Anderson-Bialis
287225795,karmani68,Karl Armani
275686563,verge,The Verge
33838201,googleresearch,Google Research
93711247,AndroidDev,Android Developers
50090898,googledevs,Google Developers
1068831,slashdot,Slashdot
2893971,gigaom,Gigaom
2244340904,Recode,Re/code
28172926,WSJD,WSJD
14761795,TEDchris,Chris Anderson
14434070,nytimesbits,NYTimes Bits
19661363,nytimestech,NYT Technology
15808647,techreview,MIT Tech Review
73147282,HuffPostTech,HuffPost Tech
42703075,cnntech,CNN Tech
30261067,CNET,CNET
621583,BBCTech,BBC Technology
18949452,FT,Financial Times
34713362,business,Bloomberg Business
28140646,WSJbusiness,WSJ Business News
25053299,FortuneMagazine,Fortune
67358777,BW,Businessweek
20562637,businessinsider,Business Insider
16896485,Inc,Inc.
19407053,Entrepreneur,Entrepreneur
972651,mashable,Mashable
816154,kippbodnar,Kipp Bodnar
125499355,dfjsteve,Steve Jurvetson
367661774,Abhay__Pandey,Abhay Pandey
19038395,mattbish,Matthew Bishop
14800270,HarvardBiz,Harvard Biz Review
43176741,adaugelli,Adam D'Augelli
87809737,CrossFitGames,The CrossFit Games
381289719,nntaleb,NassimNicholasTaleb 
2426,monteiro,Mike Monteiro
16350505,asanwal,Anand Sanwal
1421521,adamnash,Adam Nash
22080646,DannyZuker,Danny Zuker
14372143,jasonfried,Jason Fried
1152279248,EarthPix,Earth Pics
2441831348,oldpicsarchive,Old Pics Archive
395602608,hansmsherman,Hans Sherman
59157393,tomfriedman,Thomas L. Friedman
17006157,NYTimeskrugman,Paul Krugman
164304654,wonkmonk_,wonkmonk
50986270,Claire0h,Claire Lee
316389142,iamjohnoliver,John Oliver
