id,name,screen_name
573306437,kaelieraeflores,k-flo
444987701,NBAFantasy,NBA Fantasy
1330457336,billclinton,Bill Clinton
40940457,Univ_Of_Oregon,University of Oregon
15638912,GoDucks,GoDucks
579717309,hayleyrlws,hayley
3511705819,ItsJohnCenaBoi,John Cena
158618315,HL_JAB,Justin 'JAB' Black
142839300,DanBilzerian,Dan Bilzerian
2365244077,parman_RJ,Parsons
69401377,iAm_parman,Par
52529345,MichelleDBeadle,Michelle Beadle
3206884587,jon_gray11,Jon
91692811,jongray11,jonathan
21254264,SportsNation,SportsNation
1963830343,_kaiwan_,Kainoa
2369947141,dogtextings,Texts from my dog
890891,BleacherReport,Bleacher Report
1411470840,LWillson_82,Luke Willson
306356872,JonRyan9,Jon Ryan
105147032,Earl_Thomas,Earl Thomas
89365992,JustinBritt68,Justin Britt
113503757,Mebane92,Brandon Mebane
29797840,cliffavril,Cliff Avril
1613440802,mosesbread72,Michael Bennett
135180235,RussellOkung,Russell Okung
231989667,RobT_33,Robert Turbin
227418297,BIrvin_WVU11,Bruce Irvin
38688377,Bwagz54,Bobby Wagner
37823344,Kam_Chancellor,Kameron
211050464,chopchop_15,Jermaine Kearse
45892981,DougBaldwinJr,Doug Baldwin Jr
1228516999,arnettwill,Will Arnett
2720177156,FunnyVideoGame,Gaming Humor
2161751150,StephRenae4,Stephanie Rasico
130405045,britt_terland,Alaska
33401181,andystriano,drew
6427882,channingtatum,Channing Tatum
250831586,TheRock,Dwayne Johnson
256573865,JonahHill,Jonah Hill
124335068,mark_wahlberg,Mark Wahlberg
443215941,Sethrogen,Seth Rogen
329746058,BenAffleck,Ben Affleck
436292177,JamesFrancoTV,James Franco
57097104,McConaughey,Matthew McConaughey
27042513,RealHughJackman,Hugh Jackman
133880286,LeoDiCaprio,Leonardo DiCaprio
50374439,tomhanks,Tom Hanks
52551600,JimCarrey,Jim Carrey
230930518,JenSelter,Jen Selter
609793205,Sutton_Justin23,Justin Sutton
2389352520,dereckwaite,Dereck Waite
453351812,JayyLawton,Jess
15876379,PeteCarroll,Pete Carroll
23642374,Seahawks,Seattle Seahawks
27698202,RSherman_25,Richard Sherman
512613427,DangeRussWilson,Russell Wilson
401681146,NiykeeHeaton,Niykee
297772347,LaurenPisciotta,LP
1059194370,kobebryant,Kobe Bryant
55117855,amyschumer,Amy Schumer
1572193687,CopsUncut,Cops Uncut
248900032,MagicJohnson,Earvin Magic Johnson
198560066,ReggieMillerTNT,Reggie Miller
17049258,usabasketball,USA Basketball
171165627,NBAHistory,NBA History
17461978,SHAQ,SHAQ
29307276,TheJetOnTNT,Kenny Smith
283090686,nbastats,NBA.com/Stats
22178780,NBAonTNT,NBA on TNT
423868716,NBAOfficial,NBA Official
163562125,norm,Norm Kelly
25073877,realDonaldTrump,Donald J. Trump
870731426,WinTheDay,Oregon Football
16933064,KEEN,KEEN
19362299,nflnetwork,NFL Network
123417995,ESPNNFL,NFL on ESPN
385629605,BTay_2,Braden Taylor
94366662,NIKEiD,NIKEiD
337726224,NikeRunning,Nike Running
41147159,nikefootball,Nike Football
98533811,nikesportswear,Nike Sportswear
415859364,Nike,Nike
17351972,nikestore,Nike.com
2355460086,NBA_Vibes,NBA VIBES
1520006918,ThePowerfulPics,You Had One Job
1209608880,PlayHearthstone,Hearthstone
19434943,hasselESPN,Chris Hassel
20900209,iliza,Iliza Shlesinger
310463188,RondaRousey,Ronda Rousey
6446742,ufc,UFC
155462542,m_skajy,Michael Skaja
61033129,Warcraft,World of Warcraft
174307074,BlizzardCS,BlizzardCS
248917209,hwinkler4real,Henry Winkler
35982046,russwest44,Russell Westbrook
391037985,twhiddleston,Tom Hiddleston
47285504,MarkRuffalo,Mark Ruffalo
580097412,ChrisEvans,Chris Evans
