id,name,screen_name
147053951,Andrewmbarr,Andrew Barr
760892,VL,VL
3894912316,PublicExtension,Public Extension
15698507,scottbelsky,Scott Belsky
17544123,jaimeejaimee,jaimee newberry
12651,danieltiger,Arik Devens
14148226,dmessent,dmessent
14409856,iano,ian ownbey
260010956,jbyttow,jason byttow
15389118,cpaik,Chris Paik
8954472,alexlines,Alex Lines
18168823,saman325,saman rahmanian
14392347,auerbach,Joshua Auerbach
80603,fraser,Fraser
3230052541,andyweirauthor,Andy Weir
1068,kurt,Kurt Schrader
14223755,greenwald,Jason Greenwald
27052339,jliszka,Jason Liszka
74003,cm,chris muscarella
10023552,mayafish,Maya Prohovnik
10023552,mayafish,Maya Prohovnik
5744892,nataliepo,Natalie Podrazik
2776643876,notationcapital,Notation Capital
56855530,AnthonyDiComo,Anthony DiComo
119914580,dayjimenez,Day Jimenez
9177442,grosen,Greg Rosen
33183398,sozorogami,Terrifyler Tape
346156468,tamarshmallows,Tamar
13258512,dhof,Dom Hofmann
755386,jonathandavis,Jonathan Davis
255036797,itunescarddeals,iTunes Card Deals
800568,Koalemos,Tal Atlas
14976016,timonus,tm
10919522,OmniFocus,OmniFocus
1566661,ismh,Stephen Hackett
126694626,Simonkhalaf,Simon Khalaf
3185156318,input_app,Input
1636577430,smileyborg,Tyler Fox
76990841,jamayers,Andrew Mayers
2174967073,clubhouse,Clubhouse
2174967073,clubhouse,Clubhouse
1764931,dannygreg,Danny Greg
5853572,DLX,grave robb
50685018,conradev,Conrad Kramer
6239392,rizzledizzle,Rizwan
699463,sandofsky,Ben Sandofsky
1567611576,areyoubalanced,Balanced
9544202,schlaf,Steve Schlafman
2689571741,LaunchKit,LaunchKit
15014382,RadioJai,Jaidev Soin
24742737,ChrisRyan77,Chris Ryan
52394683,scottspizzatour,Scott's Pizza Tours
31861041,capoapp,Capo
1140451,AntDeRosa,Anthony De Rosa
16134172,DaveAbrahams,Dave Abrahams
1282121312,waitbutwhy,Wait But Why
28606941,gregmayomusic,Greg Mayo
71141770,thedayshow,DAY
2897295331,lilbitesofcocoa,lil' bites of cocoa
2859705616,get_click,SEVENSIXTEEN
36215085,rowatthered,Ryan R. Klems
77715464,genadyo,Genady Okrain
226661912,studioneat,Studio Neat
3138035778,chains_ebooks,Chains Ebooks
166369152,forstall,Scott Forstall
114041106,xenadu02,Russ Bishop
1606710888,buildphase,Build Phase
100312878,brandnewrock,Brand New
2842780125,SwiftDocOrg,SwiftDoc.org
3121743741,instant_cocoa,Instant Cocoa
301025773,ari_grant,Ari Grant
3105462050,autolayoutzen,Auto Layout Zen
2327633071,CocoaLoveConf,CocoaLove Conference
2701949732,gyroscope_app,Gyroscope
291,goldman,Jason Goldman
4365311,nnnnnnnn,Nate Cook
294993317,TonyD256,Tony
14550773,TimTr,Tim Triemstra
14080323,tyleralove,Tyler Love
289246577,merowing_,Krzysztof Zabocki
1684366273,TryFlag,Flag
11029932,garrettmoon,Garrett Moon
1912558794,weatherlineapp,Weather Line
14863326,bradyy,Brady Archambo
8162312,lankybutmacho,Matt Healy
2817071910,Monodraw,Monodraw
17963912,jacksondeane,Jackson Deane
96423812,TheCousinSal,Cousin Sal
9011772,aprilzero,Anand Sharma
14848965,GFontenot,Gordon Fontenot
4765141,incanus77,Justin Miller
765340,AriX,Ari Weinstein
15203226,steveram,Steven Ramkumar
6359312,dbgrandi,David Grandinetti
2293056834,nerdyjkg,John Gallagher
13800832,sprynmr,Bob Spryn
37563810,coultonvento,Coulton Vento
398173256,NatashaTheRobot,NatashaTheRobot
14690731,chellekugler,Michelle Rehkugler
11250462,aloria,aloria
2645296730,astralapp,Astral
23305365,syropian,Zomboy Henderson
47312435,jmburges,Joe Burgess
2308916118,nateparrott,nate parrott
2830380518,onuniverse,Universe
690473,luke0x,Luke Crawford
2750919210,Faux_Gruden,Jon Gruden
21150267,ayanonagon,Ayaka Nonaka
279709182,kevin_irace,irace, kevin
18383401,cameronspickert,Cameron Spickert
11752,markbao,Mark Bao
21154599,kylefuller,Kyle Fuller
161053060,nickjshearer,Nick Shearer
35726118,mxswd,Maxwell Swadling
1380471,kongtomorrow,Ken Ferry
14125871,apike,Allen Pike
815973,paulca,Paul Campbell
70523633,ashleynh,A. Nelson-Hornstein
40418446,vickimurley,Vicki Murley
291551746,savinola,Laura Savino
47440030,daveaddey,Dave Addey
15678517,khanlou,soroush
21528756,morgangrainger,Morgan Grainger
18257361,indragie,Indragie Karunaratne
192478064,modocache,Brian Gesiak
2612137610,BKLNSwift,Brooklyn Swift
822640,jasonbrennan,Jason Brennan
568723164,sdmccoll,Steve McColl
14160737,bridgermax,Bridger Maxwell
2343801750,auxyco,Auxy
223229819,ziba_r,Ziba Rostamian
716863,liquidx,Alastair Tse
21273046,adamalix,Adam Alix
266881567,stephenpoletto,Stephen Poletto
14838138,pearapps,Kenny Ackerson
2304229380,WorkflowHQ,Workflow
714033,nikf,Nik Fletcher
14620798,zachwaugh,Zach Waugh
20573003,MusicHallofWB,Music Hall of WB
1616252148,unread_app,Unread
369789785,Citymapper,Citymapper
17400516,dannyhertz,Danny Hertz
81497619,mbrandonw,Brandon Williams
625636353,KentuckyChang,Kate Ryder
18559099,jckarter,Joe Groff
337167459,bthdonohue,Brian Donohue
316389142,iamjohnoliver,John Oliver
90679973,simjp,JP Simard
237262300,jakelodwick,Jake Lodwick
36391242,mattalexand,Matt Alexander
50768962,tkremenek,Ted Kremenek
23493152,MasterJeef,Jeff Forbes
28459663,_jackhl,Jack Lawrence
14429563,SmileyKeith,Keith Smiley
2621291,bwalkin,Brandon Walkin
184545322,nomothetis,Alexandros Salazar
2657836568,SMcDermott33,Sean McDermott
2310259742,appdocu,App: The Human Story
14636374,superwuster,Tim Wu
2569352756,FunctionalSwift,Functional Swift
1636590253,tim_cook,Tim Cook
60404290,connor,Connor Montgomery
303230713,JonathanArons,Jonathan Arons
429256370,45RIOTS,45 Riots
677733,wka,Kris Arnold
2526229286,SwiftLang,Swift Language
2543588034,clattner_llvm,Chris Lattner
16318564,gparker,Greg Parker
5008061,jopamer,Joe Pamer
200456962,_soaps,Sophia Teutschler
790249,rtmfd,Ian Baird
1396959630,alcatraz_xcode,Alcatraz for Xcode
14199114,jacksonh,Jackson Harper
305561675,cingleton,ingleton
11195962,prendio2,Oisn Prendiville
7312992,Padraig,pdraighoulcinnide
40273,benthompson,Ben Thompson
2147847571,codereviewapp,CodeReview
17600598,AdamRotter,Adam Rotter
24001692,accannis,Alan Cannistraro
245190252,Spaceageapp,Space Age
50280181,sketchapp,Sketch
10194392,reneritchie,Rene Ritchie
70977717,LucasTizma,Shannon Potter
210932450,dblockdotorg,Daniel Doubrovkine
7821812,brianmichel,Brian Michel
175624200,ID_AA_Carmack,John Carmack
22152251,ghuwevans,Gareth Evans
15444008,Catfish_Man,David Smith
16868084,paulrehkugler,Paul Rehkugler
51263592,AdamSchefter,Adam Schefter
2251684044,decksetapp,Deckset
43915380,NachoSoto,Nacho Soto
14932113,sampage,Sam Page
259575244,_supermarin,Marin Usalj
14680556,kyleve,Kyle Van Essen
7938482,benjaminjackson,Spawn of Beelzebub
2350753812,dayone,Day One
823129,shawnblanc,Shawn Blanc
1662741,benr75,Ben Reubenstein
223053583,arielmichaeli,Ariel Michaeli
1468574148,swizzlr,Thunk In The Night
15878238,py,Paul Young
2227377990,supertopsquid,Supertop
1562729460,1writerapp,1Writer
12512,daveverwer,Dave Verwer
73644377,segiddins,Samuel Giddins
231756759,olebegemann,Ole Begemann
45193698,danielboedewadt,Daniel Eggert
1793681,drewmccormack,Drew McCormack
7460652,bpapa,Brian Papa
860241054,corintrachtman,Corin Trachtman
19312115,panzer,Matthew Panzarino
1236101,BenedictEvans,Benedict Evans
175264452,kapeli,Kapeli
10046112,bmead,Brian Mead
14077987,chrismaddern,Chris Maddern
1977579223,NYT4thDownBot,NYT 4th Down Bot
4295181,chriseidhof,Chris Eidhof
2897431,dwiskus,Slutty Dave Wiskus
7213362,Javi,Javier Soto
17947796,landonfuller,Landon Fuller
15079252,mattjgalloway,Matt Galloway
260075211,AliKazemi_,Ali Kazemi
25401953,steipete,Peter Steinberger
5197181,ryannielsen,Ryan Nielsen
17465375,catthew,CAT LETH
462957532,jakeschreier,Jake Schreier
13025112,jayparkinson,jayparkinson
18175150,adamhowardprice,Adam Price
14197707,klaaspieter,Klaas Pieter Annema
86337890,dstnbrkr,Dustin Barker
14710664,rjonesy,Ryan Jones
15367160,jeremysomething,Jeremy Schoenherr
62655344,jonnymclaughlin,Jonny McLaughlin
14149882,kbaxter,Kyle Baxter
39369577,kevingrant5,Kevin Grant
108334003,lexilewtan,Alexa Lewtan
814122,andybons,Andrew Bonventre
1586501,nickbilton,Nick Bilton
785340,blakewatters,Blake Watters
21268655,okvivi,Octavian Costache
254073,anoopr,Anoop Ranganath
8963902,jexe,Jesse Boyes
16311781,larrylegend,Larry Legend
3187821,jwegener,Jonathan Wegener
607,mg,Matt Galligan
19924413,lazerwalker,Mike
22221551,andygreenwald,Andy Greenwald
21897334,billbarnwell,Bill Barnwell
143597858,robertmays,Robert Mays
22920215,nicklockwood,Nick Lockwood
8046872,ctp,Chris Parker
15236102,damiencorrell,Damien Correll
44196397,elonmusk,Elon Musk
47015938,usesthis,The Setup
15704272,brimurph,Brian D. Murphy
7456262,btaylor,Bret Taylor
15004156,jaredsinclair,Jared Sinclair
11381522,johnsheehan,John Sheehan
1375643814,thedissolve,The Dissolve
45598477,foursquareAPI,Foursquare API
46800814,_DavidSmith,David Smith
15958614,markgurman,Mark Gurman
1445582090,elepathco,Elepath
26178841,mergesort,Joe Fabisevich 
58194103,floriankugler,Florian Kugler
18119839,caseyliss,Casey Liss
2569881,orta,rta
5777542,josephschmitt,Joe Schmitt
187793,pasql,paSKULL dsilva!
3369501,tolar,robert tolar haining
14305022,edog1203,Evan Doll
13966522,chrisladd,chrisladd
21278493,jflinter,Jack Flintermann
763549,imyke,Myke Hurley
17686057,samgrossberg,Sam Grossberg
10724012,andy_matuschak,Andy Matuschak
16941166,Bensign,Ben Schaechter
1416260550,objcio,objc.io
11201752,donmelton,Don Melton
938456203,debugcast,Debug
27681174,Joe_Stanley,Joe Stanley
14212878,casademora,Saul Mora
15536268,ashfurrow,Spooky.swift
24743256,_joeydong,Joey Dong
14101988,keithmcknight,Keith McKnight
77076055,georgpetschnigg,Georg Petschnigg
202003,pkafka,Peter Kafka
929,justin,Justin Williams
712733,tristan,Tristan OTierney
15791451,Sexpigeon,Sexpigeon
19535286,justingallagher,Justin Gallagher
221961044,xcallbackurl,x-callback-url
266197818,xscopeapp,xScope App
182383,bengold,Ben Gold
16179185,mhkt,Matt Hackett
20336293,shnhrrsn,Shaun Harrison
42491608,lickability,Lickability
485747296,JonFallin,Jonathan Fallin
27825351,dhamburger,Danielle Hamburger
43650262,Scott_Source,Scott
15341749,adamjernst,Adam Ernst
73963286,bcapps,Brian Capps
