id,name,screen_name
54226675,translator,Translator 
376825877,TwitterOSS,Twitter Open Source
17874544,Support,Twitter Support
6253282,twitterapi,Twitter API
95731075,safety,Safety
204343158,rosenblattdavid,David Rosenblatt
19417999,DaMFunK,FocusedDM-FK
17230018,Spotify,Spotify
18948541,SethMacFarlane,Seth MacFarlane
96829836,Nas,Nasir Jones
422665701,Raury,Coconut oil papi 
1499345785,Iarsulrich,Lars Ulrich
7698,marius,marius eriksen
18819527,RoamingGnome,Travelocity Gnome
32765534,BillSimmons,Bill Simmons
44039298,sethmeyers,Seth Meyers
104969057,IanMcKellen,Ian McKellen
241964676,Grantland33,Grantland
615999145,KikiShaf,Bee Shaffer
1440641,nytimesarts,New York Times Arts
16465385,NobelPrize,The Nobel Prize
14550962,comex,comex
2813652210,MeowTheJewels,#MeowTheJewels
237548529,humansofny,Brandon Stanton
16600574,bouska,Adam Bouska
526316060,DaveChappelle,David Chappelle
1188951,eyeseewaters,Nandini Ramani
43421130,timfsf,Treasure Island Fest
15241557,reedhastings,Reed Hastings
454423650,tinab,Tina Bhatnagar
3751591514,Steven_Ballmer,Steve Ballmer
845743333,JoyceCarolOates,Joyce Carol Oates
292626949,singhtv,Baljeet Singh
70976011,jdrishel,Jeremy Rishel
5943622,pmarca,Marc Andreessen
127062637,omidkordestani,Omid Kordestani
3913671,bartt,Bart Teeuwisse
348942463,stephenpmc,Stephen McIntyre
18700629,ScienceDaily,ScienceDaily
23331708,jasonwstein,Jason Stein
3668032217,JRBlake,James Blake
1263452575,PaperrockRcrds,Paperrock Records
1085,niall,Niall Kennedy
18825961,Skrillex,SKRILLEX
22412376,deadmau5,deadmau5
14248315,errolmorris,errolmorris
14065609,aparnacd,Aparna Chennapragada
14563623,dhanji,Dhanji R. Prasanna
39623638,SHOsports,SHOWTIME SPORTS
17901282,HBOboxing,HBOboxing
3320010078,jockowillink,Jocko Willink
24393384,40oz_VAN,40
1639866613,miyatola,Dave Free
99841232,ItsYoungMagic,Young Magic
2194124415,ZiauddinY,Ziauddin Yousafzai
