id,name,screen_name
1157444420,admitted_ly,Admittedly
234065046,jmzledoux,James LeDoux
98852390,SourabhBanthia,Sourabh Banthia
2792544031,kaitangard,K
1578026599,ChunPingHu,Chun Ping Hu
16955870,UpshotNYT,The Upshot
2794668349,steveniannacc,Steven Iannacci
2786987256,FinanceEagle,Ted Burns
2789025037,watsonm17,maggie watson
2790685633,S_Brentegani,Shadi Brentegani
2788285183,christinaeng15,Christina Eng
2790599581,Jack_Pillion,Jack Pillion
816653,TechCrunch,TechCrunch
14800270,HarvardBiz,Harvard Biz Review
2735591,FastCompany,Fast Company
28140646,WSJbusiness,WSJ Business News
1754641,nytimesbusiness,NYT Business
2789024941,MLinemayrBC,Maximilian Linemayr
2788791972,DrakeLyon,Drake Lyon
2786770135,GaryKnapik,Gary Knapik
2789088613,tk34343434,TPK
2803191,intel,Intel
20793816,amazon,Amazon
1155522630,jpmorgan,J.P. Morgan
16288392,gallaugher,John Gallaugher
