id,name,screen_name
355535460,bswift,Brian Swift
89386606,jtcinsf,Jed Clevenger
6334772,eytan,eytan bakshy
3925813153,whatsupjake_,Jacob
84336761,hosimmons4,Harvey Simmons IV
284201599,terns,The Terns
3751591514,Steven_Ballmer,Steve Ballmer
266348139,arevyourengines,Arev
2190979735,MediaRsrchChick,Heather
3260518932,TwitterMoments,Twitter Moments
474333591,cindysxu,Cindy Xu
24949412,matt_slotnick,Matt Slotnick
1244523446,secrethndshk,The Secret Handshake
2223451512,xdotai,x.ai
2916305152,Snowden,Edward Snowden
327577091,JustinWolfers,Justin Wolfers
272053324,CurtSavoie,Curt Savoie
56006821,galvezmi,Miguel Galvez
56695221,monavernon,Mona M. Vernon
2395541010,tchaps_,Theodore Chapman
21330800,loftusbc,James Loftus
1589173069,MassBigData,Mass Big Data
3441778335,BC_Night_Life,BC Night Life
3030922321,DJ44,DJ Patil
16303106,StephenAtHome,Stephen Colbert
53988745,obifelten,Obi Felten
191696307,bostonpython,Boston Python
3413940118,alphabetincUS,Alphabet Inc.
3293011635,BCSheaCenter,BC Entrepreneurship
1237411,davidmarcus,David Marcus
15774741,george_chen,George Chen
1963617619,solveforx,Solve for X
25073877,realDonaldTrump,Donald J. Trump
5699,stewart,Stewart Butterfield
1666038950,BoredElonMusk,Bored Elon Musk
22642788,pewresearch,Pew Research Center
71643224,conradhackett,Conrad Hackett
153045056,halvarian,Hal Varian
633238141,mjmauboussin,Michael Mauboussin
52247685,kylebrussell,Kyle Russell
5252591,bgurley,Bill Gurley
14130366,sundarpichai,sundarpichai
1366290577,Derektionary,Derek Orr
17569400,RileySoward,Riley Soward
3232772100,HolleyBert,Bert Holley
129857557,astroteller,Astro Teller
2321738293,SiriuslyKenny,spooKy.
756129,johnolilly,John Lilly
216776631,BernieSanders,Bernie Sanders
550021990,presidentliam,Liam Weir
16246929,danprimack,Dan Primack
14092380,joelgrus,Joel Grus
14897303,kayvz,Kayvon Beykpour
176014708,SherjanHusainie,Sherjan Husainie
14417215,rrhoover,Ryan Hoover
1526228120,TwitterData,Twitter Data
190632027,blakeir,Blake Robbins
1007047021,cherihawk1,Cheri Hawkins
93954161,aroetter,Alex Roetter
3452911,kevinweil,Kevin Weil
15227849,semil,Semil
431524645,mqsimonds,Mike Simonds
93529573,michaelbatnick,Irrelevant Investor
1345580348,NinjaEconomics,Ninja Economics
6331462,jess,Jessica Verrilli
446719282,shivon,Shivon Zilis
2529971,cdixon,Chris Dixon
7676492,zbowling,Zac Bowling
30107514,MartinLorentzon,Martin Lorentzon
37959591,PalantirTech,Palantir
3223092494,hunnerdc,Hunter Christenson
213687893,SpotifyUSA,Spotify USA
1536791610,POTUS,President Obama
14303261,ryangraves,Ryan Graves
373564351,Khanoisseur,Adam Khan
4939401,patrickc,Patrick Collison
234857514,NaithanJones,Nait Jones
14079576,kevinthau,Kevin Thau
662423,pm,Paul McKellar
1173514177,TwitterBoston,Twitter Boston
353789193,StartupLJackson,Startup L. Jackson
22657201,unumrecruit,Unum Group Staffing
124365190,angelajin54,Angela Jin
32083265,SloanSportsConf,Sloan Sports Conf.
5928692,ocelma,ocelma
3119988399,GoogleTrends,GoogleTrends
2787290582,MrPerreira,Michael Perry
1733679762,mujtabasyed_,Mujtaba Syed
31925790,googletalks,Talks at Google
30315557,googlestudents,Google Students
579573855,alex_loverde,Alex LoVerde
93957809,ericschmidt,Eric Schmidt
1180354219,JDziama,Justin Dziama
37370427,CJ_QUINTANA,Claudio Quintana
13,biz,Biz Stone
306920777,itslukestringer,luke stringer
87860861,FeFiFoFannaAna,Ana K. Ramirez C.
152862026,EdwardTufte,Edward Tufte
1339835893,HillaryClinton,Hillary Clinton
691353,Joi,Joi Ito
9892692,DonDodge,Don Dodge
16407251,richminer,Rich Miner
30569817,dkroy,Deb Roy
52171246,nikesharora,Nikesh Arora
65165233,JamesLeonard1,James Leonard
24167314,PaulGAllen,Paul Allen
2786987256,FinanceEagle,Ted Burns
45355317,poisoniveee,ivee cojuangco
1727040013,WedellLauren,Lauren Wedell
2708967952,terencenixdorf,Terence Nixdorf
2760478852,jeffcantpark,Jin Woo Park
18042584,adesome,Max Ade
15379361,johnmyleswhite,John Myles White
8815922,posco,P. Oscar Boykin
40278705,J_,Julien Le Dem
100178722,gaborjszabo,Gabor Szabo
553713584,Wu_Tang_Finance,Wu-Tang Financial
300344786,amidha,Anjali Midha
19000659,chriscosentino,Chris Cosentino
632343,chaddickerson,Chad Dickerson
68748373,BHart83,Brooke Hartmann
21736012,JoshuaJBerk,Joshua BRK
25763073,Tristans01,Tristan Smith
21626062,irace,Bryan Irace
98852390,SourabhBanthia,Sourabh Banthia
43596829,nshah10,Niraj Shah
15126388,bhalligan,Brian Halligan
172442947,TwitterU,Twitter U Recruiting
65647594,StationCDRKelly,Scott Kelly
46825221,jimgoetz,jim goetz
586,sacca,Chris Sacca
12193402,shaig,Shai Goldman
95560268,DavidLoVerme,David LoVerme
479069271,NewEnglandVC,NEVCA
14839109,dpatil,dj patil
525054568,chris_hermida,Chris Hermida
10078,reidhoffman,Reid Hoffman
16980060,geowyn,George Wyner
988957262,DormRoomFundBOS,Dorm Room Fund BOS
182195931,markroseboom,Mark Roseboom
285173194,amparnass,Alexandra Parnass
204917005,adejirebademosi,Adejire Bademosi
154263592,NateW,Nate Wright
28032938,asomakumar,Ashwin Somakumar
200532585,JoinSquare,Join Square, Inc.
196641654,Kat_bc,kat brandenburg
43176741,adaugelli,Adam D'Augelli
1000591,fredwilson,Fred Wilson
33509743,BiedermanRob,Rob Biederman
14260608,dharmesh,Dharmesh Shah
253631187,PeterCasinelli,Peter Casinelli
