id,name,screen_name
256573865,JonahHill,Jonah Hill
386818410,lissajuan,Melissa Juan
19089165,almadrigal,Al Madrigal
443215941,Sethrogen,Seth Rogen
323676294,comicsxaminer,comicsxaminer
14511951,HuffingtonPost,Huffington Post
5252591,bgurley,Bill Gurley
586,sacca,Chris Sacca
2529971,cdixon,Chris Dixon
5520332,msuster,Mark Suster
17092838,rossweinstein,Ross Weinstein
757303975,ChelseaClinton,Chelsea Clinton
14506253,joelmchale,Joel McHale
500042487,SteveCarell,Steve Carell
16303106,StephenAtHome,Stephen Colbert
1339835893,HillaryClinton,Hillary Clinton
25073877,realDonaldTrump,Donald J. Trump
158414847,TheDailyShow,The Daily Show
13198,markpinc,mark pincus
65493023,SarahPalinUSA,Sarah Palin
19394188,SenJohnMcCain,John McCain
5357812,johnboehner,John Boehner
16129920,maddow,Rachel Maddow MSNBC
48410093,TomCruise,Tom Cruise
183310940,TheSlyStallone,Sylvester Stallone
18220175,iamdiddy,Sean Diddy Combs
6273552,MCHammer,MC HAMMER
12044602,Schwarzenegger,Arnold
476256944,SenFeinstein,Sen Dianne Feinstein
15442036,SenatorBoxer,Sen. Barbara Boxer
15939889,BarbaraBoxer,Barbara Boxer
19418459,JerryBrownGov,Jerry Brown
2916305152,Snowden,Edward Snowden
35023881,jlmace,John Levisay
261030582,RivalWinning,Shannon Winning
14507041,megsloan,megsloan
57097104,McConaughey,Matthew McConaughey
133880286,LeoDiCaprio,Leonardo DiCaprio
75974281,SamuelLJackson,Samuel L. Jackson
30364057,SarahKSilverman,Sarah Silverman
20221159,jeremypiven,Jeremy Piven
38536306,bobsaget,bob saget
50374439,tomhanks,Tom Hanks
27042513,RealHughJackman,Hugh Jackman
47786101,RobertDowneyJr,Robert Downey Jr
329746058,BenAffleck,Ben Affleck
62591681,EdwardNorton,Edward Norton
166739404,EmWatson,Emma Watson
92367751,jessicaalba,Jessica Alba
25365536,KimKardashian,Kim Kardashian West
52551600,JimCarrey,Jim Carrey
15846407,TheEllenShow,Ellen DeGeneres
62290422,RedHourBen,Ben Stiller
322803070,TheReal_Jlh,Jennifer Love Hewitt
56405314,JohnStamos,John Stamos
19028711,berensp,Pu rs
799651861,LittleFatChap,Steve Duvall
15397004,vladanichkin,vlad anichkin
18856908,webagora,Web Agora Design
175293304,mucker,Mucker Capital
244991150,fperez_org,Fernando Perez
273603872,cpascalar,Charles Pascalar
180505807,instagram,Instagram
2425151,facebook,Facebook
360685668,MerrillLynch,Merrill Lynch
17003765,GoogleforWork,Google for Work
555928038,Earth_Pics,Earth Pics
15492359,TEDTalks,TED Talks
770729,lizgannes,Liz Gannes
2244340904,Recode,Re/code
18395177,solangeknowles,solange knowles
1754641,nytimesbusiness,NYT Business
32359921,EconBizFin,The Economist
84740761,russlaraway,Russ Laraway
14946614,usv,USV
18682756,inc5000,Inc. 5000
14800270,HarvardBiz,Harvard Biz Review
83197153,Lyndonx,Lyndon Wood
16896485,Inc,Inc.
28140646,WSJbusiness,WSJ Business News
19407053,Entrepreneur,Entrepreneur
41003633,GreylockVC,Greylock Partners
185808487,kpcb,Kleiner Perkins
33846451,Accel,Accel Partners
27814665,GoogleVentures,Google Ventures
712454833,jameslhbartlett,James L H Bartlett
24775410,sequoia,Sequoia Capital
15307727,firstround,First Round
64844802,a16z,a16z
1159251,shervin,Shervin Pishevar
419710142,PandoDaily,Pando
22746523,mattmadrigal,mattmadrigal
2467791,washingtonpost,Washington Post
783214,twitter,Twitter
2090851,yanda,Yan-David Erlich
6730222,hblodget,Henry Blodget
20263710,rabois,Keith Rabois
93957809,ericschmidt,Eric Schmidt
20,ev,Ev Williams
16242081,bhorowitz,Ben Horowitz
19397785,Oprah,Oprah Winfrey
253299534,myfashiongroove,Candice Horton
287817222,uamegan,Megan Van Deren
108095827,kateshmate81,Kate
19058681,aplusk,ashton kutcher
5402612,BBCBreaking,BBC Breaking News
5746402,allthingsd,AllThingsD
3382,hnshah,Hiten Shah
5746452,waltmossberg,Walt Mossberg
759251,CNN,CNN
807095,nytimes,The New York Times
989,om,Om Malik
5664642,robvcross,rob cross
13,biz,Biz Stone
20348377,jeffweiner,Jeff Weiner
1000591,fredwilson,Fred Wilson
65710665,jonoj123,Jon O
1132994426,BiIIMurray,Bill Murray
14875576,arachleff,Andy Rachleff
6385432,dickc,dick costolo
37570179,arrington,Michael Arrington
44196397,elonmusk,Elon Musk
19506790,sherylsandberg,Sheryl Sandberg
42226885,vkhosla,Vinod Khosla
5965332,davidlee,David Lee
1190051,roelofbotha,Roelof Botha
451586190,rupertmurdoch,Rupert Murdoch 
17503180,marissamayer,marissamayer
6036422,jimihendrixlive,Jim Breyer
5968272,jeremys,Jeremy Stoppelman
742143,BBCWorld,BBC News (World)
5943622,pmarca,Marc Andreessen
11347122,GavinNewsom,Gavin Newsom
30313925,WhiteHouse,The White House
15705437,Lookout,Lookout
26140350,toddparis,todd paris
612473,BBCNews,BBC News (UK)
428333,cnnbrk,CNN Breaking News
19607400,Athletics,Oakland Athletics
25521487,danieltosh,daniel tosh
38267932,georgezachary,George Zachary
14805090,sthommes,Steve Thommes
17307227,zawthet,Zaw Thet
60144640,hall,Hall
1389807996,BobAdkins1944,Bob Adkins
1409241224,GuitarClektr,Guitar Collectors
26257166,SportsCenter,SportsCenter
2557521,espn,ESPN
349378585,JohnMCochran,John Cochran
572225386,USACollegeParty,College 
468948973,DMBLyricsLove,Dave Matthews Band
76997832,zachbraff,Zach Braff
6597392,mackley18,matt ackley
14266033,ChrisTsakalakis,Chris Tsakalakis
7246372,dleffel,Danny Leffel
2609391,inkling,Inkling
273767500,InklingEng,Inkling Engineering
13293162,satyap,Satya Patel
46063,hunterwalk,Hunter Walk
9581402,josh_scott,josh scott
17002639,JayFiore,JayFiore
13545962,tibbea,Alex Tibbetts
30287371,sivanwhiteley,sivan whiteley
25026187,pearsonw,Bill Pearson
18701108,dmercadante,Damon Mercadante
21922575,megsruggles,Meghan & Ruggles
289094817,BobFifer,Bob Fifer
20832038,lda0,Steve Lobo
45665637,brianboland,Brian Boland
5668942,sarahcuda,Sarah Lacy
992151,davidhornik,David Hornik
60642052,VentureBeat,VentureBeat
14824849,SteveMartinToGo,Steve Martin
816653,TechCrunch,TechCrunch
1344951,WIRED,WIRED
378223565,sparker,Sean Parker
16727535,lancearmstrong,Lance Armstrong
3475,davemorin,Dave Morin
50393960,BillGates,Bill Gates
21982720,ariannahuff,Arianna Huffington
26565946,jtimberlake,Justin Timberlake
15485441,jimmyfallon,jimmy fallon
1330457336,billclinton,Bill Clinton
17220934,algore,Al Gore
972651,mashable,Mashable
30009639,jimmybuffett,Jimmy Buffett
40280830,John_Fogerty,John Fogerty
174593833,eltonofficial,Elton John
847123669,MumfordAndSons,Mumford & Sons
43383705,springsteen,Bruce Springsteen
18124756,zacbrownband,Zac Brown Band
16190898,RyanSeacrest,Ryan Seacrest
14920785,blakeshelton,Blake Shelton
10078,reidhoffman,Reid Hoffman
14254358,gbriggs,gbriggs
14541402,mlevchin,Max Levchin
1421521,adamnash,Adam Nash
