id,name,screen_name
581053112,RickHertzberg,Hendrik Hertzberg
1466086093,DistroKid,DistroKid
195070750,looplabs,Looplabs
3005762051,Accomplices,Accomplice
1537808388,lmwallace800,Lauren Wallace
321112039,JaredGoff16,Jared Goff
1629336979,eholmes2003,Elizabeth Holmes
20238886,AFThunderbirds,Thunderbirds
106597684,us_navyseals,US Navy SEALs
89539134,BlueAngels,Blue Angels
27238357,paulhildebrandt,Paul Hildebrandt
858414625,thalmic,Thalmic Labs
56079466,srlake,Stephen Lake
3349531,kvogt,Kyle Vogt
30321204,sfpublicworks,SF Public Works
1426429890,EastDane,East Dane 
111661759,BaldwinDenim,B A L D W I N
2303751216,FiveThirtyEight,FiveThirtyEight
115710058,NPRinskeep,Steve Inskeep
6794402,jostheim,James Ostheimer
6151842,sammcd,Sam McDonald
56564230,JCVenter,J. Craig Venter
2916305152,Snowden,Edward Snowden
11348282,NASA,NASA
42437497,boblesko,Bob Lesko
115676791,eliotsumner,Eliot Sumner
788673,johnbiggs,John Biggs
1872399366,mesosphere,Mesosphere
18618298,flo,Florian Leibert
40964764,jaybirdsport,Jaybird
19661363,nytimestech,NYT Technology
359425864,KurtWagner8,Kurt Wagner
89779328,AmoebaSF,Amoeba San Francisco
2893971,gigaom,Gigaom
60642052,VentureBeat,VentureBeat
168857946,500Startups,500 Startups
275686563,verge,The Verge
10390932,ColinHirdman,Colin Hirdman
17106008,uberbryn,Bryn Jackson
94682674,AngelList,AngelList
749963,pierre,Pierre Omidyar
1081,davemcclure,Dave McClure
811350,alexisohanian,Alexis Ohanian
78192811,emrosario,Elisabeth Rosario
155784594,TVietor08,Tommy Vietor
324243049,christinekmagee,Christine Magee
2813605170,sidewireinc,Sidewire Inc.
21872269,laurenepowell,Laurene Powell
21806193,katieegardner,Katie Gardner
663463,rentzsch,rentzsch
133031077,9len,burried in the glen
9160152,mccv,mark mcbride
11666142,joshuatopolsky,Joshua Topolsky
43185133,GAMH,Great American Music
287832468,bottomofthehill,Bottom of the Hill
842692290,TheChapelSF,The Chapel
250080744,NRateliff,Nathaniel Rateliff
19688422,scroyle,Scott Croyle
168391594,mikechandroid,Mike Chan
186230886,rebelleader,Tom Moss
9983482,jktweet,Jessica Kahn
1115083380,nextbitsys,Nextbit
1206130273,SFFFLocal798,SF Firefighters 798
133178410,JarrydHayne,jarryd hayne
31648475,michaelrwolfe,Michael Wolfe
23145316,danidudeck,dani dudeck
15928389,johnhering,johnhering
3284871420,tonicdev,Tonic
2549458448,mailburnapp,Mailburn
246944277,jsekiddos,Christine Spieth
2663748607,funnmedia,FunnMedia
183903963,Gomezandonaegui,Carlos Gomez A
1954658424,andy_bromberg,Andy Bromberg
75150645,tuckerbounds,Tucker Bounds
6240702,MikaSalmi,Mika Salmi
30594924,sagudo,Sarah Agudo
19048585,etl,Edward Lichty
1219358144,SecurityGeorge,Security George
136688224,bonatsos,Niko Bonatsos
3056089209,getnanit,nanit
14161459,pmorelli,Peter Morelli
33835869,nuunhydration,Nuun Hydration
204832963,TheTweetOfGod,God
15756974,mhelft,mhelft
3268139066,Come_Peek,Peek
14857290,Wimbledon,Wimbledon
340548756,CoCoVandey,CoCo Vandeweghe
16477634,durov,Pavel Durov
13666,mikebutcher,Mike Butcher
1689053928,telegram,Telegram Messenger
110195330,CarliLloyd,Carli Lloyd
7017692,DanielleMorrill,Danielle Morrill
816653,TechCrunch,TechCrunch
2873504355,QuentinSannie,Quentin Sanni
461886751,RomainSalzman,Romain Salzman
180817904,yo_stellar,Stellar
5017,joshu,joshua schachter
4488,Borthwick,John Borthwick
6204,abrams,Jonathan Abrams
25331288,trond,Trond
2300041633,kite,Kite
2204034272,Beats1,Beats 1
16246929,danprimack,Dan Primack
3116218476,UseTrusted,Trusted
21729471,akad,Annie Kadavy
22113,iancr,ian c rogers
18278965,brandichastain,Brandi Chastain
340380997,MiaHamm,Mia Hamm
3019015507,TheJasons,The Other Jason
2915299753,herebyapp,Hereby
56643891,jasonlariviere,Jason LaRivire
299674713,JulieFoudy,Julie Foudy
3063681379,mythreadsapp,Threads
2784169148,bytehq,Byte
174893399,ShalaneFlanagan,Shalane Flanagan
50597807,DEVIALET,DEVIALET
114856478,JackElizabethK,Jacquelyn Scofield
1612008102,onbondstreet,Bond Street
14795980,rishigarg,Rishi Garg
256453,jgphilips,Jeremy G. Philips
1337271,darth,darth
