id,name,screen_name
50055757,KrauseFx,Felix Krause
816653,TechCrunch,TechCrunch
20,ev,Ev Williams
332638587,aaronpaul_8,Aaron Paul
20015311,rickygervais,Ricky Gervais
5392522,NPR,NPR
3066551830,whoismrrobot,Mr. Robot
27190331,meladoodle,Melanie Bracewell
2916305152,Snowden,Edward Snowden
65647594,StationCDRKelly,Scott Kelly
14897303,kayvz,Kayvon Beykpour
29138043,katelatak,Kate Latak
14985228,petersagal,Peter Sagal
20431922,500px,500px
22837029,googleymoogley,Hot Dog Wiener
1959556592,davidduchovny,David Duchovny
2615711668,ItsTaliTime,Tali Sason
50361512,MikeNReed,Mike Reed
1115938326,yohan,Yohan Hartanto
2436115542,TheLiebowitz,Josh Liebowitz
1160842776,FitterTwitter,FitterTwitter
373564351,Khanoisseur,Adam Khan
2908509762,arollcf,Alex Rollin
3270358724,RickHeilmann,Rick Heilmann
55117855,amyschumer,Amy Schumer
3369529426,therealhermal,Hermal Shah
7722082,Yasumoto,Joe Smith
30364057,SarahKSilverman,Sarah Silverman
166739404,EmWatson,Emma Watson
1579422614,Calvinn_Hobbes,Calvin and Hobbes
7727382,kudeki,dpeshmo
2717154066,trollinguphill,Matt Wyckoff
1245320090,dubstep4dads,cool as h*ck turtle
161347055,tripleWRECK,tripleSP00KY
1566463268,reactjs,React
14253109,adambain,adam bain
444723819,rkmac,Ryan MacInnis
18574825,fioroco,fiona
1330457336,billclinton,Bill Clinton
1536791610,POTUS,President Obama
5988062,TheEconomist,The Economist
353789193,StartupLJackson,Startup L. Jackson
473624003,zhihao,Zhihao Jia
1019188722,GIFs,The Ministry of GIFs
606770013,odesza,ODESZA
26280712,Bungie,Bungie
14024572,kalkor,Kalani Kordus
580097412,ChrisEvans,Chris Evans
124035092,GregDorris,Greg Dorris
3035216050,answersio,Answers.io
3085835595,periscopetv,Periscope TV
2445809510,periscopeco,Periscope
20087640,wizjo,Jo Pu
90420314,ActuallyNPH,Neil Patrick Harris
59949396,AnnaKendrick47,Anna Kendrick
35432643,addyosmani,Addy Osmani
188427877,stevenhepting,Steven Hepting
12249,benward,DecorativeWardSeason
34488596,michellenoorali,Michelle Noorali
778479992,VNRCorg,VNRCorg
14708073,mbe,meekal bajaj
12623772,erikeldridge,ichabod eldridge
408512238,EricFrohnhoefer,Eric Frohnhoefer
1947518184,kmandrika,Konstantin Mandrika
14521411,floydophone,Pete Hunt
926663491,mikeydoyle,Michael Doyle
1727585126,pmcgee,Patrick McGee
593370001,Learn_Things,Science GIFs
14383077,passy,Pascal Hartig
312858668,dylangriffin,Dylan Griffin
20609518,DalaiLama,Dalai Lama
430048955,AP_Oddities,AP Oddities
562381032,iamrashidajones,Rashida Jones
58668083,erinsolovey,Erin Treacy Solovey
293264785,M_Hedberg,Mitch Hedberg
13889622,lukew,Luke Wroblewski
8526432,wycats,Yehuda Katz
285428413,frazelledazzell,jessie frazelle
15492359,TEDTalks,TED Talks
43652534,joans,Joan Smith
8292432,wendi_,Cristina de Lera
14130207,chrismoodycom,Chris Moody
19725644,neiltyson,Neil deGrasse Tyson
44196397,elonmusk,Elon Musk
281886039,ubeam,uBeam
1900720267,MakingOfs,Behind the Scenes
1666038950,BoredElonMusk,Bored Elon Musk
2847649621,digits,Digits
2293541797,priyanka,Priyanka
18819603,mattwillis,Matt Willis
2478969789,BPuntin,Brendon Puntin
7213362,Javi,Javier Soto
125061482,r2r,Artur Adib
2857397298,fabric,Fabric
2434187744,accidental575,Accidental Haiku
1138785571,SportsPSA,SportsPSA
2217099931,ThingsWork,How Things Work
477015551,CrisKedmenec,Cris Kedmenec
2549012761,Flight,Twitter Flight
2729057670,_epicfai1,Epic fail
2597498814,FascinatingVids,Fascinating Videos
1938585510,HereBeHuskies,Husky Heaven
2432213029,NYTArchives,NYT Archives
2591845159,SlowMoPhotos,Slow Motion
2278291088,MeetRescueDogs,Meet Rescue Dogs
776923543,Saurabhksinghal,Saurabh
901162760,peopIeofearth,People of Earth
2328002822,TwitterWomen,Twitter Women
2602024110,MagicSeuss,Magic Seuss
2597117100,ShitTernsSay,Your Intern
2317351705,LastWeekTonight,Last Week Tonight
2573880420,UberEng,Uber Engineering
2604466104,NoContextAds,Ads without Context
30313925,WhiteHouse,The White House
2533456616,AmazingGlFS,Amazing GIFS
533884891,meteorjs,Meteor
19775376,stevewilber,Steve Wilber
1435480466,ExcuseThePun,Excuse the Pun
289182486,BearsActHuman,Bears Acting Human
49311668,CharlieDavies9,Charlie Davies
813286,BarackObama,Barack Obama
2249234689,TwitterReverb,Twitter Reverb
2229211183,MuseumArchive,Museum Archive
20416406,SteveNash,Steve Nash
7563792,ussoccer,U.S. Soccer
26257166,SportsCenter,SportsCenter
34296189,JozyAltidore,Jozy Altidore
431429137,clint_dempsey,Clint Dempsey
1059194370,kobebryant,Kobe Bryant
2396881736,kenferr,Kendra Ferraro
2599164658,HemalJr,Hemal Jr
2359926157,CIA,CIA
87532773,design,Twitter Design
24994596,imjen,Jen Lamere
1000262514,SeinfeldToday,Modern Seinfeld
91333167,climagic,Command Line Magic
2391067616,tldrwikipedia,tldrwikipedia
1526228120,TwitterData,Twitter Data
17207733,umaar,Umar Hansa
391125282,JoshL,Josh Ladieu
14587896,jstpierre,Jason St Pierre
18337283,pandemona,Sara Haider
1530531,miradu,Michael Ducker
2316050473,CraigHashi,Craig Hashi
2249227634,TwitterBoulder,Twitter Boulder
623265148,dghubble,Dalton Hubble
198581449,mopub,MoPub Inc
1931313248,HuffPostCode,HuffPost Code
271489076,Apr1LM,April
19169495,SchauerTime,Lindsay Schauer
2447745487,ChemistryVines,Chemical Reactions
564686965,Brilliant_Ads,Brilliant Ads
47786101,RobertDowneyJr,Robert Downey Jr
16554166,unsymmetric,Gaurav Gupta
6844292,TwitterEng,Twitter Engineering
38422658,melissabarnes,Melissa Barnes
1606588254,abt_programming,About Programming
15224484,rallat,Israel Ferrer
1413969194,snackfivetimes,snacksnacksnacksnack
119204580,phammond87,Patrick Hammond
9533042,BrendanEich,BrendanEich
12,jack,Jack
8963722,WIREDScience,WIRED Science
26757704,yoreekoh,Yoree Koh
1571270053,Amazing_Maps, Amazing Maps 
27674040,keltonlynn,Kelton Lynn
179498167,rachaelsushner,Rachael Sushner
355535460,bswift,Brian Swift
1070929081,Frank_Underwood,Frank Underwood
15846407,TheEllenShow,Ellen DeGeneres
15161081,ficusyou,ficusyou
459275531,JavaScriptDaily,JavaScript Live
1118063887,paulamoreau4,paula moreau
16120419,tsmith,Ty Smith
258919491,dyeates14,Doug Yeates
424624879,says_mar,Maryam Parvez
403158553,SirStarry,Justin Starry
2338877012,TheAnimaIGifs,The Animal GIFs
666523,joyent,Joyent
109996498,samp,Sam Phillips
26053643,jimmykimmel,Jimmy Kimmel
2244994945,TwitterDev,TwitterDev
58550634,adamvduke,Adam Duke
70778108,TahoeWeather,Tahoe Weather
8207832,mdo,Mark Otto
1603818258,TwitterIR,TwitterIR
20571756,satyanadella,Satya Nadella
38895958,theSeanCook,Sean Cook
51241574,AP,The Associated Press
238319766,chrisrock,Chris Rock
91985735,nodejs,Node.js
309528017,npmjs,npmbot
1700048413,HorrifyingPics,Horrifying
2244340904,Recode,Re/code
28172926,WSJD,WSJD
369914739,CSSHumor,CSS Humor
1442392040,YouTubeVldeos,YouTube Videos
1030148251,IsItChristmas,Is It Christmas Yet?
572225652,SciencePorn,SciencePorn
192968621,mdb,Mark Bouchard
204832963,TheTweetOfGod,God
2073931,marknic,Mark Pirri
85894308,hemal,Hemal Shah
281027851,k8f,Kate Fauth
93954161,aroetter,Alex Roetter
1689419970,FacesPics,Faces in Things
9946842,amac,Alex Macgillivray
3452911,kevinweil,Kevin Weil
41874859,Kzelley,Kayt Zelley
35259912,blynn,Brian Lynn
215734657,CoryDolphin,Cory Dolphin
132223801,ajorgensen,AJ
32765534,BillSimmons,Bill Simmons
6385432,dickc,dick costolo
602317143,SirPatStew,Patrick Stewart
555928038,Earth_Pics,Earth Pics
1375159286,twittah,boston
1895928960,rusty_k9,Rusty
339158060,IkerK9,Iker
154613193,cbittorf,Cristina Bittorf
175091719,KarlTheFog,Karl the Fog
304486220,Kris10rht,Kristen Johnson
783214,twitter,Twitter
405056781,EmergencyPuppy,Emergency Cute Stuff
16241426,buckey,Kate Buckey
1747381,adam_messinger,Adam Messinger
1616004144,SurpriseSnacks,Surprise Snacks
1708577730,Q4HackWeek,Lost HackWeek
19872718,JeremySF,Jeremy Gordon
15111848,lientm,Lien
8129692,MikeFurtak,Mike Furtak
160817572,Lord_Voldemort7,The Dark Lord
104071721,manuel,Manuel Deschamps
16810985,stephaniekahan,Stephanie Kahan
1173514177,TwitterBoston,Twitter Boston
402885233,rebeccadbar,Rebecca Bar
34502190,jakeout,Jake Ouellette
642,phopkins,Pete Hopkins
1069802168,krob,Kevin Robinson
1296949076,LaurenRothArt,lauren roth
309743515,PBNoRegard11,Peter Brownell
15338247,brianhatfield,Brian Hatfield
1265163300,epashanova,Evan Pasha
6331462,jess,Jessica Verrilli
1203326810,dmschrager,David Schrager
214680621,Humblebrag, Humblebrag
18243089,mattie,Matt Massicotte
381562755,danvonallmen,Daniel von Allmen
914061,levie,Aaron Levie
16831899,fsha,fsha
14211659,marsh,Marshall Moutenot.v5
221076532,aldenks,Alden Keefe Sampson
102801819,rothbutter,Jamie Rothfeder
324106578,MarcRichards,Marc Richards
976460407,bonnell,Michael Bonnell
979197925,houseofwax,Tracy Wax
457862812,jonesm,Marc Jones
966341,jeremydurham,Jeremy Durham
69180942,edsolovey,Ed Solovey
15416259,asfalcone,Andrea Falcone
5025111,wfwhitney,Will Whitney
30504888,kms,Katie Marcotte
17497731,bolton,Kyle Bolton
760424,pixelcon,Sam Robbins
8798682,jeffseibert,Jeff Seibert
93739126,KristinDziadul,Kristin Dziadul
226238536,samn,sam neubardt
6646402,richparet,Rich Paret
1113227906,ballerwayne,Makin it Wayne
759616,dba,David Aronoff
17856596,Wayne,Wayne Chang
241762251,crashlytics,Crashlytics
2557521,espn,ESPN
1671811,paul_irish,Paul Irish
14075928,TheOnion,The Onion
296019552,coderwall,coderwall
599679665,jspedant,Michael Ficarra
