id,name,screen_name
364920127,JenRCurry,Jennifer R. Curry
113047940,JebBush,Jeb Bush
2289210127,TheNFLHistory,History of the NFL
1056313532,IgorGonta,Igor Gonta
51543904,GokhanKula,Gkhan Kula
16630600,JanusCapital,Janus Capital
18952948,ETFtrends,ETF Trends
40007205,mjohnsto,Michael Johnston
2353582490,greg_lessard,Greg Lessard
220706658,brianportnoy,Brian Portnoy
203652149,SJosephBurns,Steve Burns
884984851,TDA4advisors,TD Ameritrade Inst'l
175570623,Nonrelatedsense,Unrelated Nonsense
530810099,CastlebarAM,Andrew Comstock, CFA
3195244375,NoonSixCap,Noon Six Capital
2214652482,RampCapitalLLC,3:30 Ramp Capital
3222282726,lhamtil,Lawrence Hamtil
14166714,fart,jon hendren
76511168,SPCapitalIQ,S&P Capital IQ
70111948,joshgondelman,Josh Gondelman
200198136,gcarmell,Gary Carmell
408602991,RBAdvisors,Richard Bernstein 
2449601442,YouHadOneJ0B,You Had One Job
201300044,advisorhubinc,AdvisorHub
90502419,wealth_mgmt,WealthManagement.com
1939860914,ProFootballDoc,David J. Chao, MD
19312115,panzer,Matthew Panzarino
2441831348,oldpicsarchive,Old Pics Archive
283768289,StreetEYE,StreetEYE
34701524,richeisen,Rich Eisen
90409221,mrjustinwsmith,Justin Smith CFA CFP
579299426,stevenstrogatz,Steven Strogatz
541253226,jackschwager,jack schwager
3107810433,Enterprising,EI
267366403,KevinSimler,Kevin Simler
293847121,willortel,Will Ortel
25319414,NBATV,NBA TV
60880381,RobinWigg,Robin Wigglesworth
42218949,sage_cupo,Sheri Iannetta Cupo
1015241814,FerroTV,Jonathan Ferro
15774741,george_chen,George Chen
14117774,stevenplace,Steve Place
21570308,julieverhage,Julie VerHage
18761354,Monevator,Monevator
300878435,Dilbert_Daily,Scott Adams
745273,naval,Naval Ravikant
14313332,ramit,Ramit Sethi
525785424,DanTGilbert,Daniel Gilbert
2525906341,BluegrassCap,Bluegrass Capital
61785219,SPEEROTHEKID,SPEERO
90577047,nickradtke,Nick Radtke
16021135,GaryAntonacci,Gary Antonacci
2962715181,quantian1,Risk Scare-ity
60113926,StockCats,StockCats
70513691,Betterment,Betterment
2648357839,fundstrat,Thomas Lee
24806770,ajkurki,Adam Kurkiewicz
17695167,HumbleStudent,Cam Hui, CFA
9207632,brainpicker,Maria Popova
44429768,LeutholdGroup,The Leuthold Group
3078628062,stockthoughts81,Uncovering Value
20707966,LizClaman,Liz Claman
15005808,BenEisen,Ben Eisen
757997401,malito_ali,Ali Malito
313728888,MStarScottBurns,Scott Burns
2233154425,StephenKing,Stephen King
