id,name,screen_name
1977579223,NYT4thDownBot,NYT 4th Down Bot
1087183776,JSEllenberg,Jordan Ellenberg
24593676,suedecker,Sue Decker
21615933,timvangelder,Tim van Gelder
232120274,Jesse_Livermore,Jesse Livermore
2316224708,philipcball,Philip Ball
485109912,NautilusMag,Nautilus
403657856,ToddWenning,Todd Wenning
1149541562,ComplexExplorer,ComplexityExplorer
22060843,elizwgreen,Elizabeth Green
19824407,alixpasquet,Alix Pasquet
2364445033,SimonDeDeo,Simon DeDeo
82397047,MKTWBurton,Jonathan Burton
41753590,pdepo,Paul DePodesta
1209991820,Cimmerian999,Clifford Asness
104594512,MauraGriffin,Maura Griffin
106204123,JonHaidt,Jonathan Haidt
2547893780,econbuttonwood,Philip Coggan
22027300,GnDsville,GrahamAndDoddsville
2508697146,MarkBroadie,Mark Broadie
2499255331,MaxBazerman,Max Bazerman
17146101,HenryStern,Hank Stern
43393570,Brian_Coughlin1,Brian Coughlin
2489922663,ConsilientInvst,Consilient_Investor
68304632,csresearch,CS Research
1944260443,CSIMA_CBS,CSIMA CBS
22522178,ReformedBroker,Downtown Josh Brown
381289719,nntaleb,NassimNicholasTaleb 
1849482031,bethanymac12,Bethany McLean
5943622,pmarca,Marc Andreessen
750739057,ERMacken,Elizabeth Macken
384238210,PTetlock,Philip E. Tetlock
1693653624,shlomobenartzi,Shlomo Benartzi
19997064,MebFaber,Meb Faber
713401227,BAnnDay,beth ann day
486530534,ScottPage4,Scott Page
8496762,tylercowen,tylercowen
18204430,sgourley,Sean Gourley
78946879,JennyKAlden,Jenny Alden
84281104,CreditSuisse,Credit Suisse
152322439,francescagino,Francesca Gino
768948493,CFCamerer,Colin Camerer
449588356,Kasparov63,Garry Kasparov
204832963,TheTweetOfGod,God
305830853,LisaRapuano,Lisa Rapuano
19654407,johnauthers,John Authers
1658572099,billmiller_lmm,Bill Miller
54430133,DavidEpstein,David Epstein
17179368,Richard_Florida,Richard Florida
5965332,davidlee,David Lee
705092732,DeanO_Lytics,Dean Oliver
36835665,JournalofValue,ShadowStock
197939453,Peacockg,George J Peacock
786851766,anitamcgahan,Anita McGahan
394060363,MazzucatoM,Mariana Mazzucato
12250612,searsmerritt,Sears Merritt
460823121,PhilBirnbaum,Phil Birnbaum
232294292,GaryMarcus,Gary Marcus
1345094047,CFApubs,CFA Publications
622264037,HoyasMLacrosse,Georgetown MLacrosse
132231788,dgardner,Dan Gardner
53579021,MagicRatSF,Joe Peta
1273519902,KatrinaFirlik,Katrina Firlik MD
95580265,JohnEzekowitz,John Ezekowitz
937071079,paulmromer,Paul Romer
119189364,bobhiler,Bob Hiler
1059273780,AdamMGrant,Adam Grant
1167624493,MarkovMPI,Markov Processes Int
49753604,ritholtz,Barry Ritholtz
141952146,rnsullivan,Rodney Sullivan, CFA
624413,MarketWatch,MarketWatch
997629601,danieldennett,Daniel Dennett
392883566,laurenfosternyc,Lauren Foster
1022874578,DeirdreMcClosk,Deirdre N McCloskey
15407235,Bob_Bruner,Bob Bruner
36764649,StJMurray,Steve Murray
447317538,investerasmart,investerasmart
10165242,StockJockey,StockJockey
16673697,SimoleonSense,Miguel Barbosa 
43154541,CHenneman,Charlie Henneman CFA
991745802,CassSunstein,Cass Sunstein
14800270,HarvardBiz,Harvard Biz Review
166224331,atwest1960,tim west
16175507,dmorey,Daryl Morey
36464682,fbgchase,Football Perspective
595613460,DamatoK,Karen Damato
81122213,jillbrack,Jill Brack
23643493,CyrusMassoumi,Cyrus Massoumi
21626287,davideagleman,David Eagleman
159245643,ConsueloMack,Consuelo Mack
353737617,SallieKrawcheck,Sallie Krawcheck
39281968,IQSS,IQSS @ Harvard
18476608,meraynor,Michael Raynor
101848693,INETeconomics,The Institute
846683450,TGarvey34,Tom Garvey
168295477,DLeonhardt,David Leonhardt
39264827,GuyAdami,Guy Adami
396365748,DShaywitz,David Shaywitz
16491871,bprollins,bprollins
328147123,GregBDavies,Greg B Davies
229668653,MarketPsychAdv,MarketPsych Advisor
115485051,ConanOBrien,Conan O'Brien
