id,name,screen_name
80657587,lanworth,Lanworth
2385831282,CODEConference,SinanErikSandy
6334772,eytan,eytan bakshy
3266848870,manwhohasitall,manwhohasitall
365775289,bzubert,Brian Zubert
9420322,MaRSDD,MaRS
48190181,UWvelocity,Velocity
145390189,itsme_Colby,Colby Foster
3012495750,pevans_c,Peter Evans
2541974923,ElsenTrading,Elsen Inc.
188787856,basilmoftah,Basil Moftah
2933629443,FinTechDC,FinTech DC
3358500851,ParisFinForum,Paris Fintech Forum
2687957816,alexsauerbudge,Alex Sauer-Budge
2030791,levigundert,Levi Gundert
3253903884,theCenter,the Center
2209897512,Ajayatmithril,Ajay Royan
18132245,PhilipStevenLow,Philip Low
394060363,MazzucatoM,Mariana Mazzucato
22143372,rdhjr,RD Huffstetler
110944405,p2nvl,Patrick de N
368216109,neworder,New Order
14833643,oceankidbilly,Rob Story
16061812,ricfulop,Ric Fulop
610659001,MaxCRoser,Max Roser
570033222,davidjegen,Jegen
99016057,TheWilderThings,Charlotte Wilder
387332001,calm,Calm
2211434576,_JAStark,Jennifer Stark, Ph.D
2430917342,RandyBeanNVP,Randy Bean
286654612,mark_dow,Mark Dow
15996668,anthilemoon,Anne-Laure Le Cunff
3018841323,OpenDataSci,Open Data Science
1012212198,dvreed77,David Reed
119475889,NatalieGrover,Natalie Grover
17936452,IAmBanafsheh,banafsheh ghassemi
206938213,arampell,Alex Rampell
5252591,bgurley,Bill Gurley
342768965,perelmanor,or perelman
21166397,jamesonthecrow,Jameson Toole
12387072,SuB8u,Subrahmanyam KVJ
394911586,MichaelTushman,Michael Tushman
19219421,RolfeWinkler,Rolfe Winkler
212273152,TuftsASEgrad,TuftsASEgrad
2890961,Gizmodo,Gizmodo
992861,anshublog,Anshu Sharma
1408142352,math_rachel,Rachel Thomas
48008938,ylecun,Yann LeCun
14460624,djc1805,David J Carr
25002538,rgmcgrath,Rita Gunther McGrath
3293147067,ljw_larry,Larry White
159904799,ModeledBehavior,Modeled Behavior
80903194,TimAeppel,Timothy Aeppel
8496762,tylercowen,tylercowen
460489687,JMateosGarcia,Juan Mateos Garcia
16623443,lizzadwoskin,Elizabeth Dwoskin
1416391302,HarvardHBX,HBX | HBS Online
357786278,Lucas_Matney,Lucas Matney
16597921,jseelybrown,john seely brown
607272998,Mass_Tech,MassTech
1589173069,MassBigData,Mass Big Data
17561826,slavin_fpo,Kevin Slavin(public)
1051171,EthanZ,Ethan Zuckerman
35842031,thesumofall,Florian Heinemann
15139628,jwolpert,jwolpert
467539966,mikekhusid,Mike Khusid
2361648128,RobertoRigobon,Roberto Rigobon
534563976,KirkDBorne,Kirk Borne
62219905,alisonmarigold,Alison Marigold
67100074,swissnexSF,swissnex S Francisco
92839676,Reza_Zadeh,Reza Zadeh
4348671,DrCrypt,John Brownlee
3322617651,LegoLovelace,Ada 'LEGO' Lovelace
517974876,TR_Brennan,W. Brennan Carley
300012060,_SecretStache_,Chris McCubbin
1000591,fredwilson,Fred Wilson
820585,baratunde,Baratunde
2785150168,PoppyHostel,Poppy Hostel Curacao
3005762051,Accomplices,Accomplice
2582759029,csaltable,Carlos S. Altable
534255106,ODIHQ,Open Data Institute
560981874,laurentchardon,Laurent Chardon
588950344,BriceDattee,Brice Datte
69128646,stcymsn,Stacey Mason
18964972,readyforthenet,tomgolway
202442166,gbmdna,Jim Golden
22301442,eileentso,Eileen Burbidge
1652541,Reuters,Reuters Top News
88749392,JuddApatow,Judd Apatow
3030845663,MEBrianWilliams,Brian Williams
38409197,robertcathey,Robert Cathey
1080888062,NJDave777,David Hirschfeld
12727902,kyleplacy,Kyle Lacy
115494880,wesmckinn,Wes McKinney
214122455,BigDataAnalysis,John Akred
21773484,redphase,Jim Smith
135294708,CodeXStanford,CodeX Stanford 
247100518,NielsenSocial,Nielsen Social
1909375412,rossmjs,Ross
23396552,AdamJBaron,Adam J. Baron
114507878,LindaInDisguise,Just Linda
84816752,MazMHussain,Murtaza Hussain
413733681,robinbienfait,Robin Bienfait
67077568,vincedimase,Vincenzo Dimase
2563734427,CMOTobias,Tobias Lee
407344517,SitWithMe,Sit With Me
383762506,sarahmorris2015,Sarah Morris (Ward)
26829176,NCWIT,NCWIT
127062637,omidkordestani,Omid Kordestani
3496641,reckless,nilay patel
1416562236,BloombergBeta,Bloomberg Beta
30569817,dkroy,Deb Roy
216939636,AndrewYNg,Andrew Ng
3030922321,DJ44,DJ Patil
14839109,dpatil,dj patil
15295851,DarthPeet,DarthPeet
822338022,JonathanAFrye,Jonathan Frye
27985984,hunternadler,Hunter Nadler
453501475,shanankumar,Shanan 
586,sacca,Chris Sacca
18994034,ashleymayer,Ashley Mayer
3087471273,BABCNY15,BABC Conference NY 
52029847,charlesdg,Charles De Groote
12290962,tyfrancis,Ty Francis
14897303,kayvz,Kayvon Beykpour
76186310,curtwoodward,Curt Woodward
49527711,CraigBoshier,Craig Boshier
294268053,vybstat,Vadim Y. Bichutskiy
15936590,cortlandt,Cort Johnson
15808647,techreview,MIT Tech Review
3222294747,TalebBot,Taleb Bot
36823,anildash,Anil Dash
334119930,Mark_D_Frost,Mark Frost
22843337,LaurenGoode,Lauren Goode
44491851,WITWomen,Women in Technology
113661703,uwstratford,UWaterloo Stratford
3081584549,mitidss,MIT IDSS
22756947,womenintech,Women in Technology
37605443,smithmegan,Megan Smith
27635249,cicnow,CIC
55031462,VentureCafe,Venture Caf
41767296,NicholasTaleb,NassimNicholasTaleb
491631309,MonaChalabi,Mona
2445809510,periscopeco,Periscope
14584903,reuterspictures,Reuters Pictures
18067343,batogato,@batogato
131144091,Goldman44,Jason Goldman
2596836636,ExperianDataLab,Experian Data Lab
1023072078,SoVeryBritish,VeryBritishProblems
337886919,AstroSamantha,Sam Cristoforetti
14247096,arlogilbert,Arlo Gilbert
15933346,victoriahyoung,Victoria Young
318003397,EamonFI,Eamon Foley
39952775,mak0ski,Dan Makoski
18246193,i2pi,Josh Reich
42226885,vkhosla,Vinod Khosla
275686563,verge,The Verge
2244340904,Recode,Re/code
26116014,VLAB,VLAB
27702153,Lefsetz,Bob Lefsetz
20211972,JessInBlue,Jess Williamson
239570459,carmeldea,Carmel DeAmicis
2565,nabeel,Nabeel Hyatt
266717381,Dataminr,Dataminr
37975275,laparisa,Security Princess
228770156,massinsight,Mass Insight GP
19872765,amandakayt,Amanda T
19705130,cassbusiness,Cass Business School
756129,johnolilly,John Lilly
18937279,sparkcapital,Spark Capital
96812184,danyacg,Danya Cheskis-Gold
52129399,solarimpulse,SOLAR IMPULSE
5731352,jodij,Jodi Jahic
1605,sama,Sam Altman
16061930,hackingdata,Jeff Hammerbacher
15241557,reedhastings,Reed Hastings
268354413,gwamitweb,Grad Women at MIT
2321541091,SheldonTrotman,Sheldon Trotman
1717291,pkedrosky,Paul Kedrosky
84321709,UWaterloo,University Waterloo
40838461,PerihanA,Perihan AbouZeid
118263124,stanfordnlp,Stanford NLP Group
124825123,aggarwalnidhi,Nidhi Aggarwal
16888241,BostonLogan,Boston Logan Airport
1472173832,Reagan_Airport,Reagan Airport  
11058402,jasonthomas,Jason Thomas
5763262,karaswisher,Kara Swisher
321299775,MFordFuture,Martin Ford
14538236,vardi,Moshe Vardi
7618952,jamesurquhart,James Urquhart
17464996,ca_webb,C.A. Webb
729684324,sstern_mit,Scott Stern
8790772,Carolynyjohnson,carolyn johnson
254853842,clockspd,Charles Fine
1290351,nancybaym,Nancy Baym
262238415,jbmusso,Jean-Baptiste Musso
2516693984,techinboston,Tech In Boston
3012686680,538viz,538Viz
19126373,bromium,Bromium
17312943,MitchAnthony,Mitch Anthony
33748647,Kgmanuel,Katherine Manuel
22330739,Benioff,Marc Benioff
53096698,awesomefound,Awesome Foundation
14871080,yoda,Yoda
1891806212,AcademicsSay,Shit Academics Say
14436943,nellwyn,nell thomas
224379103,amplab,AMPLab 
65416867,Charlie_Hebdo_,Charlie Hebdo
78729443,joe_hellerstein,Joe Hellerstein
293310504,samrmadden,Sam Madden
2337149636,AzzaAbouzied,Azza Abouzied
231941704,raulcfernandez,Raul C Fernandez
138518015,hfmuehleisen,Hannes Mhleisen
271050823,TT_Nicole,Nicole Laskowski
262387823,ihabilyas,Ihab Ilyas
14070439,arnabdotorg,Arnab Nandi
17371549,mmoyr,Michael Moyer
76561387,nehanarkhede,Neha Narkhede
156653431,MarvinJMathew,Marvin
14378113,DanielPink,Daniel Pink
271516623,jeanqasaur,Mean Yang
2340558698,DataLab538,DataLab
76611461,JShoee,Jackie Xu
2551055478,WomenInno,Innovation Women
2366194867,18F,18F
414825929,ES_Entrepreneur,Emma Sinclair
1467448832,MatthewsLouis,Louis Matthews
14208617,robgo,Rob Go
16877220,BostInno,BostInno
486889981,TEKamel,Tammer Kamel
435061056,jeandonnelly12,jean donnelly
260022048,curiousoctopus,Paola Antonelli
143177620,psjbrittan,Philip Brittan
155522085,marion__leslie,Marion Leslie
472291315,datomic_team,Datomic
22876619,AlbertoGalasso,Alberto Galasso
376618837,j_houg,Juliet HLC Hougland
759566131,ISTC_BigData,ISTC for Big Data
435469450,LynchBigData,Christopher P. Lynch
65375759,zeynep,Zeynep Tufekci
14556945,yvesalexandre,Yves-Alexandre
21902421,joycejshen,joyce shen
622519917,DataRobot,DataRobot
1227698863,BerkeleyData,datascience@berkeley
1898737903,bob_kuszewski,bob kuszewski
104353727,jstauth,Jessica Stauth
140902190,EverTrue,EverTrue
300455440,cornell_tech,Cornell Tech
54952027,DrHauschka_USA,Dr. Hauschka USA
43593,mbostock,Mike Bostock
2157142339,bostondatafest,Boston Data Festival
14079705,littleidea,Andrew Clay Shafer
17836116,trinachi,Trina Chiasson
581424447,aghobarah,H. Adam Ghobarah
468706090,quandl,Quandl
14049145,JNSmall,Jay Newton-Small
