id,name,screen_name
14260960,JustinTrudeau,Justin Trudeau
64844802,a16z,a16z
15823646,sarahfrier,Sarah Frier
42605067,MattBrittin,Matt Brittin
204343158,rosenblattdavid,David Rosenblatt
100534402,plscurrie,Peter Currie
742143,BBCWorld,BBC News (World)
2355371942,moodrowghani,Mood Rowghani
17525171,Variety,Variety
169321761,PeterChernin,Peter Chernin
230287527,evanspiegel,Evan Spiegel
68170267,TheSwamy,TheSwamy
151940747,ayesha_thapar,Ayesha Thapar
21212087,Olivianuzzi,Olivia Nuzzi
22842121,nadiagenmasri,Nadia Genevieve
22492313,renatakaveh,renata kaveh
36759378,pariashirvani,Paria Shirvani 
1217204239,candicemchan,Candice Chan 
1244137812,NITIAayog,NITI Aayog
62342782,SoniAggarwal,Soni Mahdi Aggarwal
292434832,kalpanadivith,Kalpana ChowdharyBJP
2799674079,KBoparoy,Karen Boparoy
216178958,TaliaGold,Talia Goldberg
138387944,BajpayeeManoj,Manoj Bajpayee
98588767,ellenhuet,Ellen Huet
192997844,MissNicollet,Sharmila Nicollet
7517052,howardlindzon,howardlindzon
586361294,RonnieScrewvala,Ronnie Screwvala
1605,sama,Sam Altman
37795465,CherienDabis,Cherien Dabis
28406270,kumailn,Kumail Nanjiani
644323,lolfuture,Sally Cole
1406374028,shyp,Shyp
283916211,humasqureshi,Huma Qureshi
2729506932,mrsfunnybones,Twinkle Khanna
15469101,EvelynRusli,Evelyn Rusli
19040598,MikeIsaac,_
69426451,CaseyNewton,Casey Newton
18994034,ashleymayer,Ashley Mayer
412681753,TheMahiraKhan,Mahira Khan
101754347,ArmeenaRK,Armeena Khan
22815276,jjones,Jeff Jones
72481380,deepigoyal,Deepinder Goyal
2292454922,tsipras_eu,Alexis Tsipras
23188724,Ghonim,Wael Ghonim
5392522,NPR,NPR
132817648,Tehelka,Tehelka
39462935,peter_tl,Peter Thal Larsen
23446719,dmwoodside,Dennis Woodside
233973953,Olacabs,OLA
2836421,MSNBC,MSNBC
15568127,themotleyfool,The Motley Fool
16489912,bhash,Bhavish Aggarwal
848699666,Sequoia_India,Sequoia_India
57947109,Flipkart,Flipkart
2222673457,rsprasad,Ravi Shankar Prasad
59166197,BessemerVP,Bessemer Venture 
32332988,kunalb11,Kunal Shah
67557021,NaveenTewari,Naveen Tewari
21509990,ahnis,Abhinav Sinha
110819759,miasaini,Mia Saini
110974198,BettyWLiu,Betty Liu
289390002,AngieTVLau,Angie Lau
602865727,AbhaBakaya,Abha Bakaya
61292961,seemacnbc,Seema Mody
1236101,BenedictEvans,Benedict Evans
26659703,MeredithFrost,Meredith Frost
19760270,priyankac19,Priyanka Chaturvedi
155517099,victoryaditya,Aditya
914061,levie,Aaron Levie
208155240,MariaBartiromo,Maria Bartiromo
223760585,siljaerholtz,Silja Erholtz
497600704,pankajontech,pankaj mishra
472715068,MohiniBoparai,Mohini Boparai
529209633,vibhinta,vibhinta
17754180,anuacharya,Anu Acharya
107470420,Charitkishore,Charit Kishore
86870796,ahsanabdullahk,ahsan
109327165,AdityaSatsangi,Aditya Satsangi
39262075,Akshay001,Akshay Chaturvedi
3093759543,ivankawei,Ivanka Wei
145216041,yumikoono,Yumiko Ono
286311652,Kyle_MacLachlan,Kyle MacLachlan
16246929,danprimack,Dan Primack
