id,name,screen_name
119372054,BeckyQuick,Becky Quick
424320811,CatClifford,Catherine Clifford
2470856438,BDrizly,Bryan Goodwin
2411784240,renoviso,Renoviso
1519381999,E_A_Graham,Liz Graham
553036368,JoeSquawk,Joe Kernen
3005762051,Accomplices,Accomplice
7347012,polemitis,Antonis Polemitis
28995578,katewestervelt,Kate Westervelt
3131122199,BestOfBoston,Best of Boston
456161966,ericgrosse5,Eric Grosse
6120762,gbrockway,Gregg Brockway
1536791610,POTUS,President Obama
1093090866,FLOTUS,The First Lady
2797194138,StephenNellis,Stephen Nellis
173652921,mcbridesg,Sarah G McBride
17295191,maxtaves,Max Taves
28319725,dfindles,Deborah Findling
409462343,DavidStreitfeld,David Streitfeld
873590119,AlexandraSuich,Alexandra Suich
18944490,bupbin,Bruce Upbin
47191293,RMac18,Ryan Mac
3178741340,meimeichowbos,Mei Mei Chow
1465402885,Kristinhoss,Kristin Hostetter
822647,Halley,Halley Suitt Tucker
7823142,okeefe,Dan O'Keefe
278722023,cutlerscott,Scott Cutler
234859616,devinwenig,Devin Wenig
3061415982,YoungmeMoon,Youngme Moon
240747898,tapdave,Dave Bisceglia
1448902934,tushman,Jonathan Tushman
2755277992,KrysiaLenzo,Krysia Lenzo
304005870,Jonathan_Bush,Jonathan Bush
1594453844,mark43,Mark43
2611649220,PBMBrands,Progressive Business
778772341,BI_RetailNews,BI Retail
53065480,hcpeterson,Hayley Peterson
218503228,philwahba,Phil Wahba
1169128214,ClintEngel,Clint Engel
111372861,SherwinWilliams,Sherwin-Williams
18143827,elementstyle,Erin Gates
2937556156,Daniel_Wayfair,Daniel Gerow
25469919,rogerleevc,Roger Lee
31099876,gcvp,General Catalyst
168775611,BatteryVentures,Battery Ventures
260693932,rrmfka,Ryan Moore
71346967,SavantSystems,Savant
146898295,_bstrong,Rebecca Strong
84725674,EBTH_online,EBTH
92123709,Jon_Nielsen,Jon Nielsen
1369036506,Data_Tips,Data Tips
398105596,WorldStoresUK,WorldStores
2784595394,AnthonyRindone,Anthony Rindone
65385312,lecreuset,Le Creuset
17550067,POPSUGARHome,POPSUGAR Home
16929396,NYTimesHome,NYT Home
34378367,HuffPostHome,HuffPost Home
44069390,ZGallerie,Z Gallerie
14454482,CB2tweets,CB2
46222735,houzz,houzz
29334444,potterybarn,Pottery Barn
303827856,IKEAUSA,IKEA USA
600351055,HGTVMagPromo,HGTV Magazine Promo
25170188,bonappetit,Bon Appetit Magazine
29247574,WilliamsSonoma,Williams-Sonoma
35880417,Kohls,Kohl's
19336500,Lowes,Lowe's
372817561,BedBathBeyond,Bed Bath & Beyond
9541782,tjmaxx,T.J.Maxx
21042561,pier1,Pier 1 Imports
2429474923,BCCEOClub,BC's Chief Exec Club
44771048,RonConway,Ron Conway
156763320,NextViewVC,NextView Ventures
156732976,KyleAlspach,Kyle Alspach
15662928,smarcelo,Sheila Marcelo
2864841,Colin_Sebastian,Colin Sebastian
82169853,hillhouseboston,Hill House
2394504188,NWSCWSUZBW,NWS CWSU BOSTON
781293,martinvars,Martin Varsavsky
14130366,sundarpichai,sundarpichai
568247551,HonestToddler,Honest Toddler
15007149,JohnKerry,John Kerry
317370151,CornellBoston,Cornell Club Boston
2597498814,FascinatingVids,Fascinating Videos
15017496,ntduke,Nancy Tao Go
21323268,NYSE,NYSE
31452927,mattslaine,Matthew Slaine
39759525,HPMarketNews,High Point Market
282778178,AnnieSelkeCo,Annie Selke Co.
32268485,mimimoss,Mimi Moss
40470478,Susankfeldman,Susan Feldman
278401829,AliGPincus,Alison G Pincus
94682674,AngelList,AngelList
5520332,msuster,Mark Suster
992151,davidhornik,David Hornik
16461246,FrankQuattrone,Frank Quattrone
103493846,ngsf,nick giovanni
584031440,FakeSportsCentr,Fake SportsCenter
573003515,Tom_Kleber,Tom Kleber
1355389296,whitporterBOS,Whit Porter
352947624,GSElevator,GSElevator
1666038950,BoredElonMusk,Bored Elon Musk
40982362,KateKellyCNBC,Kate Kelly
