id,name,screen_name
284524391,sashadem,Sasha de Marigny
14618343,creon,creon levit
6646402,richparet,Rich Paret
8798682,jeffseibert,Jeff Seibert
16589206,wikileaks,WikiLeaks
262375272,emmimason,Emily
1629336979,eholmes2003,Elizabeth Holmes
24257941,skamille,Camille Fournier
50638352,JonathanCordeau,Jonathan Cordeau
1247464470,sonyaellenmann,Sonya Mann
41821987,nberpubs,NBER
709644992,devonzuegel,Devon Marisa Zuegel
230492604,lirarandall,Lisa Randall
898853588,dbroockman,David Broockman
22888677,rgbenson,Rob Benson
19966557,alaindebotton,Alain de Botton
4371351,ywxwy,Terror Cook
545902614,koopajah,koopajah
2916305152,Snowden,Edward Snowden
189238523,weinerdog4life,Snorklhuahua
363005534,willmacaskill,William MacAskill
1002014071,FrankWilczek,Frank Wilczek
2530947115,tegmark,Max Tegmark
55732226,shu,Scary Halloween Unix
56893,kitchen,Jeremy Kitchen
220764552,jierenchen,Jieren Chen
15538226,scratch,Scratch Team at MIT
461562633,hopscotch,Hopscotch
28172353,SamJ0hn,Samantha John
297545527,AishaLien,Aisha Cruse
277071665,vihartvihart,Vi Hart
14639943,Tracy_Young,Tracy Young
16629477,dgmacarthur,Daniel MacArthur
16893742,ksimm,Kristina Simmons
251481021,JacobJaber,Jacob Jaber
281877818,Noahpinion,Noah Smith
85863469,BenLawsky,Ben Lawsky
90488576,mipsytipsy,Charity Majors
303601312,milesgrimshaw,Miles Grimshaw
790379282,BriannaW617,Brianna W
1223641213,CassandraXia,Cassandra Xia
27193704,samantha_gold,*: Samantha :*
7748752,robinhanson,robinhanson
43652534,joans,Joan Smith
17797951,sean_a_rose,sean rose
28830854,EdwinWee,Edwin Wee
13258512,dhof,Dom Hofmann
2784169148,bytehq,Byte
7727182,ped,pedro belo
279043651,MicroConf,MicroConf
2239775923,zeplin_io,Zeplin
14897303,kayvz,Kayvon Beykpour
2540794650,FLIxrisk,Future of Life
24831757,DonaldShoup,Donald Shoup
14703882,jordanbrown,Jordan Brown
3219638996,XTIAircraft,XTI Aircraft
2570149332,passtache,Passtache
14692805,jayparikh,Jay Parikh
148390732,swisspol,P.O. Latour
9160152,mccv,mark mcbride
133866483,ken_pratt,Ken Pratt
18040828,suyash,suyash
92116069,erikbryn,Erik Brynjolfsson
399241698,SteveDombek,Steve Dombek
14413529,MelodyMcC,Melody McCloskey
741803,znmeb,Payne Hertz
10224712,pcalcado,Phil Calado
15814902,FrankDenbow,Frank Denbow
7933932,kingersoll,Kevin Ingersoll
1473160712,KellyKMoriarty,Kelly Moriarty
39313479,natesnyc,Nate Saete
21931375,robertkrahn,Robert Krahn
433080889,hatzalam,Martin M. Wasserman
37584290,cash,Meredith Colton Hazy
1023479870,AmySlashZero,Amy M.
25103,jessitron,Jessica Kerr
25073877,realDonaldTrump,Donald J. Trump
73691821,jenanwise,Jenan Wise
2191665944,emilyefield,Emily Field
93529573,michaelbatnick,Irrelevant Investor
546187717,BasonAsset,James Osborne, CFP
21810002,calculatedrisk,Bill McBride
22522178,ReformedBroker,Downtown Josh Brown
182675886,chimeracoder,Aditya Mukerjee
3187821,jwegener,Jonathan Wegener
89282469,nemodos,B. A. Lloyd-Lovett
209721412,ethanyeh,Ethan
291690583,zannymb,Zanny Minton Beddoes
1447859492,HartCamille,Camille Hart
17677806,nhglass,Noah Glass
49065538,anu_khosla,Anu Khosla
15449897,molly_g,Molly Graham
19232649,vestager,Margrethe Vestager
109617683,jmover,Justin M. Overdorff
3247203126,VedikaJain1,Vedika Jain
5740562,ryanlower,Ryan Lower
657863,kevinrose,Kevin Rose
6571622,gphat,Gory Watson
121798669,dawnlambeth,Dawn Lambeth
586427737,NathanNWE,Nathan Lewis
1526643050,slatestarcodex,Scott Alexander
3257025086,wocintech,The Ola Initiative
34873364,bhensonweather,Bob Henson
195640090,danielyanisse,Daniel Yanisse
3351013931,collison_ebooks,Collison ebooks
3300811066,TrueSciPhi,TrueSciPhi
272433530,bkirwi,Ben Kirwin
38385999,interfluidity,Steve Randy Waldman
997629601,danieldennett,Daniel Dennett
25854322,owiber,Oliver Wong
271398203,ReneRedzepiNoma,Rene Redzepi
423094645,jaltma,Jack Altman
403233979,Eigenvariable,Jeff Sarnat
2749657951,jhueyx,Jason Huey
208789178,adamlaiacano,Adam Laiacano
14106059,SoBendito,Ben Carlos Thypin
14096763,TheStalwart,Joseph Weisenthal
817789,cvander,Christian Van Der H.
26703365,Scott_Wiener,Scott Wiener
2904757123,SFyimby,SFyimby
104644638,Rspodcast,Rationally Speaking
18691746,juliagalef,Julia Galef
19040598,MikeIsaac,_
149763,sriramk,Sriram Krishnan
2999716628,21dotco,21
17765744,myamartino,Michael Yamartino
47333645,wuntee,wuntee
1114037143,dmazieres,David Mazires
521540994,oskarth,Oskar Thorn
14903327,timhwang,Tim Hwang
1117107708,wxswxs,Xavier Snelgrove
12331792,futuryst,Stuart Candy
7852612,isaach,Isaac Hepworth
14255284,normantasfi,Norm
876288433,joelle_emerson,Joelle Emerson
112698192,mikitotakada,Mikito Takada
369161590,trustrachel,Rachel Sanders
223613150,rsnous,Omar Rizwan
14707959,jeff_weinstein,Jeff Weinstein
2195887807,Iearnsomething,Learn Something
25228282,synberc,Synberc
121150610,timschuetze,Tim Schuetze
3171681304,Liberland_org,Liberland
15161329,cupcait,caitlin
12662202,bbalfour,Brian Balfour
14337485,jhamrick,Jess Hamrick
620717064,pyjamastartups,Hernn Jaramillo
43393110,felixbot,Felix's Robot
574015131,zpdala,ZP Dala
52034701,amosyee,Amos Yee
15540222,rauchg,Guillermo Rauch
17714829,matthewarkin,matthewarkin
127395947,beect,Brendan Taylor
166154241,graydon_pub,Graydon Hoare
22213519,vickilin,Vicki Lin
3036019340,magic,Magic
15912890,Ayaan,Ayaan Hirsi Ali
841709695,DavidDeutschOxf,David Deutsch
709143,Basti,Bastian Lehmann
3002666401,superplayworld_,Super Play World
1694040764,xychelsea,Chelsea Manning
47813521,JZarif,Javad Zarif
770729,lizgannes,Liz Gannes
9430302,hughewilliams,Hugh E Williams
109371631,brendaniribe,Brendan Iribe
51205137,benbernanke,Ben Bernanke
2786252385,airtable,Airtable
2815466701,seedbiz,SEED
14231648,davidbaron,L. David Baron
